"","WMB.Open","WMB.High","WMB.Low","WMB.Close","WMB.Volume","WMB.Adjusted"
"1",47.459999,47.959999,47.41,47.639999,3241300,45.069943
"2",46.959999,47.220001,46.580002,46.779999,4318300,44.654705
"3",46.970001,47.099998,46.57,46.849998,2594700,44.721525
"4",46.830002,47.200001,46.610001,47.18,1976500,45.036534
"5",54.77,59.68,54.650002,56.02,37458000,53.474918
"6",55.400002,58.450001,55.400002,57.310001,18427800,54.706312
"7",57.939999,58.200001,57.029999,57.349998,31927500,54.744492
"8",57.220001,57.970001,56.490002,57.93,9690700,55.298143
"9",57.970001,58.240002,57.610001,57.66,7958600,55.04041
"10",57.91,58.93,57.75,58.860001,7254600,56.185892
"11",58.509998,59,57.41,57.509998,8561200,54.897223
"12",57.880001,58.389999,57.490002,57.990002,7680900,55.355419
"13",57.860001,58.139999,57.509998,58.099998,4933300,55.460418
"14",57.990002,58.650002,57.900002,58.560001,16052100,55.899523
"15",58.119999,58.650002,58.09,58.209999,5364600,55.565421
"16",58.439999,58.669998,58,58.549999,4287000,55.889975
"17",58.599998,58.709999,57.990002,58.349998,4048600,55.69906
"18",58.540001,58.540001,57.720001,58.110001,2543300,55.469966
"19",57.669998,58.389999,57.540001,57.700001,4355000,55.078593
"20",57.880001,57.889999,57.43,57.639999,7854000,55.021318
"21",57.959999,58.32,57.630001,57.860001,6395000,55.231324
"22",57.549999,58.040001,57.349998,57.82,4827400,55.19314
"23",57.84,58.23,57.490002,58.209999,2722400,55.565421
"24",58.049999,58.709999,57.950001,58.330002,2925100,55.679972
"25",58.220001,58.349998,57.470001,57.869999,4330200,55.240868
"26",58.16,58.459999,57.75,58.389999,3671800,55.737244
"27",58.189999,58.830002,57.509998,57.599998,3635000,54.983134
"28",57.830002,58.43,57.66,58.220001,4489800,55.574969
"29",58.16,58.360001,57.650002,58.07,3965700,55.431782
"30",58.27,58.84,58.27,58.450001,3115900,55.794519
"31",58.34,58.849998,58.049999,58.66,3144100,55.994978
"32",58.630001,58.860001,58.02,58.57,4513800,55.909067
"33",58.419998,58.610001,58.130001,58.200001,3298700,55.555877
"34",58.119999,58.290001,57.389999,57.970001,3542800,55.336327
"35",57.830002,58.369999,57.700001,58.07,3576300,55.431782
