"","SCG.Open","SCG.High","SCG.Low","SCG.Close","SCG.Volume","SCG.Adjusted"
"1",51.150002,51.18,50.669998,50.810001,1074400,48.818706
"2",50.669998,50.830002,50.119999,50.150002,643100,48.184572
"3",50.150002,50.540001,49.509998,50.439999,652100,48.463204
"4",50.450001,50.82,50.099998,50.689999,569800,48.703407
"5",50.560001,51.52,50.560001,51.09,898000,49.087732
"6",50.98,51.169998,50.73,50.970001,586600,48.972436
"7",50.950001,52.290001,50.849998,52.240002,1025600,50.192663
"8",52.25,52.91,52.169998,52.860001,807300,50.788364
"9",52.939999,52.950001,52.610001,52.689999,854700,50.625024
"10",52.709999,52.900002,52.310001,52.540001,563400,50.480905
"11",52.43,52.970001,52.41,52.77,1098500,50.701891
"12",52.759998,53.07,52.66,53,608000,50.922877
"13",53,53.209999,52.830002,53.169998,548500,51.086212
"14",53.07,53.5,52.950001,53.369999,565300,51.278375
"15",53.490002,53.880001,53.299999,53.810001,916400,51.701133
"16",53.860001,53.889999,53.259998,53.330002,781600,51.239945
"17",53.220001,53.279999,52.290001,52.549999,1152900,50.490512
"18",52.310001,52.48,51.970001,52.34,650400,50.288743
"19",52.349998,53.119999,52.23,52.75,1173800,50.682674
"20",52.68,53.450001,52.68,53.119999,1054800,51.038173
"21",53.189999,53.279999,52.799999,53.040001,674500,50.96131
"22",53.009998,53.560001,53.009998,53.459999,803400,51.364848
"23",53.369999,53.599998,52.889999,53.02,707400,50.942093
"24",53.220001,53.310001,52.619999,52.630001,627200,50.567378
"25",52.52,52.970001,52.5,52.830002,920000,50.759541
"26",52.939999,52.990002,52.490002,52.959999,510700,50.884443
"27",52.939999,53.060001,52.610001,52.610001,588700,50.548162
"28",52.740002,53.150002,52.43,53.150002,487100,51.066999
"29",53.099998,53.400002,52.91,53.200001,702800,51.115039
"30",53.360001,53.490002,53,53.139999,428300,51.057389
"31",53.130001,53.25,52.919998,53.07,441600,50.990133
"32",53.119999,53.400002,52.900002,53.23,409600,51.143862
"33",53.23,53.400002,52.849998,52.950001,366300,50.874837
"34",52.889999,53.759998,52.849998,53.709999,656200,51.60505
"35",53.650002,53.889999,52.91,52.93,734100,50.85562
"36",52.860001,53.240002,51.939999,52.099998,823700,50.058147
"37",51.66,52.169998,50.779999,50.880001,974400,48.885963
"38",50.75,51.389999,50.59,50.860001,871000,48.866746
"39",50.98,50.98,49.48,50.27,1650500,48.299868
"40",50.07,50.400002,49.34,49.560001,1137500,47.617695
"41",49.330002,49.459999,48.529999,48.75,1730400,46.839438
"42",48.919998,49.560001,48.919998,49.220001,908700,47.29102
"43",49.299999,50.209999,49.279999,50.200001,828000,48.232612
"44",50.25,50.360001,49.310001,49.43,1549500,47.492789
"45",49.400002,49.849998,49.279999,49.549999,1073600,47.608085
"46",49.529999,49.869999,49.310001,49.709999,754400,47.761814
"47",49.68,50.349998,49.669998,50.27,690900,48.299868
"48",50.380001,50.689999,50.060001,50.389999,892500,48.415165
"49",50.459999,50.599998,50.139999,50.25,582200,48.280652
"50",50.23,50.990002,50.200001,50.98,761800,48.982042
"51",50.91,51.18,50.700001,51.119999,697500,49.116555
"52",51.18,51.439999,50.970001,51.27,721000,49.260677
"53",51.290001,51.43,50.73,51.130001,610100,49.126165
"54",51.220001,51.669998,51.16,51.43,514600,49.414407
"55",51.490002,51.68,50.779999,50.869999,557100,48.876352
"56",50.849998,51.240002,50.779999,51.240002,558500,49.231854
"57",51.09,51.610001,51.029999,51.59,515500,49.568136
"58",51.5,51.939999,51.380001,51.939999,539200,49.904418
"59",52,52,51.029999,51.32,898600,49.308717
"60",51.419998,51.889999,51.360001,51.709999,921600,49.683432
"61",51.619999,51.790001,51.330002,51.66,679900,49.635392
"62",51.790001,52.23,51.779999,52.23,942100,50.183053
"63",51.689999,51.860001,50.919998,51.150002,882100,49.64439
"64",51.02,51.040001,50.540001,50.59,583200,49.100873
"65",50.59,50.689999,50.23,50.419998,558800,48.935875
"66",50.459999,50.950001,50.299999,50.880001,531200,49.382337
"67",50.68,50.68,49.75,49.880001,614700,48.411772
"68",50.049999,50.41,49.880001,50.07,509200,48.596178
"69",50.040001,50.799999,49.970001,50.619999,582100,49.129988
"70",50.720001,50.91,50.189999,50.48,637000,48.99411
"71",50.490002,50.66,49.759998,49.93,576300,48.4603
"72",50.099998,50.77,50,50.540001,1464700,49.052345
"73",50.41,50.48,49.970001,50.02,646100,48.547651
"74",50,50.080002,49.599998,49.630001,812100,48.169131
"75",49.709999,49.810001,49.189999,49.380001,669600,47.92649
"76",49.369999,49.84,49.240002,49.299999,654300,47.848843
"77",49.43,49.48,48.810001,49.240002,632700,47.790612
