"","MCD.Open","MCD.High","MCD.Low","MCD.Close","MCD.Volume","MCD.Adjusted"
"1",101.610001,101.610001,100.68,100.879997,5961200,97.439328
"2",100.739998,100.959999,100.330002,100.419998,6606100,96.995018
"3",100.410004,101.010002,99.540001,99.760002,5609100,96.357532
"4",99.410004,100.589996,99.410004,100.489998,4014600,97.06263
"5",100.419998,101.169998,100.239998,101.099998,4038600,97.651826
"6",100.910004,101.839996,100.82,101.269997,6479700,97.816026
"7",101.739998,101.790001,100.910004,101.349998,5441200,97.893299
"8",101.040001,102.029999,101.040001,101.910004,3372200,98.434205
"9",102.199997,102.300003,101.660004,101.919998,5418100,98.443858
"10",101.639999,101.989998,101.510002,101.910004,2919000,98.434205
"11",101.839996,102.18,101.410004,101.470001,4586400,98.009209
"12",101.089996,101.900002,101.029999,101.610001,3662000,98.144434
"13",101.610001,101.889999,101.07,101.510002,2783200,98.047846
"14",101.25,101.669998,101.150002,101.459999,2785500,97.999548
"15",101.269997,101.480003,100.5,100.739998,4265700,97.304104
"16",100.43,101.360001,100.239998,101,3787700,97.555238
"17",101.019997,101.080002,100.349998,100.529999,3216700,97.101267
"18",101.32,101.32,100.739998,100.980003,2295800,97.535924
"19",100.75,100.75,99.82,100.169998,3951700,96.753545
"20",99.790001,100.57,99.730003,100.089996,3115100,96.676272
"21",100.300003,101.25,100.260002,101.07,5604900,97.62285
"22",100.220001,101.050003,100.160004,100.580002,3274900,97.149565
"23",100.660004,100.809998,100.029999,100.370003,2812500,96.946728
"24",100.690002,100.730003,100.300003,100.470001,4159900,97.043316
"25",100.32,100.370003,99.860001,100.300003,3787000,96.879116
"26",99.650002,99.800003,98.760002,99.269997,7128700,95.884239
"27",98.959999,99.089996,98.349998,98.370003,4099100,95.014941
"28",98.639999,99.089996,98.129997,98.989998,4044900,95.61379
"29",98.519997,98.629997,97.550003,97.550003,6510600,94.222909
"30",95.389999,96.849998,95.099998,96.269997,12398100,92.986559
"31",95.510002,95.82,94.82,95.349998,9483200,92.097939
"32",95.480003,95.620003,95.269997,95.349998,7781700,92.097939
"33",95.360001,95.849998,95.32,95.720001,4992500,92.455322
"34",95.5,95.970001,95.389999,95.779999,4863100,92.513273
"35",95.889999,96.419998,95.709999,95.82,6712700,92.55191
"36",96.190002,96.339996,95.57,95.949997,6049800,92.677473
"37",95.220001,95.360001,94.559998,94.559998,6826000,91.334882
"38",94.300003,94.730003,94.199997,94.300003,4576400,91.083755
"39",94.300003,94.349998,93.519997,94.309998,7652700,91.093409
"40",94,94.300003,93.349998,93.43,5494800,90.243425
"41",93.389999,93.949997,93.360001,93.470001,3728000,90.282062
"42",93.82,94,93.239998,93.309998,3261100,90.127515
"43",93.07,93.839996,92.919998,93.550003,6505900,90.359335
