"","ITW.Open","ITW.High","ITW.Low","ITW.Close","ITW.Volume","ITW.Adjusted"
"1",88.739998,89.099998,88.529999,88.900002,1447900,86.639415
"2",88.690002,88.93,88.400002,88.690002,1102500,86.434756
"3",88.400002,88.410004,87.610001,87.809998,1475200,85.577129
"4",87.849998,88.629997,87.690002,88.18,1213700,85.937723
"5",87.970001,88.199997,87.190002,87.589996,2315200,85.362722
"6",87.379997,88.330002,87.25,87.970001,1412800,85.733064
"7",88.169998,88.550003,87.610001,88.410004,1309000,86.161877
"8",88.5,88.949997,88.269997,88.879997,1719400,86.61992
"9",89.050003,89.5,88.860001,89.379997,3819100,87.107206
"10",89.230003,89.290001,88.18,88.699997,1815200,86.444497
"11",88.410004,89.099998,88.18,88.230003,1678800,85.986454
"12",88.150002,88.900002,88.019997,88.620003,1292900,86.366537
"13",88.050003,88.199997,87.309998,87.949997,1397800,86.121728
"14",87.599998,88.720001,87.400002,88.550003,3046600,86.709261
"15",88.339996,88.459999,87.459999,87.559998,2121600,85.739836
"16",87.959999,88,86.989998,87.370003,2679400,85.55379
"17",87.32,87.769997,87.150002,87.209999,1446700,85.397113
"18",87.720001,87.970001,87.510002,87.699997,864400,85.876925
"19",87.75,87.839996,87.199997,87.440002,1352900,85.622335
"20",87.419998,87.419998,86.769997,86.830002,1732400,85.025015
"21",87.129997,87.459999,86.639999,86.739998,1465500,84.936882
"22",85.959999,86.25,85.489998,85.650002,1587900,83.869544
"23",85.639999,86.150002,85.470001,85.900002,1238800,84.114347
"24",86.400002,86.699997,86.029999,86.190002,1549100,84.398319
"25",86.449997,86.860001,86.010002,86.32,1527000,84.525614
"26",86.510002,86.68,86.050003,86.290001,1758000,84.496239
"27",85.769997,85.769997,84.709999,84.739998,1936900,82.978457
"28",84.980003,85.5,84.839996,85.199997,1737900,83.428894
"29",85.230003,85.790001,84.900002,85.519997,1670100,83.742241
"30",85.989998,86.260002,85.709999,85.779999,1382000,83.996839
"31",85.879997,86.110001,85.510002,85.580002,1708900,83.800999
"32",85.620003,86.029999,85.290001,85.389999,2052200,83.614947
"33",85.080002,85.440002,85.019997,85.160004,1059200,83.389732
"34",85.239998,85.239998,84.309998,84.75,2296900,82.988251
"35",84.480003,84.720001,83.449997,83.5,3379400,81.764236
"36",83.959999,84.330002,83.629997,84.089996,2970900,82.341967
"37",83.93,84.010002,82.349998,82.370003,2776900,80.657728
"38",81.980003,82.5,81.720001,82.059998,2781900,80.354167
"39",82.029999,83.010002,81.870003,82.830002,1816200,81.108165
"40",82.360001,83.349998,82.32,82.720001,2739500,81.000451
"41",82.199997,82.919998,81.860001,82.779999,2122900,81.059202
"42",83.290001,84.080002,82.949997,83.040001,1790200,81.313799
"43",83.220001,84.660004,82.989998,84.599998,1855300,82.841368
"44",84.82,85.209999,84.489998,84.68,1303600,82.919707
"45",84.620003,85.339996,84.239998,84.980003,1385200,83.213473
"46",85.389999,86.260002,85.389999,86,1377100,84.212267
"47",86.169998,86.809998,85.940002,86.730003,1537400,84.927095
"48",87.199997,87.400002,86.360001,87.019997,2805000,85.21106
"49",87.400002,88.209999,87.339996,87.970001,2021400,86.141316
"50",88.169998,88.800003,88,88.480003,1916600,86.640717
"51",88.5,89.370003,88.309998,89.139999,1572800,87.286993
"52",89.269997,89.440002,88.540001,89.059998,1266800,87.208654
"53",88.849998,89.209999,88.220001,88.5,1460700,86.660298
"54",89.110001,89.169998,88.629997,88.82,1105200,86.973645
"55",89.040001,89.230003,88.400002,88.410004,995300,86.572172
"56",88.279999,88.779999,88.279999,88.480003,1032600,86.640717
"57",88.050003,88.25,87.510002,88.029999,899300,86.200067
"58",88.260002,88.43,87.800003,88.209999,1251800,86.376325
"59",88.279999,88.610001,87.889999,88.370003,1646300,86.533003
"60",88.660004,88.989998,88.019997,88.120003,1178500,86.2882
"61",88.169998,89.43,88.080002,88.290001,1863100,86.454664
"62",88.089996,88.309998,87.470001,88.290001,1859200,86.454664
"63",88.120003,88.32,87.669998,88,1645400,86.170691
"64",87.949997,88.25,87.620003,87.790001,1526400,85.965058
"65",88.089996,88.269997,87.43,88.129997,2277400,86.297986
"66",87.800003,88.639999,87.709999,88.559998,1818500,86.719048
"67",88.339996,88.800003,87.959999,88.260002,1877500,86.425289
"68",88.029999,88.580002,87.629997,88.300003,1125700,86.464458
"69",88.18,89.059998,87.940002,88.699997,1476100,86.856137
"70",88.860001,89.169998,88.230003,88.629997,1839800,86.787593
"71",89.010002,89.110001,88.580002,88.93,1590400,87.081359
"72",89.389999,89.580002,88.209999,88.620003,4549000,86.777806
"73",88.589996,88.629997,87.639999,87.779999,1231900,85.955264
"74",87.419998,87.629997,86.690002,86.730003,2644800,84.927095
"75",86.730003,86.800003,86.110001,86.529999,3133100,84.731248
"76",86.400002,86.400002,84.959999,84.959999,1986100,83.193885
"77",84.349998,85.839996,84.339996,85.610001,1549500,84.311671
"78",84.980003,85.610001,84.779999,85.279999,1536500,83.986674
"79",85.25,85.620003,84.220001,84.419998,1952900,83.139716
"80",84.279999,84.370003,82.900002,83.110001,2184000,81.849585
"81",83.120003,83.480003,82.660004,83.059998,1460500,81.800341
"82",83.440002,83.839996,83.269997,83.629997,1527000,82.361696
"83",83.809998,84.029999,83.230003,83.589996,1288700,82.322302
"84",83,83.019997,81.669998,81.720001,1688700,80.480666
"85",81.800003,83.559998,81.360001,83.510002,1771600,82.243521
"86",83.300003,83.389999,81.57,81.68,1860200,80.441272
"87",81.330002,81.610001,80.269997,80.790001,2696100,79.56477
"88",80.790001,81.019997,79.139999,79.190002,2022500,77.989036
"89",79.849998,81.510002,79.660004,80.529999,2255400,79.308711
"90",79.93,81.309998,79.059998,80.940002,2806900,79.712497
"91",80.099998,83.419998,79.989998,83.07,3936000,81.810191
"92",83.879997,84.57,82.910004,83.389999,3697600,82.125338
"93",83.260002,83.870003,82.879997,83.410004,2029400,82.145039
"94",85.800003,86.870003,84.910004,86.599998,2634300,85.286655
"95",86.699997,87.449997,86.059998,86.089996,2862700,84.784388
"96",87.099998,87.860001,87.099998,87.339996,1754100,86.015431
"97",87.360001,88.110001,87.18,87.980003,1355400,86.645731
"98",87.860001,88.599998,87.550003,88.410004,1437000,87.069211
"99",88.959999,89.860001,88.959999,89.839996,1458700,88.477516
"100",89.800003,90.129997,88.93,89.540001,2641000,88.182071
"101",89.379997,90.160004,88.790001,90.019997,1966900,88.654787
"102",91.07,91.389999,90.410004,91.050003,2256600,89.669173
"103",90.959999,91.330002,90.43,90.900002,2129100,89.521446
"104",90.75,91.239998,90.559998,90.900002,2377500,89.521446
"105",91.370003,91.849998,91.059998,91.720001,1332400,90.32901
"106",92,93.040001,91.660004,92.959999,1322200,91.550202
"107",92.980003,93.160004,92.440002,92.809998,1545700,91.402476
"108",92.730003,93.400002,92.68,93.07,1775000,91.658535
"109",93.07,93.5,92.709999,93,1789400,91.589597
"110",92.779999,93.43,92.760002,93.230003,1276400,91.816112
"111",93.199997,93.419998,92.510002,92.660004,2169600,91.254757
"112",92.589996,93.779999,92.589996,93.779999,2346900,92.357766
"113",93.57,94.040001,93.220001,93.980003,1776200,92.554738
"114",94.019997,94.959999,93.949997,94.709999,1663700,93.273663
"115",94.510002,94.660004,94.059998,94.650002,1513800,93.214575
"116",94.040001,95.110001,93.879997,95.080002,1734300,93.638054
"117",96.239998,96.540001,95.790001,95.900002,1624700,94.445618
"118",96.029999,96.330002,95.760002,96.089996,1040700,94.632731
"119",96.010002,96.18,95.459999,95.720001,2003600,94.268347
"120",95.580002,95.760002,95.169998,95.529999,1745700,94.081226
"121",95.779999,95.849998,94.760002,94.93,1039400,93.490327
"122",94.75,94.870003,94.120003,94.309998,1914500,92.879727
"123",94.540001,95.370003,94.400002,94.980003,1826700,93.539572
"124",95.269997,96.919998,95.199997,96.800003,1794700,95.33197
"125",96.720001,96.839996,95.849998,96.169998,1904100,94.71152
"126",96.07,97.169998,95.970001,96.690002,1548100,95.223638
"127",97.239998,97.790001,96.230003,96.330002,1618400,94.869097
"128",95.379997,96.330002,94.949997,95.989998,2342900,94.534249
"129",95.580002,95.690002,94.440002,94.610001,1722400,93.175181
"130",95.07,95.809998,94.800003,94.989998,1250100,93.549415
"131",94.120003,94.739998,93.300003,93.309998,1568000,91.894893
"132",94.089996,94.089996,92.279999,92.470001,2220700,91.067636
"133",92.370003,94.440002,92.290001,92.440002,1392600,91.038092
"134",92.480003,93.489998,91.699997,93.209999,3085600,91.796411
"135",94.470001,95.440002,94.089996,95.440002,1685100,93.992595
"136",95.480003,96.260002,95.110001,96.019997,2916700,94.563793
"137",96.360001,96.82,96.07,96.769997,1124900,95.302419
"138",97.169998,97.599998,96.730003,97.209999,801400,95.735748
"139",97.25,97.449997,97.110001,97.110001,770600,95.637267
"140",97.260002,97.459999,97.019997,97.029999,554600,95.558478
"141",96.620003,96.720001,96.260002,96.309998,835900,95.325882
"142",95.949997,96.269997,95.669998,96.07,942400,95.088337
"143",96.510002,96.669998,94.690002,94.699997,1259900,93.732333
"144",95.160004,95.459999,93.879997,94.68,1378400,93.712541
"145",94.209999,94.209999,92.18,92.339996,1827500,91.396448
"146",92.68,92.82,90.43,91.07,2681700,90.139428
"147",91.839996,92.449997,91.379997,92.059998,1696500,91.11931
"148",92.940002,94.32,92.900002,94.279999,1717400,93.316627
"149",94.5,94.720001,93.07,93.57,1416600,92.613882
"150",93.760002,93.959999,92.839996,93.139999,1350600,92.188276
"151",93.849998,94.519997,92.290001,93.029999,2117000,92.079399
"152",91.68,93.029999,91.610001,92.839996,1891100,91.891338
"153",92.839996,93.5,91.949997,92.169998,1732600,91.228186
"154",92.080002,93.290001,91.459999,93.290001,2161400,92.336745
"155",93.760002,93.839996,92.379997,93.410004,2009200,92.455521
"156",93.089996,94,92.959999,93.730003,1770000,92.772251
"157",94.43,94.940002,93.550003,94.599998,2242800,93.633356
"158",94.629997,94.739998,93.550003,93.559998,1792900,92.603983
"159",93.550003,93.980003,92.889999,93.730003,2216700,92.772251
"160",93.370003,94.160004,92.120003,93.459999,2702000,92.505006
"161",93.849998,93.879997,92.059998,92.120003,2972000,91.178702
"162",92.129997,94.059998,91.68,93.75,3202700,92.792043
"163",92.980003,94.139999,92.860001,93.089996,3866600,92.138784
"164",93.559998,94.989998,92.82,94.910004,1750700,93.940194
"165",95,96.190002,94.839996,95.870003,2222400,94.890384
"166",96,96.599998,95.639999,95.849998,2111200,94.870584
"167",96,97.260002,95.900002,97.07,1671400,96.078119
"168",96.980003,97.839996,96.849998,97.089996,1798300,96.097911
"169",96.669998,97.220001,96.419998,96.82,1050100,95.830673
"170",97.209999,97.25,96.400002,97.050003,1078300,96.058326
"171",97,97.099998,96.279999,96.720001,826300,95.731697
"172",97.089996,97.809998,96.900002,97.779999,1513700,96.780863
"173",97.800003,98.690002,97.800003,98.260002,1280200,97.255961
