"","HAS.Open","HAS.High","HAS.Low","HAS.Close","HAS.Volume","HAS.Adjusted"
"1",52.889999,53.150002,52.650002,53.09,1396300,51.508602
"2",52.869999,53.07,52.700001,52.91,1146500,51.333963
"3",52.75,52.889999,52.349998,52.459999,1229200,50.897367
"4",52.639999,52.720001,52.259998,52.389999,707700,50.829452
"5",52.16,52.549999,52.009998,52.200001,843000,50.645113
"6",52.220001,52.459999,51.950001,52.41,703400,50.848857
"7",52.490002,52.490002,52.130001,52.380001,1066200,50.819752
"8",52.43,52.720001,51.970001,52.439999,929700,50.877962
"9",52.68,52.779999,52.27,52.650002,1388100,51.081709
"10",52.799999,53.860001,52.759998,53.77,1639800,52.168347
"11",53.860001,53.93,53.369999,53.529999,915800,51.935494
"12",53.060001,53.84,52.779999,53.049999,919800,51.469792
"13",53.049999,53.09,52.25,52.849998,638300,51.275749
"14",52.639999,53.290001,52.639999,53.25,595400,51.663836
"15",50.82,53.75,50.82,53.049999,682500,51.469792
"16",53.110001,54.040001,53.02,53.82,971100,52.216857
"17",53.709999,54.009998,53.5,53.650002,772500,52.051922
"18",53.68,54.290001,53.68,54.119999,507900,52.50792
"19",53.759998,54,53.540001,53.580002,761500,51.984008
"20",53.41,53.860001,53.32,53.580002,1187200,51.984008
"21",53.639999,54.450001,53.639999,54.110001,1016100,52.498219
"22",53.470001,54.169998,53.470001,53.73,1156800,52.129537
"23",53.799999,54.68,53.700001,54.389999,939900,52.769878
"24",54.59,54.990002,54.080002,54.16,1219900,52.546729
"25",54.040001,54.290001,53.529999,53.529999,1306300,51.935494
"26",53.540001,53.689999,52.48,52.549999,1911400,50.984686
"27",51.799999,52.990002,51.66,52.919998,2574100,51.343664
"28",52.720001,53.360001,52.720001,53.209999,1032500,51.625026
"29",52.259998,52.490002,51.299999,51.779999,3064800,50.237622
"30",53.18,53.18,51.049999,51.650002,2288900,50.111497
"31",51.490002,52.16,51.139999,51.169998,1347700,49.645791
"32",51.150002,51.82,51.130001,51.799999,981500,50.257026
"33",51.709999,51.849998,51.389999,51.459999,1445900,49.927154
"34",51.389999,51.68,51.049999,51.139999,1621900,49.616686
"35",51.169998,51.299999,50.220001,50.689999,1269800,49.180089
"36",50.470001,50.849998,50.09,50.689999,845500,49.60085
"37",50.470001,50.779999,49.869999,49.950001,828100,48.876752
"38",49.900002,49.950001,49.360001,49.599998,1006700,48.53427
"39",49.68,49.900002,49.52,49.709999,801400,48.641907
"40",49.740002,50.310001,49.52,50.049999,1274300,48.974602
"41",50,50.450001,49.830002,50.27,1018800,49.189876
"42",50.68,50.68,49.59,49.68,754400,48.612553
"43",49.75,50.650002,49.75,50.400002,999200,49.317084
"44",50.48,50.849998,50.48,50.560001,836700,49.473646
"45",50.630001,50.849998,50.150002,50.25,468700,49.170305
"46",48.009998,50.68,48.009998,50.32,735400,49.238801
"47",50.400002,51.150002,50.400002,51.009998,823300,49.913974
"48",51.209999,51.43,50.490002,50.790001,524700,49.698704
"49",51.169998,51.669998,51.130001,51.59,800300,50.481514
"50",51.560001,52,51.560001,51.900002,743900,50.784854
"51",51.540001,52.349998,51.490002,52.139999,815300,51.019695
"52",52.290001,52.700001,52.200001,52.599998,940200,51.469811
"53",51.509998,52.990002,51.509998,52.470001,693600,51.342607
"54",52.950001,52.990002,52.52,52.709999,599000,51.577448
"55",52.630001,52.709999,51.900002,52.23,1167700,51.107762
"56",52.400002,52.639999,51.98,52.259998,894500,51.137116
"57",52.119999,52.369999,51.759998,52.119999,528400,51.000125
"58",52.200001,52.740002,52.040001,52.66,792400,51.528523
"59",52.73,53.02,52.48,52.669998,763000,51.538306
"60",52.869999,53.259998,52.77,53.259998,1009400,52.115629
"61",53.34,53.919998,53.110001,53.849998,1158200,52.692953
"62",53.650002,54.110001,53.57,54.02,775100,52.859302
"63",54,54.25,53.849998,54,626800,52.839731
"64",54.029999,54.110001,53.57,53.669998,1251900,52.51682
"65",53.759998,53.830002,53.540001,53.720001,609100,52.565749
"66",53.610001,54.049999,53.610001,53.889999,900100,52.732094
"67",53.880001,54.049999,53.59,53.669998,827800,52.51682
"68",53.740002,53.779999,53.48,53.540001,638100,52.389616
"69",53.560001,53.709999,53.369999,53.439999,750300,52.291762
"70",53.400002,54.029999,53.25,53.77,806800,52.614673
"71",53.959999,53.990002,53.57,53.91,406600,52.751665
"72",54.16,54.610001,53.880001,54.119999,1292400,52.957152
"73",54.119999,54.330002,53.369999,53.41,714800,52.262408
"74",53.32,53.470001,52.869999,52.939999,498900,51.802505
"75",52.93,55.779999,52.860001,54.950001,2862000,53.76932
"76",54.919998,55.369999,54.32,54.650002,988200,53.475766
"77",54.599998,55.610001,54.599998,55.330002,966500,54.141156
"78",54.799999,55.27,54.700001,55.049999,810900,53.86717
"79",55.049999,55.389999,54.740002,55,956400,53.818245
"80",55.040001,55.369999,54.57,54.849998,1535100,53.671466
"81",54.779999,55.34,54.540001,55.259998,739800,54.072657
"82",55.59,56.060001,55.389999,55.419998,933400,54.229219
"83",55.59,56.09,54.889999,55.099998,1204400,53.916094
"84",54.91,55.18,54.650002,54.759998,1257000,53.5834
"85",54.799999,55.610001,54.650002,55.52,804200,54.327072
"86",55.509998,55.959999,54.810001,54.849998,748400,53.671466
"87",54.970001,55.490002,54.509998,55,970700,53.818245
"88",54.900002,55.209999,54.580002,54.66,1118100,53.48555
"89",54.91,55.5,54.700001,54.830002,1111300,53.651899
"90",54.18,54.889999,53.419998,54.330002,1984700,53.162642
"91",54.029999,54.32,52.740002,54.209999,1763000,53.045218
"92",54.509998,54.799999,53.849998,53.849998,2197600,52.692953
"93",53.889999,57.16,53.869999,56.509998,3105700,55.295798
"94",56.84,58.040001,56.459999,57.720001,2876700,56.479803
"95",57.849998,58.060001,56.830002,56.91,1470500,55.687205
"96",57.43,57.830002,57.299999,57.48,1179200,56.244958
"97",57.639999,57.880001,57.330002,57.610001,716100,56.372166
"98",57.5,57.73,57.169998,57.310001,1063000,56.078612
"99",57.450001,57.830002,57.16,57.73,916700,56.489586
"100",57.790001,57.970001,57.310001,57.619999,678900,56.381949
"101",56.970001,57.52,56.740002,57.18,911600,56.372091
"102",57.73,57.959999,57.369999,57.529999,1110600,56.717145
"103",57.689999,57.689999,57.150002,57.639999,804000,56.825591
"104",57.560001,57.93,57.189999,57.360001,741700,56.549548
"105",57.650002,57.880001,57.23,57.849998,635100,57.032623
"106",57.990002,58.41,57.639999,58.119999,1041400,57.298809
"107",58.029999,58.389999,57.720001,57.98,854000,57.160787
"108",57.91,58.189999,57.02,57.080002,1474200,56.273506
"109",57.259998,57.389999,56.509998,56.669998,1375900,55.869295
"110",56.580002,57.57,56.509998,57.470001,1082300,56.657995
"111",56.09,56.099998,54.150002,54.98,3957200,54.203175
"112",55.5,55.869999,53.740002,54.02,1886100,53.25674
"113",56.25,57.23,55.919998,56.369999,2112200,55.573535
"114",56.189999,56.650002,55.860001,56.119999,1103900,55.327067
"115",56.110001,56.450001,55.919998,56.130001,859100,55.336928
"116",56,56.669998,55.950001,56.509998,1119600,55.711556
"117",57.080002,57.200001,56.450001,56.689999,1274700,55.889013
"118",57.060001,57.23,56.150002,56.66,1587600,55.859438
"119",56.889999,57.650002,56.790001,57.540001,1229600,56.727006
"120",57.66,58.310001,57.139999,58.139999,1272100,57.318526
"121",58.700001,59.419998,58.48,59.200001,750500,58.363551
"122",58.619999,59,57.43,57.459999,1415400,56.648134
"123",57.43,58.02,57.290001,57.459999,909800,56.648134
"124",57.310001,57.619999,56.84,57.080002,905400,56.273506
"125",56.98,57.240002,56.639999,56.75,1716600,55.948167
"126",56.919998,57.580002,56.650002,57.23,981500,56.421384
"127",57.189999,57.200001,56.369999,56.549999,785300,55.750992
"128",55.98,56.52,55.84,56.369999,1493500,55.573535
"129",56.380001,56.830002,55.490002,55.549999,1238000,54.765121
"130",55.630001,56.82,55.630001,56.299999,670500,55.504524
"131",56.310001,56.799999,56.040001,56.060001,948600,55.267917
"132",56.459999,57.040001,55.599998,56.200001,1206100,55.405939
"133",56.049999,57.299999,56.049999,56.900002,1855200,56.096049
"134",57.220001,57.860001,56.810001,57.369999,1357900,56.559406
"135",58.060001,58.369999,57.580002,58.360001,1075800,57.535419
"136",58,58.07,54.419998,54.630001,5091100,53.858122
"137",54.82,54.990002,54,54.330002,1583100,53.562361
"138",54.68,56.060001,54.560001,55.220001,2225700,54.439786
"139",55.560001,55.740002,55.220001,55.25,331800,54.469361
"140",55.200001,55.779999,55.099998,55.540001,463700,54.755264
"141",55.490002,56.400002,55.490002,55.900002,1240400,55.110178
"142",55.790001,55.990002,54.98,55.040001,1144800,54.262329
"143",55.119999,55.470001,54.919998,54.990002,885000,54.213036
"144",55.450001,55.82,54.57,54.970001,839400,54.193318
"145",54.810001,55.299999,54.599998,55.130001,1053500,54.351057
"146",55.389999,55.580002,54.400002,54.41,903500,53.641229
"147",54.639999,55.029999,53.419998,54.669998,1899300,53.897554
"148",54.939999,55.02,53.75,55,1789100,54.222893
"149",54.98,55.299999,53.130001,53.220001,1517000,52.468044
"150",52.919998,53.009998,52.299999,52.610001,1792200,51.866662
"151",52.48,53.18,51.419998,51.91,1418400,51.176552
"152",51.720001,52.400002,51.57,52.200001,1467900,51.462455
"153",52.27,52.459999,51.77,51.959999,1288800,51.225845
"154",51.869999,52.580002,51.830002,52.540001,1062300,51.797652
"155",52.119999,52.799999,51.490002,52.080002,1668300,51.344152
"156",51.919998,52.869999,51.799999,52.82,1103600,52.073694
"157",53.209999,54.029999,52.759998,53.84,1138800,53.079283
"158",53.57,55.18,52.700001,54.939999,2560800,54.163739
"159",53.759998,55.689999,53.27,54.849998,2473100,54.075011
"160",54.299999,55.02,53.689999,54.650002,1517000,53.87784
"161",54.790001,55.41,54.720001,55.049999,1146600,54.272186
"162",55.060001,55.900002,55,55.77,1301700,54.982014
"163",55.34,55.68,54.580002,54.919998,1307800,54.56473
