"","JEC.Open","JEC.High","JEC.Low","JEC.Close","JEC.Volume","JEC.Adjusted"
"1",56.75,56.830002,56.290001,56.439999,1122200,56.439999
"2",56.189999,56.189999,54.860001,54.990002,1381000,54.990002
"3",54.990002,55.220001,54.549999,54.650002,757300,54.650002
"4",54.689999,54.990002,54.540001,54.740002,569500,54.740002
"5",54.57,54.990002,54.34,54.650002,705100,54.650002
"6",54.5,55.07,54.16,54.689999,727200,54.689999
"7",54.709999,54.990002,53.82,54.709999,1369500,54.709999
"8",54.68,55.040001,54.43,54.880001,688900,54.880001
"9",55.09,55.790001,55.049999,55.669998,1364900,55.669998
"10",55.599998,55.869999,55,55.18,1095500,55.18
"11",54.810001,55.240002,54.470001,54.549999,1043600,54.549999
"12",54.5,54.650002,53.25,53.57,1428100,53.57
"13",53.650002,53.68,52.84,53.34,784700,53.34
"14",53.240002,53.810001,53.130001,53.549999,928300,53.549999
"15",53.57,53.759998,52.919998,53.279999,855100,53.279999
"16",53.330002,53.66,53.130001,53.209999,1137100,53.209999
"17",53.209999,53.509998,52.91,53.07,1152300,53.07
"18",53.25,53.68,53.09,53.57,968500,53.57
"19",53.439999,53.610001,52.889999,53.560001,961900,53.560001
"20",53.349998,53.75,53.080002,53.330002,1356000,53.330002
"21",53.330002,53.68,53.18,53.290001,536200,53.290001
"22",52.919998,53.470001,52.790001,53.150002,1037500,53.150002
"23",53.060001,54.09,52.650002,53.849998,1288700,53.849998
"24",54.290001,54.740002,54.169998,54.209999,1130200,54.209999
"25",54.209999,54.77,54.209999,54.369999,1220100,54.369999
"26",54.389999,54.529999,54.060001,54.349998,863600,54.349998
"27",54.099998,54.450001,53.880001,54.049999,928600,54.049999
"28",54.189999,54.630001,53.970001,54.560001,781400,54.560001
"29",54.279999,54.689999,54.259998,54.369999,550300,54.369999
"30",54.529999,54.740002,54.25,54.560001,854300,54.560001
"31",54.950001,54.950001,54.419998,54.869999,623500,54.869999
"32",55,55,54.529999,54.849998,1125600,54.849998
"33",54.619999,54.669998,53.799999,53.990002,883000,53.990002
"34",53.470001,54,53.119999,53.939999,1324900,53.939999
"35",53.849998,55,52.369999,52.369999,1982300,52.369999
"36",52.5,52.650002,51.509998,51.75,1602800,51.75
"37",51.389999,51.700001,50.73,50.810001,1311600,50.810001
"38",50.580002,51.07,49.790001,50.27,1411100,50.27
"39",50.290001,50.560001,49.849998,50.509998,1128200,50.509998
"40",50.34,50.91,49.84,50.040001,1211800,50.040001
"41",49.799999,50.450001,49.689999,49.950001,1048200,49.950001
"42",50.18,50.290001,49.57,50,933000,50
"43",50.09,50.709999,49.93,50.689999,809100,50.689999
"44",50.900002,51.720001,50.810001,51.209999,668100,51.209999
"45",51.259998,51.580002,50.560001,50.720001,566500,50.720001
"46",50.889999,51.400002,50.709999,51.400002,536200,51.400002
"47",51.490002,52.18,51.27,52.139999,974000,52.139999
"48",52.34,52.450001,51.029999,51.27,674500,51.27
"49",51.52,52.41,51.52,52.34,615300,52.34
"50",52.34,52.619999,52.189999,52.259998,395500,52.259998
"51",52.740002,53.959999,52.740002,53.900002,1566100,53.900002
