"","CAT.Open","CAT.High","CAT.Low","CAT.Close","CAT.Volume","CAT.Adjusted"
"1",108.5,109.5,108.400002,109.309998,4752700,106.046266
"2",108.93,108.980003,108.330002,108.690002,2738800,105.444782
"3",108.470001,108.5,106.440002,106.650002,3408600,103.465691
"4",106.550003,107.230003,106.07,106.769997,2009100,103.582103
"5",106.5,106.879997,105.730003,106.809998,2137200,103.62091
"6",106.510002,107,106,106.669998,2138400,103.485091
"7",106.629997,107.599998,106.050003,107.480003,2218700,104.270911
"8",106.989998,107.419998,106.690002,107.25,2592400,104.047775
"9",108.050003,109.529999,107.639999,109.379997,7762900,106.114176
"10",109.25,109.849998,108.290001,108.779999,2839500,105.532092
"11",108.559998,109.339996,107,107.809998,2864200,104.591052
"12",107.480003,108.879997,107.349998,108.440002,2176200,105.202247
"13",108.550003,108.800003,107.849998,108.519997,1522900,105.279853
"14",108.339996,108.879997,107.730003,108.779999,3632100,105.532092
"15",108.68,109.029999,107.970001,108.669998,2249200,105.425375
"16",109.080002,109.75,109.010002,109.169998,2346300,105.910447
"17",109.32,109.949997,109.300003,109.559998,1849000,106.288802
"18",109.900002,111.160004,109.690002,111.080002,2876200,107.763422
"19",110.18,110.449997,109.57,110.160004,2697100,106.870893
"20",110.209999,110.379997,109.400002,109.459999,2450600,106.191789
"21",109.790001,110.290001,109.419998,110.139999,2270600,106.851486
"22",108.139999,109.57,107.800003,109.360001,2303600,106.094776
"23",109.5,109.989998,108.650002,109.959999,1992300,106.67686
"24",110.43,111.040001,110.089996,110.089996,2375100,106.802976
"25",110.25,110.419998,109.400002,109.849998,3212900,106.570144
"26",110.18,111.459999,109.919998,111.400002,3974100,108.073868
"27",110.400002,110.669998,108.93,109.07,3164700,106.482538
"28",109.43,110.169998,109.050003,110.169998,2424900,107.556441
"29",110,110.550003,109.449997,110.230003,2075900,107.615023
"30",110.839996,111.279999,109.800003,110.059998,2879400,107.44905
"31",109.790001,109.980003,108.209999,108.379997,4471400,105.808904
"32",105.599998,106.230003,104.089996,105.040001,8690300,102.548143
"33",104.139999,105.349998,104.099998,104.849998,4126200,102.362648
"34",104.779999,104.900002,103.169998,104.150002,4474300,101.679257
"35",105,106.440002,104.690002,104.690002,7947100,102.206447
"36",105.080002,105.32,103.029999,103.379997,5856900,100.927519
"37",102.239998,102.690002,100.739998,100.75,6711400,98.359913
"38",100.519997,100.849998,99.110001,100.519997,6011900,98.135366
"39",100.360001,102.050003,100.099998,101.809998,5183900,99.394764
"40",101.110001,102.470001,100.940002,101.5,5685400,99.092121
"41",100.760002,101.849998,100.610001,101.489998,5526900,99.082356
"42",102.660004,103.470001,101.879997,101.940002,5752800,99.521685
"43",102.010002,103.440002,101.779999,103.279999,4690200,100.829893
"44",104.610001,104.849998,103.93,104.5,5197900,102.020952
"45",104.589996,105.160004,104.129997,104.330002,4200900,101.854987
"46",104.330002,105.5,104.330002,105.160004,4664900,102.665299
"47",105.510002,106,104.989998,105.660004,4178800,103.153437
"48",106.010002,106.419998,105.129997,105.739998,4099200,103.231534
"49",106.690002,107.099998,106.279999,106.980003,3478600,104.442122
"50",107.260002,107.699997,106.870003,107.300003,3639200,104.754531
"51",107.389999,108.150002,107.199997,107.699997,5341600,105.145036
"52",108.169998,108.57,107.540001,107.970001,4118100,105.408635
"53",107.580002,107.82,106.540001,107.309998,4603700,104.764288
"54",107.959999,108.330002,107.730003,107.970001,3014100,105.408635
"55",108.050003,108.639999,107.980003,108.059998,2865800,105.496496
"56",108.129997,108.919998,108.080002,108.550003,3281900,105.974877
"57",108.019997,108.82,107.800003,108.650002,3227800,106.072503
"58",108.900002,109.099998,108.25,109.07,4437200,106.482538
"59",109.029999,109.730003,108.830002,108.919998,4040200,106.336095
"60",109.449997,109.660004,108.050003,108.459999,4669000,105.887008
"61",108.300003,109.489998,108.160004,108.82,4604000,106.238469
"62",109,109.18,108.190002,108.540001,4305000,105.965112
"63",108.230003,108.459999,107.519997,107.910004,3496900,105.35006
"64",107.82,108.199997,107.190002,107.400002,3578500,104.852157
"65",105.610001,106.120003,105.379997,105.93,8154700,103.417029
"66",105.660004,105.660004,104.589996,105.589996,5460100,103.08509
"67",104.970001,105.089996,104.400002,105.019997,6904200,102.528613
"68",104.32,104.900002,103.220001,104.860001,7051900,102.372412
"69",104.209999,105.830002,103.769997,104.860001,5289700,102.372412
"70",105.18,105.410004,103.879997,103.989998,5122200,101.523049
"71",104.300003,104.550003,103.400002,104.339996,3915800,101.864744
"72",104.849998,105,102.080002,102.510002,8285400,100.078163
"73",102.099998,102.260002,100.82,100.900002,5093200,98.506356
"74",100.860001,101.089996,99.879997,99.989998,5710300,97.61794
"75",100.040001,101.489998,99.889999,101.199997,5797000,98.799235
"76",101,101.199997,99.190002,99.510002,4960800,97.149332
"77",99.440002,100.639999,99.239998,100.379997,2935900,97.998688
"78",99.349998,100.099998,98.260002,99.830002,3156400,97.46174
"79",100.029999,100.099998,98.800003,99.029999,3746100,96.680715
"80",98.639999,99,97.269997,97.610001,4827300,95.294404
"81",97.650002,97.980003,96.150002,97.410004,4460800,95.099151
"82",98.040001,98.339996,97.029999,97.389999,3921900,95.079622
"83",97.809998,98.129997,96.910004,98,3982400,95.675151
"84",97.089996,97.510002,94.690002,94.699997,6479500,92.453434
"85",94.580002,96.860001,93.639999,96.650002,6214200,94.357179
"86",96.209999,96.519997,93.239998,93.5,6414500,91.281904
"87",93.239998,94.57,91.610001,93.129997,6179100,90.920679
"88",93.290001,94.059998,91.620003,91.68,5852400,89.505081
"89",92.510002,95.010002,92.389999,92.800003,6791300,90.598514
"90",91.43,92.75,90.050003,92.589996,9377600,90.393489
"91",90.269997,94.150002,90.269997,93.239998,7439400,91.721501
"92",94.199997,95.599998,93.980003,95.050003,7442600,93.502029
"93",94.529999,95.300003,93.269997,94.029999,4270800,92.498636
"94",95.040001,96.32,95.040001,95.889999,3990500,94.328345
"95",95.529999,95.980003,94.050003,94.57,6211300,93.029842
"96",97.599998,99.940002,97.339996,99.269997,11670100,97.653296
"97",99.510002,99.68,98.370003,99.440002,4133800,97.820533
"98",98.68,98.769997,97.150002,98.540001,4346100,96.935189
"99",99.440002,101.160004,99.029999,101.160004,5053400,99.512522
"100",101.529999,101.839996,99.839996,100.190002,4426400,98.558318
"101",99.629997,100.580002,99.059998,100.160004,2648300,98.528808
"102",101.349998,102.370003,100.839996,101.410004,5367700,99.758451
"103",101.610001,101.760002,99.769997,100.220001,4434300,98.587829
"104",99.75,100,98.040001,98.610001,4849000,97.004048
"105",99.449997,99.639999,98.449997,99.410004,3515600,97.791023
"106",99.510002,100.989998,99.239998,100.910004,3427700,99.266594
"107",101.260002,101.830002,100.900002,101.760002,2708200,100.102749
"108",101.860001,102.550003,101.860001,102.209999,3308100,100.545418
"109",102.309998,102.800003,101.599998,102.529999,2464400,100.860206
"110",102.169998,103.220001,101.519997,102.989998,2805400,101.312713
"111",103.059998,103.18,100.68,101.110001,3924100,99.463334
"112",101,101.699997,100.650002,101.339996,2660400,99.689584
"113",101.25,102.080002,100.449997,101.699997,2477000,100.043721
"114",101.699997,102.449997,101.309998,102.040001,2761200,100.378188
"115",101.860001,102.300003,100.889999,101.300003,4679100,99.650242
"116",100.330002,102.139999,100.07,102.089996,3052500,100.427369
"117",104.300003,107.120003,104.199997,106.449997,8737800,104.716363
"118",106.400002,106.470001,105.099998,105.959999,4108600,104.234346
"119",106.099998,106.629997,105.330002,106.239998,3321500,104.509784
"120",106.290001,106.440002,105.449997,105.790001,2463800,104.067116
"121",104.389999,104.610001,100.120003,100.599998,5780900,98.961637
"122",100.239998,100.470001,97.790001,99,7431800,97.387696
"123",99.480003,99.959999,98.720001,99.510002,3899200,97.889393
"124",100.040001,101.459999,99.959999,100.18,6930700,98.548479
"125",99.690002,100.870003,99.510002,99.669998,3390100,98.046783
"126",99.809998,99.959999,98.709999,98.779999,3605000,97.171278
"127",98.660004,98.760002,95.199997,95.25,7192100,93.698768
"128",94.169998,96.169998,93.800003,95.449997,6562900,93.895508
"129",94.910004,95.019997,92.75,93.019997,6749600,91.505083
"130",93.68,94.290001,92.529999,92.690002,4664900,91.180463
"131",92,92,89.959999,90.5,10327200,89.026126
"132",91.25,91.290001,89.389999,89.75,6924100,88.288341
"133",89.230003,92.25,89.150002,89.339996,7649500,87.885014
"134",89.400002,90.139999,88.029999,89.75,8671600,88.288341
"135",91.889999,91.889999,90.550003,91.690002,8344400,90.196749
"136",91.580002,91.980003,90.879997,91.709999,9689200,90.21642
"137",92.459999,92.809998,91.849998,92.32,4577200,90.816486
"138",92.989998,93.940002,92.650002,93.5,3554200,91.977269
"139",93.639999,93.980003,93.269997,93.720001,1654200,92.193687
"140",93.949997,94.660004,93.720001,94.230003,3120000,92.695383
"141",94.199997,94.279999,93.589996,93.709999,2390500,92.183848
"142",93.599998,93.629997,92.510002,92.589996,3197400,91.082085
"143",92.889999,93.57,91.449997,91.529999,3251100,90.039351
"144",91.769997,92.370003,90.660004,91.879997,3767900,90.383649
"145",90.349998,90.419998,86.599998,87.029999,11301400,85.612637
"146",87.279999,87.68,85.169998,86.470001,8660600,85.06176
"147",87.370003,88.139999,86.419998,87.809998,6511100,86.379933
"148",89.18,89.279999,87.839996,88.709999,7617800,87.265277
"149",88.760002,88.889999,87.019997,87.650002,4852200,86.222543
"150",87.730003,87.769997,86.07,86.889999,4351600,85.474918
"151",87.68,87.900002,85.199997,86.370003,5070400,84.96339
"152",84.889999,86.220001,84.269997,86.07,10366700,84.668273
"153",85.370003,86.169998,84.300003,84.32,6683900,83.626903
"154",84.239998,84.32,83.050003,83.860001,10424800,83.170685
"155",84.419998,84.5,83.190002,83.970001,5937300,83.279781
"156",83.589996,85.400002,83.589996,85.370003,6613100,84.668275
"157",86.050003,87.360001,85.43,86.82,5567800,86.106353
"158",86.790001,87,85.199997,85.610001,5027500,84.9063
"159",85.360001,86.260002,84.900002,86.029999,8140500,85.322846
"160",79.739998,81.349998,79.099998,79.849998,27489500,79.193644
"161",80.400002,81.199997,79.959999,80.010002,14269300,79.352333
"162",79.910004,80.18,78.809998,80,9157000,79.342413
"163",79.510002,80.82,79.419998,79.970001,8150700,79.312661
"164",80.080002,80.879997,79.489998,80.839996,7149000,80.175505
"165",81.220001,84.110001,81.150002,83.919998,10895300,83.230189
"166",82.779999,83.32,81.660004,81.949997,8806500,81.276381
"167",82.400002,83.629997,81.870003,83.57,6640200,82.883068
"168",83.599998,84.139999,82.800003,83.209999,5559300,82.526026
"169",83.050003,84.870003,82.949997,84.669998,7693800,83.974024
"170",85,85,83.459999,83.900002,6569100,83.210357
"171",83.559998,83.669998,82.239998,83.410004,5722600,82.724387
"172",84.080002,84.25,83.309998,83.529999,4623000,82.843396
"173",84.110001,85.489998,84.029999,85.129997,5645500,84.430242
"174",84.860001,85.580002,84.199997,85.379997,3924400,84.678187
"175",84.919998,85.809998,84.580002,84.800003,3568600,84.102961
"176",83.809998,84,82.209999,83.300003,5733500,82.615291
"177",83.300003,84.620003,82.400002,84.440002,6029400,83.745919
"178",83.900002,83.980003,83.139999,83.489998,5180000,82.803724
