"","EMR.Open","EMR.High","EMR.Low","EMR.Close","EMR.Volume","EMR.Adjusted"
"1",67.989998,68.050003,67.480003,67.5,3482800,65.494394
"2",67.260002,67.669998,67.18,67.25,2677600,65.251822
"3",67.029999,67.190002,66.400002,66.440002,3723100,64.465892
"4",66.5,66.849998,66.239998,66.470001,3088100,64.495
"5",66.370003,66.919998,66.120003,66.330002,2717600,64.35916
"6",66.199997,67.480003,66.099998,67.239998,3379200,65.242118
"7",67.279999,68.190002,67.080002,68.07,3232300,66.047458
"8",68.080002,68.309998,67.389999,67.610001,3283500,65.601127
"9",67.75,68.800003,67.660004,68.239998,4236900,66.212405
"10",68.470001,68.669998,67.769997,67.809998,2602800,65.795181
"11",67.589996,68.040001,67,67.07,2010500,65.07717
"12",66.959999,67.489998,66.910004,67.019997,2203200,65.028653
"13",66.870003,67.050003,66.279999,66.730003,2006800,64.747276
"14",66.540001,67.199997,66.489998,66.919998,2428900,64.931626
"15",66.82,66.980003,66.230003,66.360001,2675200,64.388267
"16",66.18,66.949997,65.959999,66.550003,2910300,64.572624
"17",66.589996,66.730003,66.129997,66.639999,2230800,64.659947
"18",66.970001,67.650002,66.93,67.370003,1946600,65.36826
"19",67.360001,67.949997,66.82,67.650002,4105500,65.639939
"20",67.379997,68.050003,67.220001,67.830002,4211800,65.814591
"21",67.889999,68.160004,67.489998,67.699997,2958900,65.688449
"22",67.110001,67.589996,67,67.199997,2569900,65.203305
"23",67.760002,67.760002,66.739998,67.099998,2964100,65.106278
"24",67.709999,67.769997,67.239998,67.260002,2259500,65.261527
"25",67.169998,67.720001,67.110001,67.5,3003200,65.494394
"26",67.959999,68.230003,67.75,67.989998,3475700,65.969833
"27",67.550003,67.610001,66.940002,66.980003,3334100,64.989848
"28",67.120003,67.480003,67.010002,67.389999,2535400,65.387662
"29",67.309998,67.610001,66.989998,67.360001,1842000,65.358555
"30",67.5,67.860001,67.360001,67.419998,1899000,65.41677
"31",67.440002,67.470001,66.860001,67.019997,1341000,65.028653
"32",66.940002,67.510002,66.910004,67.050003,2396500,65.057768
"33",67.169998,67.769997,66.910004,67.43,2965300,65.426474
"34",67.239998,67.239998,66.57,67.080002,3044900,65.086875
"35",66.980003,67.169998,66.099998,66.099998,2704000,64.135991
"36",66.150002,66.230003,64.790001,65.209999,4661800,63.272435
"37",64.82,64.919998,63.639999,63.650002,5419800,61.75879
"38",63.27,63.779999,62.709999,63.400002,4900800,61.516218
"39",63.419998,64.139999,63.110001,63.990002,3924500,62.088687
"40",62.099998,63.959999,60.849998,62.84,6971200,60.972856
"41",62.049999,62.509998,61.540001,61.849998,5195200,60.012269
"42",62.240002,62.389999,61.650002,61.790001,2959300,59.954055
"43",62.040001,62.84,61.91,62.799999,2232500,60.934043
"44",63.110001,63.130001,62.509998,62.580002,2064500,60.720582
"45",62.650002,63.099998,62.470001,62.669998,2099500,60.807905
"46",62.490002,63.139999,62.279999,63.049999,3137300,61.599267
"47",62.93,63.23,62.75,62.950001,2726800,61.501569
"48",63.240002,63.41,62.549999,62.970001,3051100,61.521109
"49",63.16,63.84,63.16,63.82,2047200,62.35155
