"","VNO.Open","VNO.High","VNO.Low","VNO.Close","VNO.Volume","VNO.Adjusted"
"166",111.949997,112.099998,110.860001,111.580002,622000,110.8873
"167",111.959999,114.080002,111.5,113.970001,870700,113.262462
"168",113.440002,113.480003,111.889999,112.639999,1732100,111.940717
"169",112.43,113.32,112.279999,112.339996,804300,111.642576
"170",112.489998,113.5,112,113.010002,1163000,112.308422
"171",113.589996,113.82,111.830002,112.68,544600,111.980469
"172",112.800003,113.949997,112.160004,113.699997,522900,112.994134
"173",113.580002,113.849998,112.389999,112.959999,556700,112.25873
"174",112.860001,113.919998,112.419998,112.879997,760700,112.179224
"175",112.919998,114.150002,112.059998,113.959999,654200,113.252522
"176",113.5,113.529999,110.699997,111.260002,923300,110.569286
"177",110.919998,112.699997,110.68,112.489998,1009000,111.791646
"178",112.919998,113.290001,111.93,113.160004,542800,112.457493
"179",112.669998,113.290001,110.410004,111.050003,832300,110.360591
"180",111,112.019997,110.220001,110.449997,906200,109.76431
"181",110.220001,110.389999,109.18,109.379997,646300,108.700953
"182",109.57,110.559998,108.910004,110.040001,837500,109.356859
"183",110.330002,111.82,110.010002,110.980003,564800,110.291026
"184",110.709999,111.360001,109.68,110.660004,575000,109.973013
"185",110.459999,110.629997,108.459999,108.68,800200,108.005302
"186",109.360001,110.209999,108.940002,109.169998,1028200,108.492258
"187",107.470001,107.470001,104.529999,104.669998,1297300,104.020194
"188",105.379997,106.089996,104.900002,105.290001,871000,104.636348
"189",105.190002,105.669998,104.440002,104.459999,969200,103.811499
"190",104.199997,105.169998,104.110001,104.580002,931300,103.930756
"191",105.089996,106.510002,105.029999,106.239998,908200,105.580447
"192",106.260002,106.349998,105.139999,105.760002,808500,105.103431
"193",106.089996,107.190002,105.669998,106.660004,832400,105.997845
"194",106.389999,107.220001,106.050003,106.889999,754400,106.226413
"195",106.739998,109.489998,106.190002,108.889999,669000,108.213997
"196",108.480003,109.669998,108.059998,109.050003,761100,108.373007
"197",109.339996,113.650002,108.730003,113.440002,1683000,112.735753
"198",113.349998,114.019997,112.599998,113.279999,1147800,112.576743
"199",112.900002,113.18,112.279999,112.459999,840500,111.761834
"200",112.639999,113.059998,110.25,110.360001,803900,109.674872
"201",110,110.739998,109.300003,110.269997,804500,109.585427
"202",110.150002,111.029999,109.889999,110.940002,896300,110.251273
"203",111.419998,112.629997,110.510002,112.349998,719800,111.652516
"204",112.07,112.629997,111.5,112,1693700,111.30469
"205",111.949997,111.949997,109.879997,110.300003,1035200,109.615247
"206",110.010002,111.949997,109.889999,111.209999,470200,110.519594
"207",111.339996,113.120003,111.269997,112.620003,615700,111.920844
"208",112.529999,112.529999,110.120003,110.120003,715400,109.436364
"209",110.110001,110.730003,109.540001,109.739998,610000,109.058719
"210",109.629997,109.669998,106.660004,107.139999,1215000,106.474861
"211",107.779999,108.699997,107.050003,107.419998,763600,106.753122
"212",107.5,107.650002,107.160004,107.239998,698100,106.574239
"213",107.260002,108.940002,107.209999,108.309998,701600,107.637596
"214",108.220001,108.739998,107.43,107.489998,579700,106.822687
"215",107.110001,108.370003,106.709999,107.650002,389100,106.981697
"216",107.309998,108.160004,106.300003,106.989998,489800,106.325791
"217",107.139999,107.739998,106.510002,106.790001,367200,106.127036
"218",107.029999,107.860001,106.760002,107,477500,106.335731
"219",106.980003,107.809998,106.489998,107.120003,363900,106.454989
"220",107.050003,107.379997,106.410004,106.940002,451900,106.276106
"221",107.019997,108.209999,106.809998,107.459999,449500,106.792874
"222",107.760002,108.32,107.269997,107.639999,358700,106.971757
"223",107.260002,107.809998,106.440002,107.449997,454800,106.782934
"224",106.589996,106.830002,105.18,105.330002,620700,104.6761
"225",104.839996,105,102.870003,103.489998,771400,102.847519
"226",104.199997,105.290001,103.879997,104.5,829200,103.851251
"227",104.75,105.5,104.339996,104.589996,574500,103.940689
"228",100.400002,102.830002,98.5,100.730003,1191000,100.104659
"229",100.720001,100.949997,99.419998,100.139999,596200,99.518318
"230",100.5,102.220001,100.139999,101.480003,727300,100.850003
"231",102.18,103.879997,102.18,102.889999,613000,102.889999
"232",102.480003,102.970001,100.519997,100.870003,498400,100.870003
"233",100.199997,101.559998,99.639999,100.949997,501900,100.949997
"234",101.330002,102.220001,99.690002,99.959999,631600,99.959999
"235",100.5,102,100.360001,101.879997,502700,101.879997
"236",102.25,103.279999,101.82,102.720001,703000,102.720001
"237",102.400002,102.739998,101.410004,101.82,620700,101.82
"238",101.559998,102.379997,101.160004,102.07,714000,102.07
"239",102.07,103.330002,101.849998,102.57,679200,102.57
"240",102.629997,102.970001,101.959999,102.25,707600,102.25
"241",101.940002,103.190002,101.57,102.260002,405000,102.260002
"242",102.129997,102.25,100.900002,101.120003,560200,101.120003
"243",101.529999,102.120003,101.199997,101.919998,529300,101.919998
"244",102.18,102.419998,100.910004,101.389999,464700,101.389999
"245",101.389999,101.849998,99.580002,99.889999,1763900,99.889999
"246",100,101.489998,99.709999,101.050003,686300,101.050003
"247",100.709999,100.760002,99.5,100.220001,712800,100.220001
"248",100.220001,100.580002,98.849998,99.370003,758500,99.370003
"249",99.370003,99.919998,98.620003,99.5,758600,99.5
"250",98.75,99.169998,97.730003,98.190002,1061300,98.190002
"251",97.970001,98.43,97.610001,97.790001,576700,97.790001
"252",97.699997,98.07,97.129997,97.300003,502800,97.300003
"253",97.480003,99.480003,96.989998,98.25,777800,98.25
