"","FCX.Open","FCX.High","FCX.Low","FCX.Close","FCX.Volume","FCX.Adjusted"
"1",34.540001,34.68,34.080002,34.360001,8408200,33.191952
"2",34.299999,34.34,33.919998,34.080002,6362600,32.921471
"3",33.869999,34.009998,33.52,33.669998,7158400,32.525406
"4",33.560001,34.09,33.389999,33.970001,6436400,32.81521
"5",34.060001,34.099998,33.810001,34,4635500,32.844189
"6",33.959999,34.110001,33.799999,34.049999,5181600,32.892489
"7",34.080002,34.84,33.900002,34.790001,7674800,33.607334
"8",34.990002,34.990002,34.560001,34.610001,7706400,33.433453
"9",34.560001,34.91,34.349998,34.860001,8908800,33.674955
"10",35.02,36.119999,35,36.040001,13584500,34.814841
"11",35.959999,36.150002,35.560001,35.66,8812300,34.447758
"12",35.610001,36.040001,35.459999,35.77,7313500,34.554019
"13",35.790001,35.93,35.490002,35.700001,6065100,34.486399
"14",35.639999,36.139999,35.580002,36.07,8689300,34.84382
"15",35.98,36.509998,35.66,36.5,11355400,35.259203
"16",36.880001,37.32,36.830002,36.849998,11556400,35.597304
"17",37.029999,37.990002,36.990002,37.830002,14137300,36.543992
"18",38.16,38.59,38.029999,38.509998,12172000,37.200873
"19",38.470001,38.900002,38.290001,38.669998,12834200,37.355433
"20",38.48,38.900002,38.43,38.740002,12041400,37.423057
"21",38.950001,39.299999,38.740002,39.040001,11054500,37.712858
"22",38.77,39.32,38.509998,38.860001,13141400,37.538977
"23",38.630001,38.810001,38.310001,38.709999,9705600,37.697715
"24",38.630001,38.73,38.509998,38.700001,6388400,37.687978
"25",38.689999,38.869999,38,38.290001,11065000,37.2887
"26",38.619999,39,38.619999,38.830002,8486700,37.814579
"27",38.599998,38.849998,38.330002,38.5,14014500,37.493207
"28",38.549999,38.610001,38.119999,38.349998,8637100,37.347128
"29",38.299999,38.75,38.27,38.669998,7194900,37.65876
"30",38.91,39.040001,38.669998,38.720001,9729300,37.707455
"31",38.700001,39.049999,38.279999,38.549999,11631600,37.541899
"32",38.119999,38.139999,37.299999,37.529999,16150300,36.548572
"33",37.43,38.220001,37.349998,37.990002,11138800,36.996545
"34",38.049999,38.200001,37.720001,38.060001,7513000,37.064715
"35",38.040001,38.259998,37.880001,37.91,7732200,36.918636
"36",38.09,38.220001,37.669998,37.880001,6046000,36.889421
"37",37.509998,37.77,37.139999,37.220001,8271500,36.246681
"38",37.119999,37.419998,36.470001,36.779999,10008800,35.818185
"39",37.029999,37.32,36.84,37.240002,6426600,36.266158
"40",36.900002,37.150002,36.700001,36.93,5929600,35.964264
"41",36.59,37.529999,36.57,36.700001,9300600,35.740279
"42",36.830002,37,35.720001,36.150002,12685800,35.204662
"43",36.130001,36.57,36.009998,36.490002,5753200,35.535771
"44",36.91,37.07,36.669998,36.900002,6954700,35.935049
"45",36.740002,37.07,36.68,36.880001,4620900,35.915572
"46",36.830002,36.869999,36.32,36.389999,7134600,35.438384
"47",35.950001,36.080002,35.779999,36.049999,8077400,35.107275
"48",36.139999,36.139999,35.700001,36.099998,6985600,35.155967
"49",36.099998,36.389999,36,36.369999,6405600,35.418907
"50",36.27,36.57,36.119999,36.290001,5843800,35.341001
"51",36.419998,37.099998,36.380001,36.98,9754000,36.012955
"52",36.860001,36.900002,36.450001,36.68,5189100,35.720801
"53",36.619999,36.619999,36.299999,36.439999,4128300,35.487076
"54",36.580002,36.759998,36.400002,36.470001,4373200,35.516294
"55",36.540001,36.630001,36.299999,36.389999,6707500,35.438384
"56",36.580002,36.650002,36.259998,36.439999,5740300,35.487076
"57",36.139999,36.169998,35.630001,36.16,7663200,35.214399
"58",36.299999,36.48,36.16,36.369999,4573100,35.418907
"59",36.040001,36.220001,35.450001,35.490002,10918600,34.561922
"60",35.619999,35.66,35.209999,35.299999,6491200,34.376888
"61",35.32,35.669998,35.049999,35.220001,6082900,34.298982
"62",35.16,35.189999,34.73,35.02,12034600,34.104211
"63",34.959999,35.02,34.740002,34.91,7045300,33.997087
"64",34.68,35,34.200001,34.439999,7772800,33.539377
"65",34.349998,34.619999,33.91,34.560001,7824900,33.656241
"66",34.349998,34.73,34.119999,34.560001,6740500,33.656241
"67",34.389999,34.610001,34.099998,34.240002,6369900,33.34461
"68",34.240002,34.389999,34.110001,34.32,4811400,33.422516
"69",34.299999,35.099998,34.119999,34.889999,9558000,33.97761
"70",34.869999,34.900002,34.400002,34.509998,8450400,33.607546
