"","CPB.Open","CPB.High","CPB.Low","CPB.Close","CPB.Volume","CPB.Adjusted"
"1",45.75,45.959999,45.490002,45.650002,1293800,44.102022
"2",45.599998,45.68,45.290001,45.43,572700,43.889481
"3",45.32,45.540001,45.119999,45.259998,569700,43.725244
"4",45.299999,45.52,45.119999,45.32,466600,43.78321
"5",45.279999,45.73,45.200001,45.650002,611200,44.102022
"6",45.540001,45.77,45.41,45.689999,622600,44.140663
"7",45.459999,46.049999,45.34,46.009998,744500,44.449811
"8",46,46.669998,45.970001,46.610001,896600,45.029468
"9",46.610001,46.610001,46.209999,46.43,1228400,44.855571
"10",46.400002,46.400002,45.82,46.07,1187700,44.507778
"11",45.939999,46.02,45.59,45.66,760700,44.111681
"12",45.48,45.48,45.099998,45.32,935500,43.78321
"13",45.25,45.27,45.009998,45.259998,702900,43.725244
"14",45.16,45.919998,45.16,45.669998,933900,44.12134
"15",45.669998,46.200001,45.5,45.810001,859400,44.256596
"16",45.84,46.23,45.66,46.060001,652700,44.498119
"17",46.09,46.23,45.950001,46.189999,742600,44.623708
"18",45.869999,46.07,45.630001,45.869999,585800,44.615927
"19",45.75,45.93,45.540001,45.66,818100,44.411669
"20",45.720001,46,45.360001,45.419998,1285900,44.178229
"21",45.52,45.630001,45.259998,45.299999,740800,44.061511
"22",44.93,45.330002,44.880001,45.27,577700,44.032332
"23",45.299999,45.48,45.150002,45.290001,692000,44.051786
"24",45.439999,45.57,45.16,45.27,571000,44.032332
"25",44.509998,44.869999,44.049999,44.139999,2055500,42.933225
"26",44.139999,44.75,43.919998,44.560001,2631500,43.341744
"27",44.439999,44.459999,43.700001,43.740002,1545100,42.544163
"28",43.869999,43.959999,43.48,43.950001,3019900,42.748421
"29",43.650002,44.34,43.529999,44.16,1643000,42.952679
"30",44.049999,44.279999,44.049999,44.139999,974600,42.933225
"31",44.080002,44.259998,43.759998,43.759998,732400,42.563613
"32",43.849998,43.98,43.400002,43.529999,1526400,42.339902
"33",43.470001,43.68,43.450001,43.5,972900,42.310723
"34",43.560001,43.810001,43.25,43.459999,845900,42.271816
"35",43.529999,43.759998,43.240002,43.27,1053700,42.087012
"36",43.299999,43.439999,42.73,42.790001,1078300,41.620135
"37",42.57,42.599998,41.509998,41.59,1480500,40.452942
"38",41.52,42.080002,41.389999,41.959999,1121200,40.812825
"39",42.009998,42.259998,41.860001,42.23,620900,41.075444
"40",42.099998,42.240002,41.75,41.810001,1112000,40.666929
"41",41.720001,42.509998,41.66,42.200001,1669300,41.046266
"42",42.380001,42.48,42,42.139999,815700,40.987905
"43",42.23,42.700001,42.09,42.669998,665600,41.503413
"44",42.669998,43.299999,42.669998,43.16,979800,41.980019
"45",43.049999,43.200001,42.959999,43.119999,445500,41.941111
"46",43.25,43.459999,43.130001,43.369999,491300,42.184276
"47",43.57,43.889999,43.529999,43.720001,653300,42.52471
"48",43.779999,43.959999,43.18,43.470001,850000,42.281545
"49",43.740002,44.240002,43.669998,43.860001,1037200,42.660881
"50",43.91,44.220001,43.849998,44.110001,429700,42.904047
"51",44.099998,44.330002,43.970001,44.220001,575200,43.01104
"52",44.32,44.59,44.310001,44.450001,476700,43.234751
"53",44.450001,44.689999,43.950001,44.009998,662200,42.806778
"54",44.220001,44.299999,43.91,44.27,1481100,43.059672
"55",44.220001,44.580002,44.220001,44.450001,517500,43.234751
"56",44.419998,44.610001,44.380001,44.599998,550600,43.380648
"57",44.490002,44.779999,44.450001,44.77,756100,43.546002
"58",44.779999,44.84,44.540001,44.82,719900,43.594634
"59",44.75,45.119999,44.43,44.639999,743300,43.419555
"60",44.689999,44.77,44.439999,44.470001,680100,43.254205
"61",44.48,44.68,44.139999,44.25,625600,43.040218
"62",44.290001,44.540001,44.049999,44.540001,888200,43.322291
"63",43.43,43.93,42.900002,43.389999,2180000,42.20373
"64",43.310001,43.330002,42.919998,43.220001,1109200,42.038379
"65",43.27,43.610001,43.009998,43.419998,844100,42.232909
"66",43.32,44.130001,43.27,44.119999,1169100,42.913772
"67",44.029999,44.16,43.279999,43.400002,862800,42.213459
"68",43.43,43.529999,43.099998,43.5,757700,42.310723
"69",43.509998,43.799999,43.43,43.599998,558000,42.407988
"70",43.419998,43.450001,42.959999,43.099998,911200,41.921658
"71",43.349998,43.48,43.099998,43.400002,741000,42.213459
"72",43.59,43.639999,43.029999,43.060001,1712900,41.882754
"73",43.110001,43.189999,42.68,42.790001,911100,41.620135
"74",42.779999,42.880001,42.549999,42.580002,800700,41.415877
"75",42.509998,43.200001,42.509998,42.970001,956100,41.795214
"76",42.759998,42.919998,42.310001,42.380001,719800,41.221345
"77",42.43,42.650002,42.209999,42.619999,682100,41.454781
"78",42.41,42.849998,42.41,42.849998,864700,41.678493
"79",42.740002,42.950001,42.5,42.73,920800,41.561774
"80",42.509998,42.66,42.209999,42.220001,1301600,41.065719
"81",42.220001,42.450001,41.919998,42.099998,1199800,40.948997
"82",42.18,42.5,42.049999,42.450001,860800,41.289431
"83",42.599998,42.650002,42.16,42.549999,733400,41.386695
"84",42.380001,42.82,42.310001,42.310001,1258100,41.153259
"85",42,42.66,41.919998,42.630001,1052800,41.772546
"86",42.490002,42.740002,41.830002,41.880001,1184200,41.037632
"87",42.02,42.470001,41.799999,42.189999,1860300,41.341394
"88",42.029999,42.41,41.91,41.939999,911800,41.096422
"89",42.040001,42.57,42.009998,42.290001,1129400,41.439385
"90",41.93,42.189999,41.32,41.959999,1434700,41.11602
"91",41.259998,41.790001,41.150002,41.599998,1129300,40.763261
"92",41.889999,42.23,41.549999,42.040001,846400,41.194413
"93",41.990002,42.84,41.950001,42.75,766400,41.890131
"94",42.869999,43.110001,42.650002,42.900002,786200,42.037116
"95",43,43.189999,42.880001,42.919998,1110500,42.05671
"96",43.16,43.23,42.919998,42.970001,572300,42.105708
"97",43,43.200001,42.849998,43.169998,659800,42.301682
"98",43.09,43.790001,42.990002,43.630001,1007500,42.752432
"99",43.740002,43.84,43.560001,43.740002,652900,42.86022
"100",43.73,43.830002,43.049999,43.450001,866900,42.576052
"101",43.27,44.07,43.27,43.91,850600,43.026799
"102",44.509998,44.52,44.060001,44.169998,1048900,43.281568
"103",44.009998,44.419998,44.009998,44.330002,1637600,43.438353
"104",44.369999,44.75,44.290001,44.459999,1615800,43.565736
"105",44.869999,44.990002,44.639999,44.869999,1033500,43.967489
"106",45.040001,45.200001,44.48,44.689999,1855700,43.791109
"107",44.450001,44.599998,43.860001,44.099998,3183000,43.212976
"108",44.200001,44.450001,43.959999,44.389999,963200,43.497144
"109",44.380001,44.700001,44.27,44.389999,756200,43.497144
"110",44.009998,44.040001,43.560001,43.869999,1967100,42.987603
"111",44.009998,44.139999,43.75,43.849998,1051500,42.968005
"112",43.849998,44.110001,43.650002,43.75,1119400,42.870018
"113",43.73,44.66,43.73,44.560001,1332500,43.663727
"114",44.560001,44.73,44.389999,44.560001,883000,43.663727
"115",44.470001,44.849998,44.310001,44.830002,946300,43.928296
"116",44.75,45.07,44.619999,44.709999,774300,43.810707
"117",45.040001,45.110001,44.599998,44.830002,1184000,43.928296
"118",44.810001,44.970001,44.389999,44.59,1492900,43.693122
"119",44.549999,45.389999,44.419998,44.639999,3271700,43.742116
"120",44.529999,44.779999,44,44.450001,1909000,43.555939
"121",44.59,45.709999,44.540001,45.279999,1128300,44.369242
"122",44.990002,45.290001,44.869999,45.060001,2196500,44.15367
"123",44.98,45.119999,44.41,44.509998,2529100,43.614729
"124",44.439999,44.48,43.009998,43.790001,5543000,42.909214
"125",43.939999,44.09,43.41,43.650002,3316600,42.77203
"126",43.610001,43.709999,43.330002,43.650002,2446000,42.77203
"127",43.669998,44.18,43.599998,44.150002,2119700,43.261973
"128",43.900002,44.349998,43.68,44.240002,2060600,43.350163
"129",44.25,44.650002,44.02,44.07,1471000,43.183581
"130",44.099998,44.68,44,44.419998,838300,43.526539
"131",44.119999,44.470001,43.740002,43.75,965700,42.870018
"132",43.84,44.080002,42.91,43.080002,1809600,42.213496
"133",43.07,43.700001,42.700001,42.720001,1414000,41.860736
"134",42.919998,43.57,42.860001,43.18,2841200,42.311483
"135",43.57,44.049999,43.470001,44.049999,2408500,43.163983
"136",44.23,44.580002,43.970001,44.299999,1919000,43.408954
"137",44.439999,44.669998,44.349998,44.5,912500,43.604932
"138",44.700001,44.799999,44.52,44.619999,894000,43.722517
"139",44.68,44.82,44.57,44.57,278700,43.673524
"140",44.689999,44.93,44.560001,44.830002,507200,43.928296
"141",44.73,45.07,44.57,44.849998,935100,43.947891
"142",44.619999,44.93,44.529999,44.59,574200,43.693122
"143",44.599998,44.689999,43.950001,44,994300,43.114989
"144",44.099998,44.27,43.799999,44,1032400,43.114989
"145",43.720001,43.919998,43.330002,43.330002,1346900,42.458467
"146",43.450001,43.630001,42.900002,43.040001,2166600,42.174299
"147",43.82,45.259998,43.599998,44.939999,3329900,44.036081
"148",45.029999,45.610001,44.91,45.529999,1735800,44.926119
"149",45.580002,45.73,45.200001,45.400002,1284400,44.797846
"150",44.849998,45.689999,44.849998,45.549999,2527000,44.945854
"151",45.75,46.220001,45.290001,45.529999,2311500,44.926119
"152",45.220001,45.610001,45.150002,45.580002,2141900,44.975459
"153",45.889999,46.450001,45.68,46.09,1641100,45.478693
"154",46.139999,46.57,45.900002,46.549999,1635300,45.932591
"155",46.650002,47,46.349998,46.939999,1281700,46.317417
"156",46.880001,47.349998,46.610001,47.110001,1688100,46.485164
"157",47.259998,47.450001,46.900002,47.43,1136700,46.80092
"158",47.259998,47.27,46.639999,46.700001,1543800,46.080603
"159",46.650002,46.84,46.310001,46.759998,1027100,46.139804
"160",46.369999,46.75,46.32,46.549999,1294200,45.932591
"161",46.75,46.990002,45.779999,45.82,1496800,45.212273
"162",45.790001,46.509998,45.470001,46.459999,1508000,45.843784
"163",46.119999,46.240002,45.630001,45.740002,1999100,45.133336
"164",45.68,46.360001,45.130001,46.330002,1519600,45.715511
