"","AVB.Open","AVB.High","AVB.Low","AVB.Close","AVB.Volume","AVB.Adjusted"
"1",139.509995,140.229996,138.789993,139.089996,867600,133.867602
"2",139.089996,139.449997,138.259995,138.949997,624900,133.732859
"3",138.910004,139.669998,138.070007,139.289993,731400,134.06009
"4",139.660004,140.279999,138.520004,140.020004,569600,134.762691
"5",139.720001,140.279999,138.949997,139.149994,561300,133.925347
"6",139.089996,140.300003,138.509995,140.25,1174900,134.984051
"7",139.75,141.039993,138.820007,140.75,637800,135.465278
"8",140.679993,141.410004,140.449997,141.399994,703400,136.090866
"9",141.979996,142,140.440002,141.300003,1671900,135.99463
"10",141.279999,142.350006,140.949997,141.720001,680800,136.398858
"11",141.279999,142.490005,141.279999,142.470001,550900,137.120698
"12",142.020004,142.949997,142.020004,142.839996,571300,137.476801
"13",141.529999,142.009995,140.929993,141.369995,363600,137.176002
"14",141.110001,142.410004,140.919998,142.350006,453100,138.12694
"15",142.559998,143.050003,140.899994,142.190002,624700,137.971683
"16",142.139999,142.949997,141.350006,142.399994,744800,138.175444
"17",142.440002,142.600006,141.289993,142.550003,363100,138.321003
"18",142.309998,142.649994,140.919998,142.029999,304400,137.816426
"19",141.809998,142.929993,141.800003,142.679993,519500,138.447137
"20",142.399994,144,142.350006,143.460007,404600,139.20401
"21",143.899994,144,142.389999,143.509995,476000,139.252515
"22",142.839996,144.820007,142.679993,143.800003,624000,139.53392
"23",143.479996,144.300003,143.059998,143.860001,530800,139.592137
"24",144.119995,145.320007,143.630005,145.270004,494400,140.960311
"25",145.330002,146.339996,145,146.050003,709300,141.71717
"26",146.25,146.850006,145.529999,146.679993,485600,142.328469
"27",146.009995,146.929993,145.509995,146.119995,564400,141.785085
"28",146.419998,147.550003,145.789993,147.320007,663400,142.949497
"29",147.119995,147.169998,146.270004,146.270004,457800,141.930644
"30",146.490005,147.300003,146.25,146.369995,671300,142.027668
"31",146.380005,146.679993,145.139999,145.139999,1216900,140.834163
"32",150,151,146.399994,149.149994,1495300,144.725194
"33",148.869995,148.960007,147.570007,147.979996,594800,143.589906
"34",148.100006,150.869995,148.100006,150.199997,682300,145.744046
"35",149.589996,150.449997,148.669998,149.639999,668100,145.200662
"36",149.639999,151.399994,149.639999,150.979996,844600,146.500905
"37",150.320007,150.860001,148.059998,148.080002,978200,143.686945
"38",148.210007,149.770004,147.910004,148.679993,898100,144.269136
"39",148.600006,150.720001,147.529999,150.309998,535300,145.850784
"40",149.389999,150.320007,148.289993,148.830002,610100,144.414695
"41",149.210007,149.600006,148.160004,149.380005,566400,144.948381
"42",149.550003,150.059998,148.460007,149.070007,570800,144.64758
"43",149.570007,149.839996,148.460007,149.800003,508100,145.355919
"44",149.800003,151.259995,149.479996,150.539993,507200,146.073956
"45",150.119995,151.130005,150.059998,150.440002,576300,145.976932
"46",150.399994,152.949997,150.399994,152.449997,582200,147.927296
"47",152.270004,152.820007,150.869995,151.490005,529400,146.995785
"48",151.429993,151.800003,150.110001,150.960007,1613000,146.481509
"49",151.820007,153.330002,151.559998,153.279999,609100,148.732675
"50",153.649994,154.389999,152.589996,154.050003,550100,149.479835
"51",153.610001,155.619995,152.910004,155.020004,968000,150.42106
"52",154.990005,156.160004,154.880005,155.429993,757800,150.818885
"53",155.070007,155.320007,152.630005,153.630005,904200,149.072297
"54",154.330002,154.5,152.720001,153.210007,712100,148.664759
"55",153.199997,153.580002,152.75,153.149994,503300,148.606527
"56",153.380005,154.009995,152.610001,153.199997,618600,148.655046
