"","PPL.Open","PPL.High","PPL.Low","PPL.Close","PPL.Volume","PPL.Adjusted"
"1",34.970001,35.18,34.669998,34.689999,7881300,33.168914
"2",34.639999,34.66,33.68,33.720001,9111300,32.241449
"3",33.790001,33.82,33.169998,33.52,7015900,32.050218
"4",33.619999,34.189999,33.439999,34.029999,5573400,32.537854
"5",33.950001,34.580002,33.919998,34.27,4719000,32.767332
"6",34.150002,34.310001,33.990002,34.02,3921000,32.528294
"7",34.029999,34.720001,34,34.689999,4767800,33.168914
"8",34.259998,35.040001,34.259998,34.779999,3967000,33.254968
"9",34.84,34.93,34.580002,34.619999,3490300,33.101984
"10",34.57,34.709999,34.240002,34.470001,3128500,32.958563
"11",34.400002,34.700001,34.389999,34.509998,3258500,32.996807
"12",34.450001,34.650002,34.25,34.560001,3545300,33.044617
"13",34.580002,34.790001,34.459999,34.759998,3424600,33.235845
"14",34.759998,35.200001,34.599998,35.189999,5910800,33.64699
"15",35.259998,35.560001,35.009998,35.529999,4371200,33.972082
"16",35.52,35.52,35.150002,35.16,3515200,33.618307
"17",35.080002,35.09,34.16,34.330002,4036000,32.824703
"18",34.27,34.27,33.849998,34.029999,2643800,32.537854
"19",33.990002,34.259998,33.889999,34.080002,2758700,32.585665
"20",33.970001,34.209999,33.919998,34.119999,3555900,32.623908
"21",34.220001,34.279999,33.810001,34,4000300,32.509171
"22",34.009998,34.32,34,34.240002,2183900,32.738649
"23",34.189999,34.310001,33.709999,33.830002,3744600,32.346627
"24",33.900002,33.93,33.360001,33.380001,3997000,31.916358
"25",33.369999,33.66,33.34,33.529999,3185500,32.059778
"26",33.580002,33.75,33.400002,33.650002,2923900,32.174519
"27",33.580002,33.66,33.32,33.330002,2967600,31.868551
"28",33.470001,33.919998,33.290001,33.84,3992200,32.356187
"29",33.630001,33.810001,33.450001,33.77,4188500,32.289256
"30",33.830002,33.900002,33.599998,33.639999,2746300,32.164955
"31",33.669998,33.77,33.560001,33.669998,2425700,32.193639
"32",33.68,33.830002,33.509998,33.779999,2255000,32.298816
"33",33.759998,33.919998,33.369999,33.43,1991000,31.964164
"34",33.43,34.099998,33.389999,34.040001,2866400,32.547418
"35",34.130001,34.130001,33.689999,33.700001,2054000,32.222326
"36",33.75,33.93,33.09,33.130001,3400700,31.677319
"37",33.060001,33.509998,32.650002,32.990002,4606000,31.543459
"38",32.790001,33.32,32.720001,33.139999,4099600,31.686879
"39",33.200001,33.25,32.369999,33.040001,6081800,31.591266
"40",32.880001,33.09,32.43,32.540001,3742200,31.11319
"41",32.400002,32.48,31.790001,31.940001,8253500,30.539498
"42",32.080002,32.48,32.080002,32.389999,4657200,30.969765
"43",32.540001,33.029999,32.540001,33,9577300,31.553019
"44",33.139999,33.259998,32.93,33,3247600,31.553019
"45",33.009998,33.32,32.91,33.139999,3468400,31.686879
"46",33.130001,33.330002,32.970001,33.299999,3977400,31.839864
"47",33.310001,33.700001,33.310001,33.68,2554000,32.203202
"48",33.689999,34.049999,33.639999,33.810001,4376300,32.327503
"49",33.849998,33.950001,33.509998,33.650002,2731700,32.174519
"50",33.73,34.110001,33.630001,34.09,2940500,32.595225
"51",34.119999,34.16,33.849998,34.080002,2297600,32.585665
"52",34.139999,34.459999,34.119999,34.290001,2420800,32.786456
"53",34.310001,34.459999,33.98,34.169998,2032600,32.671715
"54",34.220001,34.52,34.139999,34.32,2213800,32.815139
"55",34.43,34.549999,33.880001,33.93,2843800,32.44224
"56",33.959999,34.32,33.959999,34.299999,3132400,32.796016
"57",34.200001,34.52,34.139999,34.450001,1983000,32.93944
"58",34.41,34.639999,34.360001,34.630001,3737000,33.111548
"59",34.529999,34.720001,34.09,34.27,3047700,32.767332
"60",34.48,34.630001,34.380001,34.5,2080200,32.987247
"61",34.380001,34.540001,34.200001,34.43,3021500,32.920316
"62",34.48,34.639999,34.41,34.57,3974600,33.054177
"63",34.220001,34.220001,33.5,33.700001,4676200,32.573788
"64",33.52,33.529999,33.200001,33.32,4914100,32.206486
"65",33.25,33.299999,32.810001,32.970001,5253800,31.868184
"66",32.91,33.259998,32.790001,33.18,4658100,32.071165
"67",33.029999,33.060001,32.52,32.630001,3512900,31.539546
"68",32.639999,32.790001,32.540001,32.639999,3044900,31.549211
"69",32.560001,33.509998,32.529999,33.5,5674600,32.380471
"70",33.580002,33.849998,33.34,33.459999,4436400,32.341807
"71",33.459999,33.52,33.099998,33.279999,4124100,32.167822
"72",33.299999,33.709999,33.23,33.639999,6848300,32.515792
"73",33.540001,33.549999,33.150002,33.32,2846600,32.206486
"74",33.299999,33.380001,33.110001,33.110001,2890600,32.003505
"75",33.150002,33.18,32.610001,32.779999,4338400,31.684531
"76",32.790001,33.049999,32.75,32.82,3947300,31.723196
