"","VIAB.Open","VIAB.High","VIAB.Low","VIAB.Close","VIAB.Volume","VIAB.Adjusted"
"1",87.580002,87.949997,86.830002,87.370003,1769100,85.370929
"2",86.379997,87.209999,86.379997,86.599998,1696500,84.939362
"3",86.470001,86.589996,85.519997,85.949997,1932100,84.301824
"4",86.089996,86.279999,85.339996,85.910004,1263500,84.262598
"5",85.660004,86.75,85.599998,86.470001,1767600,84.811857
"6",86.220001,86.730003,85.900002,86.349998,1416800,84.694156
"7",86.5,87.089996,85.910004,87,1859700,85.331693
"8",87.550003,87.620003,86.830002,87,1834000,85.331693
"9",87.370003,87.370003,85.580002,85.760002,4262100,84.115473
"10",85.949997,86,85.309998,85.419998,1325800,83.781989
"11",85.25,86,85.050003,85.120003,1482400,83.487746
"12",84.400002,85.949997,84.389999,85.059998,3042300,83.428892
"13",85,85.489998,84.300003,85.43,1501000,83.791799
"14",85.18,86.519997,84.970001,86.370003,2728800,84.713776
"15",86.410004,87.029999,86.190002,86.730003,2181700,85.066873
"16",86.879997,87.160004,86.449997,86.849998,1860900,85.184568
"17",86.25,87.639999,86.110001,87.32,1356700,85.645556
"18",87.370003,87.980003,87.029999,87.480003,1030200,85.802491
"19",87.470001,87.589996,87.040001,87.269997,1013700,85.596512
"20",87.089996,87.360001,86.519997,86.650002,1679800,84.988406
"21",86.349998,86.68,85.57,86.510002,3231000,84.851091
"22",86,86.940002,85.620003,86.300003,2229800,84.645119
"23",86.32,86.480003,85.010002,85.370003,2722100,83.732952
"24",85.809998,85.959999,84.980003,85.029999,2393600,83.399468
"25",85.029999,85.379997,84.480003,84.599998,2502500,82.977713
"26",87,89.760002,86.980003,87.370003,6800600,85.6946
"27",87.010002,88.919998,87.010002,87.639999,3613900,85.959419
"28",88,88.419998,87.510002,88.360001,2938000,86.665614
"29",87.839996,88,87.080002,87.300003,1659700,85.625943
"30",87.660004,87.870003,87.040001,87.099998,1661400,85.429774
"31",87.120003,87.120003,85.120003,85.760002,2828000,84.115473
"32",85.959999,86.059998,85.489998,85.620003,3414000,83.978158
