"","TMO.Open","TMO.High","TMO.Low","TMO.Close","TMO.Volume","TMO.Adjusted"
"1",119.080002,119.690002,118.349998,119.290001,1100400,118.58025
"2",119.099998,120.419998,119.07,120.209999,1980800,119.494774
"3",119.639999,120.459999,119.330002,119.849998,2049200,119.28576
"4",120,120.43,118.879997,119.160004,1248100,118.599014
"5",118.949997,119.75,117.949997,118.690002,1844600,118.131225
"6",118.190002,119.080002,117.830002,118.639999,1742600,118.081457
"7",118.779999,119.980003,118.25,119.900002,1363500,119.335528
"8",120,120.400002,118.849998,119.709999,2151800,119.14642
"9",120,120.339996,118.849998,118.940002,4956500,118.380048
"10",119.129997,119.709999,118.510002,119.099998,1408200,118.539291
"11",119.129997,119.860001,118.279999,118.559998,1460100,118.001832
"12",118.110001,119.989998,118.099998,119.139999,1514000,118.579103
"13",119.32,119.519997,118.629997,119.300003,1426600,118.738354
"14",119.099998,119.300003,118.220001,118.300003,2758900,117.743062
"15",118.199997,118.559998,117.68,118,1603200,117.444471
"16",118.449997,119.290001,117.650002,118.959999,2316600,118.399951
"17",119.050003,119.610001,117.910004,118.050003,2137700,117.494239
"18",118.440002,120.18,117.910004,120.110001,1423200,119.544538
"19",119.75,120.32,119.230003,119.720001,1550700,119.156375
"20",119.459999,119.459999,117.730003,117.989998,1531400,117.434516
"21",118.019997,118.360001,117.449997,117.839996,1232600,117.285221
"22",116.610001,117.790001,116.360001,117.150002,2760400,116.598474
"23",116.970001,118.400002,116.75,118.269997,1013000,117.713197
"24",118.900002,119.57,117.57,117.800003,1482500,117.245416
"25",118,118.480003,116.730003,118,2688600,117.444471
"26",118.309998,120.290001,118.309998,119.220001,3131200,118.658729
"27",119.480003,120.830002,118.610001,119.019997,2713900,118.459666
"28",119.239998,121.25,119.220001,121,1863600,120.430347
"29",120.459999,122.269997,120.349998,122.139999,2499100,121.56498
"30",122.440002,124.980003,122.440002,123.059998,3822800,122.480647
"31",125.610001,127.209999,122.57,124,3889000,123.416224
"32",124.93,125.93,123.290001,125.510002,2570600,124.919117
"33",124.300003,125.339996,124.300003,125.07,1069500,124.481186
"34",125.089996,125.459999,123.529999,124.379997,1650400,123.794432
"35",124.489998,124.830002,123.540001,123.540001,1424600,122.95839
"36",124.410004,125.050003,123.440002,124.709999,1602900,124.12288
"37",123.620003,124.260002,121.150002,121.5,1986300,120.927993
"38",121.089996,122.400002,120.5,121.379997,1391300,120.808556
"39",121.419998,121.720001,119.849998,121.379997,1132700,120.808556
"40",120.830002,121.57,119.75,120.120003,1280800,119.554493
"41",119.470001,120.989998,119.120003,120.160004,1054400,119.594306
"42",120.599998,120.830002,118.959999,119.529999,1098300,118.967267
"43",119.480003,121.230003,118.910004,121.160004,1229000,120.589598
"44",121.709999,122.269997,120.779999,120.919998,886600,120.350722
"45",120.919998,121.629997,119.870003,120.029999,1689900,119.464913
"46",120.620003,121.449997,120.589996,121.349998,1182100,120.778698
"47",121.779999,122.150002,121.32,121.779999,1047300,121.206674
"48",121.949997,122.889999,120.160004,121.550003,1562100,120.977761
"49",121.900002,122.510002,121.489998,122.050003,2285600,121.475407
"50",122.150002,122.830002,121.779999,122.389999,1045100,121.813803
"51",121.940002,122.449997,121.5,122.260002,889200,121.684418
"52",122.550003,122.699997,121.730003,121.809998,854600,121.236532
"53",121.489998,122.019997,121.190002,121.220001,1113100,120.649313
"54",121.870003,122.480003,121.57,121.800003,1068600,121.226584
"55",121.959999,122.019997,120.639999,120.709999,1064500,120.141712
"56",120.900002,120.980003,119.68,120.080002,1172600,119.51468
"57",119.580002,120.260002,118.709999,120.07,1248300,119.504725
"58",120.129997,120.800003,119.519997,120.209999,1109800,119.644066
"59",120.889999,122.809998,120.57,122.720001,2156000,122.142251
"60",122.830002,124.370003,122.82,123.75,1614700,123.167401
"61",123.980003,125.239998,123.639999,123.879997,1496600,123.296786
"62",123.809998,124.660004,123.410004,124.629997,1390300,124.043255
"63",125.010002,125.25,124.07,124.980003,1649900,124.391613
"64",124.779999,124.949997,123.779999,124,1398700,123.416224
"65",124.5,124.669998,123.459999,123.610001,1336700,123.02806
"66",123.239998,123.660004,122.449997,123.300003,1420200,122.868624
"67",123.360001,123.459999,122.559998,123.279999,1700900,122.84869
"68",123.050003,123.260002,121.68,122.339996,1296000,121.911976
"69",122.080002,122.839996,121.470001,122.610001,1334200,122.181036
"70",122.650002,124.089996,122.470001,123.599998,1463400,123.16757
"71",123.809998,124.580002,123.629997,124.129997,783600,123.695714
"72",124.800003,125.059998,123.040001,123.239998,1215500,122.808829
"73",123.230003,123.230003,121.410004,121.809998,975000,121.383831
"74",121.360001,121.879997,120.800003,121.160004,1203600,120.736112
"75",121,123.699997,120.800003,123.510002,2027500,123.077888
"76",123.019997,123.709999,120.970001,120.989998,1837500,120.566701
"77",120.93,121.360001,120.25,121.360001,1004600,120.935409
"78",120.489998,122.239998,120.379997,122,1153500,121.573169
"79",122.349998,122.919998,121.489998,121.699997,1670100,121.274216
"80",122.300003,122.300003,119.269997,119.57,2476700,119.15167
"81",119.57,120.360001,118.160004,119.160004,1875100,118.743109
"82",119.459999,121.529999,119.459999,121.389999,1664500,120.965303
"83",122.029999,122.309998,119.5,120.629997,982400,120.207959
"84",120.330002,120.489998,118.190002,118.220001,1532000,117.806395
"85",118.400002,121.699997,117.980003,121.629997,1643700,121.204461
"86",121.639999,121.639999,117.699997,117.82,1751900,117.407793
"87",117.980003,119.059998,116.419998,116.470001,2059800,116.062518
"88",116.349998,116.470001,112.239998,112.489998,3051500,112.096439
"89",112.559998,113.440002,111.139999,111.779999,3109300,111.388924
"90",110.300003,111.730003,107.330002,111.139999,3177700,110.751163
"91",108.589996,111.639999,108.230003,109.690002,4332400,109.306239
"92",110.620003,113.169998,110.260002,112.360001,2354200,111.966896
"93",111.919998,114.389999,111.669998,114.330002,1869300,113.930005
"94",115.029999,118.25,115.029999,118.220001,2439200,117.806395
"95",114.410004,115.190002,112.610001,113.830002,6596500,113.431755
"96",115.589996,117.360001,115.019997,116.230003,2598000,115.823359
