"","DVN.Open","DVN.High","DVN.Low","DVN.Close","DVN.Volume","DVN.Adjusted"
"1",74.82,75.949997,74.760002,74.940002,3388700,73.544382
"2",74.629997,77.190002,74.370003,76.419998,5787300,75.23777
"3",76.870003,78,76.790001,77,3781400,75.808799
"4",77.220001,78.099998,76.75,78.040001,3314100,76.832711
"5",78.18,78.32,77.660004,78.230003,4048000,77.019774
"6",77.769997,78.32,77.480003,78.120003,2042800,76.911475
"7",77.860001,78.779999,77.370003,78.120003,2798500,76.911475
"8",78.150002,78.5,77.599998,78.489998,2055300,77.275746
"9",78.809998,79.25,78.709999,78.949997,3133500,77.728629
"10",79.239998,79.239998,78.610001,78.870003,2518300,77.649872
"11",78.919998,79.489998,77.349998,77.57,3648800,76.36998
"12",77.550003,79.5,77.550003,79.459999,2627800,78.230741
"13",79.230003,79.459999,78.160004,78.599998,1943200,77.384045
"14",78.459999,79.580002,78.32,79.5,1972700,78.270123
"15",79.199997,80.629997,79.019997,79.400002,2667300,78.171672
"16",79.849998,80.010002,79.040001,79.080002,2156600,77.856623
"17",79.07,79.650002,78.260002,78.580002,3310900,77.364358
"18",78.940002,79.260002,78.18,79.209999,1413700,77.984609
"19",79.860001,79.860001,78.099998,78.279999,3287900,77.068996
"20",78.43,79.139999,77.919998,78.139999,3641000,76.931162
"21",78.419998,79.410004,78.199997,79.400002,2213300,78.171672
"22",78.160004,78.739998,77.330002,78.099998,3014200,76.89178
"23",78.019997,78.139999,77.099998,77.129997,2920200,75.936785
"24",77.349998,78.059998,77.169998,77.809998,2107600,76.606265
"25",77.720001,77.900002,76,76.5,3398100,75.316534
"26",77,77.959999,76.779999,77.889999,2340100,76.68503
"27",77.940002,78.629997,75.599998,75.739998,3875900,74.568289
"28",76.519997,77.339996,76.129997,77.010002,2548500,75.818646
"29",76.910004,77.209999,76.32,77.120003,1915700,75.926945
"30",77.650002,78.440002,77.330002,78.150002,3234600,76.94101
"31",78.010002,78.540001,77.580002,78.5,2044400,77.285593
"32",78.489998,79.309998,78.309998,79.029999,2921700,77.807393
"33",78.529999,78.660004,77.919998,78.339996,1194500,77.128065
"34",78.199997,78.68,77.419998,77.82,1588700,76.616113
"35",77.760002,78.230003,77.290001,77.400002,2180200,76.202612
"36",78.040001,78.470001,77.160004,77.309998,2356300,76.114001
"37",77,77.040001,75.43,75.5,2800500,74.332004
"38",75.110001,75.82,74.230003,75.089996,2913800,73.928343
"39",75.309998,77.010002,74.830002,76.809998,3235900,75.621736
"40",76.230003,76.690002,74.110001,74.589996,3892000,73.436078
"41",74.019997,75.660004,71.480003,74.379997,4806300,73.229328
"42",74.57,74.669998,73.010002,73.470001,2505700,72.333409
