"","SEE.Open","SEE.High","SEE.Low","SEE.Close","SEE.Volume","SEE.Adjusted"
"115",38.490002,38.490002,38.009998,38.200001,1774000,37.867542
"116",37.91,38.5,37.790001,38.48,1434300,38.145104
"117",39,39.299999,38.669998,38.869999,1605500,38.531709
"118",39.09,39.5,38.98,39.209999,1549100,38.86875
"119",39.220001,39.41,38.889999,39.110001,1436300,38.769622
"120",39.119999,39.220001,39.009998,39.119999,911900,38.779533
"121",39.080002,39.869999,38.91,39.529999,1272700,39.185965
"122",39.09,39.209999,38.110001,38.610001,3005800,38.273973
"123",38.799999,39.630001,38.68,39.5,1968800,39.156227
"124",39.470001,39.950001,39.41,39.900002,1643900,39.683352
"125",39.889999,40.529999,39.869999,40.209999,1603300,39.991667
"126",40.110001,40.380001,40.060001,40.32,1265200,40.10107
"127",40.259998,40.869999,40.07,40.810001,3530100,40.588411
"128",40.75,41.599998,40.18,41.57,3781300,41.344283
"129",41.57,41.759998,41.200001,41.369999,3390200,41.145368
"130",41.52,42.119999,41.419998,41.93,2860400,41.702329
"131",41.66,41.810001,40.880001,40.919998,3152500,40.697811
"132",41,41.279999,40.43,40.740002,3170200,40.518791
"133",40.700001,41.669998,40.540001,41.23,2178900,41.006129
"134",41.459999,42.099998,41.119999,41.939999,2137400,41.712273
"135",42.689999,42.889999,41.790001,42.279999,2311700,42.050427
"136",42.529999,42.900002,42.169998,42.200001,3402600,41.970863
"137",42.330002,42.84,42.150002,42.549999,1590100,42.318961
"138",42.73,43.200001,42.709999,42.98,1136300,42.746627
"139",43.040001,43.630001,43,43.400002,580000,43.164348
"140",43.41,43.669998,43.27,43.470001,567300,43.233968
"141",43.349998,43.419998,42.98,43.02,1222000,42.78641
"142",42.82,43.169998,42.73,42.91,1287100,42.677007
"143",43.029999,43.07,42.360001,42.43,1212600,42.199614
"144",42.759998,42.939999,42.139999,42.700001,1393600,42.468148
"145",42.330002,42.66,41.68,42.09,1826100,41.86146
"146",42.369999,42.580002,41.630001,42.310001,3261700,42.080266
"147",42.639999,42.919998,42.27,42.369999,2935100,42.139938
"148",42.849998,43.610001,42.849998,43.150002,2693400,42.915705
"149",43.25,43.470001,42.43,42.470001,1651700,42.239397
"150",42.57,43.040001,42.279999,42.959999,1260200,42.726735
"151",43.16,43.66,42.580002,42.900002,2393400,42.667063
"152",42.509998,42.700001,41.73,42.169998,2590700,41.941023
"153",42.25,42.360001,41.490002,41.599998,2666400,41.374119
"154",41.560001,42.049999,41.32,41.869999,2670500,41.642653
"155",42.07,42.310001,41.25,41.599998,1770500,41.374119
"156",41.52,41.950001,41.27,41.919998,1933500,41.692381
"157",42,43.09,41.810001,43.049999,3025900,42.816246
"158",43.080002,43.110001,39.880001,40.040001,5659200,39.822592
"159",40.139999,40.220001,39.16,39.419998,4044000,39.205955
"160",38.790001,39.919998,38.419998,39.52,4571700,39.305415
"161",39.990002,40.040001,39.27,39.43,1699200,39.215903
"162",39.419998,40.849998,39.419998,40.73,3698100,40.508844
"163",40.27,40.93,40.240002,40.5,2178000,40.280093
"164",40.630001,40.860001,40.110001,40.5,2749400,40.280093
"165",40.669998,41.610001,40.490002,41.509998,2073800,41.284607
"166",41.279999,41.93,41.080002,41.650002,1725800,41.42385
"167",41.860001,42.540001,41.75,41.970001,2401200,41.742112
"168",42.02,42.080002,41.369999,41.470001,3013600,41.244827
"169",41.18,41.459999,40.57,40.93,4821100,40.707758
"170",43.490002,45.650002,42.860001,45.27,8133100,45.024193
"171",45.279999,45.790001,44.779999,45.220001,3278900,44.974465
"172",45.400002,46.330002,45.380001,46.209999,2813900,45.959088
"173",46.369999,46.419998,45.779999,46.049999,1957500,45.799957
"174",45.880001,46.91,45.77,46.650002,1887800,46.396701
"175",46.759998,47.099998,46.259998,47.049999,1409300,46.794527
"176",47.139999,47.700001,46.639999,47.68,1687300,47.421107
