"","NOC.Open","NOC.High","NOC.Low","NOC.Close","NOC.Volume","NOC.Adjusted"
"1",124.010002,124.029999,123.029999,123.75,944700,121.341984
"2",122.970001,123.459999,122.199997,122.239998,973500,119.861365
"3",121.739998,122,119.300003,119.529999,1554700,117.204099
"4",119.959999,121.419998,119.650002,120.800003,977500,118.449391
"5",120.360001,122.139999,120.360001,121.559998,1107600,119.194597
"6",121.389999,121.839996,120.489998,121.089996,747800,118.733741
"7",121.010002,121.68,120.160004,121.440002,838100,119.076937
"8",121.550003,122.870003,121.18,122.330002,994700,119.949618
"9",123.120003,124.110001,122.650002,123.449997,1621000,121.047819
"10",123.589996,123.589996,122.190002,122.529999,701100,120.145723
"11",121.959999,122.559998,120.559998,120.599998,792800,118.253278
"12",120.519997,120.980003,120.160004,120.699997,722600,118.351331
"13",120.809998,120.809998,119.540001,120.400002,615000,118.057173
"14",120.18,120.739998,119.93,120.669998,892400,118.321916
"15",121.110001,121.139999,119.389999,119.629997,938900,117.302152
"16",119.330002,121.25,118.290001,120.43,1257200,118.086588
"17",120.010002,120.809998,119.540001,119.739998,990200,117.410012
"18",120.230003,121.5,120.040001,121.190002,542400,118.831801
"19",121,121,119.889999,120.110001,725000,117.772815
"20",119.870003,120.43,118.769997,119.349998,1078600,117.027601
"21",119.790001,120.199997,119.169998,119.800003,690700,117.468849
"22",118.230003,120.709999,118.230003,119.919998,804100,117.58651
"23",120.209999,121.900002,119.599998,121.669998,725800,119.302457
"24",121.57,122.699997,121.410004,122.339996,926900,119.959418
"25",122.690002,123.82,122.440002,123.150002,1048800,120.753661
"26",123.440002,123.639999,122.68,123.190002,787600,120.792884
"27",122.419998,124,122.349998,122.559998,803000,120.175138
"28",123,124.400002,122.800003,123.870003,703000,121.459652
"29",123.739998,125.300003,123.379997,125.120003,1276700,122.685329
"30",125.519997,127.010002,125.209999,126.529999,1230300,124.067888
"31",124.959999,127.970001,124.93,126.610001,1088900,124.146333
"32",127.010002,128.289993,126.010002,127.919998,1196100,125.43084
"33",127.410004,128.309998,127.349998,127.559998,952200,125.077844
"34",127.970001,128.460007,126.599998,127.790001,1262000,125.303372
"35",127.559998,127.970001,126.209999,126.370003,1060600,123.911005
"36",127.080002,127.230003,125.309998,125.849998,1027900,123.40112
"37",124.910004,125,123.029999,123.269997,1445600,120.871321
"38",122.910004,124.849998,122.849998,123.919998,1030600,121.508675
"39",123.529999,123.970001,122.220001,123.360001,1372000,120.959574
"40",123.120003,125.230003,122.879997,123.07,1230200,120.675216
"41",122,122.199997,120.580002,120.980003,1212800,118.625888
"42",121.800003,122.360001,119.970001,120.300003,1302100,117.95912
"43",120.75,122.959999,120.540001,122.860001,1258900,120.469303
"44",123.260002,124.019997,123.18,123.489998,709100,121.087042
"45",123.580002,124.389999,122.800003,123.029999,769700,120.635994
"46",123.5,125.68,123.160004,125.160004,759700,122.724551
"47",125.379997,125.93,124.940002,125.010002,725300,122.577469
"48",125.510002,125.980003,123.68,124.870003,868100,122.440193
"49",125.620003,126.940002,125.620003,126.730003,727400,124.264001
"50",127.07,127.419998,126.449997,127.010002,662800,124.538551
"51",127.019997,128.389999,126.760002,128.169998,935200,125.675975
"52",128.559998,128.559998,127.660004,128.029999,730700,125.5387
"53",128.300003,128.660004,127.449997,127.599998,686000,125.117067
"54",128.309998,128.440002,127.489998,128.020004,673000,125.5289
"55",128.039993,128.059998,127.019997,127.269997,776600,124.793487
"56",127.57,127.860001,126.940002,127.620003,738000,125.136682
"57",126.309998,127.190002,126.309998,126.879997,682600,125.097234
"58",126.900002,127.68,126.769997,127.220001,811800,125.432461
