"","SNDK.Open","SNDK.High","SNDK.Low","SNDK.Close","SNDK.Volume","SNDK.Adjusted"
"1",97.5,97.699997,94.959999,97.139999,6302000,95.716732
"2",98.360001,100.809998,97.650002,99.660004,5552200,98.199814
"3",99.349998,99.739998,97.970001,98.620003,3021500,97.17505
"4",99.300003,99.589996,98.18,98.470001,2266100,97.027247
"5",98.190002,102.199997,98.059998,102,4455500,100.505525
"6",102.010002,103.949997,101.809998,103.239998,5452400,101.727355
"7",103.910004,104,101.550003,102.309998,3203400,100.810981
"8",102.360001,102.540001,101.32,102.199997,2831600,100.702592
"9",102.489998,103.459999,101.699997,101.980003,5896200,100.485821
"10",102.129997,102.989998,101.550003,102.129997,2439700,100.633618
"11",102.43,103.75,101.860001,102.129997,2865000,100.633618
"12",102.309998,103.18,101.699997,103.010002,1903500,101.500729
"13",103.089996,103.089996,101.260002,102.639999,1435300,101.136147
"14",102.540001,102.849998,101.529999,102.739998,1730800,101.234681
"15",103.580002,104.75,102.720001,104.43,2636200,102.899922
"16",104.870003,106.580002,104.5,105.379997,2585600,103.835999
"17",105.269997,106.489998,104.540001,106,2286100,104.446918
"18",106.339996,106.93,105.910004,106.760002,1532000,105.195785
"19",106.410004,106.800003,105.660004,106.400002,1869500,104.841059
"20",106,106.010002,101.699997,104.25,4418300,102.722559
"21",104.639999,105.239998,103.470001,104.25,1915600,102.722559
"22",103.019997,104.199997,102.5,103.769997,2101100,102.249588
"23",104.040001,105.900002,103.550003,104.970001,2988900,103.432011
"24",105.580002,106.160004,105.110001,105.589996,2594900,104.042922
"25",105.900002,107.129997,104.519997,105.559998,3777300,104.013362
"26",106.739998,108.769997,105.639999,107.830002,8205200,106.250107
"27",99.980003,100,91.830002,93.209999,29605300,91.844313
"28",93.690002,95.589996,92.25,94.519997,8913400,93.135117
"29",94.389999,94.400002,92.760002,93.699997,5122000,92.327131
"30",94.209999,95.389999,93.919998,94.639999,4518700,93.253361
"31",94.849998,95.199997,94.050003,94.349998,2850800,92.967609
"32",94.400002,94.989998,93.309998,93.739998,3367800,92.366546
"33",93.540001,93.75,92.260002,93.239998,3628800,91.873872
"34",93.589996,93.959999,91.599998,92.629997,2985900,91.272809
"35",92.790001,93.57,92.32,92.900002,3467400,91.538857
"36",93.639999,94.32,92.830002,93.339996,2569400,91.972405
"37",92.129997,92.830002,90.910004,91.709999,5213600,90.657668
"38",91.260002,93.379997,91.239998,92.760002,3453400,91.695623
"39",92.849998,94.379997,92.769997,94.07,2790600,92.990589
"40",93.879997,94.830002,92.419998,92.849998,3217200,91.784587
"41",92.330002,93.620003,92.019997,93.029999,2382900,91.962521
"42",93.510002,93.809998,90.660004,90.790001,4267600,89.748227
"43",90.900002,92.190002,90.699997,91.43,3166000,90.380882
"44",92.410004,93,91.309998,92.379997,2179400,91.319978
"45",91.940002,92.07,90.720001,91.400002,2564100,90.351228
"46",91.559998,93.089996,91.209999,92.940002,2178500,91.873558
"47",92.93,93.879997,92.830002,93.209999,1890900,92.140456
"48",93.949997,94.449997,92.919998,94.029999,2598800,92.951047
"49",94.510002,94.739998,93.669998,94.269997,1820400,93.188291
"50",94.769997,95.5,94.550003,95.300003,2073200,94.206478
"51",95.290001,98.129997,95.25,97.68,4359600,96.559166
"52",97.68,97.989998,96.639999,97.650002,2856600,96.529512
"53",97.790001,98.519997,97.300003,98,2058800,96.875494
