"","JWN.Open","JWN.High","JWN.Low","JWN.Close","JWN.Volume","JWN.Adjusted"
"1",68.379997,68.860001,68.370003,68.57,909600,67.301522
"2",68.080002,68.5,67.690002,67.910004,908300,66.653735
"3",67.989998,68.129997,67.019997,67.269997,821700,66.025568
"4",67.459999,68.110001,67.260002,67.889999,942400,66.634101
"5",67.699997,68.209999,67.459999,67.860001,1288300,66.604657
"6",67.910004,68.220001,67.459999,67.800003,947800,66.54577
"7",67.839996,68.410004,67.580002,68.300003,1083300,67.03652
"8",68.300003,68.559998,68.07,68.360001,972600,67.095408
"9",68.540001,68.540001,67.849998,68.089996,1714300,66.830398
"10",67.779999,68,67.620003,67.730003,1139600,66.477065
"11",67.669998,68.339996,67.519997,67.849998,1280200,66.59484
"12",67.639999,68.040001,67.330002,67.510002,763400,66.261133
"13",67.370003,67.68,66.720001,67.629997,1157500,66.378909
"14",67.629997,68.25,67.629997,67.989998,876300,66.73225
"15",67.849998,68.150002,67.660004,67.93,853600,66.673362
"16",68.190002,68.830002,67.889999,68.690002,838000,67.419305
"17",68.389999,69,68.300003,68.589996,1081900,67.321149
"18",68.690002,69.459999,68.690002,69.290001,641900,68.008204
"19",68.919998,69.599998,68.839996,69.410004,811600,68.125987
"20",69.370003,69.879997,68.919998,69.800003,1295000,68.508772
"21",69.830002,70.559998,69.589996,70.139999,1374500,68.842478
"22",69.260002,69.669998,69.099998,69.18,805500,67.900238
"23",69,69.370003,68.370003,68.75,1025000,67.478193
"24",69.120003,69.279999,68.709999,68.760002,1365100,67.48801
"25",68.5,68.739998,68,68.050003,1184900,66.791145
"26",68.25,68.330002,67.629997,68.160004,940600,66.899111
"27",67.790001,68.010002,67.300003,67.400002,783600,66.153168
"28",67.650002,68.019997,67.349998,67.980003,999200,66.72244
"29",67.779999,68.129997,67.400002,67.629997,779700,66.378909
"30",67.739998,68,67.669998,67.739998,770000,66.486875
"31",67.870003,68.129997,67.68,67.760002,949400,66.506509
"32",67.989998,69.220001,67.989998,68.760002,787900,67.48801
"33",68.489998,68.870003,68.029999,68.080002,714700,66.820589
"34",68.190002,69.190002,68,68.989998,1086800,67.713751
"35",68.989998,69.389999,68.860001,68.900002,866900,67.625419
"36",69.110001,70.25,68.93,70.190002,949900,68.891556
"37",69.68,70.190002,69.190002,69.230003,1046700,67.949316
"38",68.440002,69.400002,68.440002,68.949997,1101200,67.67449
"39",68.949997,69.779999,68.730003,69.550003,837000,68.263396
"40",69.129997,69.349998,68.389999,68.639999,1085600,67.370227
"41",68.360001,69.68,68.360001,69.339996,1026500,68.057275
"42",69.540001,69.790001,68.43,68.599998,1054100,67.330966
"43",69.019997,69.989998,68.599998,69.940002,1361300,68.646181
"44",70,70.129997,68.82,69.160004,1673700,67.880612
"45",69.370003,69.57,68.57,68.709999,1480800,67.438932
"46",68.040001,68.18,66.900002,68.120003,2692300,66.85985
"47",68.300003,68.709999,67.760002,68.690002,2820300,67.419305
"48",65.550003,66.489998,64.919998,65.110001,6070400,63.90553
"49",65.580002,66.150002,65.470001,66.120003,1830500,64.896848
"50",66.190002,67.610001,66.190002,67.470001,1542300,66.221873
"51",67.470001,68.599998,67.18,68.389999,1399700,67.124852
"52",68.400002,69.160004,68.260002,68.93,1298900,67.654863
"53",69.169998,69.660004,68.860001,69.449997,1380500,68.16524
"54",69.760002,69.889999,69.449997,69.760002,904300,68.469511
"55",69.75,70.559998,69.5,70.209999,1293400,68.911183
"56",70.32,70.489998,69.809998,70.010002,986800,68.714886
"57",69.199997,70.050003,68.849998,69.639999,858300,68.675437
"58",69.709999,69.870003,69.190002,69.25,920000,68.29084
"59",69.300003,69.849998,68.669998,69.150002,1390700,68.192226
"60",69.18,70,68.889999,69.639999,1181000,68.675437
"61",71,71.449997,70.410004,70.43,1833500,69.454496
"62",70.099998,70.639999,69.419998,70.629997,1561200,69.651723
"63",70.410004,70.660004,69.629997,69.980003,1309000,69.010732
"64",69.75,69.82,69.269997,69.349998,1328200,68.389453
"65",69.260002,69.410004,68.529999,68.769997,1273900,67.817485
"66",68.589996,69.040001,68.529999,68.970001,961300,68.014719
"67",69.040001,69.32,68.699997,69.080002,1036900,68.123196
"68",68.919998,69.220001,68.620003,68.910004,705300,67.955553
"69",68.68,69.989998,68.68,69.489998,988200,68.527514
"70",69.639999,69.720001,69.129997,69.370003,1137300,68.40918
