"","GD.Open","GD.High","GD.Low","GD.Close","GD.Volume","GD.Adjusted"
"1",120.550003,121.089996,119.989998,120.82,1586000,117.837577
"2",120.32,120.739998,119.610001,119.870003,1578200,116.91103
"3",119.769997,120.07,118.120003,118.459999,1049300,115.535832
"4",118.760002,119.57,118.260002,119.139999,956500,116.199047
"5",118.900002,119.709999,118.699997,119.199997,1251200,116.257563
"6",119.260002,119.379997,118.190002,119.099998,1197900,116.160033
"7",119.32,119.790001,118.459999,119.639999,926500,116.686704
"8",119.660004,120.169998,118.980003,120.040001,1256800,117.076832
"9",119.699997,120.099998,119.440002,119.550003,2210200,116.59893
"10",119.82,119.82,118.43,118.739998,1193200,115.808919
"11",118.110001,118.849998,116.629997,116.690002,1483400,113.809528
"12",116.699997,117.410004,116.199997,117.220001,1215900,114.326443
"13",117.290001,117.370003,116.160004,116.980003,909200,114.09237
"14",116.779999,117.75,116.75,117.5,1522400,114.599531
"15",117.410004,117.559998,116.379997,116.550003,1231500,113.672984
"16",115.169998,117.07,114.660004,116.449997,2174100,114.18285
"17",116.190002,116.449997,115.129997,115.5,1484300,113.251349
"18",116.050003,116.519997,115.75,116.019997,888900,113.761221
"19",116.169998,116.230003,115.339996,115.75,1392000,113.496481
"20",115.669998,115.75,114.32,114.800003,1316300,112.56498
"21",115,115.68,114.529999,115.620003,1094800,113.369015
"22",114.07,116.120003,114.040001,115.529999,1173200,113.280763
"23",115.669998,117.019997,115.309998,116.849998,1513300,114.575064
"24",117.089996,117.449997,116.410004,116.68,1556900,114.408376
"25",116.889999,118.099998,116.870003,117.510002,1596700,115.222218
"26",117.959999,118.150002,117.150002,117.510002,798800,115.222218
"27",117.059998,117.550003,116.050003,116.099998,795800,113.839666
"28",116.650002,117.879997,116.510002,117.639999,1424900,115.349685
"29",117.480003,118.470001,117.099998,118.349998,828500,116.045861
"30",118.709999,119.139999,118.349998,118.550003,1382700,116.241972
"31",120.349998,121.110001,119.110001,120.730003,2915400,118.37953
"32",120.720001,121.93,120.650002,121.480003,2182100,119.114928
"33",120.959999,122.169998,120.860001,121.139999,1220600,118.781544
"34",120.709999,121.110001,119.709999,120.480003,1239300,118.134397
"35",120.480003,120.709999,119.18,119.18,990000,116.859703
"36",119.230003,119.980003,118.550003,119.209999,1184200,116.889118
"37",118.330002,118.870003,116.449997,116.769997,2168100,114.49662
"38",116.419998,118.080002,116.419998,117.379997,1540200,115.094744
"39",117.379997,117.599998,115.910004,117.230003,1814900,114.947671
"40",117,118.5,116.160004,116.349998,1914300,114.084799
"41",115.559998,115.989998,114.599998,114.75,1826600,112.51595
"42",114.739998,116.099998,114.099998,114.389999,1566300,112.162958
"43",114.599998,117.290001,114.599998,117.160004,1873500,114.879034
"44",117.860001,118.510002,117.419998,117.82,1139000,115.526181
"45",117.720001,118.599998,116.860001,117.220001,936800,114.937863
"46",117.849998,119.300003,117.639999,119.120003,921100,116.800874
"47",119.349998,119.93,119.050003,119.120003,966000,116.800874
"48",119.550003,120,118.550003,119.339996,1879600,117.016585
"49",120.199997,121.489998,120.169998,121.18,1079400,118.820766
"50",121.400002,121.980003,121.300003,121.809998,1054800,119.438498
"51",121.650002,123.75,121.489998,123.480003,1220800,121.07599
"52",123.470001,124.25,123.129997,123.68,1254700,121.272094
"53",123.669998,124.379997,123.120003,123.849998,1121600,121.438782
"54",124.190002,124.849998,123.629997,124.419998,1167900,121.997685
"55",124.660004,124.889999,124.260002,124.400002,760300,121.978077
"56",124.599998,124.760002,123.68,123.989998,878500,121.576056
"57",123.699997,123.790001,122.940002,123.389999,1083900,120.987739
"58",123.050003,123.599998,122.639999,123.25,1140600,120.850465
"59",123.349998,123.839996,122.540001,122.660004,1711300,120.271955
"60",123.550003,124.980003,123.470001,124.93,2142800,122.497758
"61",124.949997,126.220001,124.510002,124.699997,1493000,122.272232
"62",124.730003,125.5,123.559998,125.449997,1459800,123.007631
"63",125.260002,126.449997,125.040001,125.769997,1479400,123.3214
"64",125.769997,127.019997,125.720001,126.260002,1607800,123.801866
"65",126.129997,127.690002,126.029999,127.419998,1203000,124.939278
"66",127.089996,127.199997,126.339996,126.620003,1241800,124.154858
"67",126.610001,126.690002,125.800003,126.400002,1027200,123.93914
"68",126.339996,127.129997,125.779999,126.849998,1099300,124.380376
"69",126.599998,128.339996,126.18,127.75,1253000,125.262855
"70",128,128.899994,127.330002,128.240005,985100,125.743321
"71",128.600006,129.429993,128.559998,129.279999,1122600,126.763067
"72",130,130.169998,129.009995,129.449997,2467400,126.929755
"73",129.270004,129.380005,127.889999,128.020004,1155900,125.527603
"74",127.620003,128.029999,125.879997,125.970001,1603700,123.517511
"75",126.139999,127.199997,125.900002,126.980003,1289300,124.507849
"76",126.870003,127,124.699997,125.010002,1431100,122.576202
"77",125.470001,127.949997,125.239998,127.699997,1569300,125.213826
"78",126.800003,128.479996,126.589996,127.489998,1303600,125.007915
"79",127.5,128.389999,126.889999,127.089996,1820500,124.615701
"80",126.169998,126.220001,124.110001,124.290001,1929300,121.870218
"81",123.080002,123.650002,120.559998,121.800003,5747200,119.428698
"82",122.620003,123.790001,122.43,123.540001,2679800,121.13482
"83",124.160004,124.919998,122.389999,123.110001,1493700,120.713191
"84",122.800003,122.949997,120.660004,120.690002,1783700,118.340308
"85",120.269997,123.32,119.540001,123.150002,1767100,121.375936
"86",123.190002,123.360001,120.959999,121.5,2090900,119.749704
"87",121.669998,122.449997,120.550003,121.220001,2437300,119.473739
"88",122.190002,123.089996,118.160004,118.269997,2319600,116.566231
"89",118.529999,120.150002,118.129997,118.610001,2469000,116.901337
"90",117.599998,118.669998,114.730003,117.980003,2292700,116.280416
"91",115.989998,118.639999,115.629997,117.849998,2157100,116.152284
"92",119.010002,121.5,119.010002,120.870003,1929900,119.128782
"93",120.510002,121.349998,120.279999,121.300003,1114000,119.552588
"94",121.190002,124.190002,121.190002,123.889999,1781000,122.105274
"95",127.18,128.220001,125.589996,126.309998,2620900,124.49041
"96",128.589996,131.440002,128.470001,130.339996,2192400,128.462354
"97",130.339996,132.539993,129.860001,132.5,1407800,130.591241
"98",132.330002,133.289993,131.839996,133.089996,1988500,131.172738
"99",133.800003,136.600006,133.740005,136.600006,2041100,134.632184
