"","DVA.Open","DVA.High","DVA.Low","DVA.Close","DVA.Volume","DVA.Adjusted"
"1",71.709999,71.849998,71.290001,71.690002,604800,71.690002
"2",71.230003,71.470001,70.730003,71.080002,648500,71.080002
"3",71.129997,71.209999,70.660004,70.940002,502700,70.940002
"4",70.879997,70.879997,70.419998,70.790001,474000,70.790001
"5",70.699997,70.940002,70.279999,70.769997,1063900,70.769997
"6",70.550003,70.779999,70.010002,70.18,972200,70.18
"7",70.139999,70.510002,69.830002,70.419998,865600,70.419998
"8",70.489998,71.720001,70.300003,71.580002,1051100,71.580002
"9",71.800003,71.940002,71.129997,71.830002,1014600,71.830002
"10",71.68,71.68,71.260002,71.529999,481900,71.529999
"11",71.550003,71.849998,71.120003,71.389999,712900,71.389999
"12",71.339996,72.050003,71.110001,71.860001,546000,71.860001
"13",71.739998,71.760002,71,71.610001,524200,71.610001
"14",71.480003,73.400002,71.209999,72.949997,3610300,72.949997
"15",73.25,73.610001,72,72.32,1138600,72.32
"16",72.669998,73.300003,72.389999,73.160004,1223200,73.160004
"17",73.080002,73.650002,72.629997,73.599998,1002300,73.599998
"18",73.650002,73.940002,73,73.32,585900,73.32
"19",73.150002,73.830002,73.019997,73.279999,664600,73.279999
"20",73.199997,73.220001,72.620003,72.809998,904300,72.809998
"21",72.989998,73.260002,72.709999,73.220001,560000,73.220001
"22",72.760002,73.169998,72.610001,73.040001,990600,73.040001
"23",73.019997,73.269997,72.739998,73.080002,442600,73.080002
"24",73.410004,73.760002,73.300003,73.57,630600,73.57
"25",73.419998,74,73.089996,73.260002,780400,73.260002
"26",73.410004,74,73.300003,73.82,612900,73.82
"27",73.660004,74.839996,73.32,73.400002,744300,73.400002
"28",73.470001,73.959999,73.07,73.849998,519000,73.849998
"29",72.989998,72.989998,70.550003,71.010002,3017200,71.010002
"30",71.029999,71.779999,70.910004,71.669998,1198100,71.669998
"31",71.870003,71.870003,71.230003,71.669998,595000,71.669998
"32",71.839996,72.25,71.68,71.889999,1004800,71.889999
"33",71.760002,72.059998,71.099998,71.459999,596200,71.459999
"34",71.360001,71.830002,70.970001,71.75,707900,71.75
"35",71.739998,71.980003,71.269997,71.330002,693100,71.330002
"36",71.480003,71.730003,70.970001,71.32,727700,71.32
"37",71.32,71.589996,70.410004,70.440002,1992500,70.440002
"38",71.360001,72.239998,70.489998,71.379997,1305300,71.379997
"39",71.349998,72.629997,70.849998,72.150002,1381700,72.150002
"40",71.970001,72.139999,71.199997,71.510002,1088700,71.510002
"41",71.239998,72.139999,71.099998,71.519997,473100,71.519997
"42",71.669998,71.760002,71.309998,71.489998,917300,71.489998
"43",71.480003,71.870003,71.32,71.849998,673000,71.849998
"44",72.139999,72.389999,71.760002,71.790001,312100,71.790001
"45",71.809998,72.410004,71.650002,72.040001,608400,72.040001
"46",72.220001,72.449997,71.93,72.419998,588700,72.419998
"47",72.5,73.190002,72.400002,73.099998,498900,73.099998
"48",72.400002,72.639999,71.43,72.110001,1538200,72.110001
"49",72.389999,73.529999,72.190002,73.43,1192100,73.43
"50",73.599998,73.940002,73.449997,73.800003,806200,73.800003
"51",73.489998,73.989998,73,73.720001,705000,73.720001
"52",73.839996,74.290001,73.75,73.830002,590800,73.830002
"53",73.93,74.080002,73.529999,73.650002,572800,73.650002
"54",73.839996,74.019997,73.639999,73.900002,475900,73.900002
"55",74,74.489998,73.849998,74.43,515900,74.43
"56",74.370003,74.82,74.160004,74.57,477600,74.57
"57",74.339996,74.669998,74.07,74.419998,510200,74.419998
"58",74.589996,74.989998,74.260002,74.68,544900,74.68
"59",74.949997,75.269997,74.489998,74.580002,763900,74.580002
"60",74.900002,75.089996,74.459999,74.550003,559200,74.550003
"61",74.739998,74.940002,73.769997,74.120003,695600,74.120003
"62",74.099998,74.330002,73.599998,74.300003,560100,74.300003
"63",74.25,74.519997,73.940002,74.43,648200,74.43
"64",74.5,74.900002,74.169998,74.290001,561400,74.290001
"65",74.510002,74.510002,73.940002,74.209999,468500,74.209999
"66",74.010002,74.389999,73.720001,74.309998,552400,74.309998
"67",74.400002,74.5,73.779999,74.07,549700,74.07
"68",74.139999,74.160004,73.730003,73.93,421800,73.93
"69",73.669998,74.309998,73.449997,74.239998,1187900,74.239998
"70",73.889999,74.059998,72.839996,73.93,1595300,73.93
"71",74.010002,74.849998,74.010002,74.709999,965800,74.709999
"72",75.080002,75.080002,74.639999,74.879997,1884500,74.879997
"73",74.720001,75.129997,74.260002,74.760002,648200,74.760002
"74",74.550003,74.589996,73.879997,74.010002,537200,74.010002
"75",74.010002,74.970001,73.669998,74.940002,597200,74.940002
"76",74.860001,74.860001,73.529999,73.769997,752200,73.769997
"77",73.860001,73.949997,73.279999,73.400002,842300,73.400002
"78",73,73.699997,72.779999,73.480003,732500,73.480003
"79",73.419998,73.82,73.059998,73.139999,1016800,73.139999
"80",73.300003,73.610001,72.480003,72.779999,914300,72.779999
"81",72.989998,73.849998,72.809998,73.739998,774500,73.739998
"82",74.040001,74.529999,73.75,74.449997,983800,74.449997
"83",74.480003,74.690002,73.550003,73.809998,648400,73.809998
"84",73.379997,73.82,73.050003,73.129997,776700,73.129997
"85",73.059998,75.120003,72.660004,75.010002,882100,75.010002
"86",75.040001,75.389999,73.989998,73.989998,1301400,73.989998
"87",74.050003,74.739998,73.419998,73.419998,657400,73.419998
