"","JCI.Open","JCI.High","JCI.Low","JCI.Close","JCI.Volume","JCI.Adjusted"
"1",50,50.049999,49.77,49.950001,2291300,48.963783
"2",49.639999,49.82,49.549999,49.740002,1725100,48.75793
"3",49.68,49.68,49.299999,49.419998,3800900,48.444245
"4",49.380001,49.77,49.290001,49.639999,2248000,48.659902
"5",49.57,50,49.48,49.82,2790100,48.836349
"6",49.610001,49.990002,49.360001,49.84,1946200,48.855954
"7",49.84,50.290001,49.529999,50.27,2675700,49.277465
"8",50.209999,50.700001,49.889999,49.93,3271500,48.944177
"9",50.189999,50.709999,50.07,50.610001,3203900,49.610752
"10",50.540001,50.66,50.200001,50.290001,1910800,49.29707
"11",49.950001,50.34,49.740002,49.810001,3273900,48.826548
"12",49.700001,50.16,49.59,50.060001,2621200,49.071612
"13",50.16,50.16,49.290001,50.029999,1677200,49.042202
"14",50.02,50.290001,49.689999,50.07,5410800,49.081413
"15",50.150002,50.310001,49.779999,49.93,4347300,48.944177
"16",50.130001,51.150002,50.130001,50.98,4479100,49.973445
"17",50.880001,51.110001,50.810001,50.919998,1789300,49.914629
"18",50.970001,51.459999,50.799999,51.43,1210900,50.414561
"19",51.07,51.200001,50.740002,50.950001,1649800,49.944039
"20",50.700001,50.860001,50.209999,50.43,2560900,49.434305
"21",50.650002,50.900002,50.450001,50.73,2896100,49.728381
"22",50.040001,50.75,49.830002,50.41,2631300,49.4147
"23",50.310001,50.77,50.299999,50.73,1780600,49.728381
"24",51.259998,51.599998,51.25,51.41,2796100,50.394956
"25",51.310001,51.490002,50.75,50.93,4838700,49.924433
"26",51.16,51.18,50.330002,50.389999,2546700,49.395094
"27",50.200001,50.470001,49.799999,49.880001,3949600,48.895165
"28",49.209999,49.880001,48.25,49.16,6549200,48.18938
"29",48.810001,49.959999,48.740002,49.650002,3942000,48.669707
"30",49.830002,50.23,49.169998,49.23,2725500,48.257998
"31",49.369999,49.48,48.709999,48.91,3147200,47.944316
"32",49.009998,49.259998,48.360001,48.610001,4337700,47.65024
"33",48.330002,48.77,48.279999,48.59,2016200,47.630634
"34",48.509998,48.66,48.07,48.650002,2554300,47.689451
"35",48.66,48.880001,48.439999,48.439999,3256900,47.483595
"36",48.650002,48.790001,47.880001,48.209999,3273100,47.258136
"37",47.84,47.970001,47.080002,47.240002,3012200,46.30729
"38",46.880001,47.290001,46.290001,46.669998,5405700,45.748541
"39",46.700001,47.880001,46.700001,47.759998,4159100,46.81702
"40",47.439999,47.919998,47.27,47.450001,3629000,46.513143
"41",47.169998,47.889999,47.099998,47.540001,2841100,46.601366
"42",47.93,47.93,47.369999,47.560001,4076800,46.620972
"43",47.5,48.32,47.48,48.279999,3090300,47.326754
"44",48.450001,48.669998,48.209999,48.240002,3587300,47.287546
"45",48.27,48.540001,47.689999,47.970001,3859300,47.022877
"46",48.240002,48.279999,47.490002,47.59,3314900,46.650379
"47",47.799999,47.830002,47.619999,47.66,2399200,46.718996
"48",47.900002,47.970001,46.990002,47.330002,3461300,46.395514
"49",47.77,48.25,47.689999,48.139999,2812300,47.189519
"50",48.220001,48.700001,48.150002,48.619999,2392000,47.660041
"51",48.43,48.959999,48.400002,48.810001,2187700,47.846292
"52",49,49.23,48.48,48.619999,2505500,47.660041
"53",48.470001,48.57,47.919998,48.450001,2520900,47.493399
"54",48.700001,49.040001,48.610001,48.889999,1640100,47.92471
"55",49.029999,49.139999,48.639999,48.650002,2313600,47.689451
"56",48.650002,48.779999,48.310001,48.490002,1922000,47.53261
"57",48.279999,48.689999,48.060001,48.5,1654400,47.542411
"58",48.720001,48.830002,48.389999,48.810001,1440400,47.846292
