"","BXP.Open","BXP.High","BXP.Low","BXP.Close","BXP.Volume","BXP.Adjusted"
"1",119.400002,119.910004,117.709999,117.949997,905100,111.083212
"2",117.879997,118.139999,116.769997,117,938200,110.188522
"3",113.620003,117.040001,113.620003,116.25,1363700,109.482185
"4",116.620003,117.25,115.720001,116.809998,1082000,110.009581
"5",116.980003,117.470001,115.639999,116,878800,109.246739
"6",115.589996,115.639999,114.400002,114.989998,1095900,108.295537
"7",115.230003,117.190002,114.660004,116.949997,845700,110.14143
"8",117.190002,118.07,116.639999,118.029999,856300,111.158556
"9",118.150002,118.559998,117.150002,118.389999,1021400,111.497598
"10",118.239998,118.879997,117.900002,118.25,698000,111.365749
"11",118.019997,118.739998,117.540001,118.739998,979900,111.827221
"12",118.32,118.879997,117.830002,118.32,798600,111.431674
"13",117.449997,117.690002,116.860001,117.309998,656300,111.09076
"14",117.379997,118.529999,116.980003,118.529999,845800,112.246082
"15",118.230003,118.589996,117.330002,118.18,694800,111.914639
"16",118.349998,119.120003,117.639999,118.519997,767100,112.23661
"17",118.169998,118.610001,117.589996,117.940002,630400,111.687365
"18",117.809998,117.989998,116.970001,117.379997,728200,111.157048
"19",117.529999,118.800003,117.110001,118.559998,1041200,112.274491
"20",118.529999,118.900002,118.190002,118.599998,526300,112.312371
"21",118.690002,118.900002,117.739998,118.629997,474900,112.340779
"22",117.93,120.190002,117.93,119.690002,736800,113.344588
"23",119.690002,119.690002,118.910004,119.419998,458500,113.088898
"24",119.519997,120.440002,119.190002,120.370003,660700,113.988538
"25",120.389999,120.720001,119.650002,120.449997,415000,114.064291
"26",120.550003,121.169998,120.239998,120.790001,418100,114.386269
"27",120.699997,121.110001,120.190002,120.32,560000,113.941185
"28",120.699997,121.839996,120.449997,121.690002,543900,115.238557
"29",121.199997,121.599998,120.879997,121,473800,114.585135
"30",121.550003,121.900002,121.349998,121.68,659900,115.229085
"31",121.849998,121.849998,121.059998,121.209999,531400,114.784001
"32",121.540001,121.790001,120.720001,121.290001,601400,114.859762
"33",120.800003,121.25,119.790001,120.080002,655200,113.713911
"34",120.470001,122,120.370003,121.449997,604500,115.011275
"35",121.260002,121.349998,119.879997,120.510002,568700,114.121115
"36",120.349998,121.910004,120.25,120.980003,700400,114.566199
"37",120.709999,121.290001,119.379997,119.449997,715100,113.117306
"38",119.519997,120.07,118.720001,118.779999,518900,112.482828
"39",118.82,120.239998,118.080002,119.82,542600,113.467693
