"","MYL.Open","MYL.High","MYL.Low","MYL.Close","MYL.Volume","MYL.Adjusted"
"1",49.220001,49.369999,48.419998,49.220001,2304100,49.220001
"2",49.32,49.880001,48.810001,49.68,3246000,49.68
"3",49.639999,50.349998,48.5,49.639999,2183600,49.639999
"4",49.580002,50.57,49.259998,50.200001,2914600,50.200001
"5",50.060001,50.759998,50.02,50.400002,3026600,50.400002
"6",50.110001,51.220001,50.099998,50.700001,2061100,50.700001
"7",50.740002,50.849998,50.360001,50.619999,2557800,50.619999
"8",50.950001,50.950001,50.18,50.41,2033000,50.41
"9",50.73,51.23,50.119999,51.119999,4911600,51.119999
"10",51,51.68,50.73,50.779999,2416900,50.779999
"11",50.880001,51.810001,50.57,51.580002,3354500,51.580002
"12",51.360001,52.049999,51.360001,51.630001,2498600,51.630001
"13",53.560001,53.560001,50.900002,51.869999,2119200,51.869999
"14",51.75,52.119999,51.049999,51.509998,3530000,51.509998
"15",51.91,52,50.810001,51.560001,3942500,51.560001
"16",51.860001,53.049999,51.669998,51.889999,3454800,51.889999
"17",52.130001,52.470001,50.040001,52.139999,2926000,52.139999
"18",52.34,52.34,51.220001,51.790001,1785200,51.790001
"19",51.669998,51.669998,50.18,50.560001,4339200,50.560001
"20",50.529999,50.639999,49.779999,50.27,3683000,50.27
"21",50.650002,50.650002,49.689999,50.060001,2644500,50.060001
"22",49.700001,50.91,49.310001,50.709999,2754100,50.709999
"23",50.619999,50.799999,49.950001,50.200001,2647500,50.200001
"24",52.5,53,50.34,51.240002,20024200,51.240002
"25",51.139999,52.900002,51.060001,52.169998,10598400,52.169998
"26",51.389999,52.34,51.27,51.630001,7198200,51.630001
"27",51.279999,51.75,51,51.43,4853600,51.43
"28",51.599998,52.029999,51.009998,51.900002,3660100,51.900002
"29",51.73,51.84,51.119999,51.389999,2852200,51.389999
"30",51.68,52.34,51.580002,52.060001,3493000,52.060001
"31",52.360001,52.93,52.279999,52.34,5775200,52.34
"32",52.639999,52.900002,51.880001,51.900002,3013500,51.900002
"33",51.290001,51.880001,51.099998,51.740002,3937900,51.740002
"34",51.619999,52.48,50.450001,50.529999,5227800,50.529999
"35",50.619999,51,49.970001,50.400002,8784600,50.400002
"36",50.77,50.959999,49.889999,50.549999,4335600,50.549999
"37",50.259998,50.360001,48.950001,49.369999,4390200,49.369999
"38",49.32,49.790001,48.68,49.23,3851600,49.23
"39",49.52,49.52,48.830002,49.099998,2755200,49.099998
"40",48.709999,48.93,48.02,48.470001,9437100,48.470001
"41",47.830002,48.040001,47.529999,47.919998,6777800,47.919998
"42",47,47.82,45.360001,46.490002,11594500,46.490002
"43",46.110001,47.34,45.23,45.849998,8791200,45.849998
"44",46.029999,46.150002,45.209999,45.360001,4981700,45.360001
"45",45.349998,45.759998,44.849998,44.970001,6342800,44.970001
"46",44.970001,45.549999,44.799999,45.389999,5425600,45.389999
"47",45.419998,46.419998,45.41,46.150002,4486800,46.150002
"48",46.32,46.84,45.959999,46.450001,6054100,46.450001
"49",46.880001,46.98,46.330002,46.48,3923400,46.48
"50",46.509998,47.07,46.139999,47.040001,4564400,47.040001
"51",47.099998,48.849998,46.860001,48.59,7589400,48.59
"52",48.52,48.740002,47.66,47.75,3786600,47.75
"53",48.150002,49,47.869999,48.209999,2788500,48.209999
"54",48.490002,48.82,48.330002,48.509998,2505500,48.509998
"55",48.630001,48.830002,48.27,48.299999,2404100,48.299999
"56",48.48,48.630001,47.900002,48.080002,3030100,48.080002
"57",48.099998,48.16,47.560001,48.130001,1985700,48.130001
"58",48.43,48.630001,48.200001,48.599998,3027200,48.599998
"59",48.77,49,48.459999,48.68,2358400,48.68
"60",48.73,48.990002,47.650002,47.810001,3833100,47.810001
"61",48.09,48.119999,45.66,46.939999,4654200,46.939999
"62",46.849998,47.220001,46.27,46.98,6312900,46.98
"63",46.790001,48.580002,46.790001,47.959999,6434700,47.959999
"64",48.09,48.130001,47.380001,47.470001,4376100,47.470001
"65",47.630001,47.790001,47.200001,47.439999,3614100,47.439999
"66",47.389999,47.900002,46.799999,47.790001,3472300,47.790001
"67",47.939999,47.939999,46.990002,47.060001,2112600,47.060001
"68",47.259998,47.630001,46.48,46.75,2279800,46.75
"69",46.700001,48.009998,46.560001,47.959999,3260700,47.959999
"70",48.110001,48.279999,47.57,48,2110000,48
"71",48.299999,48.959999,48.009998,48.43,3152400,48.43
"72",48.669998,48.970001,47.310001,47.360001,6686600,47.360001
"73",47.400002,47.450001,46.290001,46.529999,2913900,46.529999
"74",45.52,46.900002,44.810001,46.610001,7161600,46.610001
"75",46.779999,46.970001,46.150002,46.439999,4507100,46.439999
