"","KMX.Open","KMX.High","KMX.Low","KMX.Close","KMX.Volume","KMX.Adjusted"
"1",46.209999,46.389999,46,46.110001,853700,46.110001
"2",45.98,46.080002,45.630001,45.720001,945500,45.720001
"3",45.529999,45.560001,43.860001,43.869999,2470200,43.869999
"4",43.869999,44.279999,43.799999,44.189999,1183000,44.189999
"5",44.23,44.509998,43.889999,44.299999,1709800,44.299999
"6",44.240002,44.639999,44.009998,44.290001,2965100,44.290001
"7",44.23,45,44.060001,44.950001,1184000,44.950001
"8",45.25,45.32,44.759998,45.279999,2457200,45.279999
"9",51.900002,53.669998,50.720001,52.75,12146300,52.75
"10",51.630001,52.32,50.68,51.91,4569200,51.91
"11",51,51.419998,49.889999,50.07,4010600,50.07
"12",50.02,50.290001,49.73,50.009998,2185600,50.009998
"13",50.299999,51.619999,50.220001,51.57,2100200,51.57
"14",51.290001,52.330002,51.209999,51.880001,2331700,51.880001
"15",51.599998,52.16,51.529999,52.009998,1477300,52.009998
"16",52.09,52.419998,51.759998,52.16,1688500,52.16
"17",52.049999,52.740002,52.049999,52.599998,1194700,52.599998
"18",52.700001,53.150002,52.419998,52.950001,822300,52.950001
"19",52.900002,52.900002,52.380001,52.549999,1004000,52.549999
"20",52.32,52.5,51.810001,52.169998,1466300,52.169998
"21",52.299999,53.700001,52.220001,53.439999,2567500,53.439999
"22",52.52,52.599998,51.939999,52.43,2128300,52.43
"23",52.490002,52.73,51.709999,52.189999,2045700,52.189999
"24",52.630001,52.73,52.290001,52.459999,1056700,52.459999
"25",52.23,52.709999,52,52.450001,1372100,52.450001
"26",52.57,52.939999,52.380001,52.59,1087400,52.59
"27",52.209999,52.450001,51.029999,51.099998,1462300,51.099998
"28",51.529999,52.189999,51.439999,52.150002,800900,52.150002
"29",51.669998,51.970001,51.290001,51.66,963900,51.66
"30",51.82,51.82,51.169998,51.32,895400,51.32
"31",51.41,51.41,50.740002,50.84,1544600,50.84
"32",51.029999,51.330002,50.77,50.919998,1134000,50.919998
"33",50.68,50.720001,50.18,50.419998,1225600,50.419998
"34",50.509998,50.560001,49.810001,49.939999,1172500,49.939999
"35",50.060001,50.290001,49.43,49.43,1237800,49.43
"36",49.639999,50.16,49.560001,50.060001,1492700,50.060001
"37",49.509998,49.970001,48.639999,48.810001,1185600,48.810001
"38",48.990002,50.950001,48.990002,49.959999,2033600,49.959999
"39",49.959999,50.849998,49.849998,50.68,1625400,50.68
"40",50.240002,50.41,49.490002,49.68,1266600,49.68
"41",49.459999,50.450001,49.450001,50.029999,732200,50.029999
"42",50.189999,50.32,49.279999,49.389999,698200,49.389999
"43",49.48,50.630001,49.48,50.57,749100,50.57
"44",50.619999,50.939999,50.34,50.599998,618800,50.599998
"45",50.43,50.700001,49.889999,50,559000,50
"46",49.43,50.040001,49.389999,49.810001,748800,49.810001
"47",49.950001,50.84,49.91,50.700001,948000,50.700001
"48",50.860001,50.93,49.900002,50.400002,833000,50.400002
"49",50.599998,51.200001,50.59,50.919998,672600,50.919998
"50",50.990002,51.290001,50.869999,50.959999,659900,50.959999
"51",50.619999,51.369999,50.509998,51.25,790100,51.25
"52",51.389999,51.450001,50.790001,51.080002,913700,51.080002
"53",51.09,51.360001,50.630001,51.259998,1074100,51.259998
"54",51.540001,51.77,51.080002,51.57,828300,51.57
"55",51.650002,52,51.549999,51.860001,949600,51.860001
"56",51.970001,52.110001,51.77,52,678000,52
"57",51.09,52.169998,50.939999,51.959999,610200,51.959999
"58",51.98,52.509998,51.880001,52.400002,839700,52.400002
"59",52.400002,52.950001,51.779999,51.880001,1350400,51.880001
"60",52.27,52.919998,51.950001,52.799999,1558100,52.799999
"61",52.990002,53.59,52.900002,53.34,1683300,53.34
"62",53.279999,53.77,53.040001,53.709999,1361300,53.709999
"63",53.650002,54.279999,52.810001,52.84,1239900,52.84
"64",52.599998,52.720001,51.939999,52.240002,1022100,52.240002
"65",52.32,52.369999,51.720001,52.099998,943900,52.099998
"66",51.759998,52.66,51.759998,52.540001,1482000,52.540001
"67",52.580002,53.23,52.389999,52.529999,1343600,52.529999
"68",52.25,52.759998,51.950001,52.049999,1569900,52.049999
"69",51.77,52.529999,51.490002,52.130001,1472900,52.130001
"70",52.77,53.93,52.490002,53.349998,2162800,53.349998
"71",53.57,53.650002,53.200001,53.52,1397000,53.52
"72",53.869999,54.009998,53.25,53.57,1872700,53.57
"73",53.509998,53.830002,52.720001,52.810001,2687000,52.810001
"74",49.139999,49.700001,47.049999,47.799999,10021900,47.799999
"75",47.77,48.790001,47.77,48.48,3258100,48.48
"76",48.209999,48.310001,47.060001,47.52,2645300,47.52
"77",47.66,47.84,47.119999,47.5,1457700,47.5
"78",47.110001,47.5,46.84,47.110001,1504500,47.110001
"79",47.049999,47.049999,46.439999,46.450001,2295800,46.450001
"80",46.389999,46.419998,45.240002,45.310001,2683500,45.310001
"81",46.130001,46.200001,45.259998,46.049999,2651400,46.049999
"82",46.330002,47.259998,46.259998,46.830002,2458400,46.830002
"83",46.889999,47.41,46.759998,46.900002,1845800,46.900002
"84",46.759998,47.259998,46.439999,46.439999,2477200,46.439999
"85",46.389999,47.490002,46.16,47.419998,1884400,47.419998
"86",47.130001,47.73,46.290001,46.299999,2100400,46.299999
"87",46.25,46.419998,45.400002,45.599998,1919700,45.599998
"88",45.27,45.279999,43.82,43.900002,4993800,43.900002
"89",44.119999,45.220001,43.869999,44.580002,2719900,44.580002
"90",43.84,45.32,43.27,45.060001,2641600,45.060001
"91",44.509998,46.439999,44.34,45.880001,3308300,45.880001
"92",46.34,47.43,46.23,46.709999,2546100,46.709999
"93",46.580002,47.5,46.580002,47.080002,1643800,47.080002
"94",47.380001,48.91,47.310001,48.799999,2689000,48.799999
"95",48.709999,49.939999,48.27,48.330002,2904800,48.330002
"96",49.580002,53.310001,49.580002,52.73,6202900,52.73
"97",52.709999,53.91,52.32,53.580002,2161500,53.580002
"98",53.560001,54.970001,53.560001,54.77,2466200,54.77
"99",55,56.450001,54.84,55.740002,3067400,55.740002
"100",55.889999,55.889999,54.32,54.959999,2808500,54.959999
"101",54.889999,55.93,54.810001,55.759998,1576200,55.759998
"102",56.639999,56.869999,55.650002,55.91,2376700,55.91
"103",55.880001,56.869999,55.880001,56.32,1709400,56.32
"104",55.91,56.07,54.919998,55.43,1648600,55.43
"105",55.900002,56.68,55.459999,56.57,1340600,56.57
