"","OMC.Open","OMC.High","OMC.Low","OMC.Close","OMC.Volume","OMC.Adjusted"
"1",71.339996,71.489998,70.879997,71.099998,1244200,68.729869
"2",70.199997,70.519997,70.080002,70.410004,1768800,68.544908
"3",70.589996,70.650002,69.910004,70.139999,1966700,68.282055
"4",70.440002,70.580002,69.75,70.230003,959300,68.369675
"5",70.269997,70.360001,69.379997,70.059998,1465600,68.204173
"6",70.120003,70.559998,69.93,70.370003,2123900,68.505966
"7",70.260002,70.489998,69.650002,70.400002,1502200,68.53517
"8",70.389999,71.190002,70.269997,71.059998,1227200,69.177684
"9",71.410004,71.610001,70.980003,71.599998,1782500,69.70338
"10",71.269997,71.529999,70.989998,71.110001,1511800,69.226362
"11",70.830002,71.57,70.82,71.360001,1210600,69.46974
"12",71.029999,71.610001,70.82,71.540001,1051000,69.644972
"13",71.57,71.610001,70.830002,71.349998,962200,69.460003
"14",71.32,71.790001,71.32,71.75,1163700,69.849409
"15",71.620003,71.849998,71.059998,71.220001,1662000,69.333449
"16",71.5,72.040001,71.470001,71.809998,1028300,69.907817
"17",71.589996,71.870003,71.269997,71.389999,1014800,69.498944
"18",71.68,73.669998,71.540001,73.379997,2027700,71.436229
"19",73.300003,73.300003,72.57,72.650002,1245700,70.72557
"20",72.459999,72.580002,71.57,71.809998,985700,69.907817
"21",71.860001,72.129997,71.470001,72.050003,1376100,70.141465
"22",71.300003,71.5,70.959999,71.360001,966600,69.46974
"23",71.43,71.449997,71.010002,71.269997,1246400,69.38212
"24",71.519997,71.660004,70.980003,71.150002,1911000,69.265304
"25",71.43,71.540001,70.540001,71.019997,2308000,69.138742
"26",71.389999,71.68,70.860001,71.360001,2101600,69.46974
"27",71.029999,71.599998,70.900002,71.07,1828700,69.187421
"28",71.389999,71.639999,71.059998,71.529999,1233200,69.635235
"29",71.459999,71.669998,70.989998,71.330002,1561800,69.440536
"30",71.860001,72.589996,70.949997,72.449997,3092500,70.530863
"31",72.400002,73,72.019997,72.260002,1860800,70.345901
"32",72.5,73.040001,72.160004,72.860001,1519500,70.930006
"33",72.900002,74.139999,72.870003,74.120003,2683800,72.156632
"34",73.169998,73.169998,72.400002,72.959999,2940300,71.027356
"35",72.93,73.040001,72.010002,72.059998,1996900,70.151195
"36",72.669998,72.779999,71.580002,71.720001,1990800,69.820204
"37",71.720001,71.75,69.800003,69.989998,2320700,68.136027
"38",69.769997,70.889999,69.550003,70.550003,1725300,68.681198
"39",70.550003,71,70.120003,70.830002,1098800,68.95378
"40",70.68,70.849998,70.080002,70.43,1127800,68.564374
"41",70,70.519997,69.690002,70.300003,1385700,68.437821
"42",70.589996,70.889999,70.029999,70.099998,1354500,68.243114
"43",70.040001,71.029999,69.790001,70.970001,1305100,69.090071
"44",71.050003,71.910004,71.050003,71.349998,865300,69.460003
"45",71.269997,71.470001,71,71.099998,944200,69.216625
