"","DNR.Open","DNR.High","DNR.Low","DNR.Close","DNR.Volume","DNR.Adjusted"
"1",17.200001,17.280001,17.1,17.139999,2886100,16.702764
"2",17.139999,17.389999,17.059999,17.33,2867100,16.887918
"3",17.42,17.889999,17.4,17.66,6171600,17.209499
"4",17.66,17.700001,17.530001,17.68,2667900,17.22899
"5",17.75,18.02,17.709999,17.870001,4921600,17.414143
"6",17.82,17.940001,17.59,17.9,3020200,17.443377
"7",17.870001,18.129999,17.790001,18.120001,4031900,17.657766
"8",18.120001,18.25,17.959999,18.25,4458400,17.784449
"9",18.299999,18.42,18.290001,18.34,4582800,17.872153
"10",18.370001,18.59,18.33,18.41,3228600,17.940367
"11",18.4,18.5,18.030001,18.07,4765100,17.60904
"12",18.08,18.459999,18.08,18.440001,3729900,17.969602
"13",18.41,18.51,18.24,18.49,6088400,18.018326
"14",18.5,18.58,18.41,18.5,4359000,18.028071
"15",18.5,18.52,18.360001,18.459999,2904600,17.989091
"16",18.459999,18.540001,18.26,18.309999,3725600,17.842918
"17",18.34,18.42,18.1,18.15,4315600,17.686999
"18",18.18,18.27,18.07,18.25,1801400,17.784449
"19",18.15,18.16,17.719999,17.75,4242600,17.297204
"20",17.74,17.83,17.639999,17.76,4347600,17.306949
"21",17.83,17.879999,17.719999,17.84,3308600,17.384908
"22",17.700001,17.809999,17.48,17.77,4411800,17.316694
"23",17.75,17.77,17.440001,17.51,3412600,17.063326
"24",17.58,17.67,17.459999,17.610001,3765500,17.160776
"25",17.549999,17.73,17.370001,17.43,4287700,16.985367
"26",17.5,17.870001,17.469999,17.870001,3161700,17.414143
"27",17.85,17.99,17.459999,17.49,2545900,17.043836
"28",17.52,17.59,17.440001,17.48,2652000,17.034091
"29",17.450001,17.459999,17.27,17.35,3491000,16.907408
"30",17.370001,17.58,17.280001,17.469999,3469600,17.024346
"31",17.559999,17.799999,17.440001,17.790001,2995700,17.336184
"32",17.82,18.07,17.82,17.889999,5033300,17.433632
"33",17.809999,17.809999,17.450001,17.49,3113600,17.043836
"34",17.469999,17.52,17.24,17.360001,2282600,16.917153
"35",17.309999,17.530001,17.27,17.459999,2441600,17.014601
"36",17.59,17.690001,17.25,17.290001,2299100,16.848939
"37",17.219999,17.290001,16.940001,16.950001,4232900,16.517612
"38",16.889999,17.049999,16.639999,16.879999,5143500,16.449396
"39",16.860001,17.309999,16.790001,17.23,3932400,16.790468
"40",17.129999,17.219999,16.700001,16.889999,5143200,16.459141
"41",16.59,17.059999,16.370001,16.66,8263600,16.235009
"42",16.639999,16.67,16.09,16.360001,6167400,15.942663
"43",16.41,16.58,16.309999,16.549999,3762100,16.127814
"44",16.629999,16.66,16.459999,16.48,2685900,16.0596
"45",16.440001,16.5,16.219999,16.26,2570000,15.845213
"46",16.290001,16.4,16.200001,16.360001,2901500,15.942663
"47",16.360001,16.389999,16.129999,16.190001,3248900,15.776999
"48",16.219999,16.459999,16.190001,16.440001,3081500,16.020622
"49",16.41,16.610001,16.379999,16.6,3198000,16.17654
"50",16.68,16.83,16.65,16.82,3248900,16.390927
"51",16.799999,16.85,16.620001,16.809999,2628300,16.381182
"52",16.790001,16.98,16.690001,16.92,3148000,16.488377
"53",16.76,16.879999,16.68,16.780001,2398800,16.413061
"54",16.83,17,16.76,16.92,1931300,16.549999
"55",17.030001,17.23,17.01,17.09,3835100,16.716281
"56",17.07,17.18,16.98,17.07,1917700,16.696718
"57",17.030001,17.16,16.969999,17.030001,2230400,16.657594
"58",17.110001,17.24,17.030001,17.219999,2093500,16.843438
"59",17.110001,17.15,16.639999,16.76,5081200,16.393498
"60",16.91,17,16.780001,16.84,3178300,16.471748
"61",16.82,16.98,16.440001,16.52,3620500,16.158746
"62",16.52,16.700001,16.51,16.700001,2299000,16.33481
"63",16.620001,16.620001,16.26,16.5,3471600,16.139183
"64",16.450001,16.65,16.16,16.200001,4519200,15.845744
"65",16.15,16.219999,15.91,16.190001,4283100,15.835963
"66",16.049999,16.139999,15.89,16.120001,5503800,15.767494
"67",16.16,16.200001,15.88,15.94,3439500,15.591429
"68",15.93,16.049999,15.74,15.93,3632700,15.581648
"69",15.9,16.27,15.89,16.1,3958400,15.747931
"70",16.16,16.26,15.96,16,3334400,15.650117
"71",15.87,16.16,15.68,15.7,4682700,15.356677
"72",15.8,15.8,15.64,15.66,5343900,15.317552
"73",15.57,15.57,15.11,15.14,4087600,14.808923
"74",15.17,15.39,15.09,15.2,5401300,14.867611
"75",15.15,15.43,14.95,15.27,4895400,14.936081
"76",15.26,15.29,15.01,15.21,5817300,14.877392
"77",15.18,15.47,15.07,15.38,4098300,15.043675
"78",15.17,15.37,15.02,15.33,4654400,14.994768
