"","NDAQ.Open","NDAQ.High","NDAQ.Low","NDAQ.Close","NDAQ.Volume","NDAQ.Adjusted"
"1",37.639999,37.689999,37.040001,37.139999,791700,36.448012
"2",36.889999,36.889999,36.419998,36.470001,1167900,35.935634
"3",36.540001,37.279999,36.240002,36.799999,1378600,36.260796
"4",36.75,37.049999,36.639999,36.73,1092600,36.191822
"5",36.740002,36.779999,36.349998,36.549999,1124100,36.014459
"6",36.509998,37.290001,36.490002,37.25,907700,36.704204
"7",37.299999,37.919998,37.150002,37.889999,1202400,37.334826
"8",37.869999,37.93,37.360001,37.529999,982100,36.9801
"9",37.549999,37.779999,37.41,37.779999,1291100,37.226437
"10",37.790001,39.240002,37.790001,38.869999,2542800,38.300466
"11",38.549999,38.68,37.650002,37.720001,1612600,37.167318
"12",37.66,38.470001,37.52,37.540001,1479200,36.989955
"13",37.419998,38.189999,37.310001,38.02,1476500,37.462922
"14",38,38.450001,37.869999,38.240002,1450000,37.6797
"15",38.119999,38.75,37.849998,38.619999,1583800,38.054129
"16",38.799999,39.470001,38.529999,39.330002,1934600,38.753729
"17",39.23,39.700001,39.02,39.650002,1527700,39.06904
"18",39.68,40,39.48,39.939999,945700,39.354788
"19",39.82,39.919998,39.470001,39.709999,1455000,39.128158
"20",39.619999,39.700001,38.82,38.919998,1342700,38.349733
"21",38.959999,39.200001,38.869999,39.119999,829200,38.546803
"22",38.720001,38.849998,38.310001,38.599998,1159200,38.034422
"23",38.540001,39.169998,38.41,39.110001,763600,38.536951
"24",39.619999,40.349998,39.529999,40.240002,1385900,39.650395
"25",40.27,40.459999,39.950001,40.029999,1621800,39.443469
"26",39.950001,40.360001,39.950001,40.299999,573600,39.709513
"27",40.16,40.73,40.139999,40.610001,914900,40.014973
"28",40.740002,41.639999,40.509998,40.990002,2459000,40.389406
"29",40.91,41.220001,40.599998,41.060001,1793500,40.45838
"30",41.099998,41.619999,41.060001,41.450001,1290000,40.842665
"31",41.419998,41.630001,41.139999,41.150002,1897100,40.547061
"32",41.34,42.580002,41.34,42.220001,2115100,41.601383
"33",42.18,42.5,42,42.360001,1437300,41.739331
"34",42.360001,42.91,42.189999,42.84,996500,42.212298
"35",42.700001,43.259998,42.700001,42.849998,1748400,42.222149
"36",43.049999,43.060001,42.610001,42.900002,1416800,42.27142
"37",42.580002,42.73,42.060001,42.189999,1221100,41.57182
"38",42.200001,42.369999,41.540001,41.970001,1489300,41.355046
"39",41.970001,42.389999,41.66,42.27,1163400,41.65065
"40",42.009998,42.310001,41.669998,41.68,1403500,41.069294
"41",41.66,42.16,41.610001,41.720001,1484600,41.108709
"42",41.880001,42.18,41.02,41.48,1215800,40.872224
"43",41.66,41.669998,41.18,41.630001,1022200,41.020028
"44",41.799999,42.099998,41.77,41.970001,752400,41.355046
"45",41.810001,42.119999,41.360001,41.580002,802000,40.970761
"46",40.91,42.139999,40.91,42.040001,858400,41.42402
"47",42.110001,42.290001,42,42.23,682900,41.611235
"48",42.32,42.41,41.709999,42.119999,686500,41.502846
"49",42.32,42.709999,42.209999,42.349998,455900,41.729476
"50",42.310001,42.529999,42.290001,42.490002,601000,41.867427
"51",42.439999,42.900002,42.310001,42.73,831300,42.103909
"52",42.650002,42.91,42.490002,42.75,577400,42.123616
"53",42.650002,42.889999,42.57,42.77,613400,42.143324
"54",42.990002,43.57,42.759998,43.459999,864700,42.823212
"55",43.509998,43.790001,43.330002,43.619999,736700,42.980868
"56",43.630001,43.779999,43.330002,43.720001,858500,43.079405
"57",43.470001,43.919998,43.279999,43.799999,804700,43.158231
"58",43.889999,44.060001,43.459999,43.470001,822900,42.833068
"59",43.799999,43.799999,43.240002,43.52,891300,42.882334
"60",43.720001,43.869999,43.200001,43.380001,842100,42.744386
"61",43.509998,43.639999,42.889999,43.119999,594800,42.488194
"62",43.119999,43.220001,42.830002,43.119999,660600,42.488194
"63",43.02,43.360001,43,43.279999,679700,42.645849
"64",43.16,43.330002,42.869999,42.950001,777600,42.320687
"65",42.919998,43.380001,42.77,43.349998,622900,42.864525
"66",43.049999,43.400002,42.810001,43.330002,722600,42.844752
"67",43.34,43.93,43.34,43.860001,917100,43.368815
"68",43.77,43.939999,43.470001,43.66,742700,43.171054
"69",43.560001,44.040001,43.560001,43.970001,1008900,43.477584
"70",44.040001,44.040001,43.759998,43.860001,1509000,43.368815
"71",44.02,44.330002,43.540001,43.720001,1449800,43.230384
"72",43.830002,44.130001,43.75,43.900002,1712400,43.408368
"73",43.779999,43.889999,43.150002,43.25,712300,42.765646
"74",43.259998,43.43,42.560001,42.57,741700,42.093261
"75",42.560001,42.849998,42.43,42.790001,931100,42.310798
"76",42.779999,42.91,41.93,42,1098000,41.529645
"77",41.830002,42.439999,41.830002,42.389999,646900,41.915276
"78",42,42.43,41.939999,42.349998,1112800,41.875723
"79",42.43,42.68,42.349998,42.419998,698100,41.944939
"80",42.43,42.43,41.84,41.950001,767200,41.480205
"81",42.360001,42.5,41.639999,42.09,1123800,41.618637
"82",42.310001,42.860001,42.299999,42.740002,882900,42.261359
"83",42.779999,42.84,42.150002,42.189999,913200,41.717515
"84",41.849998,41.900002,41.220001,41.220001,1414300,40.758381
"85",41.290001,42.169998,41.259998,42.150002,1040500,41.677966
"86",42.029999,42.150002,41.490002,41.52,975500,41.055021
"87",41.610001,42.25,41.32,41.360001,1346800,40.896813
"88",41.23,41.549999,39.919998,39.98,1527400,39.532266
"89",40.16,40.57,39.740002,39.779999,1328800,39.334505
"90",39.189999,40.009998,38.43,39.799999,1587400,39.354282
"91",39.459999,40.220001,39.099998,39.73,939100,39.285066
"92",40.09,40.540001,39.73,40.16,1179300,39.710251
"93",40.209999,40.799999,39.990002,40.740002,659000,40.283757
