"","MA.Open","MA.High","MA.Low","MA.Close","MA.Volume","MA.Adjusted"
"1",76.739998,77.559998,76.57,77.360001,3396100,76.715422
"2",76.959999,77.43,76.720001,76.870003,3427500,76.229507
"3",76.980003,77.139999,75.459999,75.720001,3836400,75.089088
"4",75.720001,76.139999,75.129997,75.940002,3194900,75.307256
"5",75.599998,75.779999,74.900002,75.110001,5673600,74.48417
"6",75.139999,75.43,74.550003,74.980003,4163700,74.355256
"7",74.949997,75.209999,74.400002,75.120003,3820800,74.494088
"8",75.080002,75.419998,74.099998,74.269997,5501900,73.651165
"9",74.529999,75.010002,73.480003,73.809998,9339300,73.194998
"10",73.589996,74.300003,73.199997,74.139999,4899900,73.522251
"11",74.089996,74.790001,72.550003,72.699997,5943800,72.094247
"12",72.559998,73.550003,72.540001,73.040001,3813600,72.431418
"13",73.260002,73.279999,72.559998,72.769997,4085000,72.163663
"14",72.519997,73.610001,72.449997,73.400002,12447500,72.788419
"15",73.239998,73.879997,73.059998,73.470001,4737000,72.857835
"16",74.199997,75.910004,74.139999,75.529999,6330900,74.900668
"17",74.860001,76.389999,74.860001,76.199997,3973700,75.565084
"18",76.599998,76.900002,76.349998,76.739998,3213400,76.100585
"19",76.440002,76.639999,75.940002,76.18,3591100,75.653694
"20",76.110001,76.150002,75.129997,75.690002,3903600,75.167082
"21",75.870003,76.669998,75.599998,76.629997,3337000,76.100582
"22",75.650002,75.959999,74.75,75.470001,3318000,74.948601
"23",75.540001,75.849998,75.260002,75.830002,2759000,75.306114
"24",76.440002,77.709999,76.040001,77.330002,5585800,76.795751
"25",77.989998,79.220001,77.860001,78.32,7508400,77.778909
"26",78.650002,78.690002,77.949997,78.309998,3623200,77.768976
"27",77.309998,77.870003,76.25,76.389999,5467000,75.862243
"28",76.75,77.650002,76.449997,77.5,3485700,76.964575
"29",77.110001,77.440002,76.589996,77.349998,3101300,76.815609
"30",77.519997,78.389999,77.349998,78.269997,3467200,77.729252
"31",78.160004,78.379997,77.190002,77.739998,3525800,77.202914
"32",77.93,78.059998,76.919998,77.57,5149600,77.034091
"33",75.629997,76.029999,75.220001,75.75,5870200,75.226665
"34",75.699997,76.209999,75.519997,76.190002,3209100,75.663627
"35",76.309998,76.610001,75.650002,75.889999,4017200,75.365697
"36",76.07,76.290001,75.449997,75.910004,5521200,75.385563
"37",76.300003,76.32,73.809998,74.150002,7393700,73.63772
"38",73.839996,75.440002,73.639999,74.980003,6029500,74.461988
"39",75.389999,75.849998,75.080002,75.68,4924000,75.157149
"40",75.309998,75.660004,74.809998,75.199997,4639000,74.680462
"41",74.849998,75.580002,74.690002,75.360001,2782900,74.83936
"42",75.540001,75.68,73.82,74.059998,4708000,73.548338
"43",74,75.230003,73.75,75.169998,3614300,74.65067
"44",75.540001,76.07,74.989998,75.629997,3546600,75.107491
"45",75.360001,75.82,74.93,75.629997,2752400,75.107491
"46",75.849998,76.510002,75.589996,76.300003,3389600,75.772868
"47",76.599998,76.610001,75.660004,76.050003,2411400,75.524595
"48",76.410004,76.57,74.980003,75.209999,4351900,74.690395
"49",75.690002,76.82,75.690002,76.769997,4030300,76.239615
"50",76.75,76.800003,76.089996,76.400002,3562200,75.872176
"51",75.970001,76.480003,75.900002,76.389999,2608200,75.862243
"52",76.510002,77.120003,76.290001,76.989998,2690000,76.458096
"53",76.75,76.879997,76.150002,76.480003,2500700,75.951625
"54",77.110001,77.209999,76.389999,76.43,3386300,75.901967
"55",76.790001,77.849998,76.540001,77,3849000,76.468029
