"","LMT.Open","LMT.High","LMT.Low","LMT.Close","LMT.Volume","LMT.Adjusted"
"1",167.990005,168.070007,166.279999,167.339996,1002700,162.270299
"2",166.520004,166.940002,164.029999,164.529999,1297500,159.545433
"3",164.300003,164.759995,162.179993,162.639999,857100,157.712692
"4",162.960007,164.589996,162.660004,164.039993,750200,159.070272
"5",163.860001,165.630005,163.529999,165.139999,889300,160.136953
"6",165,165.639999,163.550003,164.240005,858100,159.264225
"7",164.130005,164.220001,162.050003,163.789993,1028200,158.827846
"8",164.009995,165.619995,163.300003,164.199997,1045800,159.225428
"9",163.75,165.699997,163.75,165.399994,1862900,160.389071
"10",165.270004,165.809998,163.320007,163.949997,829500,158.983002
"11",163.279999,164.5,162.460007,162.509995,812500,157.586626
"12",162.649994,162.910004,161.440002,162.449997,988400,157.528446
"13",162.809998,162.809998,160.509995,162.050003,988400,157.14057
"14",162.279999,162.929993,161.860001,162.699997,1102200,157.770872
"15",162.759995,162.830002,160.360001,160.729996,1234500,155.860554
"16",160.039993,161.770004,158.589996,160.639999,1358200,155.773284
"17",160.770004,160.880005,158.199997,158.979996,1309800,154.163571
"18",159.800003,160.380005,159.110001,159.899994,687200,155.055697
"19",159.25,159.710007,157.710007,158.300003,1164700,153.50418
"20",158.440002,158.440002,156.960007,157.210007,970900,152.447205
"21",158.119995,158.729996,157.429993,157.929993,827400,153.145379
"22",156.229996,159.039993,156.229996,158.179993,815700,153.387805
"23",158.130005,160.619995,157.929993,160.309998,1073600,155.45328
"24",160.779999,161.979996,160.5,161.809998,1045100,156.907836
"25",161.729996,163.490005,161.470001,162.619995,1312000,157.693294
"26",163.080002,163.460007,161.149994,161.550003,947800,156.655718
"27",161.110001,163.199997,160.559998,161.330002,1190600,156.442382
"28",161.820007,162.539993,161.059998,162.490005,1074700,157.567243
"29",162,163.669998,161.190002,162.979996,1201200,158.042388
"30",164.5,168.179993,164.389999,167.869995,2174500,162.784241
"31",167.759995,169.210007,167.220001,168.100006,1808500,163.007284
"32",168.529999,170.119995,167.820007,169.970001,1617600,164.820626
"33",169.330002,170.690002,169.190002,170.039993,2112300,164.888497
"34",169.990005,170.570007,168.300003,170,1989600,164.849716
"35",170.5,170.660004,169.240005,169.330002,1063100,164.200016
"36",170.240005,171.360001,168.839996,170.179993,1077200,165.024255
"37",169.080002,169.240005,166.970001,166.970001,1935900,161.911513
"38",166.720001,168.770004,166.190002,167.119995,1535900,162.056963
"39",167.559998,168.580002,167.029999,168.289993,1196400,163.191515
"40",167.789993,169.160004,166.559998,166.929993,1218900,161.872717
"41",166.080002,166.080002,162.710007,163.050003,1883000,158.110275
"42",164.279999,164.619995,162.520004,162.949997,1087100,158.013298
"43",163.110001,166.190002,163.100006,165.800003,1196000,160.776961
"44",166.860001,166.929993,166,166.149994,801800,161.116349
"45",166.149994,167.149994,165.259995,165.779999,779500,160.757563
"46",166.149994,169.399994,166.149994,169.089996,1081600,163.967281
"47",169.339996,170.210007,168.860001,169.5,1030000,164.364864
"48",169.910004,170.5,167.940002,169.160004,1062400,164.035168
"49",170.199997,172.100006,170.039993,171.520004,766400,166.32367
"50",172.020004,172.399994,171.289993,172.130005,841100,166.915191
"51",172.149994,175.470001,172.130005,175.309998,1351100,169.998843
"52",174.919998,175.490005,174.179993,175.100006,1088200,169.795213
"53",174.710007,176.130005,174.360001,175.149994,801400,169.843687
"54",175.75,177.070007,175.429993,176.529999,866400,171.181883
"55",176.970001,177.009995,176.039993,176.610001,1036500,171.259461
"56",176.990005,177.190002,176,176.520004,1115200,171.172191
"57",174.669998,175.050003,173.740005,174.100006,1455800,170.107193
"58",174.759995,175.089996,173.75,174,1532000,170.009481
"59",175.139999,175.309998,173.070007,173.800003,1547700,169.81407
"60",174.940002,175.639999,173.210007,173.5,1454800,169.520948
"61",173.990005,174.490005,172.759995,173.039993,1109000,169.071491
"62",173.169998,174.649994,172.369995,174.580002,983600,170.576181
"63",174.520004,175.570007,174.360001,174.770004,926500,170.761826
"64",175.600006,176.350006,174.839996,174.940002,1418300,170.927925
"65",174.960007,175.029999,173.720001,174.589996,2210500,170.585946
"66",174.380005,174.770004,173.580002,174.199997,1299200,170.204891
"67",174.169998,174.990005,173.710007,174.429993,759400,170.429612
"68",174.419998,175.779999,173.919998,175.600006,678500,171.572792
"69",175.130005,177.940002,175.020004,177.190002,1186800,173.126323
"70",177.779999,179.649994,177.449997,178.800003,1152600,174.6994
"71",179.369995,179.720001,178.300003,179.570007,1040400,175.451745
"72",180.490005,181.220001,180.220001,180.740005,1896300,176.594911
"73",179.720001,180.759995,178.759995,178.990005,1097400,174.885045
"74",178.529999,178.979996,175.919998,176.339996,1451100,172.295811
"75",176.279999,178.5,176.279999,178.389999,959400,174.2988
"76",178.100006,178.740005,176.259995,177.440002,1739100,173.37059
"77",177.539993,182.270004,177.539993,181.580002,1877700,177.415643
"78",181.800003,182.789993,180.110001,181.360001,1579900,177.200687
"79",182.600006,184.089996,182.130005,182.779999,1981200,178.588119
"80",181.149994,181.149994,177.080002,177.889999,1901400,173.810267
"81",177.660004,178.300003,175.789993,176.350006,1468900,172.305592
"82",177.669998,179.339996,176.919998,178.339996,2463700,174.249943
"83",179.619995,179.699997,176.669998,176.919998,1486300,172.862511
"84",176.399994,176.559998,173,173.020004,1182700,169.05196
"85",173.270004,176.550003,171.830002,176.350006,1677600,172.305592
"86",176.320007,176.559998,173.550003,174.550003,1581500,170.54687
