"","RTN.Open","RTN.High","RTN.Low","RTN.Close","RTN.Volume","RTN.Adjusted"
"1",100.309998,100.309998,97.440002,97.57,1617700,94.59351
"2",97.5,97.870003,96.379997,96.480003,1680700,93.536766
"3",96.550003,96.830002,95.160004,95.5,1351000,92.586659
"4",95.699997,96.769997,95.449997,96.589996,1107200,93.643403
"5",96.459999,97.389999,96.169998,97.099998,1023400,94.137847
"6",96.860001,97.160004,95.82,95.830002,1578200,92.906593
"7",95.989998,96.32,94.919998,95.739998,1051600,92.819335
"8",95.639999,96.25,95.489998,95.849998,1330500,92.92598
"9",96.269997,97.230003,96.25,96.769997,1911100,93.817912
"10",97.040001,97.040001,95.449997,95.830002,889300,92.906593
"11",95.529999,96,94.190002,94.230003,1129200,91.355405
"12",94.209999,94.849998,93.529999,94.709999,1585000,91.820758
"13",94.559998,94.559998,93.639999,94.080002,1161500,91.209979
"14",94.120003,94.449997,93.75,94.400002,1895000,91.520217
"15",93.82,93.839996,92.099998,92.25,1625500,90.012687
"16",91.669998,93.629997,90.370003,93.099998,2129800,90.842071
"17",93.099998,93.559998,92.220001,92.470001,1136500,90.227353
"18",93.389999,93.5,92.480003,93.220001,808800,90.959163
"19",93.290001,93.389999,92.099998,92.290001,1235900,90.051718
"20",92.029999,92.220001,91.07,91.199997,1417300,88.98815
"21",91.739998,91.870003,91,91.860001,1547700,89.632146
"22",90.75,92.68,90.75,92.099998,1523400,89.866324
"23",92.129997,93.300003,91.910004,92.959999,1515500,90.705467
"24",93.389999,94.129997,93.120003,93.959999,1763400,91.681214
"25",94.059998,95.260002,93.970001,94.559998,1583200,92.266661
"26",95.019997,95.120003,94.110001,94.629997,1202700,92.334963
"27",94.18,95.139999,93.639999,94.150002,1077100,91.866609
"28",94.370003,94.959999,94,94.849998,1168700,92.549629
"29",94.860001,95.980003,94.849998,95.82,1023300,93.496105
"30",96,97.010002,95.790001,96.860001,2307800,94.510883
"31",96.400002,96.540001,95.339996,95.370003,1674700,93.057021
"32",95,95.389999,93.480003,93.550003,2278100,91.281162
"33",93.269997,93.540001,91.970001,92.07,1978600,89.837052
"34",92.230003,93.529999,91.559998,93.279999,1806800,91.017706
"35",93.059998,93.389999,92.489998,92.489998,1607300,90.246865
"36",92.889999,93.419998,92.059998,92.620003,1285600,90.373716
"37",92.019997,92.150002,90.760002,90.769997,1928000,88.568578
"38",90.870003,92.239998,90.870003,91.790001,1671600,89.563844
"39",91.790001,92,90.940002,91.550003,1916800,89.329667
"40",91.209999,92.790001,90.970001,91.57,1473900,89.349179
"41",90.489998,90.910004,89.260002,89.519997,2271900,87.348894
"42",90.260002,90.400002,89.169998,89.43,1537700,87.26108
"43",89.730003,91.660004,89.610001,91.610001,1450100,89.38821
"44",91.959999,92.160004,91.330002,91.410004,1210900,89.193063
"45",91.580002,92.25,91.18,91.379997,1092800,89.163784
"46",91.739998,93.790001,91.739998,93.639999,1392300,91.368975
"47",93.529999,93.879997,93.25,93.410004,1206700,91.144558
"48",93.720001,93.980003,92.739998,93.449997,1144000,91.183581
"49",93.900002,94.980003,93.900002,94.800003,1070200,92.500846
"50",94.639999,95.220001,94.449997,95.059998,1495900,92.754535
"51",95.199997,96.849998,94.919998,96.660004,1829600,94.315736
"52",96.739998,97,96.419998,96.580002,975800,94.237675
"53",96.43,97.239998,96.349998,96.580002,842400,94.237675
"54",97,97.209999,96.720001,97.07,624300,94.715789
"55",97.129997,97.220001,96.580002,96.610001,697100,94.266946
"56",96.709999,97,95.940002,96.160004,1067700,93.827863
"57",95.75,96.190002,95.5,96.040001,1400600,93.71077
"58",96.389999,96.830002,95.900002,96.339996,1643500,94.00349
"59",96.709999,96.760002,95.910004,96.480003,2037700,94.140102
"60",96.779999,96.949997,96.209999,96.639999,2269800,94.296217
"61",96.75,97.480003,96.639999,97.110001,2055400,94.75482
"62",97.209999,97.900002,96.989998,97.760002,2411300,95.389057
"63",97.849998,98.709999,97.800003,98.5,1835100,96.111108
"64",99.080002,99.889999,98.75,99.339996,1898400,96.930732
"65",99.43,101.309998,99.230003,100.900002,3001400,98.452903
"66",101.050003,101.199997,100.529999,100.93,2458900,98.482174
"67",100.650002,101.370003,100.32,100.769997,1563200,98.326051
"68",100.959999,101.68,100.440002,101.510002,1935800,99.048109
"69",101.349998,102.18,101.040001,101.709999,1621200,99.243256
"70",102.059998,102.919998,101.720001,102.279999,1024300,99.799431
"71",102.440002,102.540001,102.099998,102.480003,1029200,99.994585
"72",103.209999,103.510002,102.629997,103.349998,2127300,100.843481
"73",102.910004,103.459999,102.18,102.389999,1186700,99.906764
"74",101.989998,102.18,100.349998,100.580002,1343200,98.140664
"75",101,101.099998,100.519997,101.050003,2107600,98.599266
"76",100.650002,101.050003,100.099998,100.190002,1966600,97.760123
"77",100.190002,101.790001,100.190002,101.519997,1385700,99.057861
"78",99.940002,101.610001,98.980003,100.889999,1462700,99.033327
"79",101.370003,102.360001,101.089996,101.620003,1777300,99.749897
"80",100.970001,100.970001,98.699997,99.190002,2642500,97.364615
"81",99.169998,99.400002,97.209999,97.68,1695600,95.882402
"82",98.709999,99.870003,98.379997,99.18,2142200,97.354797
"83",99.650002,100.220001,98.339996,98.400002,1405700,96.589153
"84",98.190002,98.199997,95.769997,95.769997,2332100,94.007548
"85",96.120003,97.029999,94.93,96.949997,1943300,95.165833
"86",96.839996,96.959999,94.720001,94.970001,1497100,93.222275
"87",95.139999,96.400002,94.599998,95.470001,2196200,93.713073
"88",95.510002,96.160004,93.709999,93.849998,2056300,92.122883
"89",94.139999,97.489998,93.849998,96.559998,2885600,94.78301
"90",95.150002,95.760002,92.959999,95.410004,2225500,93.65418
"91",93.989998,95.870003,93.529999,95.32,1583200,93.565832
"92",96.459999,97.650002,96.139999,97.459999,1763100,95.666449
"93",97,97.449997,95.910004,96.839996,1535600,95.057856
"94",96.949997,98.199997,96,98.110001,1815600,96.304489
"95",98.43,99.220001,97.32,97.449997,1907200,95.656631
"96",96.389999,99.480003,95.809998,98.879997,1906600,97.060315
"97",98.889999,99.529999,96.839996,98.120003,1636100,96.314307
"98",98,99.639999,97.610001,99.370003,1565400,97.541303
"99",99.650002,101.459999,99.650002,101.07,1902400,99.210015
"100",101.540001,102.099998,100.910004,101.660004,1913100,99.789161
"101",101.650002,103.800003,100.230003,103.199997,1740700,101.300814
"102",104.639999,104.970001,103.239998,103.879997,2006000,101.968301
