"","CHRW.Open","CHRW.High","CHRW.Low","CHRW.Close","CHRW.Volume","CHRW.Adjusted"
"119",72.82,73.330002,72.699997,73.040001,1002400,71.838137
"120",73.110001,73.68,73.019997,73.400002,834600,72.192214
"121",74.440002,74.919998,73.470001,73.739998,856500,72.526615
"122",73.389999,73.669998,72.309998,72.510002,1044800,71.316859
"123",73.099998,73.940002,72.709999,73.610001,1512300,72.398757
"124",73.580002,74.720001,73.489998,74.57,1479600,73.34296
"125",74.57,74.900002,73.989998,74.449997,1145300,73.224932
"126",74.650002,75.199997,74.370003,74.629997,1448800,73.40197
"127",74.25,74.769997,73.870003,74.07,1452000,72.851187
"128",73.57,73.760002,72.550003,73.25,1573400,72.04468
"129",72.839996,73.18,71.75,71.809998,1804000,70.628373
"130",71.830002,72.919998,71.790001,72.480003,1415100,71.666594
"131",72.230003,72.839996,71.879997,72.290001,1369800,71.478723
"132",72.779999,73.230003,72.050003,72.18,1174500,71.369957
"133",72.260002,73.150002,71.900002,71.919998,831900,71.112873
"134",71.650002,71.940002,69.139999,71.879997,2196100,71.073321
"135",72.639999,74.150002,72.209999,74.07,1424900,73.238746
"136",74.169998,76.379997,74.169998,76.309998,3423800,75.453605
"137",76.279999,76.830002,75.730003,76.809998,1663100,75.947994
"138",77.110001,77.370003,76.739998,77.019997,701700,76.155637
"139",77.129997,77.379997,76.690002,77.160004,426900,76.294072
"140",77.25,77.489998,76.669998,76.75,653000,75.88867
"141",76.5,76.739998,75.910004,76.389999,654900,75.532709
"142",76,76.43,75.620003,75.690002,1061700,74.840568
"143",76.040001,76.25,74.849998,74.889999,1062600,74.049543
"144",74.849998,75.239998,73.019997,73.839996,2052400,73.011324
"145",73.370003,73.370003,70.32,70.599998,8418500,69.807687
"146",71.900002,71.949997,69.230003,69.68,3887700,68.898014
"147",69.830002,70.32,69.230003,69.709999,2067900,68.927676
"148",70.669998,72.900002,70.629997,72.839996,3016800,72.022546
"149",72.800003,73.129997,71.720001,72.059998,1246000,71.251301
"150",72.459999,73.559998,71.980003,72.900002,1423900,72.081878
"151",73.360001,74.690002,73.029999,73.610001,1767100,72.783909
"152",73.019997,73.470001,72.379997,72.970001,1205400,72.151092
"153",73.230003,73.519997,72.290001,72.510002,1142900,71.696256
"154",72.510002,73.540001,72,73.449997,840100,72.625701
"155",73.650002,73.82,72.330002,72.870003,1151900,72.052216
"156",72.580002,73.489998,72.309998,72.82,932900,72.002774
"157",73.290001,74.900002,73.040001,74.730003,1132500,73.891343
"158",74.519997,74.879997,74.07,74.120003,919700,73.288188
"159",73.830002,74.68,73.519997,74.639999,707900,73.802349
"160",73.760002,74.110001,73.010002,73.739998,1124300,72.912448
"161",74.089996,74.419998,72.870003,72.940002,992600,72.12143
"162",72.860001,73.379997,71.919998,73.309998,1591600,72.487273
"163",72.629997,73.110001,70.980003,71.220001,2436400,70.420732
"164",72.010002,73.580002,71.690002,73.440002,4363700,72.615819
"165",74.639999,75.489998,73.25,75.230003,9185900,74.385732
"166",72,72,67.110001,70.5,10238700,69.708811
"167",70.650002,71.470001,70.360001,70.970001,3350800,70.173537
