"","NEM.Open","NEM.High","NEM.Low","NEM.Close","NEM.Volume","NEM.Adjusted"
"1",22.780001,23.02,22.57,22.780001,5020200,22.680511
"2",22.85,23.190001,22.85,23.09,5646100,22.989157
"3",23.15,23.459999,23.07,23.299999,6296500,23.198239
"4",23.24,23.48,22.91,23.4,4684200,23.297802
"5",23.5,23.52,23.07,23.16,4283300,23.058851
"6",22.99,23.43,22.889999,23.309999,4414800,23.208195
"7",23.33,23.74,23.23,23.74,5886600,23.636317
"8",24.07,24.59,23.91,24.540001,12448000,24.432825
"9",24.530001,24.92,24.290001,24.860001,14264600,24.751427
"10",24.809999,25.25,24.58,25.190001,5643800,25.079985
"11",25.280001,25.42,24.67,24.690001,5886500,24.582169
"12",24.700001,25.030001,24.540001,24.879999,5317400,24.771338
"13",24.790001,25.09,24.459999,25.07,6636700,24.960509
"14",25,25.360001,24.879999,25.190001,5096300,25.079985
"15",25.030001,25.540001,24.82,25.440001,6524100,25.328894
"16",25.48,25.719999,24.780001,25.08,5854500,24.970465
"17",25.110001,25.5,25.049999,25.360001,4465700,25.249243
"18",25.139999,25.209999,24.870001,25.190001,3839500,25.079985
"19",24.99,25.139999,24.68,24.73,5365600,24.621993
"20",24.870001,24.959999,24.48,24.799999,7248800,24.691687
"21",24.99,25.690001,24.950001,25.530001,9526200,25.418501
"22",25.969999,26.040001,25.299999,25.440001,9974300,25.328894
"23",25.49,26.17,25.43,25.93,6778900,25.816753
"24",25.190001,25.639999,25.030001,25.32,5713900,25.209417
"25",25.370001,25.52,24.66,24.690001,10524900,24.582169
"26",24.879999,25.610001,24.879999,25.219999,8407700,25.109853
"27",25.299999,25.639999,25.110001,25.450001,6083100,25.33885
"28",25.18,25.530001,24.9,25.42,5662100,25.30898
"29",25.42,25.6,25.07,25.360001,4550500,25.249243
"30",25.33,25.549999,25.24,25.41,4117400,25.299024
"31",25.379999,25.459999,25.129999,25.190001,4503600,25.079985
"32",25.040001,25.09,24.65,24.780001,6670800,24.671776
"33",24.66,25.23,24.6,25.15,5551100,25.040159
"34",25.08,25.709999,25.030001,25.639999,5554600,25.528019
"35",25.68,25.76,25.530001,25.540001,6562500,25.428457
"36",25.6,25.73,25.040001,25.59,5270700,25.478238
"37",25.280001,25.41,24.91,24.91,6438900,24.801208
"38",25.139999,25.360001,24.77,25.200001,6341600,25.089942
"39",25.17,25.74,25.17,25.629999,7706500,25.518062
"40",25.379999,25.93,25.27,25.780001,5626900,25.667409
"41",26.200001,26.540001,25.91,26.08,8999700,25.966098
"42",26.280001,26.280001,26,26.18,5331100,26.065661
"43",26.32,26.5,26.110001,26.389999,4405000,26.274743
"44",26.370001,26.629999,26.299999,26.530001,3771200,26.414133
"45",26.65,27.35,26.610001,27.059999,8333600,26.941817
"46",27.139999,27.4,26.99,27.07,4977500,26.951774
"47",27.120001,27.32,26.860001,27.049999,4960400,26.931861
"48",26.58,27,26.58,26.889999,5380700,26.77256
"49",26.870001,26.93,26.530001,26.82,4734100,26.702866
"50",26.950001,27.02,26.709999,26.83,4134500,26.712822
"51",26.77,26.950001,26.610001,26.73,3957700,26.613259
"52",26.309999,26.690001,26.07,26.610001,6841100,26.493784
"53",26.65,26.65,26.25,26.389999,3772900,26.274743
"54",26.360001,26.370001,25.790001,25.98,4030900,25.866534
"55",26.33,26.57,26.280001,26.5,3469700,26.384264
"56",26.450001,26.75,26.389999,26.52,3286000,26.404177
"57",26.870001,26.99,26.59,26.860001,4512500,26.742692
"58",26.66,27.200001,26.6,27.09,3845500,26.971687
"59",26.65,26.85,26.23,26.41,7019500,26.294657
"60",26.34,26.52,26.18,26.309999,5301500,26.195093
"61",26.35,26.5,25.49,25.6,7383200,25.488195
"62",25.620001,26.02,25.51,25.969999,6141200,25.856578
"63",25.860001,25.889999,25.030001,25.290001,6349300,25.179549
"64",25.459999,25.610001,25.209999,25.540001,5863800,25.453619
"65",25.389999,25.559999,25.18,25.370001,6760700,25.284194
"66",25.370001,25.620001,25.1,25.59,6588700,25.50345
"67",25.41,25.5,24.92,25.17,7362700,25.08487
"68",25.1,25.120001,24.790001,25.02,4427000,24.935378
"69",24.959999,25.34,24.76,25.040001,7402600,24.95531
"70",25.040001,25.07,24.620001,24.67,7590900,24.586561
"71",24.530001,24.59,24.18,24.49,6698700,24.40717
"72",24.530001,24.549999,23.9,24.209999,8798300,24.128116
"73",24.1,24.17,23.51,23.66,5787300,23.579977
"74",23.92,24.27,23.66,23.99,8067700,23.908861
"75",23.709999,24.200001,23.709999,23.84,4186700,23.759368
"76",23.67,24.01,23.43,23.91,5507900,23.829131
"77",23.9,23.9,23.51,23.809999,3973000,23.729469
"78",23.889999,23.889999,23.469999,23.48,5171800,23.400585
"79",23.34,23.59,22.9,23.049999,9247000,22.972039
"80",23.200001,23.33,22.940001,23.01,6802400,22.932176
"81",23.120001,23.459999,22.879999,23.280001,8722900,23.201263
"82",23.030001,23.059999,22.5,22.700001,11052700,22.623225
"83",22.85,23.219999,22.629999,23.15,6769800,23.071702
"84",23.23,23.23,22.440001,22.549999,8234900,22.47373
"85",22.690001,23.709999,22.15,23.639999,10617100,23.560044
"86",23.58,23.58,22.030001,22.450001,12919900,22.37407
"87",22.530001,22.91,22.07,22.209999,7234400,22.13488
"88",22.4,23.16,22.389999,22.52,6861500,22.443833
"89",22.719999,23.209999,22.629999,22.790001,7153300,22.71292
"90",22.540001,23.1,22.43,22.700001,7638900,22.623225
"91",22.450001,22.99,22.389999,22.719999,6736100,22.643156
"92",22.719999,22.790001,22.32,22.4,6338300,22.324238
"93",22.66,22.91,22.48,22.85,4655000,22.772717
"94",23.01,23.18,22.84,22.9,4777700,22.822547
"95",22.790001,23.07,22.59,22.59,5775300,22.513596
"96",22.43,22.51,21.809999,22,9835900,21.925591
