"","PNW.Open","PNW.High","PNW.Low","PNW.Close","PNW.Volume","PNW.Adjusted"
"1",54.610001,54.740002,54.290001,54.389999,413800,52.360971
"2",54.279999,54.48,53.830002,53.84,360400,51.831489
"3",53.790001,54.07,53.040001,54.049999,520800,52.033654
"4",54.060001,54.43,53.610001,54.220001,346700,52.197315
"5",54.220001,54.959999,54.169998,54.720001,720000,52.678662
"6",54.57,54.689999,54.07,54.459999,640900,52.428359
"7",54.41,55.849998,54.41,55.799999,798100,53.71837
"8",55.939999,56.610001,55.77,56.560001,740000,54.450021
"9",56.630001,56.700001,55.970001,56.150002,1124400,54.055316
"10",56.419998,56.900002,56.16,56.48,659300,54.373003
"11",56.34,57.009998,56.34,56.689999,670800,54.575168
"12",56.52,56.919998,56.259998,56.450001,828900,54.344124
"13",56.540001,56.75,56.23,56.310001,711100,54.209347
"14",56.240002,56.759998,56.049999,56.48,1440900,54.373003
"15",56.669998,58.060001,56.630001,57.84,1204800,55.682269
"16",57.720001,57.950001,57.310001,57.759998,1001000,55.605251
"17",57.509998,57.529999,56.5,56.939999,1323100,54.815842
"18",56.52,56.630001,56.02,56.439999,744900,54.334495
"19",56.459999,57.080002,56.139999,56.389999,1410800,54.286361
"20",56.41,57.220001,56.41,56.98,850800,54.854351
"21",57.220001,57.220001,56.200001,56.509998,747200,54.401883
"22",56.52,57.110001,56.459999,56.939999,445800,54.815842
"23",56.84,57.299999,56.759998,56.779999,685500,54.661811
"24",56.91,57.029999,55.970001,56,1123000,53.91091
"25",55.869999,56.25,55.700001,56,1718200,53.91091
"26",56,56,55.41,55.740002,1113800,53.660611
"27",55.75,56.029999,55.59,55.59,444900,53.516205
"28",55.810001,56.830002,55.450001,56.82,1120000,54.70032
"29",56.700001,57.139999,56.540001,56.98,1343900,54.854351
"30",57.080002,57.200001,56.77,57.009998,1094300,54.88323
"31",56.91,57.099998,56.689999,56.849998,663700,54.729199
"32",56.799999,56.98,56.610001,56.82,475700,54.70032
"33",56.779999,56.919998,56.220001,56.290001,401100,54.190093
"34",56.439999,57.200001,56.32,57.099998,843400,54.969873
"35",57.279999,57.400002,56.43,56.43,572900,54.324869
"36",55.869999,56.009998,54.66,54.849998,832600,53.340716
"37",54.91,55.48,53.290001,53.490002,1673600,52.018142
"38",53.509998,54.470001,53.459999,53.970001,1443000,52.484933
"39",54,54,52.470001,53.369999,1476100,51.901441
"40",53.169998,53.529999,52.619999,52.860001,655000,51.405476
"41",52.639999,52.75,52.130001,52.169998,1216700,50.73446
"42",52.279999,52.91,52.209999,52.57,755300,51.123455
"43",52.599998,53.66,52.599998,53.650002,828500,52.173739
"44",53.669998,53.889999,53.310001,53.369999,511100,51.901441
"45",53.32,53.529999,53.099998,53.290001,730100,51.823644
"46",53.419998,53.630001,53.119999,53.41,1683700,51.940341
"47",53.549999,54.41,53.549999,54.349998,769000,52.854474
"48",54.540001,54.93,54.209999,54.52,815900,53.019798
"49",54.650002,54.82,54.240002,54.32,624300,52.825301
"50",54.419998,55.02,54.310001,54.959999,489400,53.44769
"51",54.950001,55.130001,54.639999,55.07,374100,53.554664
"52",55.09,55.52,55.080002,55.419998,749000,53.895031
"53",55.5,55.810001,55.02,55.759998,1136900,54.225676
"54",55.84,56.43,55.77,56.400002,1239700,54.848068
"55",56.419998,56.509998,55.48,55.560001,1194600,54.031182
"56",55.689999,56.630001,55.689999,56.619999,1743600,55.062012
"57",56.349998,56.84,56.299999,56.580002,817000,55.023116
"58",56.59,56.970001,56.48,56.950001,739700,55.382934
"59",57.040001,57.07,55.950001,56.150002,865000,54.604948
"60",56.220001,56.5,56.169998,56.32,706600,54.770268
"61",56.27,56.419998,55.91,56.060001,690500,54.517424
"62",56.150002,56.810001,56.150002,56.799999,836300,55.23706
"63",57.419998,57.470001,56.509998,56.860001,626000,55.29541
"64",56.790001,56.900002,56.18,56.23,809500,54.682744
"65",56.150002,56.389999,55.959999,56.240002,586000,54.692471
"66",56.259998,57.419998,56.049999,57.209999,1379400,55.635778
"67",56.849998,57.099998,56.330002,56.610001,1265700,55.052289
"68",56.77,57.099998,56.650002,56.75,585900,55.188436
"69",56.68,57.529999,56.639999,57.34,571600,55.762202
"70",57.419998,57.740002,57,57.27,980200,55.694128
"71",57.23,57.400002,56.130001,56.240002,994700,54.692471
"72",56.509998,56.639999,56.200001,56.509998,1338800,54.955038
"73",56.400002,56.52,56.060001,56.220001,913200,54.673021
"74",56.16,56.290001,55.869999,55.970001,581900,54.4299
"75",55.98,56.09,55.349998,55.599998,907300,54.070079
"76",55.509998,55.779999,55,55,1122700,53.48659
"77",55,55.139999,54.490002,54.990002,720300,53.476867
"78",54.639999,55.040001,54.509998,54.869999,696600,53.360166
"79",54.950001,55.349998,54.130001,54.639999,1125100,53.136495
"80",54.700001,55.369999,54.59,54.810001,594200,53.30182
"81",54.84,55.330002,54.689999,54.950001,604100,53.437967
"82",55.049999,55.639999,54.630001,55.529999,539200,54.002005
"83",55.77,55.880001,55.18,55.470001,466200,53.943658
"84",55.330002,56.130001,55.07,55.43,589100,53.904758
"85",55.560001,57.07,55.349998,56.959999,1147400,55.392657
"86",56.939999,57.52,55.970001,55.970001,1147700,54.4299
"87",56.34,56.990002,56.23,56.560001,785200,55.003666
"88",56.669998,57.66,56.509998,57.099998,842200,55.528804
"89",57.450001,58.75,57.169998,57.919998,843100,56.32624
"90",57.77,58.389999,56.240002,57.380001,1063900,55.801102
"91",56.91,57.43,56.16,57.09,1031100,55.519081
"92",57.43,57.919998,56.599998,57.720001,688300,56.131746
"93",57.720001,58.560001,57.59,58.5,782800,56.890282
"94",58.5,58.709999,58.189999,58.52,702500,56.909732
"95",58.509998,59.220001,58.18,58.73,586400,57.113953
"96",58.91,59.439999,58.610001,59.099998,495500,57.473771
"97",59.220001,59.389999,58.869999,59.169998,638900,57.541844
"98",59.23,59.84,59.009998,59.610001,681100,57.969739
"99",59.75,59.830002,58.740002,59.77,796000,58.125337
"100",59.77,60,59.07,59.759998,706900,58.11561
"101",59.330002,60.549999,59.27,60.52,818800,59.446577
"102",61,61.560001,59.889999,61.470001,1335600,60.379728
"103",61.75,62.27,61.369999,62.25,1066600,61.145892
"104",62.09,62.720001,61.529999,61.66,940300,60.566357
"105",62.07,62.950001,61.77,62.889999,1060100,61.77454
"106",62.790001,62.84,61.23,61.790001,1305300,60.694052
"107",61.919998,62.52,61.639999,62.5,648100,61.391458
"108",62.5,62.860001,62.110001,62.810001,517900,61.695961
"109",62.830002,63.130001,62.490002,62.82,590300,61.705782
