"","PFG.Open","PFG.High","PFG.Low","PFG.Close","PFG.Volume","PFG.Adjusted"
"1",49.299999,49.580002,49.240002,49.509998,953800,48.192333
"2",49.139999,49.32,48.759998,48.830002,840400,47.530434
"3",48.830002,49,48.380001,48.68,863200,47.384424
"4",48.700001,48.880001,48.450001,48.75,886000,47.452561
"5",48.669998,48.880001,48.419998,48.740002,793800,47.442829
"6",48.669998,49.369999,48.669998,49.299999,1062800,47.987923
"7",49.240002,49.900002,48.950001,49.880001,1247400,48.552488
"8",49.82,49.970001,49.509998,49.959999,924400,48.630357
"9",49.849998,50.700001,49.849998,50.369999,1607100,49.029445
"10",50.279999,50.52,50.110001,50.32,607900,48.980777
"11",50.209999,50.52,49.970001,50.009998,941500,48.679026
"12",49.799999,50.310001,49.68,50.290001,816500,48.951576
"13",50.220001,50.419998,49.650002,50.369999,1225900,49.029445
"14",50.110001,50.490002,50,50.27,748400,48.932108
"15",50.25,50.740002,50.07,50.48,1065100,49.136518
"16",50.5,51.23,50.5,50.970001,981400,49.613479
"17",50.959999,51.189999,50.68,50.860001,906400,49.506406
"18",51.110001,51.639999,51.09,51.540001,536300,50.168309
"19",51.32,51.509998,51.110001,51.450001,1053600,50.080704
"20",51.32,51.549999,51.099998,51.400002,1593100,50.032035
"21",51.599998,51.970001,51.299999,51.509998,1285200,50.139105
"22",50.77,51.32,50.450001,51.220001,1402000,49.856825
"23",51.040001,51.470001,50.860001,51.450001,1009200,50.080704
"24",51.880001,52.169998,51.59,51.639999,1110100,50.265646
"25",51.740002,52.029999,51.380001,51.740002,1032100,50.362987
"26",52,52.080002,51.68,51.849998,826400,50.470056
"27",51.599998,52.080002,50.939999,51.09,1049300,49.730284
"28",51.130001,51.939999,50.959999,51.869999,1236200,50.489524
"29",51.57,51.880001,51.32,51.610001,857400,50.236445
"30",51.880001,51.98,51.599998,51.880001,977500,50.49926
"31",51.970001,51.970001,51.450001,51.709999,707700,50.333782
"32",51.970001,51.970001,51.459999,51.779999,1028800,50.401919
"33",51.860001,52.509998,51.470001,51.790001,1238900,50.411655
"34",51.650002,51.82,51.009998,51.57,1229100,50.197509
"35",51.57,51.759998,50.959999,50.959999,813000,49.603743
"36",51.139999,51.419998,50.650002,51.209999,954800,49.84709
"37",50.830002,51.029999,49.68,49.68,1335700,48.35781
"38",49.48,49.790001,48.830002,49.169998,1418000,47.861381
"39",49.400002,49.73,48.970001,49.580002,1197200,48.260473
"40",49.259998,49.650002,49.099998,49.380001,1717600,48.065795
"41",49.16,50.470001,48.82,50.200001,2150400,48.863971
"42",50.450001,50.709999,49.32,49.5,1109400,48.182601
"43",49.700001,50.200001,49.380001,50.200001,768700,48.863971
"44",50.349998,50.720001,50.259998,50.48,786200,49.136518
"45",50.459999,50.84,50.330002,50.810001,914400,49.457737
"46",50.990002,51.349998,50.93,51.119999,762400,49.759485
"47",51.110001,51.52,51.09,51.400002,508200,50.032035
"48",51.580002,51.689999,50.439999,51.07,1140900,49.710816
"49",51.490002,52.130001,51.400002,52,822200,50.616065
"50",52,52.57,51.880001,52.240002,877800,50.84968
"51",52.049999,52.720001,51.959999,52.580002,827200,51.180631
"52",52.610001,53.52,52.279999,53.470001,1465000,52.046944
"53",53.290001,53.48,52.810001,52.919998,1297600,51.511578
"54",53.23,53.650002,53.029999,53.439999,1159000,52.01774
"55",53.450001,54.169998,53.439999,54.07,1165400,52.630974
"56",54.150002,54.450001,53.93,54.360001,974400,52.913257
"57",53.919998,54.349998,53.68,53.93,970900,52.4947
"58",54.150002,54.540001,54.09,54.290001,709400,52.84512
"59",54.59,54.790001,54.189999,54.549999,1114800,53.098198
"60",54.82,55.07,54.330002,54.619999,1394000,53.166335
"61",54.380001,54.560001,53.919998,54.18,1066100,53.06839
"62",53.970001,54.389999,53.709999,54.369999,1026300,53.25449
"63",54.259998,54.689999,53.98,54.209999,821800,53.097773
"64",54.09,54.16,53.490002,53.509998,845900,52.412134
"65",53.66,54.32,53.580002,53.860001,1004800,52.754955
"66",53.459999,53.990002,53.360001,53.959999,676100,52.852902
"67",54.029999,54.639999,53.709999,54.040001,1030400,52.931263
"68",53.93,53.93,53.389999,53.560001,753000,52.461111
"69",53.41,54.049999,53.369999,53.720001,863900,52.617828
"70",53.919998,54.490002,53.419998,53.869999,894500,52.764749
"71",54.130001,54.77,54.130001,54.610001,851600,53.489568
"72",54.889999,55,54.240002,54.439999,1491400,53.323054
"73",54.16,54.470001,53.900002,53.970001,603200,52.862699
"74",53.799999,54.07,53.330002,53.52,852200,52.421931
"75",53.549999,54.299999,53.450001,54.290001,801100,53.176133
"76",53.93,54.099998,53.049999,53.049999,939500,51.961573
"77",53.09,53.650002,52.98,53.400002,767800,52.304394
"78",52.619999,53.43,52.529999,53,8e+05,51.912599
"79",53.209999,53.299999,52.459999,52.470001,1135200,51.393475
"80",52.389999,52.389999,50.59,50.689999,2736400,49.649992
"81",50.580002,51.110001,50.060001,50.799999,1478700,49.757736
"82",51.279999,51.68,51.18,51.490002,1092100,50.433582
