"","EXPD.Open","EXPD.High","EXPD.Low","EXPD.Close","EXPD.Volume","EXPD.Adjusted"
"1",45.599998,45.889999,45.540001,45.57,1195400,44.902419
"2",45.549999,45.59,45.09,45.169998,1565500,44.508277
"3",45.080002,45.18,44.509998,44.619999,1237800,43.966335
"4",44.779999,45,44.34,44.669998,1643900,44.015602
"5",44.689999,44.959999,44.5,44.59,948500,43.936776
"6",44.48,44.73,44.16,44.34,1198800,43.690438
"7",44.380001,44.689999,44.169998,44.57,1170100,43.917068
"8",44.419998,44.889999,44.23,44.639999,1517000,43.986043
"9",44.59,44.950001,44.290001,44.490002,3558800,43.838242
"10",44.630001,44.630001,44.009998,44.34,867800,43.690438
"11",44.310001,44.68,43.939999,43.959999,1054900,43.316004
"12",44.02,44.360001,43.889999,44.02,931300,43.375126
"13",44.009998,44.119999,43.68,44.09,750300,43.444101
"14",44.02,44.139999,43.779999,44.110001,1250900,43.463808
"15",44.130001,44.27,43.779999,44.16,883400,43.513075
"16",44.16,44.889999,44,44.529999,936800,43.877653
"17",44.349998,44.759998,44.279999,44.540001,704300,43.887509
"18",44.509998,44.93,44.450001,44.84,566100,44.183113
"19",44.779999,44.849998,44.27,44.779999,913200,44.123991
"20",44.740002,45.200001,44.639999,44.869999,1404500,44.212673
"21",45.099998,45.150002,44.529999,44.880001,796400,44.222528
"22",44.380001,44.68,44.060001,44.349998,773100,43.70029
"23",44.389999,44.419998,44.040001,44.18,914100,43.532782
"24",44.490002,44.59,44.209999,44.400002,907000,43.749561
"25",44.400002,44.540001,44.029999,44.400002,1356700,43.749561
"26",44.57,45.060001,44.529999,45.060001,1096200,44.399892
"27",44.779999,44.82,44.16,44.18,955600,43.532782
"28",44.279999,44.869999,43.990002,44.709999,1305100,44.055017
"29",44.540001,44.84,44.360001,44.619999,663100,43.966335
"30",44.759998,45.25,44.759998,45.16,1032300,44.498425
"31",45.110001,45.41,44.889999,45.330002,8e+05,44.665937
"32",45.43,45.779999,45.32,45.689999,973600,45.02066
"33",45.57,45.740002,45.389999,45.419998,936000,44.754615
"34",45.34,45.470001,44.619999,44.860001,949200,44.202821
"35",44.700001,44.759998,43.650002,43.669998,1483000,43.030251
"36",43.91,44.220001,43.59,44.029999,1463200,43.384978
"37",43.849998,44.040001,43.16,43.18,1477200,42.547432
"38",43.25,43.720001,43.040001,43.48,1186600,42.843036
"39",43.57,43.91,43.380001,43.82,1809800,43.178056
"40",42.419998,42.709999,40.689999,41.400002,4341700,40.793509
"41",40.639999,41,39.970001,40.189999,4157200,39.601232
"42",40.259998,40.459999,40.02,40.32,2196500,39.729329
"43",40.330002,40.720001,40.330002,40.669998,2282300,40.0742
"44",40.91,41.07,40.790001,40.939999,1300800,40.340245
"45",40.810001,41.060001,40.639999,40.880001,1333100,40.281127
"46",41.009998,41.009998,40.700001,40.75,1137600,40.15303
"47",40.73,41.23,40.73,41.139999,948900,40.537316
"48",41.41,41.41,40.470001,40.599998,1740800,40.005226
"49",40.790001,41.34,40.689999,41.330002,1017200,40.724535
"50",41.41,41.57,41.09,41.540001,1018400,40.931458
"51",41.830002,41.849998,41.200001,41.23,1318600,40.625998
"52",41.240002,41.439999,41,41.040001,1156000,40.438783
"53",41.119999,41.549999,40.889999,41.419998,1332100,40.813213
"54",41.5,41.939999,41.459999,41.779999,1309100,41.16794
"55",41.759998,42,41.59,41.639999,1073100,41.029991
"56",41.639999,41.75,41.169998,41.540001,702800,40.931458
"57",41.459999,41.580002,41.119999,41.189999,706500,40.586583
"58",41.389999,41.41,41.09,41.299999,770300,40.694972
"59",41.34,41.810001,41.34,41.66,781600,41.049699
"60",41.740002,42,41.57,41.84,1306000,41.227062
"61",41.950001,42.57,41.73,42.16,1355900,41.542374
"62",42.09,42.630001,41.869999,42.599998,1308200,41.975927
"63",42.48,42.540001,41.900002,42.040001,1359500,41.424133
"64",41.959999,42.09,41.830002,41.959999,890700,41.345303
"65",41.610001,42.060001,41.509998,41.990002,973200,41.374866
"66",41.880001,42.59,41.82,42.5,1139000,41.877393
"67",42.400002,42.549999,42.139999,42.41,1241100,41.788712
"68",42.580002,42.580002,41.919998,41.98,1131700,41.365011
"69",41.959999,42.16,41.650002,42.130001,1055500,41.512815
"70",42.310001,42.610001,41.98,42.259998,1159300,41.640908
"71",42.27,42.450001,42.060001,42.349998,1029400,41.729589
"72",42.610001,43.18,41.669998,42.349998,4785100,41.729589
"73",42.450001,42.450001,41.290001,41.389999,1244200,40.783654
"74",41.220001,41.220001,40.93,41.139999,1344000,40.537316
"75",41.060001,41.450001,40.860001,41.450001,980800,40.842776
"76",41.299999,41.299999,40.59,40.700001,1044200,40.103763
"77",41.09,41.09,40.610001,40.98,930500,40.37966
"78",40.700001,40.919998,40.5,40.900002,1113100,40.300834
"79",40.900002,41.110001,40.560001,40.580002,833600,39.985522
"80",40.5,40.580002,39.709999,39.740002,1182800,39.157828
"81",39.849998,40.240002,39.57,40.189999,1308700,39.601232
"82",40.360001,40.52,40.139999,40.389999,1376800,39.798303
"83",40.57,40.790001,40.009998,40.380001,1056800,39.788451
"84",40.139999,40.220001,39.360001,39.380001,1677400,38.803101
"85",39.369999,39.490002,38.799999,39.459999,2325000,38.881927
"86",39.360001,39.59,38.509998,38.57,1504500,38.004966
"87",38.490002,38.939999,38.169998,38.349998,1266300,37.788187
"88",38.32,39.02,38.139999,38.209999,2941600,37.650239
"89",38.540001,39.630001,38.48,39.220001,2005500,38.645445
"90",39,39.77,38.619999,39.549999,2024000,38.970609
"91",39,39.689999,38.919998,39.209999,1632700,38.635589
"92",39.549999,39.740002,39.240002,39.599998,1493900,39.019876
"93",39.57,39.880001,39.41,39.860001,948500,39.276069
"94",39.990002,40.849998,39.849998,40.84,1054000,40.241712
"95",40.880001,41.009998,40.400002,40.419998,1875400,39.827863
