"","MRK.Open","MRK.High","MRK.Low","MRK.Close","MRK.Volume","MRK.Adjusted"
"1",57.919998,58.5,57.919998,58.490002,7663700,56.312132
"2",58.52,59.029999,58.400002,58.810001,11696800,56.620217
"3",58.279999,58.720001,58.060001,58.299999,9563900,56.552314
"4",58.110001,58.650002,57.98,58.240002,8398500,56.494115
"5",58.060001,58.380001,57.73,58.07,7731500,56.32921
"6",57.950001,58.220001,57.779999,58.060001,6266700,56.319511
"7",58.029999,58.450001,57.810001,58.41,7837000,56.659018
"8",58.419998,58.419998,58.099998,58.299999,6011900,56.552314
"9",58.610001,59.279999,58.439999,58.919998,14418000,57.153727
"10",58.810001,58.98,58.41,58.5,7054400,56.74632
"11",58.380001,58.759998,57.880001,57.919998,8158500,56.183705
"12",57.73,59.32,57.720001,58.860001,13274300,57.095528
"13",58.759998,58.77,58.25,58.529999,7238300,56.775419
"14",58.369999,58.52,57.48,57.529999,17285700,55.805397
"15",57.610001,58.200001,57.529999,57.849998,8735000,56.115804
"16",57.700001,58.639999,57.48,58.509998,8838000,56.756018
"17",58.470001,59.099998,58.369999,59.049999,6941000,57.279831
"18",59.389999,59.450001,59.07,59.200001,5220100,57.425336
"19",58.91,59.650002,58.490002,58.52,9276200,56.765721
"20",58.66,58.669998,57.91,58.169998,8270100,56.42621
"21",58.450001,58.720001,58.18,58.549999,6938700,56.79482
"22",58.279999,58.77,57.73,58.580002,5583700,56.823923
"23",58.650002,58.740002,58.16,58.439999,6106800,56.688117
"24",58.619999,58.669998,58.060001,58.18,8379100,56.435913
"25",58.130001,58.400002,57.490002,57.91,10158100,56.174006
"26",57.939999,58.209999,57.73,58.150002,6805000,56.406813
"27",57.869999,58.240002,57.57,57.599998,6649700,55.873298
"28",57.919998,58.43,57.619999,58.34,7432700,56.591116
"29",57.889999,58.189999,57.709999,58,7095700,56.261308
"30",58.130001,58.880001,58.130001,58.43,6509200,56.678418
"31",58.299999,58.5,58.049999,58.110001,6292400,56.368012
"32",58.32,58.5,57.919998,58.209999,10064200,56.465012
"33",58.130001,58.360001,57.919998,58.150002,5525100,56.406813
"34",58.169998,58.34,57.849998,57.970001,8600700,56.232209
"35",58.82,59.279999,58.139999,58.580002,10328000,56.823923
"36",58.580002,58.849998,57.610001,58.080002,8051800,56.338912
"37",57.759998,58.07,56.720001,56.740002,10119000,55.039082
"38",56.580002,57.119999,56.279999,56.799999,10141000,55.097281
"39",56.950001,57.27,56.360001,57.060001,8649500,55.349489
"40",56.720001,56.970001,55.82,56.029999,9031200,54.350363
"41",55.880001,56.139999,55.720001,55.93,12275800,54.253362
"42",56.209999,56.560001,55.57,55.639999,7215500,53.972055
"43",55.869999,56.610001,55.580002,56.549999,7081500,54.854775
"44",56.700001,57.049999,56.459999,56.66,5499100,54.961478
"45",56.549999,57.139999,56.52,57.029999,7090200,55.320385
"46",57.389999,57.889999,57.16,57.849998,10670400,56.115804
"47",58.049999,58.790001,58,58.779999,7932300,57.017925
"48",58.799999,59,58.029999,58.610001,9046800,56.853023
"49",58.799999,58.869999,58.349998,58.419998,9443900,56.668716
"50",58.849998,58.950001,58.34,58.91,7435000,57.144029
"51",58.68,59.57,58.529999,59.48,7038400,57.696941
"52",59.400002,59.66,58.790001,58.849998,7646800,57.085826
"53",59.040001,59.360001,58.900002,59.169998,5187600,57.396233
"54",59.34,59.869999,59.259998,59.73,5170800,57.939447
"55",59.669998,60.400002,59.66,60.200001,9220600,58.395359
"56",60.400002,60.580002,60.110001,60.279999,6546700,58.472959
"57",59.889999,60.23,59.84,60,5241000,58.201354
"58",60.419998,60.419998,59.830002,60.110001,5715800,58.308057
"59",59.73,60.099998,59.669998,59.790001,6054500,57.99765
"60",60.119999,60.860001,60.060001,60.48,9096200,58.666964
"61",60.57,61,59.919998,60.080002,10809000,58.278957
"62",60.419998,61.18,60.150002,61.18,10744200,59.34598
"63",61.220001,61.330002,60.830002,61.049999,8420400,59.219876
"64",60.84,61.029999,60.470001,60.560001,7443700,58.744568
"65",60.669998,60.869999,60.349998,60.759998,9212800,58.938569
"66",60.209999,60.439999,59.810001,60.099998,7785200,58.723609
"67",59.880001,60.130001,59.259998,59.549999,7021800,58.186206
"68",59.650002,59.990002,59.5,59.52,7738900,58.156894
"69",59.509998,60.060001,59.279999,59.990002,9045400,58.616131
"70",59.529999,60.009998,59.279999,59.880001,10271200,58.50865
"71",60.130001,60.34,59.82,60.310001,8004100,58.928803
"72",60.75,60.889999,60.490002,60.490002,14480700,59.104681
"73",60.369999,60.98,60.259998,60.580002,9320500,59.19262
"74",60.150002,60.73,59.689999,60.279999,8012100,58.899487
"75",60.310001,60.540001,60.23,60.360001,11465600,58.977657
"76",60.279999,60.5,59.630001,59.639999,8691800,58.274145
"77",59.720001,59.790001,58.549999,59.389999,10786200,58.02987
