"","NE.Open","NE.High","NE.Low","NE.Close","NE.Volume","NE.Adjusted"
"1",31.86,32.060008,31.740008,31.889996,4302500,25.798309
"2",31.820006,31.86,31.550001,31.840005,2859500,25.757866
"3",32.02,32.980001,31.959997,32.870003,7204900,26.591113
"4",32.899999,33.300001,32.660001,33.169994,3861800,26.833799
"5",33.300001,33.560009,33.050002,33.360001,3795100,26.987511
"6",33.350004,33.939999,33.159997,33.880009,6667000,27.408185
"7",33.920003,34.150004,33.430005,34.02,6156400,27.521435
"8",34.01,34.160002,33.590005,34.070003,3115800,27.561886
"9",34.18,34.65,34.130006,34.370007,5665900,27.804583
"10",34.419999,34.530007,34.269997,34.349998,3403300,27.788396
"11",34.429997,34.439997,33.469999,33.590005,2848700,27.173578
"12",33.410007,33.54,33.06,33.410007,2817200,27.027964
"13",33.479997,33.479997,32.679996,32.97,2869800,26.672008
"14",32.849997,33.300001,32.810003,33.250006,2530100,26.898527
"15",33.290001,33.680002,33.080009,33.560009,3316600,27.149312
"16",33.740005,33.779999,32.97,32.989999,3337700,26.688186
"17",32.860005,33.069997,32.450009,32.610009,5350300,26.380783
"18",32.860005,32.950005,32.660001,32.75,1891500,26.494033
"19",32.870003,32.870003,32.300006,32.340001,2634900,26.162352
"20",32.260002,32.490003,31.910005,32.43,4777600,26.235159
"21",32.43,32.630004,32.11,32.330003,2479500,26.154264
"22",32.100002,32.160005,31.799997,32.000005,2845600,25.887303
"23",31.949999,32.010003,31.670007,31.760003,3121300,25.693147
"24",32.039999,32.290009,31.940002,32.220005,3255600,26.065279
"25",32.509998,32.710006,31.930001,32.279997,3848500,26.113811
"26",32.509998,33.080009,32.359999,33.06,4183300,26.744816
"27",33.200004,33.370002,32.550006,32.650003,3762400,26.413137
"28",32.759998,33.069997,32.519999,32.560004,3328100,26.34033
"29",32.519999,32.660001,32.209997,32.59,3378300,26.364596
"30",32.730002,33.180006,32.669999,33.040004,3405800,26.728639
"31",33.009997,33.290001,32.739999,33.180006,2997600,26.841898
"32",33.080009,33.090006,32.390006,32.420002,5255200,26.227071
"33",32.439998,32.540005,32.220005,32.380005,1826300,26.194715
"34",32.279997,32.380005,31.920003,32.240003,2948800,26.081457
"35",32.220005,32.470004,32.140006,32.300006,2448700,26.129998
"36",32.439998,32.59,31.850002,31.920003,4048300,25.822584
"37",32.029998,32.029998,30.960005,31.370002,6991600,25.377645
"38",31.16,31.370002,30.679999,31.079998,6744100,25.143038
"39",27.16,27.23,26.41,27,6264900,24.987716
"40",26.83,26.870001,26.1,26.549999,10329500,24.571253
"41",26.5,26.950001,26.4,26.440001,4801600,24.469452
"42",26.610001,26.75,26.139999,26.27,4103100,24.312122
"43",26.15,26.85,26.040001,26.83,4729100,25.189967
"44",26.83,27.35,26.719999,27.16,4912500,25.499795
"45",27.09,27.27,26.709999,26.780001,3163500,25.143024
"46",26.85,27.040001,26.530001,26.59,2791900,24.964638
"47",26.9,27.5,26.860001,27.139999,7100600,25.481017
"48",27.200001,27.309999,26.85,27.16,13047600,25.499795
"49",27.23,27.450001,27.139999,27.280001,3307300,25.612461
"50",27.35,27.870001,27.299999,27.85,3748400,26.147618
"51",27.799999,27.969999,27.5,27.959999,2951400,26.250893
"52",27.9,28.01,27.77,27.940001,3101500,26.232117
"53",27.77,27.870001,27.389999,27.68,3443400,25.98801
"54",27.690001,27.790001,27.41,27.51,2567500,25.828401
"55",27.549999,27.860001,27.549999,27.799999,3002400,26.100673
"56",27.77,28.110001,27.629999,28.040001,4011500,26.326005
"57",28.040001,28.129999,27.92,27.940001,2707600,26.232117
"58",27.98,28.459999,27.870001,28.459999,3227700,26.72033
"59",28.43,28.5,27.43,27.469999,4851000,25.790845
"60",28.02,28.360001,27.709999,27.85,6076800,26.147618
"61",27.68,27.700001,26.82,26.99,6165300,25.340187
"62",26.91,27.02,26.5,26.6,5214400,24.974027
"63",26.5,26.530001,26.26,26.52,4158700,24.898917
"64",26.379999,26.84,26.309999,26.700001,4917000,25.067914
"65",26.629999,26.940001,26.26,26.92,4646200,25.274466
"66",26.75,27.370001,26.51,27.299999,4522000,25.631237
"67",27.09,27.139999,25.940001,25.950001,9741700,24.36376
"68",25.860001,25.860001,25.27,25.42,8011900,23.866156
"69",25.469999,25.690001,25.33,25.440001,4764000,23.884934
"70",25.5,25.549999,24.620001,24.639999,8222300,23.133834
"71",24.82,24.84,24.18,24.48,5684700,22.983615
"72",24.540001,24.690001,24.01,24.280001,9937200,22.795841
"73",24.120001,24.120001,23.57,23.84,6816500,22.382737
"74",23.77,24.049999,23.58,23.59,6298200,22.148018
