"","LUV.Open","LUV.High","LUV.Low","LUV.Close","LUV.Volume","LUV.Adjusted"
"1",27.5,27.51,27.059999,27.290001,5622200,27.106197
"2",27.040001,27.190001,26.780001,26.940001,9001100,26.758554
"3",26.67,26.68,25.469999,25.719999,13574700,25.54677
"4",25.700001,26.440001,25.68,26.299999,9711300,26.122863
"5",26.200001,26.33,25.92,26.1,6514100,25.924212
"6",26.48,26.700001,26.280001,26.629999,7454400,26.450641
"7",26.620001,26.73,26.190001,26.67,5877700,26.490372
"8",26.77,27.08,26.73,27.08,6860700,26.897611
"9",27.209999,27.379999,27.120001,27.290001,8722800,27.106197
"10",27.280001,27.370001,26.790001,26.92,4500100,26.738688
"11",26.9,27.120001,26.629999,26.639999,4208300,26.460574
"12",26.620001,27.059999,26.440001,26.969999,4006500,26.788351
"13",27.01,27.1,26.75,27.059999,3241400,26.877745
"14",26.99,27.209999,26.889999,27.139999,9310500,26.957206
"15",27.15,27.24,26.790001,26.860001,4876100,26.679093
"16",27.18,27.83,27.049999,27.73,7240100,27.543232
"17",27.469999,27.65,27.07,27.469999,7540700,27.284983
"18",27.59,27.780001,27.549999,27.709999,3050500,27.523367
"19",27.68,27.709999,27.08,27.17,6375800,26.987005
"20",26.879999,26.879999,25.860001,26.700001,12062600,26.520171
"21",27.5,27.65,26.84,27.209999,8355100,27.026734
"22",27.01,27.440001,26.93,27.27,8868400,27.086331
"23",27.34,27.620001,27.24,27.440001,4799800,27.255186
"24",27.57,27.83,27.459999,27.6,4126800,27.414109
"25",27.75,27.99,27.5,27.9,6970900,27.712087
"26",28.030001,28.16,27.85,28.030001,4627800,27.841213
"27",27.809999,28.110001,27.309999,27.51,5426600,27.324715
"28",27.59,27.99,27.58,27.809999,4957100,27.622693
"29",27.790001,27.879999,27.549999,27.66,4335400,27.473704
"30",27.73,28.07,27.73,28.049999,4350800,27.861077
"31",28.18,28.969999,28.17,28.870001,7096000,28.675555
"32",29.25,29.5,28.360001,28.68,10019500,28.486835
"33",28.799999,29.700001,28.75,29.24,8058000,29.043062
"34",29.360001,29.379999,28.74,29.209999,6243900,29.013264
"35",29.309999,29.360001,28.68,28.709999,5896200,28.516631
"36",28.85,29.1,28.68,28.84,4345100,28.645757
"37",28.6,28.73,28.209999,28.280001,6354800,28.089529
