"","MOS.Open","MOS.High","MOS.Low","MOS.Close","MOS.Volume","MOS.Adjusted"
"1",48.990002,49.279999,48.650002,49.110001,2125900,48.059803
"2",49,49.169998,48.689999,48.810001,1682500,47.766219
"3",48.810001,49,48.59,48.599998,2198700,47.560707
"4",48.560001,48.639999,48.25,48.580002,1516200,47.541138
"5",48.540001,49.689999,48.450001,49.650002,5293400,48.588256
"6",49.599998,50.450001,49.220001,50.049999,5437900,48.9797
"7",50.049999,50.389999,49.77,50.060001,3741000,48.989488
"8",50.450001,50.77,50.150002,50.630001,4839600,49.547299
"9",50.830002,50.950001,50.450001,50.639999,5915500,49.557083
"10",50.669998,51.25,50.41,50.790001,3052000,49.703877
"11",50.82,50.91,50.099998,50.130001,2573500,49.057991
"12",50.240002,50.580002,49.849998,49.959999,2159200,48.891625
"13",49.950001,50.009998,49.610001,49.959999,1840000,48.891625
"14",49.740002,50.130001,49.639999,49.700001,5186600,48.637186
"15",49.869999,49.889999,49.400002,49.450001,3088200,48.392532
"16",49.509998,49.59,49.290001,49.349998,2387500,48.294669
"17",49.400002,49.450001,48.869999,49.07,4264400,48.020658
"18",49.130001,49.240002,48.900002,49.189999,1975700,48.13809
"19",49.16,49.25,48.689999,48.759998,2852000,47.717285
"20",48.59,48.66,47.700001,48.189999,4549100,47.159475
"21",48.200001,48.299999,47.5,48.040001,3558500,47.012685
"22",47.41,47.580002,46.84,47.34,3205600,46.327653
"23",47.310001,47.52,47.200001,47.27,1992500,46.259151
"24",47.380001,47.84,47.200001,47.599998,2907600,46.582092
"25",47.779999,48.290001,47.330002,47.470001,2212500,46.454874
"26",47.5,47.93,47.5,47.810001,1828500,46.787604
"27",47.700001,47.959999,47.330002,47.549999,2113600,46.533162
"28",47.580002,47.860001,47.439999,47.790001,2238600,46.768031
"29",47.68,47.68,47.049999,47.23,2312600,46.220005
"30",47.349998,47.490002,47.189999,47.27,2041800,46.259151
"31",47.380001,47.599998,47.110001,47.5,1990500,46.484232
"32",47.860001,48.240002,47.18,47.34,3554600,46.327653
"33",47.299999,47.400002,46.939999,47.099998,2126200,46.092784
"34",47.150002,47.48,46.950001,47.459999,1764500,46.445086
"35",47.5,47.650002,47.200001,47.200001,1349600,46.190648
"36",47.259998,47.419998,46.93,47.18,1933300,46.171075
"37",46.75,47.400002,45.950001,46.110001,3638100,45.123957
"38",46.09,46.279999,45.650002,46.040001,2720500,45.055454
"39",46.169998,47.029999,45.84,46.939999,3688100,45.936206
"40",46.700001,47.27,46.610001,47.110001,3620100,46.102572
"41",46.669998,47.18,46.66,47.029999,2915900,46.024281
"42",47.150002,47.25,46.07,46.220001,2691600,45.231605
"43",46.220001,46.299999,45.619999,46.279999,2270900,45.29032
"44",46.48,46.759998,46.41,46.5,1398100,45.505616
"45",46.5,46.66,46.369999,46.529999,1507800,45.534974
"46",46.18,46.209999,45.5,45.720001,3254600,44.742297
"47",45.720001,45.990002,45.59,45.959999,1435900,44.977163
"48",46.009998,46.490002,45.939999,46.450001,2346000,45.456686
"49",46.650002,47.009998,46.57,46.990002,2399900,45.985139
"50",46.950001,47.400002,46.759998,47.110001,1559600,46.102572
"51",47.049999,47.400002,46.919998,47.360001,1856500,46.347226
"52",47.290001,47.650002,47.27,47.549999,1753500,46.533162
"53",47.490002,47.650002,47.349998,47.470001,1921000,46.454874
"54",47.650002,47.68,47.459999,47.529999,1423200,46.513589
"55",47.599998,47.700001,47.490002,47.529999,1791300,46.513589
"56",47.549999,48,47.529999,47.950001,2479300,46.924609
"57",47.700001,48.209999,47.57,47.970001,1935900,46.944182
"58",47.939999,48.09,47.68,47.759998,1698100,46.73867
"59",47.630001,47.650002,47.119999,47.400002,2157200,46.63046
"60",47.639999,47.650002,47.150002,47.25,1617700,46.482894
"61",47.209999,47.369999,46.799999,46.900002,3139400,46.138577
"62",47,47.299999,46.880001,47.259998,2145600,46.49273
"63",47.209999,47.310001,47,47.139999,1536200,46.374679
"64",46.869999,46.869999,46.049999,46.23,3138300,45.479453
"65",46.119999,46.279999,45.650002,46.189999,2964700,45.440102
"66",45.869999,46.34,45.720001,46.16,2412600,45.41059
"67",46.169998,46.450001,45.830002,46.290001,2679700,45.53848
"68",46.209999,46.540001,46.110001,46.41,1861800,45.656531
"69",46.25,46.84,46.110001,46.779999,2971500,46.020523
"70",46.950001,47.139999,46.73,46.810001,2115500,46.050038
"71",46.919998,47.099998,46.580002,46.73,1558600,45.971335
"72",46.880001,46.880001,46.34,46.439999,4626300,45.686043
