"","MET.Open","MET.High","MET.Low","MET.Close","MET.Volume","MET.Adjusted"
"1",55.400002,55.400002,54.720001,55.049999,6480700,53.545986
"2",54.790001,55.209999,54.630001,54.869999,4367800,53.370903
"3",54.889999,55.119999,54.119999,54.330002,4967300,52.845659
"4",54.450001,54.790001,54.189999,54.470001,3917200,52.981834
"5",54.27,54.610001,54.080002,54.439999,3873400,52.952651
"6",54.349998,56.330002,54.349998,56.150002,9348000,54.615935
"7",55.860001,56.599998,55.700001,56.540001,7700000,54.995279
"8",56.610001,56.610001,56.119999,56.279999,5830700,54.742381
"9",56.459999,56.869999,56.25,56.450001,7003500,54.907738
"10",56.450001,56.759998,56.150002,56.549999,4895600,55.005005
"11",56.049999,56.810001,55.91,56.049999,4813200,54.518665
"12",55.849998,55.970001,55.27,55.919998,5222100,54.392216
"13",55.689999,55.75,54.75,55.689999,4587800,54.1685
"14",55.619999,55.75,55.029999,55.549999,6212100,54.032325
"15",55.220001,55.799999,55.150002,55.560001,4151900,54.042054
"16",55.59,56.630001,55.59,56.18,4145300,54.645114
"17",56.150002,56.869999,55.990002,56.099998,3806200,54.567298
"18",56.700001,57.57,56.700001,57.220001,4582900,55.656701
"19",56.990002,57.040001,56.310001,56.619999,3194200,55.073092
"20",56.610001,56.610001,55.810001,55.990002,4592900,54.460307
"21",56.369999,56.759998,56.16,56.349998,3960200,54.810468
"22",55.029999,55.709999,54.669998,55.450001,5032100,53.935059
"23",55.279999,55.93,55.110001,55.740002,4249400,54.217137
"24",56.470001,56.740002,55.919998,56.139999,9225100,54.606206
"25",56.369999,56.66,55.669998,56.139999,4265800,54.606206
"26",56.619999,56.700001,55.740002,55.959999,3421000,54.431124
"27",55.560001,56.27,54.810001,55.02,6459700,53.516807
"28",55.41,55.93,54.959999,55.830002,4066000,54.304678
"29",55.610001,55.810001,55.150002,55.509998,3112700,53.993417
"30",55.740002,55.849998,54.509998,55.5,6461400,53.983692
"31",55.610001,55.68,54.93,55.279999,3572900,53.769702
"32",55.43,55.470001,54.91,55.150002,5948000,53.643256
"33",55.139999,55.389999,54.439999,54.75,4913500,53.254183
"34",54.68,54.919998,53.91,54.810001,5220200,53.312545
"35",54.740002,54.939999,54.029999,54.09,5290100,52.612215
"36",54.23,54.849998,54.060001,54.439999,7299800,52.952651
"37",53.779999,54.02,52.400002,52.599998,10021800,51.162921
"38",52.299999,52.700001,51.799999,52.130001,6769700,50.705765
"39",52.32,52.529999,51.790001,52.380001,6177800,50.948934
"40",52.040001,52.200001,51.470001,51.669998,8240700,50.258329
"41",51.049999,51.57,50.950001,51.330002,6342600,50.268127
"42",51.700001,52.060001,50.91,51.080002,6278600,50.023298
"43",51.119999,51.73,50.810001,51.700001,5160500,50.630471
"44",51.939999,51.990002,51.5,51.75,7767900,50.679436
"45",51.369999,52.27,51.369999,52.16,4519500,51.080954
"46",52.540001,52.700001,52.16,52.439999,4815600,51.355161
"47",52.490002,52.959999,52.470001,52.93,3835400,51.835026
"48",53.049999,53.23,51.93,52.48,3899400,51.394334
"49",52.900002,53.57,52.779999,53.490002,4972400,52.383442
"50",53.610001,53.93,53.27,53.630001,5438600,52.520545
"51",53.5,53.880001,53.360001,53.700001,3268900,52.589097
"52",53.68,54.169998,53.209999,53.939999,5889000,52.82413
"53",53.740002,54.18,53.5,53.59,4056800,52.481372
"54",53.91,54.400002,53.759998,54.240002,3665600,53.117927
"55",54.259998,54.57,54.169998,54.540001,3317100,53.41172
"56",54.599998,54.990002,54.5,54.73,5355500,53.597788
"57",54.290001,54.540001,53.689999,54.389999,4260500,53.264821
"58",54.5,54.82,54.310001,54.740002,4068500,53.607583
"59",54.880001,55.619999,54.860001,55.34,6352600,54.195169
"60",55.639999,55.77,55.110001,55.18,4239400,54.038479
"61",55.290001,55.799999,55.290001,55.419998,6381000,54.273512
"62",55.150002,55.369999,54.75,55.259998,5211500,54.116822
"63",55.200001,55.529999,54.619999,54.84,3900000,53.705513
"64",54.810001,54.84,54.169998,54.290001,4757100,53.166892
"65",54.509998,55.110001,54.459999,54.700001,3207000,53.56841
"66",54.240002,54.91,54.240002,54.709999,3585900,53.578201
"67",54.880001,55.57,54.790001,55.470001,6328700,54.322481
"68",55.450001,55.450001,54.779999,55.060001,3970300,53.920963
"69",54.740002,55.529999,54.73,55.25,3283900,54.107031
"70",55.419998,55.689999,54.830002,55.279999,5601100,54.136409
"71",55.700001,56.349998,55.540001,55.889999,7193800,54.733791
"72",56.209999,56.59,55.73,55.970001,6602900,54.812137
"73",55.810001,55.900002,55.200001,55.220001,4273600,54.077653
"74",55.07,55.509998,54.610001,54.75,4715200,53.617375
"75",54.779999,55.52,54.66,55.450001,3538700,54.302894
"76",55.299999,55.299999,54.080002,54.099998,5293200,52.98082
"77",54.290001,54.5,53.860001,54.200001,4848800,53.078753
"78",53.549999,54.25,53.07,53.91,5204400,52.794752
"79",54.080002,54.490002,53.689999,53.720001,5364300,52.608684
"80",53.490002,53.540001,52.09,52.220001,6983100,51.139714
"81",52.290001,52.830002,51.880001,52.549999,5246100,51.462886
"82",53.049999,53.619999,52.93,53.34,4594800,52.236544
"83",53.459999,53.68,52.77,52.990002,4403000,51.893786
"84",52.52,52.779999,51.439999,51.470001,5592900,50.40523
"85",51.16,51.990002,50.82,51.970001,8630300,50.894886
"86",51.84,51.970001,50.16,50.349998,10141500,49.308397
"87",50.290001,50.48,49.720001,49.73,9184500,48.701224
"88",49.75,50.169998,48.889999,48.970001,8973300,47.956948
"89",49.200001,49.57,48.740002,48.889999,10110000,47.878601
"90",48.02,48.02,46.150002,47.709999,19268400,46.723012
"91",47.57,48.48,46.919998,47.860001,15766900,46.86991
