"","CBG.Open","CBG.High","CBG.Low","CBG.Close","CBG.Volume","CBG.Adjusted"
"181",34.689999,34.740002,34.330002,34.459999,699200,34.459999
"182",34.389999,34.529999,34.25,34.259998,801200,34.259998
"183",34.259998,34.84,34.259998,34.810001,1450100,34.810001
"184",34.639999,34.66,34.27,34.48,1319700,34.48
"185",34.43,34.540001,34.189999,34.209999,1264400,34.209999
"186",34.32,34.689999,34.060001,34.529999,2647400,34.529999
"187",34.400002,34.799999,34.32,34.66,3895400,34.66
"188",34.700001,34.970001,34.650002,34.869999,1333500,34.869999
"189",34.650002,34.880001,34.110001,34.119999,1533600,34.119999
"190",34.16,34.369999,33.970001,34.139999,1018700,34.139999
"191",34.349998,35.009998,34.34,34.990002,1177500,34.990002
"192",34.939999,35.200001,34.419998,34.540001,1796500,34.540001
"193",34.740002,35.040001,34.709999,35.009998,1689800,35.009998
"194",34.849998,35.02,34.66,34.93,1226200,34.93
"195",34.860001,36.080002,34.700001,35.810001,1771200,35.810001
"196",35.740002,35.91,35.540001,35.740002,1225100,35.740002
"197",35.849998,36.849998,35.849998,36.790001,3055500,36.790001
"198",36.77,36.869999,36.580002,36.580002,1770700,36.580002
"199",36.439999,36.490002,36.040001,36.060001,908200,36.060001
"200",36.119999,36.189999,35.48,35.490002,1161000,35.490002
"201",35.369999,35.82,35.299999,35.650002,1141400,35.650002
"202",35.68,35.970001,35.540001,35.93,1107200,35.93
"203",36.16,36.509998,36.060001,36.41,977500,36.41
"204",36.889999,38.990002,36.709999,38.709999,5689100,38.709999
"205",38.810001,39,38.369999,38.830002,2367700,38.830002
"206",38.790001,39.34,38.689999,38.889999,2410000,38.889999
"207",38.799999,39.029999,38.73,38.919998,1293300,38.919998
"208",38.830002,38.889999,38.34,38.349998,1258700,38.349998
"209",38.490002,38.66,38.07,38.43,1700900,38.43
"210",38.34,38.790001,38.27,38.650002,1149800,38.650002
"211",38.810001,39.049999,38.389999,38.509998,790900,38.509998
"212",38.490002,38.849998,38.349998,38.580002,851000,38.580002
"213",38.610001,38.84,38.23,38.32,796700,38.32
"214",38.52,38.639999,38.310001,38.41,970000,38.41
"215",38.130001,38.950001,38.09,38.880001,1391100,38.880001
"216",38.59,38.709999,38.099998,38.419998,1269000,38.419998
"217",38.580002,38.669998,38.369999,38.540001,912600,38.540001
"218",38.650002,38.669998,38.279999,38.330002,896400,38.330002
"219",38.389999,38.549999,38.099998,38.330002,1422000,38.330002
"220",38.169998,38.32,37.93,38.23,1520300,38.23
"221",38.330002,38.709999,38.27,38.490002,1165900,38.490002
"222",38.619999,38.939999,38.299999,38.360001,1366500,38.360001
"223",38.419998,38.75,38.240002,38.66,1483800,38.66
"224",39,39.77,37.950001,38.59,2325200,38.59
"225",38.549999,38.849998,38.080002,38.34,2097400,38.34
"226",38.639999,38.73,38.279999,38.509998,968900,38.509998
"227",38.580002,38.790001,38.220001,38.580002,1018000,38.580002
"228",38.310001,38.34,37.259998,37.279999,1796700,37.279999
"229",37.290001,37.48,36.52,36.869999,1645600,36.869999
"230",36.919998,37.200001,36.709999,37.009998,2021400,37.009998
"231",37.580002,37.900002,37.459999,37.549999,1761900,37.549999
"232",37.43,38.529999,37.369999,38.330002,3682300,38.330002
"233",38.040001,38.040001,37.360001,37.57,1644300,37.57
"234",37.57,37.880001,37.27,37.599998,1893400,37.599998
"235",37.93,38.549999,37.669998,38.52,2622700,38.52
