"","STJ.Open","STJ.High","STJ.Low","STJ.Close","STJ.Volume","STJ.Adjusted"
"1",66.239998,66.360001,65.529999,66.019997,1327800,64.668857
"2",65.639999,65.839996,65.260002,65.339996,865800,64.002773
"3",65.279999,65.379997,64.589996,64.879997,951200,63.552188
"4",64.82,65.459999,64.699997,65.089996,1121500,63.75789
"5",65.620003,66.68,65.620003,66.25,2339000,64.894153
"6",66,66.900002,65.800003,66.690002,1528200,65.325151
"7",66.559998,67.610001,66.110001,67.529999,1181900,66.147956
"8",67.650002,67.940002,67.389999,67.75,1029700,66.363455
"9",68.129997,69.860001,68.089996,69.839996,2798900,68.410678
"10",69.860001,70,69.010002,69.239998,1495600,67.822959
"11",69.230003,70.110001,69.199997,69.489998,1464600,68.067843
"12",69.599998,70.589996,69.599998,70.459999,2002500,69.017992
"13",70.330002,70.330002,69.220001,69.910004,1138400,68.742671
"14",69.610001,69.980003,69.269997,69.540001,1629700,68.378847
"15",69.830002,69.889999,69.129997,69.25,1389200,68.093688
"16",69.550003,70.019997,69.5,69.690002,1284300,68.526344
"17",69.459999,70.360001,69.260002,70,1062100,68.831165
"18",70.050003,70.559998,69.709999,70.129997,862500,68.958991
"19",71.739998,71.900002,70.230003,70.32,4012500,69.145821
"20",70.330002,70.470001,69.459999,70.230003,2101700,69.057328
"21",70.230003,70.419998,69.580002,69.599998,1535100,68.437842
"22",68.849998,69.300003,68.059998,69.010002,2176300,67.857698
"23",69,70.150002,68.790001,70.07,1316000,68.899996
"24",70.269997,70.269997,69.389999,69.610001,1252700,68.447678
"25",69.650002,70,68.190002,68.279999,3858200,67.139884
"26",68.300003,68.910004,67.129997,67.660004,2143600,66.530241
"27",67.610001,68.129997,66.739998,66.779999,1883600,65.66493
"28",66.949997,67.160004,66.660004,67.139999,2071800,66.01892
"29",67.059998,67.230003,66.57,67.07,1717300,65.950089
"30",67.360001,67.720001,66.800003,67.050003,1517000,65.930426
"31",67.279999,67.519997,66.790001,67.059998,1314000,65.940254
"32",66.93,67.139999,66.580002,67.029999,1376200,65.910756
"33",67.019997,67.139999,66.440002,66.879997,1156500,65.763259
"34",66.839996,66.949997,66.209999,66.760002,1414600,65.645267
"35",66.790001,67,66.029999,66.029999,1297000,64.927453
"36",66.190002,66.790001,66.080002,66.550003,784500,65.438775
"37",66.089996,66.089996,65.129997,65.190002,1196700,64.101483
"38",65.209999,66.160004,64.760002,65.239998,2115600,64.150644
"39",65.470001,65.82,64.769997,65.760002,1153300,64.661965
"40",66.440002,66.580002,65.43,65.769997,2402900,64.671793
"41",65.309998,66.099998,64.809998,64.919998,2510500,63.835987
"42",65.279999,65.279999,63.34,63.439999,2588300,62.3807
"43",63.580002,64.389999,63.080002,64.309998,1707600,63.236172
"44",64.43,64.599998,63.580002,63.639999,1035600,62.577361
"45",63.139999,63.669998,63.029999,63.200001,1266100,62.14471
"46",63.619999,64.160004,63.32,63.900002,1570900,62.833022
"47",64,64.440002,63.599998,63.75,1361400,62.685525
"48",63.759998,63.950001,62.610001,63.240002,1212000,62.184043
"49",63.68,64.199997,63.470001,64.160004,1865800,63.088683
"50",64.160004,64.57,63.82,64.550003,1304900,63.47217
"51",64.43,64.769997,64.059998,64.330002,1686800,63.255842
"52",64.470001,64.739998,64.260002,64.550003,884200,63.47217
"53",64.589996,64.940002,64.410004,64.550003,1068100,63.47217
