"","DGX.Open","DGX.High","DGX.Low","DGX.Close","DGX.Volume","DGX.Adjusted"
"1",61.779999,61.950001,61,61.060001,2374400,59.487012
"2",60.799999,60.869999,59.549999,59.619999,3515100,58.084106
"3",59.669998,60.09,58.66,59.709999,2076300,58.171788
"4",59.740002,60.099998,59.040001,59.209999,1464000,57.684669
"5",59.349998,59.369999,58.400002,58.549999,1351600,57.041671
"6",58.290001,58.59,58.259998,58.57,1203000,57.061157
"7",58.400002,58.639999,58.220001,58.540001,1280900,57.031931
"8",58.549999,58.669998,58.060001,58.639999,1230800,57.129353
"9",58.759998,59.310001,58.470001,59.080002,1632200,57.55802
"10",59.150002,59.57,58.709999,59.220001,1072000,57.694413
"11",59.080002,59.32,58.639999,58.950001,603500,57.431368
"12",59.080002,59.59,58.52,58.529999,1336400,57.022186
"13",58.57,58.580002,57.939999,58.32,1351700,56.817597
"14",58.02,58.84,57.880001,58.82,1418600,57.304716
"15",58.82,58.990002,58.490002,58.689999,1151100,57.178064
"16",58.869999,59.290001,58.759998,59.09,1057300,57.567761
"17",59.209999,59.759998,58.889999,59.75,1153000,58.210758
"18",59.75,60.119999,59.41,60.07,854200,58.522514
"19",59.560001,59.919998,59.259998,59.459999,1413500,58.248221
"20",59.389999,59.619999,59.200001,59.279999,1216000,58.071889
"21",59.34,59.490002,58.93,59.349998,725800,58.140462
"22",59,59.27,58.84,59.040001,880500,57.836782
"23",59.029999,59.459999,58.560001,59.400002,696200,58.189446
"24",59.66,60.599998,59.630001,60.23,1988500,59.002529
"25",60.380001,61.279999,60.380001,60.900002,1928000,59.658876
"26",61.189999,61.689999,60.970001,61.490002,2085000,60.236853
"27",61.23,61.830002,60.619999,60.650002,1388200,59.413971
"28",60.759998,60.889999,59.59,60.209999,1913900,58.982936
"29",60.220001,60.759998,59.93,60.75,1153000,59.511932
"30",61.139999,61.619999,60.98,61.52,1411000,60.26624
"31",61.43,61.52,60.880001,61.279999,1046200,60.031129
"32",61.919998,61.919998,60.419998,61.43,1947600,60.178074
"33",61.720001,62.349998,61.25,62.139999,1468800,60.873603
"34",61.509998,62.23,61.34,62.110001,1447300,60.844216
"35",62.060001,62.459999,62.049999,62.240002,1262200,60.971568
"36",62.23,62.540001,62.029999,62.48,1211400,61.206675
"37",62.41,62.48,61.040001,61.099998,2131000,59.854797
"38",60.98,61.509998,60.18,60.970001,1673100,59.72745
"39",60.880001,61.450001,60.580002,61.360001,2126000,60.109501
"40",61.349998,61.73,60.43,60.57,1380800,59.3356
"41",60.41,61.209999,60.34,60.41,1869600,59.178861
"42",60.619999,60.669998,59.68,59.900002,1568500,58.679256
"43",60.040001,60.779999,59.869999,60.5,1266900,59.267027
"44",60.779999,61.259998,60.59,61.09,988700,59.845003
"45",60.880001,61.349998,60.639999,60.669998,749700,59.43356
"46",61,61.450001,60.830002,61.150002,749000,59.903781
"47",61.380001,61.82,61.139999,61.75,983800,60.491552
"48",61.900002,61.950001,60.290001,60.380001,1827500,59.149473
"49",60.790001,61.950001,60.779999,61.73,980300,60.471959
"50",61.869999,62.330002,61.650002,62.240002,622100,60.971568
"51",62.009998,62.669998,61.91,62.540001,577800,61.265453
"52",62.599998,62.889999,62.43,62.77,636600,61.490765
"53",62.610001,62.77,62,62.330002,757700,61.059734
"54",62.450001,62.990002,62.369999,62.740002,482700,61.461378
"55",62.779999,62.810001,62.07,62.709999,1002300,61.431987
"56",62.630001,62.990002,62.360001,62.41,708400,61.138101
