"","RRC.Open","RRC.High","RRC.Low","RRC.Close","RRC.Volume","RRC.Adjusted"
"1",92.099998,92.099998,89.080002,89.5,2042500,89.19996
"2",89.209999,90.150002,88.730003,89.400002,1049300,89.100297
"3",86.540001,87.860001,86.300003,87.730003,5319700,87.475037
"4",88,88.599998,87.150002,88.190002,2205600,87.933699
"5",88.400002,89.029999,87.809998,88.32,1933200,88.063319
"6",88.330002,88.489998,86.849998,87.800003,1314900,87.544833
"7",87.800003,88.25,87.139999,87.849998,1057900,87.594683
"8",87.93,88.790001,87.470001,88.300003,973100,88.04338
"9",88.449997,88.830002,87.360001,87.959999,2259200,87.704364
"10",87.650002,88.580002,87.360001,88.019997,934400,87.764187
"11",88.029999,88.029999,85.410004,85.669998,2116600,85.421019
"12",85.669998,86.839996,85.339996,86.019997,1345600,85.77
"13",87.540001,87.540001,85.760002,86.629997,1328000,86.378228
"14",86.07,86.410004,85.32,85.949997,1176300,85.700204
"15",86.059998,86.980003,85.339996,86.949997,1103400,86.697297
"16",87.07,87.370003,85.169998,85.370003,1572800,85.121895
"17",85.110001,86.309998,84.669998,85.620003,1451100,85.371169
"18",85.639999,85.989998,84.650002,85.790001,667800,85.540673
"19",85.199997,85.559998,83.860001,84.029999,1875200,83.785786
"20",84.300003,85.080002,83.599998,84.07,1769700,83.82567
"21",83.989998,84.959999,83.580002,84.669998,1322100,84.423925
"22",83.580002,83.75,81.809998,82.099998,2915500,81.861394
"23",81.779999,82.279999,80.550003,81.25,2468000,81.013866
"24",81.559998,82.160004,80.629997,81.980003,1993600,81.741748
"25",81.809998,82.199997,80.360001,80.529999,3133200,80.295957
"26",81.099998,81.699997,80.18,80.860001,2605700,80.625
"27",80.970001,81.190002,77.360001,77.389999,3609900,77.165084
"28",77.599998,78.25,77.559998,77.949997,2154700,77.723454
"29",77.650002,78.190002,76.660004,76.699997,4944000,76.477087
"30",77.019997,77.25,75.849998,76.57,3611400,76.347467
"31",77,77.370003,76.18,77.279999,3167000,77.055403
"32",77.25,78.589996,76.940002,77.400002,2792300,77.175057
"33",76.919998,77.160004,76.349998,76.709999,1389600,76.48706
"34",76.629997,76.940002,75.800003,76.269997,2692300,76.048336
"35",77.709999,79.190002,76.93,78.150002,3987000,77.922877
"36",78.160004,78.220001,75.68,76.059998,2256000,75.838947
"37",75.650002,76.529999,74.959999,75.589996,2359400,75.370312
"38",74.980003,77.260002,74.389999,75.300003,3144100,75.081161
"39",75.440002,77.239998,75.029999,76.730003,1905000,76.507006
"40",77.019997,77.720001,75.089996,75.57,1759700,75.350373
"41",75.470001,76.290001,74.830002,75.07,1561300,74.851827
"42",75.43,75.599998,73.839996,74.279999,1780200,74.064122
"43",74.68,75.980003,73.830002,75.830002,1387800,75.60962
"44",76.330002,76.400002,75.110001,75.199997,1014100,74.981446
"45",75.199997,75.360001,74.440002,74.580002,1231000,74.363253
"46",74.580002,75.099998,74.25,74.769997,1003500,74.552695
"47",75.059998,75.879997,74.379997,75.690002,2283100,75.470027
"48",75.699997,76.489998,75.269997,75.93,1496000,75.709328
"49",75.870003,76.459999,74.889999,75.230003,1086600,75.011365
"50",76.019997,77.489998,75.589996,77.059998,1771000,76.836041
"51",76.669998,77.239998,76.199997,76.949997,1439600,76.72636
"52",77.160004,77.309998,76.18,77.190002,909100,76.965668
"53",76.919998,77.150002,76.300003,76.760002,831600,76.536917
"54",77.400002,79.07,77.290001,78.849998,1374300,78.62084
"55",78.910004,79.379997,78.510002,78.769997,2043700,78.54107
"56",78.620003,79.019997,77.580002,78.019997,1211100,77.79325
"57",78,78.540001,77.709999,78.25,662600,78.022585
"58",78.5,78.629997,77.629997,78.589996,1066200,78.361593
"59",78.410004,78.720001,76,76.269997,1741300,76.048336
"60",76.68,76.959999,76.029999,76.150002,1026600,75.92869
"61",76.199997,76.470001,73.75,74.199997,2096800,73.984352
"62",74.18,75.290001,74.18,75.199997,1472200,74.981446
"63",74.730003,74.779999,74,74.610001,1071500,74.393164
"64",74.970001,76.550003,74.440002,75.029999,1934000,74.811942
"65",74.739998,75.110001,73.769997,74.650002,1218400,74.433049
"66",73.709999,74.110001,73.18,73.639999,1726000,73.46535
"67",73.400002,73.75,72.209999,72.480003,1548800,72.308105
"68",72.57,73.199997,71.669998,72.800003,1642100,72.627346
"69",72.610001,73.720001,72.199997,73.330002,2132900,73.156087
"70",73.709999,73.970001,72.25,73.209999,2696300,73.036369
"71",73.309998,73.32,71.639999,71.870003,2285800,71.699551
"72",72.059998,72.199997,71.199997,71.550003,2308700,71.38031
"73",71.470001,71.75,69.849998,70.25,1704000,70.08339
"74",70.25,70.470001,69.720001,69.980003,3146900,69.814034
"75",69.779999,69.779999,67.510002,68.940002,3969800,68.7765
"76",68.690002,68.779999,67.160004,67.309998,2577100,67.150361
"77",67.550003,68.370003,67,67.699997,1648000,67.539435
"78",67.370003,68.940002,67.129997,68.669998,1867100,68.507136
"79",68.610001,68.910004,66.980003,67.809998,2589600,67.649175
"80",68,69.5,67.190002,67.449997,3498700,67.290028
"81",66.970001,68.389999,65.889999,67.959999,2531400,67.79882
"82",68.080002,68.080002,66.389999,66.769997,1593000,66.61164
"83",66.519997,66.800003,65.07,65.879997,2325000,65.723752
"84",65.489998,66.040001,64.419998,64.43,1517700,64.277194
"85",64.080002,65.730003,63.669998,65.57,2170300,65.414489
"86",64.830002,64.879997,63.43,63.43,2167700,63.279565
"87",63.259998,65.199997,62.599998,63.41,2063000,63.259612
"88",63.150002,63.970001,61.75,61.869999,2571800,61.723264
"89",63,64.43,62.029999,62.959999,2977100,62.810679
"90",62.18,65.849998,61.330002,65.709999,3775900,65.554157
"91",64.099998,70.150002,64.099998,69.139999,4548100,68.976022
"92",70.150002,70.699997,66.660004,67.32,3461700,67.160339
"93",66.980003,68.040001,65.559998,66.290001,2157700,66.132783
"94",66.870003,68.68,66.489998,68.580002,1980000,68.417353
"95",68.620003,69.339996,66.660004,66.690002,1436200,66.531836
"96",67.519997,69.970001,67.410004,68.610001,2073600,68.44728
"97",68.019997,68.32,66.330002,66.620003,1904500,66.462002
"98",64.980003,66.129997,64.139999,65.150002,1798300,64.995487
"99",65.559998,67.449997,64.650002,67.389999,1649800,67.230173
"100",68.129997,69,66.279999,66.900002,2192000,66.741337
"101",67.809998,68.82,65.650002,66.059998,2681700,65.903325
"102",67.110001,68.480003,65.779999,68.400002,2391200,68.237779
"103",69.190002,69.989998,66.220001,66.769997,2927500,66.61164
"104",65.970001,67.589996,65.449997,67.279999,2329200,67.120433
"105",67.699997,70.440002,67.139999,70.080002,2609400,69.913795
"106",69.830002,72.940002,69.099998,72.800003,3183000,72.627346
"107",72.589996,74.379997,72.290001,73.089996,2684500,72.916651
"108",73.860001,74.639999,71.720001,72.379997,2215800,72.208336
"109",71.919998,74.279999,71.150002,73.989998,2165500,73.814518
"110",73.349998,73.489998,72.139999,72.300003,1765300,72.128531
"111",71.510002,71.919998,70.110001,70.709999,2288000,70.542298
"112",70.889999,72.339996,70.739998,71.919998,2161000,71.749428
"113",71.620003,73.129997,71.059998,72.379997,2440300,72.208336
"114",71.959999,72.739998,70.720001,71.459999,1868000,71.29052
"115",71.980003,74.199997,71.349998,73,2109600,72.826868
"116",72.730003,74.470001,72.349998,73.099998,1974800,72.926629
"117",74.089996,74.459999,71.690002,72.199997,2053200,72.028762
"118",71.760002,71.760002,69.519997,70.580002,2225000,70.412609
"119",70.559998,71,68.349998,68.910004,1875500,68.746572
"120",68.540001,69.110001,67.669998,68.760002,1678000,68.596926
"121",66.540001,68.610001,65.5,65.650002,2438200,65.494301
"122",65.339996,65.559998,63.82,65.349998,2538700,65.19501
"123",64.599998,66.080002,63.959999,64.080002,2098900,63.928025
"124",64.540001,65.559998,63.900002,64.480003,1672800,64.327078
"125",63.580002,64.059998,60.119999,60.549999,3828700,60.406395
"126",60.490002,60.880001,58.080002,58.93,4604100,58.790238
"127",57.959999,58.43,55.299999,55.299999,5088400,55.168846
"128",54.860001,56.200001,54.810001,55.540001,3947900,55.408278
"129",54.540001,55.07,52.209999,52.279999,4658500,52.156008
"130",52,54.779999,51.830002,52.98,3636000,52.894816
"131",52.389999,54.959999,51.990002,54.18,3640800,54.092888
"132",56.759998,58.349998,55.259998,55.400002,5014400,55.310927
"133",55.400002,61.25,55.18,58.220001,5781200,58.126393
"134",58.490002,62.73,58.369999,61.91,4479000,61.810459
"135",63.810001,64.279999,57.939999,60.09,5369200,59.993385
"136",60.950001,61,57.610001,59.869999,5063700,59.773738
"137",58.139999,58.75,55.509998,57.07,3678000,56.978241
"138",55.75,57.810001,55.75,57,2573700,56.908353
"139",56.619999,57.48,55.59,55.73,1302700,55.640395
"140",56.02,56.549999,54.02,54.57,2336800,54.48226
"141",55.32,56.150002,54.799999,56,3729900,55.909961
"142",56,56.09,53.360001,53.650002,3370600,53.563741
"143",53.150002,54.549999,53.110001,53.450001,3089400,53.364062
"144",53,55.740002,52.84,55.400002,2643100,55.310927
"145",54.580002,54.919998,51.950001,51.959999,3649600,51.876456
"146",51.77,52.900002,49.599998,50.59,4034700,50.50866
"147",51.18,51.290001,48.619999,49.119999,3123300,49.041022
"148",49.259998,50.529999,48.400002,50.049999,3099100,49.969527
