"","ED.Open","ED.High","ED.Low","ED.Close","ED.Volume","ED.Adjusted"
"1",54.790001,55.349998,54.790001,55.09,1819500,52.838337
"2",55.049999,55.139999,54.59,54.700001,1610900,52.464277
"3",54.650002,55.110001,54.119999,54.990002,1754700,52.742425
"4",54.860001,55.34,54.669998,55.220001,1376600,52.963024
"5",55.369999,56.009998,55.25,55.59,2596900,53.3179
"6",55.560001,55.650002,55.200001,55.52,1655700,53.250762
"7",55.540001,56.5,55.360001,56.48,2737100,54.171523
"8",56.490002,57.099998,56.459999,56.970001,2678200,54.641497
"9",57.119999,57.200001,56.700001,56.740002,2726400,54.420899
"10",56.849998,57.040001,56.360001,56.66,1407700,54.344167
"11",56.619999,56.880001,56.540001,56.68,1580300,54.36335
"12",56.650002,57.07,56.560001,57.040001,1607400,54.708636
"13",56.889999,57.290001,56.75,57.279999,1633400,54.938825
"14",57.130001,57.700001,56.900002,57.549999,2058600,55.19779
"15",57.5,57.84,57.259998,57.740002,1971400,55.380026
"16",57.75,57.759998,56.860001,57.09,2326000,54.756592
"17",57.02,57.110001,55.66,56.02,4122200,53.730326
"18",55.630001,56,55.279999,56,2182800,53.711143
"19",56,56.93,55.990002,56.41,3093300,54.104385
"20",56.279999,56.950001,56.279999,56.599998,2628700,54.286618
"21",56.639999,56.740002,56.060001,56.400002,1721700,54.094795
"22",56.43,56.830002,56.290001,56.610001,1400600,54.296211
"23",56.610001,56.68,56.09,56.169998,1187700,53.874192
"24",56.27,56.5,55.880001,55.939999,1823700,53.653594
"25",55.939999,56.41,55.91,56.380001,1394300,54.075612
"26",56.5,56.700001,56.169998,56.669998,1134500,54.353756
"27",56.52,56.720001,56.310001,56.310001,1653300,54.008473
"28",56.490002,56.970001,56.150002,56.919998,1788100,54.593538
"29",56.880001,57.349998,56.790001,57.189999,1669700,54.852503
"30",57.200001,57.459999,57.150002,57.369999,1161600,55.025146
"31",57.34,57.400002,57.07,57.25,1114800,54.910052
"32",57.25,57.43,57.02,57.310001,843700,54.967601
"33",57.25,57.43,56.900002,56.98,843900,54.651087
"34",57.02,57.790001,56.939999,57.700001,1663700,55.34166
