"","FE.Open","FE.High","FE.Low","FE.Close","FE.Volume","FE.Adjusted"
"1",34.549999,35.150002,34.529999,34.740002,3122300,33.368817
"2",34.720001,34.740002,34.049999,34.150002,2198500,32.802104
"3",34.09,34.330002,33.709999,34.25,2494300,32.898156
"4",34.07,34.25,33.59,34.18,4791800,32.830919
"5",34.23,34.709999,34.060001,34.150002,4740700,32.802104
"6",34.139999,34.240002,33.91,34.189999,4331400,32.840523
"7",34.310001,35.07,34.209999,35.029999,4946400,33.647368
"8",35.049999,35.59,34.68,34.720001,5529800,33.349606
"9",34.77,34.919998,34.689999,34.810001,4186400,33.436054
"10",34.73,34.889999,34.450001,34.599998,2128000,33.23434
"11",34.5,34.599998,34.330002,34.360001,2072200,33.003815
"12",34.25,34.450001,34.139999,34.389999,2447200,33.03263
"13",34.34,34.43,34.099998,34.189999,1779000,32.840523
"14",34.130001,34.240002,33.889999,33.990002,3448900,32.64842
"15",34.139999,34.759998,34,34.720001,2595400,33.349606
"16",34.630001,34.759998,34,34,2866600,32.658023
"17",33.860001,33.959999,32.77,32.810001,4236200,31.514994
"18",32.639999,32.639999,32.330002,32.5,2113500,31.217228
"19",32.459999,33.189999,32.459999,32.669998,4492100,31.380517
"20",32.779999,33.310001,32.77,33.110001,3104600,31.803152
"21",33.040001,33.220001,32.880001,33.169998,2628300,31.860782
"22",33.049999,33.34,33.040001,33.18,2056900,31.870389
"23",33.07,33.259998,32.540001,32.57,3402900,31.284465
"24",32.650002,32.650002,31.92,31.93,3414800,30.669726
"25",31.9,32.189999,31.799999,31.959999,2572500,30.698541
"26",31.99,32.23,31.9,32.23,3555700,30.957885
"27",32.150002,32.279999,31.68,31.690001,2773700,30.439199
"28",31.77,31.98,31.540001,31.889999,2216800,30.631304
"29",31.74,31.969999,31.49,31.860001,2587500,30.60249
"30",31.889999,32,31.610001,31.629999,2225600,30.381566
"31",31.629999,31.959999,31.559999,31.950001,4032900,30.688937
"32",31.9,32.240002,31.719999,32.189999,3520300,30.919463
"33",31.83,32.299999,31.83,31.99,2915600,30.727358
"34",31.93,32.439999,31.889999,32.41,2675200,31.13078
"35",32.369999,32.5,32.200001,32.299999,3916300,31.025122
"36",32.049999,32.060001,31.5,31.65,9325700,30.400777
"37",31.49,31.75,31.120001,31.209999,5129800,29.978144
"38",31.120001,31.5,30.92,31.129999,5293300,29.901301
"39",31.129999,31.25,30.4,31.059999,6718600,29.834064
"40",30.15,32.580002,29.98,31.93,10792800,31.029372
"41",31.85,31.889999,31.280001,31.48,6625600,30.592064
