"","EW.Open","EW.High","EW.Low","EW.Close","EW.Volume","EW.Adjusted"
"1",81.93,82.290001,80.099998,80.709999,772600,80.709999
"2",81.480003,82.970001,81.010002,82.510002,1284400,82.510002
"3",82.25,82.489998,79.889999,79.889999,1896900,79.889999
"4",80.07,80.169998,78.150002,78.360001,1540300,78.360001
"5",79.029999,80.849998,78.120003,78.440002,1205200,78.440002
"6",81.75,83.699997,81.029999,82.059998,2122300,82.059998
"7",82,82.949997,81.57,82.900002,748400,82.900002
"8",82.699997,84.110001,82.489998,84.080002,816000,84.080002
"9",84.269997,85.330002,83.910004,85.300003,1627300,85.300003
"10",85.089996,86.190002,85.080002,85.650002,876100,85.650002
"11",84.959999,85.879997,84.760002,84.800003,598000,84.800003
"12",85,86.379997,84.470001,84.709999,670100,84.709999
"13",84.919998,85.940002,84.790001,85.910004,425500,85.910004
"14",85.760002,88.190002,85.699997,87.860001,1504800,87.860001
"15",87.650002,87.879997,85.720001,85.839996,958200,85.839996
"16",86.089996,87.25,86.089996,87.139999,738900,87.139999
"17",87.050003,87.970001,87.019997,87.760002,570000,87.760002
"18",87.720001,88.199997,87.5,88.089996,658400,88.089996
"19",87.470001,87.790001,87.029999,87.43,440600,87.43
"20",87.080002,87.379997,86.669998,86.940002,504400,86.940002
"21",87.110001,87.919998,86.959999,87.889999,365000,87.889999
"22",87.07,88.239998,86.760002,88.150002,418400,88.150002
"23",87.889999,88.410004,87.019997,87.940002,561600,87.940002
"24",88.339996,88.339996,86.32,86.790001,924100,86.790001
"25",86.989998,87.720001,86.57,87.540001,995000,87.540001
"26",87.57,87.730003,86.239998,86.400002,689500,86.400002
"27",86.010002,87.099998,84.989998,85.040001,916700,85.040001
"28",85.449997,86.110001,84.949997,85.330002,1962800,85.330002
"29",85.139999,85.690002,84.050003,85.32,918800,85.32
"30",85.709999,86.239998,85.290001,85.699997,792900,85.699997
"31",86,86.410004,85.379997,85.540001,567700,85.540001
"32",86.029999,86.120003,85.099998,85.169998,2242200,85.169998
"33",85.010002,85.440002,84.68,85,1333600,85
"34",85.389999,85.550003,84.690002,84.900002,1761600,84.900002
"35",85.18,85.18,84.349998,84.440002,1091300,84.440002
"36",91,94.5,90.519997,92.879997,5682500,92.879997
"37",92.129997,92.5,90.209999,90.25,2288500,90.25
"38",90.199997,92.059998,89.419998,91.970001,1899900,91.970001
"39",92,93.540001,91.610001,93.400002,1077800,93.400002
"40",93.529999,94.779999,93.199997,93.809998,1407800,93.809998
"41",92.989998,95.389999,92.779999,95.010002,1208100,95.010002
"42",95.260002,95.510002,94.019997,94.370003,1151100,94.370003
"43",94.32,94.919998,93.940002,94.709999,652900,94.709999
"44",94.900002,95.449997,94.360001,94.5,513700,94.5
"45",94.620003,95.410004,94.32,94.989998,736600,94.989998
"46",95.120003,96.739998,95.010002,95.879997,848900,95.879997
"47",96.169998,96.169998,95.459999,95.690002,858000,95.690002
"48",95.889999,97.260002,95.68,96.580002,790600,96.580002
"49",97.169998,98.269997,96.919998,97.889999,813000,97.889999
"50",97.800003,98.019997,97.07,97.970001,580900,97.970001
"51",97.580002,98.339996,96.639999,97.57,892800,97.57
