"","ATI.Open","ATI.High","ATI.Low","ATI.Close","ATI.Volume","ATI.Adjusted"
"1",41.110001,41.240002,40.869999,41.119999,404600,40.268024
"2",40.93,40.970001,40.240002,40.790001,686300,39.944863
"3",40.610001,40.759998,40.27,40.419998,635800,39.582527
"4",40.459999,41.810001,40.360001,41.580002,924600,40.718496
"5",41.59,41.73,40.66,40.900002,644900,40.052585
"6",40.77,41.939999,40.68,41.860001,671000,40.992694
"7",41.959999,42.540001,41.599998,42.509998,991000,41.629224
"8",42.540001,42.610001,42.119999,42.450001,584900,41.570469
"9",42.369999,42.59,42.009998,42.490002,1100600,41.609642
"10",42.66,43.299999,42.220001,42.299999,1428000,41.423576
"11",41.98,42.689999,41.540001,41.84,1310600,40.973108
"12",41.700001,43.029999,41.630001,42.939999,1026100,42.050315
"13",43.459999,44.869999,43.349998,44.279999,2544600,43.362551
"14",44,44.619999,43.66,44.580002,1122000,43.656339
"15",44.599998,45.259998,44.029999,45.099998,1333000,44.165561
"16",45.549999,46.02,45.330002,45.330002,1018800,44.390799
"17",45.630001,46.040001,45.419998,45.619999,903500,44.674788
"18",45.75,46.32,45.75,46.23,578300,45.27215
"19",46.040001,46.290001,45.599998,46.139999,1041700,45.184014
"20",46.02,46.259998,45.650002,45.799999,1172500,44.851059
"21",46.029999,46.240002,45.669998,45.900002,1062900,44.948989
"22",45.540001,45.990002,45.150002,45.48,1310500,44.537689
"23",45.529999,45.77,45.080002,45.630001,873900,44.684583
"24",45.939999,46.080002,45.259998,45.740002,1518200,44.792304
"25",45.889999,46.029999,45.02,45.330002,1009400,44.390799
"26",45.759998,45.790001,45.419998,45.77,963100,44.821681
"27",45.380001,45.779999,44.91,45.07,706500,44.136184
"28",45.209999,45.77,45.07,45.700001,917200,44.753132
"29",45.610001,45.66,44.959999,45.439999,888200,44.498517
"30",45.34,45.459999,43.689999,43.84,1736900,42.931669
"31",43.75,43.849998,41.709999,41.880001,3173300,41.01228
"32",42.139999,42.299999,41.27,41.669998,1392400,40.806628
"33",41.540001,41.889999,41.25,41.650002,792300,40.787046
"34",41.509998,41.759998,40.810001,40.950001,1293200,40.101548
"35",41,41.41,40,40.189999,2151000,39.357293
"36",40.490002,40.490002,38.740002,38.849998,2266100,38.045056
"37",38.529999,38.990002,37.630001,37.650002,2036100,36.869922
"38",37.599998,38.290001,37.490002,37.77,1996500,36.987435
"39",38.060001,38.900002,37.669998,38.799999,1902500,37.996093
"40",38.41,38.849998,37.599998,38.59,1712400,37.790445
"41",38.48,39.200001,38.040001,39.02,1651800,38.211536
"42",39.02,39.23,38.459999,38.700001,1325400,37.898167
"43",39.040001,40.380001,38.84,40.360001,1942800,39.523772
"44",40.5,40.779999,40.27,40.330002,981500,39.494395
"45",40.310001,40.869999,39.970001,40.279999,1138200,39.445428
"46",40.360001,41,40.200001,40.900002,816400,40.052585
"47",40.919998,41.639999,40.91,41.549999,916800,40.689115
"48",41.700001,41.720001,41.099998,41.34,1050000,40.483467
"49",41.299999,41.720001,41.209999,41.689999,571900,41.004753
"50",41.73,41.990002,41.52,41.68,448200,40.994919
"51",41.599998,41.900002,41.470001,41.68,554000,40.994919
"52",41.619999,42.16,41.16,42.09,959100,41.39818
"53",42.009998,42.02,41.27,41.779999,564200,41.093274
"54",42,42.110001,41.720001,42.099998,375400,41.408014
"55",42.220001,43.27,42.130001,43.060001,723200,42.352237
"56",43.119999,43.279999,42.349998,42.540001,513000,41.840784
"57",42.150002,42.27,41.950001,42.029999,578300,41.339164
"58",42.049999,42.209999,41.59,42.169998,547300,41.476863
"59",42.150002,42.330002,41.43,41.740002,609900,41.053934
"60",42.169998,42.32,41.639999,41.82,707700,41.132617
"61",41.919998,42.939999,41.849998,42.380001,703400,41.683414
"62",42.310001,42.310001,41.549999,42.09,809600,41.39818
"63",41.919998,42.560001,41.619999,42.279999,1000400,41.585055
"64",42.099998,42.150002,41.509998,41.610001,809600,40.92607
"65",41.599998,41.990002,41.169998,41.970001,724700,41.280153
"66",41.630001,42.720001,41.540001,42.669998,839600,41.968644
"67",42.540001,42.57,41.509998,41.740002,1137700,41.053934
