"","R.Open","R.High","R.Low","R.Close","R.Volume","R.Adjusted"
"1",88.300003,88.529999,87.199997,88.309998,298900,86.894482
"2",87.860001,88.080002,87.07,87.370003,315400,85.969554
"3",87.279999,87.440002,85.519997,86.019997,436600,84.641187
"4",86.269997,86.800003,85.870003,86.639999,366900,85.251252
"5",86.550003,87.459999,86.040001,86.25,407600,84.867504
"6",86.110001,86.830002,85.660004,86.370003,282200,84.985583
"7",87.199997,88.160004,86.839996,87.879997,643300,86.471374
"8",87.849998,88.230003,87.300003,87.769997,329600,86.363137
"9",87.690002,87.989998,87.449997,87.559998,501800,86.156504
"10",87.620003,87.779999,86.959999,87.260002,425300,85.861317
"11",87,87.849998,86.040001,86.120003,398500,84.73959
"12",86,86.870003,85.919998,86.639999,353900,85.251252
"13",86.720001,87.080002,85.589996,87.07,356900,85.67436
"14",86.900002,87.260002,86.279999,87.110001,477800,85.71372
"15",87.07,88.459999,86.75,88.089996,503100,86.678007
"16",88.290001,89.089996,88.160004,88.919998,431000,87.494705
"17",88.889999,89.57,88.32,88.720001,253100,87.297914
"18",88.949997,89.480003,88.75,89.25,240500,87.819417
"19",89.110001,89.110001,88.110001,88.75,278100,87.327432
"20",88.699997,88.730003,87.760002,88.379997,369200,86.96336
"21",88.550003,88.870003,87.980003,88.290001,375400,86.874806
"22",87.639999,87.860001,86.970001,87.160004,414500,85.762921
"23",87.209999,87.540001,86.75,87.370003,302200,85.969554
"24",88.32,89.849998,88.300003,88.43,614800,87.012561
"25",88.519997,89.089996,88.239998,88.489998,531500,87.071597
"26",89,89.269997,88.650002,89.129997,351600,87.701338
"27",89.099998,90.059998,88.080002,88.260002,492200,86.845288
"28",88.400002,89.769997,88.160004,89.440002,387500,88.006374
"29",89.040001,89.68,88.809998,89.339996,361600,87.907971
"30",89.93,90.760002,89.540001,90.449997,1051900,89.000179
"31",91,91.230003,86.980003,89.699997,1910000,88.262201
"32",89.529999,91.660004,89.32,91.599998,1007800,90.131748
"33",91.330002,91.910004,90.790001,91.309998,783200,89.846395
"34",91.209999,91.739998,89.580002,89.949997,551800,88.508194
"35",89.279999,89.660004,87.839996,87.900002,656000,86.491058
"36",88.160004,88.589996,87.459999,87.900002,455300,86.491058
"37",87.029999,87.279999,85.32,86.129997,1032400,84.749425
"38",86,86.989998,85.709999,86.690002,875200,85.300454
"39",87.150002,87.150002,86.019997,86.760002,473700,85.369331
"40",86.25,87.050003,85.589996,85.68,457100,84.306641
"41",84.940002,85.800003,84.629997,85.260002,548000,83.893375
"42",85.57,85.720001,84.550003,84.82,500500,83.460425
"43",84.970001,85.860001,84.199997,85.860001,554100,84.483756
"44",86.559998,87.199997,86.339996,86.419998,400800,85.034777
"45",86.489998,86.870003,86.160004,86.739998,301600,85.349648
"46",87.019997,88.029999,86.940002,87.389999,256000,85.98923
"47",87.150002,87.449997,86.739998,87.389999,215400,86.354845
"48",87.830002,88.080002,86.019997,87.199997,480500,86.167093
"49",87.860001,89.019997,87.5,89.019997,343000,87.965534
"50",89.43,90.730003,89.379997,90.290001,483100,89.220495
"51",90.230003,91.519997,90.139999,90.82,584900,89.744216
"52",90.839996,91.239998,90.519997,90.57,3e+05,89.497177
"53",90.57,91.07,90.160004,90.790001,285500,89.714572
"54",91.099998,91.610001,90.5,90.959999,388900,89.882557
"55",91.019997,91.419998,90.650002,90.739998,279000,89.665162
"56",90.809998,90.879997,90.480003,90.589996,183700,89.516937
"57",90.169998,90.699997,89.800003,90.580002,208600,89.507061
"58",90.699997,90.910004,89.970001,90.339996,546200,89.269898
"59",90.75,92.800003,90.540001,92.629997,734900,91.532774
"60",93,93.849998,92.760002,92.879997,700800,91.779812
"61",92.830002,93.480003,92.220001,92.519997,441700,91.424076
"62",92.5,93.349998,92.150002,93.309998,457800,92.204719
"63",93.379997,93.459999,92.580002,92.93,229000,91.829223
"64",92.919998,92.980003,91.970001,92.029999,309600,90.939882
"65",92.43,92.43,91.190002,91.870003,285300,90.781781
"66",91.559998,92.260002,91.419998,92.18,309400,91.088107
"67",92.190002,92.949997,92.019997,92.699997,455700,91.601944
"68",92.760002,93.209999,91.339996,91.760002,623400,90.673084
"69",91.639999,93.080002,91.209999,92.709999,304300,91.611828
"70",93.169998,93.5,92.169998,92.919998,392200,91.819339
"71",92.970001,93.779999,92.699997,93.589996,235900,92.481401
"72",93.75,93.870003,92.400002,92.739998,421900,91.641471
"73",92.43,92.610001,90.580002,90.809998,323700,89.734332
"74",90.639999,91.239998,90.18,90.18,379400,89.111797
"75",90.230003,91.099998,89.949997,91.029999,445100,89.951727
"76",90.75,90.75,89.309998,89.480003,471700,88.420092
"77",89.480003,90.889999,89.330002,90.599998,441300,89.526821
"78",89.690002,91.080002,89.550003,90.839996,335100,89.763976
"79",90.940002,91.660004,89.940002,89.970001,450900,88.904286
"80",89.919998,90.019997,87.269997,87.610001,683600,86.57224
"81",87.610001,87.989998,85.940002,87.519997,631500,86.483302
"82",88.139999,89.440002,87.830002,89.230003,435200,88.173053
"83",89.709999,90.459999,88.650002,88.800003,366200,87.748146
"84",88.760002,88.760002,86.370003,86.400002,483000,85.376574
"85",86.400002,87.830002,84.010002,87.739998,1139700,86.700697
"86",87.669998,87.75,83.519997,83.900002,1232000,82.906187
"87",83.720001,83.849998,80.519997,81.059998,1076600,80.099823
"88",81.269997,82.199997,77.139999,77.309998,969500,76.394243
"89",77.529999,80.529999,77.529999,80.190002,961400,79.240133
"90",79.82,80.830002,77.18,80.279999,826500,79.329064
"91",78.830002,83.07,78.589996,81.919998,791500,80.949637
"92",83,84.620003,82.75,83.830002,669200,82.837016
"93",83.379997,84.379997,82.699997,83.940002,565000,82.945714
"94",84.419998,87.199997,84.379997,87.059998,823300,86.028752
"95",85.879997,87,81,81.169998,2545000,80.208521
"96",82.809998,85.419998,82.5,84.300003,1208000,83.30145
"97",84.769997,85.099998,83.669998,84.839996,693100,83.835047
"98",84.580002,85.050003,84.169998,84.93,835300,83.923985
"99",85.410004,87.209999,84.790001,87.080002,622100,86.048519
"100",87.32,88.139999,85.75,86.720001,669300,85.692783
"101",86.360001,88.599998,86.050003,87.5,774300,86.463542
"102",88.489998,88.68,87.199997,88.470001,920200,87.422054
"103",88.650002,89.400002,87.809998,88.790001,811200,87.738263
"104",88.970001,89.93,88.57,89.629997,653000,88.568309
"105",90.389999,91.059998,89.610001,90.639999,585700,89.566348
"106",90.839996,91.480003,90.089996,91.410004,497500,90.327231
"107",91.110001,91.959999,90.910004,91.459999,528700,90.376634
"108",91.730003,93.300003,91.68,93.290001,514100,92.184959
"109",93.339996,93.68,92.150002,92.699997,315800,91.601944
"110",92.449997,92.620003,91.769997,92.32,395100,91.226448
"111",92.089996,92.5,90.370003,91.32,621800,90.601408
"112",91.279999,91.989998,91.010002,91.309998,531700,90.591484
"113",91.150002,91.239998,90.480003,90.690002,398100,89.976368
"114",90.779999,92.339996,90.370003,91.43,340900,90.710543
"115",91.230003,91.790001,90.300003,90.550003,497000,89.83747
"116",89.720001,91.120003,89.699997,90.739998,530300,90.02597
"117",91.610001,92.68,91.470001,91.82,477600,91.097473
"118",91.940002,93.169998,91.940002,93.089996,501000,92.357476
"119",93.349998,95.599998,93.18,95,686500,94.25245
"120",95.129997,95.290001,93.669998,93.980003,418500,93.24048
"121",93.93,95.82,93.660004,95.519997,525200,94.768355
"122",95.32,95.790001,91.330002,91.980003,1026800,91.256218
"123",92.480003,93.309998,91.889999,92.739998,486500,92.010232
"124",93.220001,94.690002,93.010002,94.199997,493800,93.458742
