"","AKAM.Open","AKAM.High","AKAM.Low","AKAM.Close","AKAM.Volume","AKAM.Adjusted"
"1",57.970001,58.360001,57.599998,58.110001,2035500,58.110001
"2",57.779999,58.490002,57.389999,58.299999,1179500,58.299999
"3",58.009998,58.950001,57.779999,58.509998,1600500,58.509998
"4",58.59,58.98,58.330002,58.84,1348100,58.84
"5",58.740002,60.900002,58.34,60.25,3429700,60.25
"6",60.580002,61.779999,60.360001,60.59,3779300,60.59
"7",60.580002,61.130001,60.049999,61.07,1652800,61.07
"8",61.189999,61.380001,60.720001,61.330002,1306300,61.330002
"9",61.470001,61.470001,60.759998,61.220001,1890700,61.220001
"10",61.279999,62.349998,60.950001,62.119999,1892900,62.119999
"11",61.830002,62.759998,61.389999,61.610001,1210000,61.610001
"12",61.439999,61.68,60.619999,61.169998,1947900,61.169998
"13",61.360001,61.439999,60.400002,61.029999,1209500,61.029999
"14",60.919998,61.080002,60.580002,61.009998,899100,61.009998
"15",60.970001,61.369999,60.790001,61.060001,1119900,61.060001
"16",61.099998,61.77,61.060001,61.630001,1461500,61.630001
"17",61.709999,62.110001,61.48,61.84,1414700,61.84
"18",61.950001,62.200001,61.830002,62.009998,773700,62.009998
"19",62,62.360001,61.66,61.889999,1997200,61.889999
"20",61.900002,62,59.490002,59.75,2666900,59.75
"21",60.349998,61.099998,60,60.689999,2729300,60.689999
"22",59.75,60.450001,59.470001,60.07,1403700,60.07
"23",60.07,60.209999,59.759998,59.900002,2225900,59.900002
"24",60.310001,61.34,60.23,60.34,1409500,60.34
"25",60.060001,60.849998,59.23,59.720001,1379000,59.720001
"26",59.720001,59.860001,58.799999,59.110001,1977200,59.110001
"27",58.950001,59.580002,58.209999,58.32,1394300,58.32
"28",58.630001,59.360001,58.32,59.240002,1612700,59.240002
"29",58.959999,59.130001,58.369999,58.490002,1043400,58.490002
"30",58.810001,59.220001,58.709999,58.919998,1230700,58.919998
"31",58.98,59.029999,58.459999,58.490002,909600,58.490002
"32",59.529999,59.900002,59,59.799999,2376900,59.799999
"33",59.599998,59.849998,59.290001,59.709999,1197200,59.709999
"34",59.82,59.98,59.34,59.439999,2399400,59.439999
"35",60.369999,60.48,58.889999,59,2223400,59
"36",59.549999,61.009998,59.549999,60.73,5178600,60.73
"37",58.290001,61.240002,58.130001,59.02,5135200,59.02
"38",58.790001,59.650002,56.889999,57.09,3808600,57.09
"39",57.099998,57.790001,56.830002,57.619999,1697500,57.619999
"40",57.16,57.73,56.419998,56.860001,1818500,56.860001
"41",56.700001,56.939999,56.41,56.540001,1492600,56.540001
"42",57.09,57.330002,56.509998,56.549999,1258400,56.549999
"43",56.66,57.580002,56.400002,57.52,1446200,57.52
"44",57.919998,58.200001,57.509998,57.98,975400,57.98
"45",57.950001,57.959999,57.16,57.529999,830900,57.529999
"46",57.810001,58.73,57.540001,58.700001,1154100,58.700001
"47",58.630001,59.099998,58.529999,59.009998,1402900,59.009998
"48",59.470001,59.790001,59.02,59.66,2228000,59.66
"49",60,60.720001,59.939999,60.700001,1255600,60.700001
"50",60.630001,60.990002,60.540001,60.889999,880100,60.889999
"51",60.700001,61,60.32,60.950001,936500,60.950001
"52",60.950001,61.16,60.599998,60.860001,834200,60.860001
"53",60.98,61.16,59.959999,60.419998,1099700,60.419998
"54",60.419998,60.799999,60.16,60.490002,650400,60.490002
"55",60.41,60.849998,60.349998,60.560001,666600,60.560001
"56",60.84,61.349998,60.34,60.5,1466400,60.5
"57",60.18,60.419998,59.830002,60.02,1232600,60.02
"58",60.360001,60.68,60.150002,60.419998,1135200,60.419998
"59",60.5,60.990002,60.380001,60.689999,1406600,60.689999
"60",60.450001,60.990002,60.32,60.369999,962900,60.369999
"61",60.560001,61.27,60.330002,60.419998,1119100,60.419998
"62",61.099998,61.669998,60.610001,61.540001,1525100,61.540001
"63",61.240002,62.490002,61.09,61.82,1104000,61.82
"64",61.889999,61.970001,61.049999,61.169998,788200,61.169998
"65",61.150002,62.110001,60.84,62.049999,1097200,62.049999
"66",62.009998,62.630001,61.59,62.32,1092000,62.32
"67",62.360001,62.880001,62.110001,62.470001,1626300,62.470001
"68",62.41,62.77,61,61.349998,1874900,61.349998
"69",61.220001,62.529999,61.02,62.16,1587400,62.16
"70",61.91,63.18,61.91,62.310001,1846200,62.310001
"71",62.5,64.370003,62.279999,64.349998,2470100,64.349998
"72",64.379997,64.739998,62.009998,62.419998,3408100,62.419998
"73",62.23,62.23,60.700001,61.41,1759200,61.41
"74",61.23,61.470001,60.619999,60.639999,1085900,60.639999
"75",60.619999,61.75,60.18,61.509998,1278200,61.509998
"76",61.48,61.849998,59.5,59.509998,1872900,59.509998
"77",60.040001,60.150002,59.52,59.830002,1196300,59.830002
"78",58.93,59.900002,58.57,59.740002,1370300,59.740002
"79",60.110001,60.240002,59.369999,59.799999,1067400,59.799999
"80",59.509998,59.709999,57.900002,58.240002,1742800,58.240002
"81",58.23,58.830002,57.439999,58.09,1556800,58.09
"82",58.450001,60.099998,58.450001,59.740002,1633900,59.740002
"83",59.82,60.360001,59.029999,59.150002,1000400,59.150002
"84",58.91,59.029999,57.630001,57.650002,1438100,57.650002
"85",57.5,59.259998,57.200001,59.07,1528100,59.07
"86",58.810001,59.48,58.02,58.25,1317200,58.25
"87",58.060001,58.799999,56.529999,56.549999,1551900,56.549999
"88",56.34,57.209999,55.5,55.549999,1538900,55.549999
"89",56.080002,57.27,55.610001,55.650002,2074900,55.650002
"90",54.990002,55.419998,53.849998,54.630001,3556900,54.630001
"91",52.279999,54.049999,51.740002,53.380001,5585800,53.380001
"92",54,54.43,53.310001,53.84,2222700,53.84
"93",53.66,54.400002,53.52,53.990002,2337600,53.990002
"94",54.41,55.380001,54.290001,55.009998,2214600,55.009998
"95",55.029999,55.34,53.93,53.950001,1534000,53.950001
"96",54.580002,55.029999,54.360001,54.529999,1553900,54.529999
"97",54.73,55.310001,54.139999,55.279999,1104200,55.279999
"98",55.080002,55.360001,54.369999,55.290001,1287700,55.290001
"99",55.66,57.41,55.41,57.150002,2360300,57.150002
"100",57.09,57.349998,55.98,56.209999,3960300,56.209999
"101",55.919998,59.860001,55.779999,59.830002,4408900,59.830002
"102",60.98,61.27,60,60.299999,3739700,60.299999
"103",60.18,60.91,59.610001,59.720001,1181800,59.720001
"104",59.610001,60.09,58.990002,59.630001,1158600,59.630001
"105",59.919998,59.990002,58.57,59.02,1404300,59.02
"106",59.259998,59.66,58.490002,59.630001,1291800,59.630001
"107",59.700001,60.18,59.43,60.139999,1140100,60.139999
"108",60.32,61.189999,60.119999,61.07,1537700,61.07
"109",61.09,61.310001,60.73,61.049999,686400,61.049999
"110",60.880001,61.279999,60.330002,60.779999,738000,60.779999
"111",60.990002,61.27,60.18,60.450001,828600,60.450001
"112",60.5,63.049999,60.330002,62.93,2975700,62.93
"113",62.560001,63.419998,61.880001,62.029999,1686800,62.029999
"114",61.990002,62.630001,61.919998,62.16,893200,62.16
"115",62.139999,62.139999,61.419998,61.57,882400,61.57
"116",61,63.150002,60.669998,63.119999,1695900,63.119999
"117",63.889999,63.970001,63.23,63.73,1691500,63.73
"118",63.900002,64.379997,63.700001,64.150002,1164900,64.150002
"119",64.150002,64.620003,63.959999,64.019997,1202600,64.019997
"120",64.230003,64.57,63.77,64.209999,841100,64.209999
"121",64.279999,65.389999,63.900002,64.610001,789100,64.610001
"122",64.160004,64.199997,62.959999,63.060001,1573100,63.060001
"123",63.220001,63.689999,62.790001,63.23,1052700,63.23
"124",63.450001,63.549999,62.580002,63.240002,1476400,63.240002
"125",63.330002,64.32,63.02,64.230003,1425100,64.230003
"126",64.220001,64.43,63.599998,64.010002,868800,64.010002
"127",63.580002,64.099998,62.279999,62.59,1136700,62.59
"128",62.02,62.560001,61.41,62.400002,1517500,62.400002
"129",62.139999,62.799999,61.049999,61.09,1323400,61.09
"130",61.639999,63.060001,61.639999,61.98,1463300,61.98
"131",61.330002,62.169998,60.77,60.799999,1372700,60.799999
"132",61.27,61.869999,60.220001,60.509998,1651800,60.509998
"133",60.43,61.369999,59.860001,59.919998,1675100,59.919998
"134",59.990002,61.650002,59.889999,61.48,1075100,61.48
"135",62.25,62.599998,61.82,62.5,1455100,62.5
"136",62.529999,63.459999,62.52,63.200001,3206100,63.200001
"137",63.259998,64.089996,63.200001,64.059998,899400,64.059998
"138",64.269997,64.699997,64.110001,64.589996,809000,64.589996
"139",64.650002,64.769997,64.339996,64.339996,353600,64.339996
"140",64.339996,65.059998,64,64.790001,740400,64.790001
"141",64.470001,64.779999,63.369999,63.790001,940800,63.790001
"142",63.84,65.209999,63.84,64.07,1096500,64.07
"143",64.449997,64.550003,62.849998,62.959999,885900,62.959999
"144",63.48,63.900002,62.52,63.25,846000,63.25
"145",61.669998,62.34,60.759998,61.939999,2237400,61.939999
"146",62.189999,62.189999,60.099998,60.669998,1405000,60.669998
"147",60.860001,60.959999,59.93,60.16,1848700,60.16
"148",60.860001,61.860001,60.599998,61.57,1207400,61.57
"149",61.119999,62.040001,60.709999,60.779999,1171300,60.779999
"150",61.369999,61.59,59.939999,60.75,1430000,60.75
"151",61.57,62.330002,60.049999,60.790001,1516200,60.790001
"152",60.41,60.610001,59.060001,59.709999,2043300,59.709999
"153",59.799999,60.310001,58.549999,58.630001,1460600,58.630001
"154",58.509998,59.279999,58.16,59.220001,1121600,59.220001
"155",59.75,59.93,59.080002,59.650002,1265900,59.650002
"156",59.27,60.52,59.119999,60.27,1171900,60.27
"157",60.369999,60.639999,59.459999,60.639999,1384100,60.639999
"158",60.639999,61.290001,60.470001,61.02,1009500,61.02
"159",61.110001,61.41,60.580002,61.169998,675300,61.169998
"160",60.369999,61.060001,59.490002,60.290001,1118600,60.290001
