"","AMP.Open","AMP.High","AMP.Low","AMP.Close","AMP.Volume","AMP.Adjusted"
"1",117.150002,117.839996,116.540001,117.650002,716900,115.418642
"2",116.550003,117.059998,116.360001,116.779999,495400,114.56514
"3",116.800003,116.910004,115.440002,115.82,563400,113.623348
"4",116.040001,116.629997,115.629997,116.050003,642300,113.84899
"5",115.760002,116.230003,115.18,115.739998,479400,113.544864
"6",115.239998,117.519997,114.760002,116.919998,925400,114.702484
"7",116.910004,118.400002,116.190002,118.199997,1103100,115.958206
"8",118.379997,118.639999,117.269997,117.800003,873800,115.565799
"9",118.080002,119.370003,117.910004,119.139999,1254900,116.880381
"10",119.040001,119.57,118.610001,119.379997,590300,117.115827
"11",118.610001,119.730003,118.370003,118.5,847000,116.25252
"12",117.800003,119.629997,117.779999,119.239998,720800,116.978483
"13",119,119.239998,117.849998,119.150002,615700,116.890193
"14",118.940002,119.93,118.760002,119.809998,924400,117.537672
"15",119.75,120.32,119.410004,120,894100,117.724071
"16",120.199997,122,120.150002,121.529999,1159200,119.225051
"17",118.639999,121.940002,118.639999,121.110001,729800,118.813019
"18",121.940002,122.699997,121.940002,122.419998,414800,120.098171
"19",121.650002,122.099998,121.43,122,455500,119.686138
"20",121.760002,121.949997,120.870003,121.099998,802000,118.803206
"21",121.169998,121.910004,120.629997,121.160004,872500,118.862073
"22",118.980003,120.639999,118.870003,120.269997,721900,117.988946
"23",120.010002,121.199997,119.410004,121.059998,562400,118.763964
"24",122.389999,122.389999,121.519997,121.769997,880200,119.460497
"25",121.900002,122.639999,121.360001,122.300003,837400,119.980452
"26",123.080002,123.300003,121.650002,122.209999,685700,119.892155
"27",121.440002,122.970001,120.459999,120.709999,646400,118.420604
"28",121.209999,122.489998,120.940002,122.18,559800,119.862725
"29",121.639999,122.220001,121.199997,121.660004,525800,119.35259
"30",122.029999,122.989998,122.029999,122.730003,506200,120.402296
"31",122.690002,122.919998,122.099998,122.629997,361900,120.304187
"32",122.779999,123.120003,122.269997,122.529999,494600,120.206085
"33",121.900002,122.470001,121.32,122.269997,462200,119.951014
"34",121.860001,122.150002,120.599998,121.5,786200,119.195621
"35",121.559998,122.489998,120.839996,120.839996,705500,118.548135
"36",123.900002,127,121.93,123.449997,1218400,121.108635
"37",122.169998,122.580002,119.529999,119.599998,1189100,117.331655
"38",119.599998,120,117.209999,118.230003,1263100,115.987644
"39",118.199997,119.510002,117.629997,119.07,812200,116.811709
"40",118.290001,118.790001,116.910004,117.389999,776200,115.163571
"41",116.75,118.790001,116.730003,117.459999,767700,115.232243
"42",117.620003,118.129997,116.019997,116.5,992900,114.857598
"43",117.110001,118.669998,116.550003,118.559998,948700,116.888554
"44",118.260002,120.120003,117.949997,118.870003,1018500,117.194189
"45",118.68,119.510002,118.239998,119.010002,1009800,117.332215
"46",119.720001,120.190002,119.480003,119.949997,697100,118.258958
"47",120.040001,120.779999,119.93,120.379997,663300,118.682896
"48",120.589996,120.970001,119.139999,120.220001,908700,118.525155
"49",120.940002,121.739998,120.839996,121.550003,891500,119.836407
"50",121.730003,122.300003,121.629997,121.910004,872500,120.191332
"51",121.879997,123.099998,121.5,122.93,867200,121.196949
"52",122.779999,123.720001,122.559998,123.480003,725100,121.739198
"53",123.110001,124.040001,123.050003,123.190002,725600,121.453286
"54",124.150002,125.120003,123.660004,125.099998,610000,123.336355
"55",125,126.360001,124.470001,126.080002,719300,124.302542
"56",126.5,126.669998,125.510002,125.989998,690800,124.213807
"57",124.959999,125.470001,124.669998,125.209999,517300,123.444805
"58",125.769997,126.199997,125.110001,125.760002,530700,123.987054
"59",126.449997,128.179993,126.449997,127.75,1085500,125.948997
"60",128.220001,128.509995,125.889999,126.010002,1026500,124.23353
"61",126.269997,127.099998,125.230003,125.610001,695700,123.839167
"62",125.330002,126.470001,124.410004,126.410004,713600,124.627892
"63",125.940002,126.82,125.82,126.309998,843600,124.529296
"64",125.809998,126.089996,124.510002,124.720001,861900,122.961715
"65",125.410004,126.080002,124.889999,125.599998,688000,123.829306
"66",124.720001,125.269997,124.57,124.889999,896000,123.129316
"67",124.970001,125.589996,124.32,124.839996,680200,123.080018
"68",124.660004,124.660004,123.489998,123.75,980700,122.005389
"69",124.139999,125.209999,123.510002,124.760002,704100,123.001152
"70",125.260002,127.580002,125.110001,126.550003,953500,124.765918
"71",127.360001,128.199997,127.190002,127.57,712300,125.771535
"72",128.139999,128.369995,125.82,126.650002,1332100,124.864506
"73",126.220001,126.43,124.610001,124.760002,905100,123.001152
"74",124.610001,125.279999,123.760002,123.870003,918400,122.1237
"75",123.900002,125.260002,123.370003,125.220001,650600,123.454666
"76",124.370003,124.68,122.709999,122.940002,1105000,121.20681
"77",123.57,124.510002,123.040001,124.139999,920800,122.38989
"78",122.449997,124.010002,122.190002,123.580002,660200,121.837787
"79",123.5,124.610001,122.889999,123.379997,849300,121.640602
"80",122.730003,122.949997,119.32,119.650002,1361600,117.963191
"81",119.589996,120.419998,118.260002,119.919998,911000,118.229382
"82",121.32,122.269997,120.589996,121.839996,666200,120.122312
"83",122.290001,123.019997,121.150002,121.889999,660900,120.17161
"84",120.809998,121.099998,119.040001,119.07,729400,117.391366
"85",118.760002,120.709999,117.57,120.620003,1026400,118.919518
"86",120.239998,120.25,117.040001,117.050003,1170700,115.399847
"87",117,117.889999,114.470001,114.550003,1315000,112.935092
