"","SAI.Open","SAI.High","SAI.Low","SAI.Close","SAI.Volume","SAI.Adjusted"
"1",0.02,0.02,0.02,0.02,25000,0.02
"2",0.02,0.02,0.02,0.02,0,0.02
"3",0.02,0.02,0.02,0.02,0,0.02
"4",0.02,0.02,0.02,0.02,0,0.02
"5",0.015,0.015,0.015,0.015,50000,0.015
"6",0.015,0.015,0.015,0.015,0,0.015
"7",0.025,0.025,0.025,0.025,39000,0.025
"8",0.025,0.025,0.025,0.025,0,0.025
"9",0.025,0.025,0.025,0.025,0,0.025
"10",0.025,0.025,0.025,0.025,0,0.025
"11",0.025,0.025,0.025,0.025,0,0.025
"12",0.025,0.025,0.025,0.025,0,0.025
"13",0.025,0.025,0.025,0.025,0,0.025
"14",0.025,0.025,0.025,0.025,0,0.025
"15",0.025,0.025,0.025,0.025,0,0.025
"16",0.025,0.025,0.025,0.025,0,0.025
"17",0.025,0.025,0.025,0.025,0,0.025
"18",0.025,0.025,0.025,0.025,0,0.025
"19",0.025,0.025,0.025,0.025,0,0.025
"20",0.025,0.025,0.025,0.025,0,0.025
"21",0.025,0.025,0.025,0.025,0,0.025
"22",0.025,0.025,0.025,0.025,0,0.025
"23",0.025,0.025,0.025,0.025,0,0.025
"24",0.025,0.025,0.025,0.025,0,0.025
"25",0.025,0.025,0.025,0.025,0,0.025
"26",0.025,0.025,0.025,0.025,0,0.025
"27",0.025,0.025,0.025,0.025,0,0.025
"28",0.015,0.015,0.015,0.015,10000,0.015
"29",0.015,0.015,0.015,0.015,0,0.015
"30",0.015,0.015,0.015,0.015,0,0.015
"31",0.015,0.015,0.015,0.015,0,0.015
"32",0.015,0.015,0.015,0.015,0,0.015
"33",0.015,0.015,0.015,0.015,0,0.015
"34",0.015,0.015,0.015,0.015,0,0.015
"35",0.015,0.015,0.015,0.015,0,0.015
"36",0.015,0.015,0.015,0.015,0,0.015
"37",0.015,0.015,0.015,0.015,0,0.015
"38",0.015,0.015,0.015,0.015,0,0.015
"39",0.015,0.015,0.015,0.015,0,0.015
"40",0.015,0.015,0.015,0.015,0,0.015
"41",0.015,0.015,0.015,0.015,0,0.015
"42",0.015,0.015,0.015,0.015,0,0.015
"43",0.015,0.015,0.015,0.015,0,0.015
"44",0.015,0.015,0.015,0.015,0,0.015
"45",0.015,0.015,0.015,0.015,0,0.015
"46",0.015,0.015,0.015,0.015,0,0.015
"47",0.015,0.015,0.015,0.015,0,0.015
"48",0.015,0.015,0.015,0.015,0,0.015
"49",0.015,0.015,0.015,0.015,0,0.015
"50",0.015,0.015,0.015,0.015,0,0.015
"51",0.015,0.015,0.015,0.015,0,0.015
"52",0.015,0.015,0.015,0.015,0,0.015
"53",0.015,0.015,0.015,0.015,0,0.015
"54",0.015,0.015,0.015,0.015,0,0.015
"55",0.015,0.015,0.015,0.015,0,0.015
"56",0.015,0.015,0.015,0.015,0,0.015
"57",0.015,0.015,0.015,0.015,0,0.015
"58",0.015,0.015,0.015,0.015,0,0.015
"59",0.015,0.015,0.015,0.015,7000,0.015
"60",0.015,0.015,0.015,0.015,0,0.015
"61",0.015,0.015,0.015,0.015,0,0.015
"62",0.015,0.015,0.015,0.015,0,0.015
"63",0.015,0.015,0.015,0.015,0,0.015
"64",0.015,0.015,0.015,0.015,0,0.015
"65",0.015,0.015,0.015,0.015,0,0.015
"66",0.015,0.015,0.015,0.015,0,0.015
"67",0.015,0.015,0.015,0.015,0,0.015
"68",0.015,0.015,0.015,0.015,0,0.015
"69",0.015,0.015,0.015,0.015,0,0.015
"70",0.015,0.015,0.015,0.015,0,0.015
"71",0.015,0.015,0.015,0.015,0,0.015
"72",0.015,0.015,0.015,0.015,5000,0.015
"73",0.015,0.015,0.015,0.015,0,0.015
"74",0.01,0.01,0.01,0.01,27500,0.01
"75",0.01,0.01,0.01,0.01,0,0.01
"76",0.01,0.01,0.01,0.01,0,0.01
"77",0.01,0.01,0.01,0.01,0,0.01
"78",0.015,0.015,0.015,0.015,1000,0.015
"79",0.015,0.015,0.015,0.015,0,0.015
"80",0.015,0.015,0.015,0.015,0,0.015
"81",0.015,0.015,0.015,0.015,4000,0.015
"82",0.015,0.015,0.015,0.015,0,0.015
"83",0.015,0.015,0.015,0.015,0,0.015
"84",0.015,0.015,0.015,0.015,0,0.015
"85",0.015,0.015,0.015,0.015,0,0.015
"86",0.015,0.015,0.015,0.015,0,0.015
"87",0.015,0.015,0.015,0.015,0,0.015
"88",0.015,0.015,0.015,0.015,0,0.015
"89",0.015,0.015,0.015,0.015,4000,0.015
"90",0.015,0.015,0.015,0.015,0,0.015
"91",0.015,0.015,0.015,0.015,0,0.015
"92",0.015,0.015,0.015,0.015,0,0.015
"93",0.015,0.015,0.015,0.015,0,0.015
"94",0.015,0.015,0.015,0.015,0,0.015
"95",0.015,0.015,0.015,0.015,50000,0.015
"96",0.015,0.015,0.015,0.015,0,0.015
"97",0.015,0.015,0.015,0.015,0,0.015
"98",0.015,0.015,0.015,0.015,0,0.015
"99",0.015,0.015,0.015,0.015,0,0.015
"100",0.015,0.015,0.015,0.015,0,0.015
"101",0.015,0.015,0.015,0.015,0,0.015
"102",0.015,0.015,0.015,0.015,0,0.015
"103",0.015,0.015,0.015,0.015,0,0.015
"104",0.015,0.015,0.015,0.015,0,0.015
"105",0.015,0.015,0.015,0.015,0,0.015
"106",0.015,0.015,0.015,0.015,0,0.015
"107",0.015,0.015,0.015,0.015,0,0.015
"108",0.015,0.015,0.015,0.015,0,0.015
"109",0.015,0.015,0.015,0.015,0,0.015
"110",0.015,0.015,0.015,0.015,0,0.015
"111",0.015,0.015,0.015,0.015,0,0.015
"112",0.015,0.015,0.015,0.015,0,0.015
"113",0.015,0.015,0.015,0.015,0,0.015
"114",0.02,0.02,0.01,0.01,235000,0.01
"115",0.01,0.01,0.01,0.01,50000,0.01
"116",0.015,0.015,0.015,0.015,60000,0.015
"117",0.015,0.015,0.015,0.015,0,0.015
"118",0.015,0.015,0.015,0.015,0,0.015
"119",0.015,0.015,0.015,0.015,0,0.015
"120",0.015,0.015,0.015,0.015,0,0.015
"121",0.015,0.015,0.015,0.015,0,0.015
"122",0.015,0.015,0.015,0.015,0,0.015
"123",0.025,0.025,0.025,0.025,41000,0.025
"124",0.025,0.025,0.025,0.025,0,0.025
"125",0.025,0.025,0.025,0.025,0,0.025
"126",0.025,0.03,0.025,0.03,90000,0.03
"127",0.025,0.025,0.025,0.025,75000,0.025
"128",0.025,0.025,0.025,0.025,20000,0.025
"129",0.025,0.025,0.025,0.025,0,0.025
