"","HD.Open","HD.High","HD.Low","HD.Close","HD.Volume","HD.Adjusted"
"1",80.260002,80.849998,80.220001,80.739998,4249500,79.122731
"2",80.459999,80.730003,79.760002,79.809998,4918100,78.211359
"3",79.730003,79.779999,78.199997,78.43,7643300,76.859004
"4",78.489998,78.589996,77.75,78.07,7971800,76.506214
"5",77.959999,79.089996,77.959999,78.900002,7164400,77.31959
"6",78.839996,80.459999,78.730003,80.019997,9587300,78.417151
"7",80.029999,80.760002,79.790001,80.709999,8071500,79.093333
"8",80.709999,80.849998,79.949997,80.440002,5095400,78.828744
"9",80.690002,80.800003,79.860001,80.169998,13661000,78.564148
"10",80.160004,80.800003,79.970001,80.639999,4920400,79.024735
"11",80.379997,80.830002,79.830002,80.43,5579300,78.818943
"12",80.360001,80.610001,80.120003,80.529999,4486300,78.916938
"13",80.449997,80.970001,80.120003,80.75,5165200,79.132532
"14",80.650002,81.470001,80.629997,81.129997,5011000,79.504918
"15",81.019997,81.230003,80.480003,80.959999,5045300,79.338325
"16",81.32,81.970001,81.220001,81.82,5234600,80.181099
"17",81.839996,82.18,81.620003,81.980003,4185700,80.337898
"18",82.07,82.349998,81.800003,82.050003,2764000,80.406496
"19",81.730003,82.089996,81.139999,81.419998,6071000,79.78911
"20",81.419998,81.529999,80.550003,80.760002,7322900,79.142334
"21",81.110001,81.230003,80.18,80.730003,6980600,79.112936
"22",79.050003,79.580002,77.949997,79.400002,11530900,77.809575
"23",79.589996,79.900002,79.209999,79.610001,4746400,78.015368
"24",79.919998,80.059998,79.190002,79.459999,7657200,77.868371
"25",79.5,80.059998,79.419998,79.860001,6051900,78.26036
"26",80.040001,80.239998,79.379997,79.660004,9033700,78.064369
"27",79.449997,79.879997,79.230003,79.550003,7697300,77.956572
"28",79.800003,80.279999,79.449997,80.080002,5323200,78.475955
"29",80.010002,80.029999,79.529999,79.709999,4112800,78.113363
"30",80.360001,80.75,80.199997,80.540001,6336100,78.92674
"31",80.459999,81.089996,80.209999,81.019997,3669200,79.397121
"32",81.190002,81.540001,80.889999,81.199997,4359600,79.573516
"33",81.099998,81.300003,80.889999,81.029999,4680100,79.406923
"34",81.199997,81.339996,80.660004,81.07,3441600,79.446122
"35",81.209999,81.809998,80.889999,80.980003,4536500,79.357929
"36",81.5,81.849998,81.07,81.760002,5807300,80.122304
"37",81.089996,81.580002,80.849998,80.849998,5748900,79.230528
"38",80.559998,81.080002,79.739998,79.75,8708000,78.152563
"39",79.699997,80.25,79.660004,80.029999,7025000,78.426953
"40",79.779999,80.860001,79.779999,80.029999,5895500,78.426953
"41",79.940002,81.019997,79.849998,80.519997,4228200,78.907136
"42",80.75,81.07,80.290001,80.470001,4045900,78.858142
"43",81.07,82.459999,80.879997,82.43,7226500,80.778881
"44",82.610001,83.07,82.5,82.879997,3952000,81.219865
"45",82.75,83.089996,82.68,82.919998,3657100,81.259064
"46",82.980003,83.389999,82.739998,83.120003,4498700,81.455063
"47",83.089996,83.970001,82.739998,83.860001,4923000,82.180238
"48",84.040001,84.089996,82.849998,83.690002,5383500,82.013645
"49",84.209999,84.620003,83.290001,83.589996,9475300,81.915642
"50",86.900002,88.989998,86.57,88.230003,18244600,86.462707
"51",88.169998,91.07,88.080002,90.75,13394200,88.932227
"52",90.68,91.809998,90.669998,91.150002,8315900,89.324216
"53",90.739998,91.330002,90.650002,91.029999,6939200,89.206617
"54",91.25,91.82,90.949997,91.199997,7328700,89.37321
"55",90.980003,91.830002,90.900002,91.629997,5396400,89.794597
"56",91.68,91.959999,91.309998,91.870003,4320200,90.029795
"57",91.400002,92.730003,91.269997,92.510002,7575700,90.656975
"58",92.739998,93.519997,92.610001,93.5,7672200,91.627143
"59",93.040001,93.309998,89.849998,91.150002,20753200,89.775494
"60",91.110001,91.309998,88.980003,89,15410400,87.657914
"61",89,90.75,89,89.93,8452200,88.57389
"62",89.660004,91.639999,89.279999,91.610001,7746400,90.228557
"63",91.379997,91.779999,90.57,90.82,4885900,89.450469
"64",90.209999,90.330002,88.779999,88.93,8103000,87.58897
"65",88.660004,89.400002,88.330002,89.25,6245400,87.904144
"66",89.07,89.419998,88.620003,89.220001,4537800,87.874598
"67",89.379997,89.5,88.459999,88.839996,4593700,87.500323
"68",89.18,89.540001,88.599998,89.379997,3935000,88.032181
"69",89.269997,90.739998,88.529999,90.269997,5045100,88.90876
"70",90.629997,91.540001,89.940002,91.220001,7068800,89.844438
"71",91.830002,92.440002,91.199997,92.089996,6025100,90.701314
"72",92.849998,93.75,92.199997,92.339996,12498800,90.947545
"73",91.980003,92.419998,91.68,91.889999,5208800,90.504333
"74",91.790001,92.220001,91.449997,91.489998,6330000,90.110364
"75",91.68,93.110001,91.349998,93.019997,6381400,91.617291
"76",92.800003,93,91.550003,91.900002,4972100,90.514185
"77",92.290001,93,91.800003,92.839996,4571400,91.440005
"78",92.370003,93.169998,91.949997,92.879997,3894600,91.479402
"79",93.029999,93.209999,91.400002,91.739998,6773000,90.356594
"80",92.139999,92.339996,90.919998,91.019997,5970700,89.64745
"81",91.309998,92.459999,91.07,92.239998,5991200,90.849054
"82",92.519997,93.68,92.339996,93.540001,6200100,92.129453
"83",93.720001,94.25,93.059998,93.260002,4951700,91.853677
"84",93.040001,93.559998,92.440002,92.470001,5030300,91.075589
"85",92.57,94.160004,92.239998,94.089996,6618900,92.671155
"86",93.910004,94.790001,93.019997,93.07,6674700,91.66654
"87",93.230003,93.860001,92.540001,92.550003,6349800,91.154384
"88",92.879997,92.940002,90.43,90.599998,7372200,89.233785
"89",90.370003,90.529999,88.519997,90.099998,9711300,88.741325
"90",88.089996,89.169998,86.620003,87.849998,12987500,86.525254
"91",86.349998,89.720001,86.349998,88.879997,7147600,87.539721
"92",89.300003,91.120003,89.050003,90.239998,7007300,88.879213
"93",89.870003,92.07,89.769997,91.849998,5609400,90.464936
"94",92.529999,94.370003,92.120003,94.199997,6604700,92.779497
"95",94.300003,94.989998,93.239998,93.339996,5908900,91.932465
"96",94.5,95.519997,94.440002,94.800003,5923100,93.370455
"97",94.599998,95.190002,94.129997,94.989998,4825200,93.557585
"98",94.959999,95.68,94.709999,95.470001,4465100,94.03035
"99",95.910004,96.599998,95.5,96.589996,5260100,95.133456
"100",96.620003,97.25,95.800003,96.419998,4275400,94.966021
"101",96.120003,97.800003,96.029999,97.519997,4106700,96.049432
"102",98.779999,99.260002,97.330002,97.519997,6335900,96.049432
"103",96.809998,96.830002,95.980003,96.089996,7614200,94.640996
"104",96.059998,96.18,95.190002,95.959999,5349600,94.512959
"105",96.589996,96.849998,95.150002,95.779999,5002700,94.335673
"106",96.349998,97.510002,96.010002,97.290001,4016900,95.822905
"107",97.169998,97.75,96.690002,97.650002,3429600,96.177477
"108",97.639999,98.169998,97,98.160004,3662300,96.679788
"109",98.459999,98.75,97.879997,98.139999,3818400,96.660086
"110",98.300003,98.699997,97.610001,98.489998,4629100,97.004806
"111",98.900002,99.360001,98.339996,99,3182700,97.507118
"112",98.900002,99,98.019997,98.239998,4082900,96.758576
"113",98.169998,98.949997,97.800003,98.029999,8574700,96.551744
"114",97.150002,97.709999,95.980003,95.980003,10384400,94.532662
"115",96.550003,97.309998,96,96.699997,6830700,95.241798
"116",96.080002,97.970001,96.019997,97.57,4958400,96.098681
"117",98.980003,99.099998,97.82,98.279999,6804700,96.797974
"118",98.68,98.900002,98.220001,98.400002,5043600,96.916167
"119",98.639999,98.870003,96.410004,97.010002,7991900,95.547128
"120",97.059998,97.709999,97.010002,97.699997,4337900,96.226718
"121",98.059998,99.800003,98,99.400002,3305800,97.901088
"122",99.489998,99.610001,98.309998,98.879997,4393700,97.388925
"123",98.620003,99,97.989998,98.160004,4677500,97.141527
"124",98.099998,98.739998,98.040001,98.589996,4357200,97.567058
"125",98.150002,99.110001,97.779999,98.949997,5220000,97.923324
"126",98.769997,99.68,98.660004,99.639999,4649100,98.606167
"127",99.709999,100.949997,99.660004,100.43,6624300,99.387971
"128",99.690002,99.980003,98.589996,99.639999,5280500,98.606167
