"","AIG.Open","AIG.High","AIG.Low","AIG.Close","AIG.Volume","AIG.Adjusted"
"1",55.049999,55.130001,54.799999,55.009998,5083700,54.523184
"2",54.849998,54.919998,54.349998,54.779999,5334200,54.29522
"3",54.73,54.779999,54.299999,54.419998,7891400,53.938405
"4",54.459999,54.849998,54.400002,54.700001,5625600,54.21593
"5",54.59,55.060001,54.41,54.98,6035000,54.493451
"6",54.759998,55.349998,54.700001,55.220001,7681700,54.731328
"7",55.18,55.68,54.84,55.59,7471000,55.098053
"8",55.790001,55.830002,55.369999,55.700001,6149600,55.20708
"9",56,56,55.459999,55.580002,9187900,55.088143
"10",55.57,55.779999,55.27,55.720001,5317000,55.226904
"11",55.41,55.830002,55.259998,55.259998,8767100,54.770972
"12",55.029999,55.16,54.75,54.889999,7644900,54.404247
"13",55,55,54.130001,54.889999,5940700,54.404247
"14",54.610001,54.880001,54.220001,54.610001,6555000,54.126726
"15",54.740002,54.939999,54.450001,54.580002,5421000,54.096993
"16",54.990002,55.709999,54.939999,55.380001,6850700,54.889912
"17",55.080002,55.630001,55.040001,55.25,4718400,54.761062
"18",55.509998,55.990002,55.360001,55.639999,3690000,55.14761
"19",55.41,55.490002,55.009998,55.310001,4264400,54.820532
"20",55.099998,55.150002,54.720001,54.93,7342700,54.443894
"21",55.150002,55.32,54.73,55.07,4087100,54.582654
"22",54.07,54.57,53.130001,54.48,8825100,53.997875
"23",54.310001,54.669998,54.040001,54.52,4044100,54.037522
"24",54.93,55.25,54.869999,55.099998,5501100,54.612388
"25",55.119999,55.52,54.889999,55.049999,6686000,54.562831
"26",55.34,55.459999,54.869999,55.040001,5175900,54.552921
"27",54.919998,55.330002,54.66,54.700001,7546700,54.21593
"28",54.91,55.259998,54.639999,55.200001,4928400,54.711505
"29",54.740002,55.189999,54.650002,55.110001,6565000,54.622301
"30",54.799999,55.049999,54.540001,54.700001,8308600,54.21593
"31",54.849998,55.130001,54.700001,55.02,3877500,54.533098
"32",55.200001,55.389999,54.900002,55.169998,4241400,54.681768
"33",54.84,54.98,54.150002,54.16,7389100,53.680708
"34",54.139999,54.169998,53.459999,53.950001,7135500,53.472567
"35",54,54.139999,53.310001,53.349998,6326600,52.877874
"36",53.66,53.740002,52.950001,53.049999,6834900,52.58053
"37",52.599998,52.959999,51.900002,51.98,8272100,51.519999
"38",51.82,52.41,51.610001,52.049999,9385500,51.58938
"39",52.5,52.759998,52.029999,52.66,8888200,52.193982
"40",53.529999,53.700001,51.75,52.200001,22628800,51.738054
"41",51.900002,52.650002,51.900002,52.5,9990400,52.035398
"42",52.830002,53,51.98,52.060001,13327800,51.599293
"43",52.16,52.48,51.98,52.450001,8128800,51.985841
"44",52.560001,53.040001,52.400002,52.900002,6152200,52.43186
"45",52.959999,53.5,52.93,53.349998,8064200,52.877874
"46",53.610001,53.779999,53.349998,53.529999,8864600,53.056282
"47",53.639999,54.27,53.580002,54.060001,6442800,53.581594
"48",54.32,54.369999,53.419998,53.990002,5886300,53.512214
"49",54.360001,54.549999,54.09,54.48,5614300,53.997875
"50",54.669998,54.900002,54.5,54.619999,5825400,54.136636
"51",54.490002,55.009998,54.490002,54.869999,6276000,54.384424
"52",54.810001,55.75,54.73,55.580002,8043700,55.088143
"53",55.400002,55.549999,55.040001,55.330002,7236200,54.840356
"54",55.700001,56.09,55.599998,55.889999,8407700,55.395397
"55",56.009998,56.220001,55.889999,56.080002,4749200,55.583718
"56",56.27,56.310001,56,56.16,6376900,55.663008
"57",55.830002,55.869999,55.470001,55.73,5346900,55.236813
"58",55.950001,56.09,55.740002,56.060001,4420100,55.563895
"59",56.290001,56.369999,55.459999,55.799999,6048600,55.306194
"60",55.93,56.060001,55.560001,55.580002,5529300,55.088143
"61",55.82,55.950001,54.970001,55.23,6436800,54.741238
"62",55.060001,55.349998,54.639999,55.040001,5861100,54.552921
"63",55.32,55.610001,54.939999,55.32,7415400,54.830442
"64",55.029999,55.25,54.509998,55.080002,6367700,54.716203
"65",55.110001,55.540001,55.02,55.349998,6888200,54.984417
"66",55.080002,55.630001,55.029999,55.43,4337300,55.06389
"67",55.290001,55.5,55.009998,55.189999,5654300,54.825474
"68",55.110001,55.450001,54.740002,55.400002,5698300,55.03409
"69",55.220001,55.73,55.130001,55.619999,6949600,55.252634
"70",55.84,56.25,55.5,55.849998,9117000,55.481114
"71",55.759998,56.48,55.759998,56.330002,7820600,55.957947
"72",56.52,56.560001,55.110001,55.240002,14719000,54.875146
"73",55.080002,55.380001,54.900002,54.93,8138200,54.567193
"74",54.849998,55.119999,54.369999,54.509998,7676300,54.149965
"75",54.5,55.150002,54.450001,54.990002,6614000,54.626798
"76",54.869999,54.900002,54.119999,54.16,7623600,53.802278
"77",54.279999,54.720001,54.16,54.52,6891200,54.159901
"78",54,54.509998,53.509998,54.169998,7013600,53.81221
"79",54.279999,54.619999,53.970001,54.02,8250900,53.663203
"80",54.040001,54.099998,52.869999,52.959999,14633100,52.610203
"81",52.970001,53.119999,51.700001,52.610001,12801900,52.262516
"82",53.380001,53.57,53.029999,53.349998,7632900,52.997627
"83",53.529999,53.630001,52.48,52.77,6800600,52.421459
"84",52.290001,52.330002,51,51.009998,17072000,50.673082
"85",51.130001,52.049999,50.43,52.009998,16323200,51.666477
"86",51.84,52,50.209999,50.419998,18871700,50.086979
"87",50.02,50.610001,49.619999,49.959999,14919500,49.630018
"88",50,50.450001,49.709999,49.810001,10229900,49.481011
"89",50.029999,50.599998,49.900002,50.07,11581300,49.739292
"90",49.130001,49.799999,48.560001,49.689999,15426500,49.361801
"91",48.950001,50,48.68,49.400002,12584700,49.073719
"92",50.099998,50.98,49.98,50.759998,10847400,50.424733
"93",51.34,51.419998,50.59,51.009998,8868200,50.673082
"94",51.32,52.200001,51.27,52.150002,9073000,51.805555
"95",52.299999,52.470001,51.66,51.669998,7556300,51.328722
