"","TXT.Open","TXT.High","TXT.Low","TXT.Close","TXT.Volume","TXT.Adjusted"
"1",40.73,40.880001,40.330002,40.779999,1048900,40.681525
"2",40.549999,40.610001,40.099998,40.189999,895300,40.112624
"3",40.049999,40.080002,39.25,39.380001,1047200,39.304186
"4",39.380001,39.639999,39.060001,39.400002,922800,39.324147
"5",39.32,39.380001,38.91,39.349998,957400,39.274241
"6",39.349998,39.759998,39.119999,39.560001,896100,39.483839
"7",39.580002,39.830002,39.200001,39.689999,991900,39.613586
"8",39.650002,39.900002,39.240002,39.490002,1003200,39.413974
"9",39.689999,40,39.639999,39.720001,1769300,39.643531
"10",39.759998,39.77,38.98,39.18,1045600,39.10457
"11",39.130001,39.18,37.830002,37.849998,2750500,37.777129
"12",37.75,38.16,37.57,38.049999,2086000,37.976744
"13",38.169998,38.27,37.540001,38.049999,1021000,37.976744
"14",37.959999,38.849998,37.889999,38.810001,1752400,38.735283
"15",38.650002,38.73,38.209999,38.290001,1446600,38.216284
"16",38.389999,39.029999,38.290001,38.48,1369900,38.405917
"17",38.43,38.689999,38.099998,38.169998,1573700,38.096512
"18",38.389999,38.459999,38.25,38.330002,1361800,38.256208
"19",38.310001,38.310001,37.540001,37.709999,1666600,37.637399
"20",37.700001,37.939999,37.139999,37.18,1878500,37.10842
"21",37.459999,37.599998,37.189999,37.34,1603500,37.268112
"22",36.98,37.59,36.610001,37.34,2082300,37.268112
"23",37.290001,37.900002,37.220001,37.889999,1571400,37.817052
"24",38.130001,38.57,38.029999,38.560001,1661400,38.485765
"25",38.52,39.18,38.099998,38.369999,2126100,38.296128
"26",39.700001,40.25,38.73,39,3327800,38.924916
"27",38.830002,39.349998,38.32,38.32,2398100,38.246225
"28",38.509998,38.880001,38.48,38.759998,3189100,38.685376
"29",38.68,38.98,38.18,38.810001,2365100,38.735283
"30",39.220001,39.27,38.869999,38.889999,1972200,38.815127
"31",38.84,38.93,38.02,38.200001,2797300,38.126457
"32",38.32,38.529999,37.950001,37.990002,1909800,37.916862
"33",37.860001,38,37.549999,37.630001,2119700,37.557555
"34",37.630001,37.669998,36.950001,37.009998,2398800,36.938746
"35",37.060001,37.240002,36.66,36.700001,1824100,36.629345
"36",36.93,37.16,36.549999,36.880001,1653500,36.808999
"37",36.580002,36.779999,36.290001,36.369999,2123900,36.299978
"38",36.189999,36.66,35.82,36.200001,1737500,36.130307
"39",36.25,36.34,35.779999,36.240002,1404600,36.170231
"40",36.049999,36.91,36.02,36.529999,2155000,36.45967
"41",36.18,36.48,35.889999,36.16,1389600,36.090384
"42",36.380001,36.650002,36.099998,36.150002,1247800,36.080404
"43",36.18,37.32,36.119999,37.310001,1553400,37.238171
"44",37.529999,37.990002,37.470001,37.799999,1958700,37.727226
"45",37.790001,38.189999,37.459999,37.57,1658700,37.497669
"46",37.759998,38.43,37.75,38.220001,1417200,38.146419
"47",38.25,38.330002,37.599998,37.740002,2308300,37.667343
"48",37.950001,38.040001,37.060001,37.490002,1767000,37.417825
"49",37.919998,38.080002,37.740002,37.970001,1414500,37.8969
"50",38.040001,38.299999,37.799999,38.290001,1778900,38.216284
"51",38.310001,38.970001,38.25,38.939999,1337900,38.86503
"52",38.919998,39.09,38.59,39.029999,1778300,38.954857
"53",38.98,39.139999,38.709999,38.849998,1228800,38.775203
"54",39.060001,39.200001,38.880001,38.93,1581900,38.855051
"55",38.91,39.150002,38.73,38.759998,745500,38.685376
"56",38.720001,38.849998,38.330002,38.5,797400,38.425879
"57",38.220001,38.259998,37.889999,38.009998,1518800,37.93682
"58",38.060001,38.23,37.900002,38,1129500,37.926841
