"","CAM.Open","CAM.High","CAM.Low","CAM.Close","CAM.Volume","CAM.Adjusted"
"1",65.25,65.449997,64.790001,64.830002,1057900,64.830002
"2",64.660004,65.139999,64.389999,65.050003,997400,65.050003
"3",65.230003,65.660004,64.660004,64.949997,1374700,64.949997
"4",65.169998,65.169998,64.230003,65.089996,1741400,65.089996
"5",65.220001,65.449997,64.650002,65.25,1056300,65.25
"6",65.029999,65.459999,64.779999,65.120003,868600,65.120003
"7",65.18,65.43,64.639999,65.370003,1144300,65.370003
"8",65.440002,66.029999,64.690002,66.010002,1989100,66.010002
"9",66.489998,67.599998,66.18,67.599998,3385400,67.599998
"10",67.730003,68.540001,67.519997,67.75,1921200,67.75
"11",67.739998,67.910004,66.730003,66.800003,1464700,66.800003
"12",66.529999,67.419998,66.309998,67.260002,1110300,67.260002
"13",67.349998,67.349998,66.199997,67.029999,968400,67.029999
"14",66.959999,67.330002,66.660004,67.220001,1932100,67.220001
"15",67.279999,68.029999,66.870003,67.709999,2134700,67.709999
"16",68.010002,68.489998,67.800003,68.07,2268000,68.07
"17",67.889999,68.860001,67.889999,68.25,1363900,68.25
"18",68.32,68.75,68.029999,68.690002,915400,68.690002
"19",68.620003,68.699997,67.910004,68.309998,1608800,68.309998
"20",68.029999,69.050003,67.879997,68.879997,2122600,68.879997
"21",69,69.330002,68.5,69.029999,1760700,69.029999
"22",68.349998,68.550003,67.629997,68.199997,1924500,68.199997
"23",68.18,68.18,67.110001,67.690002,1735300,67.690002
"24",68.089996,68.519997,68.059998,68.360001,851300,68.360001
"25",67.93,68.660004,67.379997,68.080002,1120200,68.080002
"26",68.610001,69.599998,68.300003,69.599998,1593100,69.599998
"27",69.449997,69.709999,68.620003,69.089996,1487500,69.089996
"28",69.339996,69.669998,69.080002,69.089996,1842100,69.089996
"29",69.099998,69.360001,68.760002,68.900002,1011700,68.900002
"30",69.25,69.529999,68.959999,69.080002,1344100,69.080002
"31",69.370003,69.580002,68.57,69.57,1906800,69.57
"32",72,74.050003,71.25,72.440002,5327900,72.440002
"33",72.440002,74.529999,72.150002,74.150002,3128000,74.150002
"34",74.160004,74.360001,73.080002,73.959999,2543500,73.959999
"35",73.959999,74.010002,73.389999,73.529999,2187400,73.529999
"36",73.800003,74.040001,72.589996,72.839996,2258900,72.839996
"37",72.599998,72.599998,70.860001,70.910004,2988300,70.910004
"38",70.349998,71.059998,69.690002,69.720001,4219700,69.720001
"39",69.93,71.870003,69.639999,71.470001,2274500,71.470001
"40",71.209999,71.779999,70.290001,71.010002,2436500,71.010002
"41",70.599998,72.029999,70.160004,71.089996,1511000,71.089996
"42",71.330002,71.660004,70.589996,70.989998,1739100,70.989998
"43",71.059998,72.639999,71.029999,72.599998,1837500,72.599998
"44",72.779999,73.290001,72.050003,72.290001,2380400,72.290001
"45",72,72.559998,71.620003,71.989998,1343300,71.989998
"46",72.099998,73.410004,72.099998,73.07,1787500,73.07
"47",73.190002,73.379997,72.230003,72.32,1692100,72.32
"48",72.510002,73.290001,72.18,72.629997,1492700,72.629997
"49",73.110001,73.489998,72.029999,72.089996,1906600,72.089996
"50",72.129997,72.360001,71.540001,72.150002,4046100,72.150002
"51",71.760002,73,71.650002,72.93,2680100,72.93
"52",72.919998,73.269997,72.110001,73.099998,1526700,73.099998
"53",72.879997,72.889999,72.029999,72.580002,1223300,72.580002
"54",73.010002,74.220001,72.989998,73.919998,1573000,73.919998
"55",73.940002,74.5,73.779999,73.809998,1730900,73.809998
"56",73.660004,74.059998,73.43,73.900002,2307300,73.900002
"57",73.580002,74.5,73.419998,74.360001,2422300,74.360001
"58",74.5,74.5,73.989998,74.330002,1598800,74.330002
"59",74.860001,74.889999,73.68,73.769997,1906300,73.769997
"60",74.330002,74.589996,73.510002,73.800003,1629100,73.800003
"61",73.800003,73.839996,70.839996,71.199997,2653200,71.199997
"62",71.669998,72.459999,71,72.199997,2200500,72.199997
"63",71.709999,71.790001,70.080002,70.470001,2233200,70.470001
"64",70.610001,71.540001,70.230003,70.760002,2306900,70.760002
"65",70.800003,71.580002,69.809998,71.349998,1991300,71.349998
"66",70.599998,72.349998,70.129997,72.089996,1771100,72.089996
"67",71.669998,71.790001,70.93,71.089996,2004600,71.089996
"68",70.769997,71.550003,70.449997,70.910004,2001600,70.910004
"69",71.010002,72.199997,70.440002,71.669998,1347500,71.669998
"70",71.730003,71.989998,70.870003,71.199997,1402300,71.199997
"71",71.260002,71.510002,70.389999,70.550003,1733500,70.550003
"72",70.889999,71.300003,69.860001,70.099998,2458400,70.099998
"73",69.970001,69.970001,68.260002,69.360001,2249300,69.360001
"74",69.519997,70.279999,69.059998,69.57,1788900,69.57
"75",69.339996,70.169998,68.110001,69.669998,2356200,69.669998
"76",69.330002,69.360001,67.440002,67.559998,2714300,67.559998
"77",67.57,67.730003,66.529999,67.629997,3782800,67.629997
"78",66.839996,67.540001,66.540001,67.279999,2043200,67.279999
"79",66.93,67.379997,65.879997,66.379997,3105300,66.379997
"80",66.400002,66.879997,64.639999,64.730003,2597400,64.730003
"81",64.230003,64.510002,62.049999,63.400002,4426600,63.400002
"82",63.540001,63.779999,62.330002,62.439999,2656400,62.439999
"83",62.91,63.43,62.02,62.299999,2341300,62.299999
"84",61.900002,63.299999,61.75,61.759998,2448100,61.759998
"85",61.580002,62.110001,59.77,62.07,3070500,62.07
"86",61.439999,61.470001,58.91,59.139999,3063800,59.139999
"87",59.220001,59.220001,56.950001,57.900002,3989500,57.900002
"88",57.73,58.689999,55.73,55.759998,3054300,55.759998
"89",55.880001,57.5,54.799999,55.48,3850800,55.48
"90",54.860001,56.990002,54.130001,56.43,5682100,56.43
"91",54.98,58.299999,54.830002,57.57,5821900,57.57
"92",58.099998,59.439999,56.52,57.349998,3411400,57.349998
"93",57.470001,58.369999,57.009998,58.099998,2682700,58.099998
"94",58.66,59.82,58.5,59.779999,2654700,59.779999
"95",60,60.779999,58.099998,58.310001,4134500,58.310001
"96",58.82,60.740002,58.57,60.349998,6623500,60.349998
"97",60.189999,60.189999,58.799999,59.84,2898200,59.84
"98",58.880001,58.889999,57.16,57.48,4341500,57.48
"99",58.310001,58.77,57.189999,58.720001,3412900,58.720001
"100",59.419998,59.959999,57.790001,58.380001,3032600,58.380001
"101",58.119999,58.59,54.91,58.450001,2939100,58.450001
"102",58.540001,59.610001,57.669998,59.549999,3031400,59.549999
"103",59.549999,60.459999,58.619999,58.84,3004900,58.84
"104",58.099998,58.139999,55.68,56.220001,2694500,56.220001
"105",55.599998,57.52,55.34,56.970001,3450900,56.970001
"106",56.68,58.310001,56.299999,58.290001,2623100,58.290001
"107",58.610001,60.34,58.290001,59.240002,2392200,59.240002
"108",59.939999,60.360001,58.299999,58.619999,1786500,58.619999
"109",58.619999,59.099998,58.099998,58.970001,2002900,58.970001
"110",58.650002,59.610001,58.299999,58.630001,1614400,58.630001
"111",58.16,58.860001,56.889999,57.720001,4057200,57.720001
"112",58.169998,58.639999,57.259998,58.240002,2636600,58.240002
"113",57.869999,58.400002,57.450001,58,1935400,58
"114",58.009998,59.110001,57.82,58.41,3184500,58.41
