"","A.Open","A.High","A.Low","A.Close","A.Volume","A.Adjusted"
"1",59.160005,59.249993,58.580005,58.889993,1772400,41.621399
"2",58.329996,59.130002,58.310008,58.910002,1972000,41.635541
"3",58.900003,59.000006,58.2,58.399996,2345800,41.275087
"4",58.529998,58.870005,58.180007,58.499994,1474800,41.345762
"5",58.569995,58.859995,58.150004,58.320002,1641800,41.21855
"6",58.269995,59.200002,58.190001,58.870005,1857200,41.607273
"7",58.859995,59.320004,58.529998,59.269997,1558400,41.889973
"8",59.200002,59.539994,58.150004,58.620002,4403000,41.430579
"9",57.84,59.060007,57.84,58.770007,2837100,41.536597
"10",58.710001,58.859995,57.970001,58.109996,2007000,41.070125
"11",58.030002,58.49,57.579997,57.649997,1573900,40.745014
"12",57.61,58.099997,57.410004,57.970001,1482600,40.971181
"13",57.990005,58.060005,57.400005,57.819996,1541200,40.865163
"14",57.519996,58.139994,57.180005,57.500008,2123600,40.731994
"15",57.500008,57.759989,57.180005,57.440002,1837500,40.689486
"16",57.740001,58.439993,57.380001,58.250007,2811100,41.26328
"17",58.13,58.589999,57.779999,58.049995,1978200,41.121595
"18",58.190001,58.540008,58.020008,58.459997,839800,41.412033
"19",58.2,58.250007,57.849994,58.120006,1327000,41.171189
"20",57.84,57.930004,56.920002,57.150002,2259000,40.484055
"21",57.050004,57.080007,56.519994,56.899998,1787300,40.306957
"22",56.409997,56.630002,56.010004,56.490007,1662600,40.016527
"23",56.330008,56.739999,56.149999,56.599999,1654300,40.094443
"24",56.920002,57.069997,56.619992,56.820004,2079900,40.250291
"25",56.700002,56.880005,56.149999,56.660005,2928100,40.13695
"26",56.880005,57.099995,56.829998,56.959999,2612200,40.349461
"27",56.470003,56.500001,55.139998,55.149997,6156900,39.067287
"28",55.419994,56.249997,55.290003,56.149999,2385300,39.775671
"29",55.859999,56.950005,55.789999,56.709996,2773500,40.172363
"30",56.999996,58.169997,56.950005,57.719998,3371600,40.88783
"31",58.109996,58.310008,57.450001,57.470005,2032100,40.71074
"32",57.600006,57.740001,56.709996,56.839997,3543100,40.264454
"33",56.519994,56.739999,56.349996,56.530004,2404000,40.04486
"34",56.490007,56.530004,55.889997,56.289995,2111300,39.874842
"35",56.289995,56.360006,55.880003,56.029992,2800300,39.69066
"36",56.219994,56.809994,56.019998,56.779996,1917100,40.22195
"37",56.219994,56.579995,55.829996,56.089998,3785900,39.733168
"38",55.769995,56.400003,55.569999,56.070005,2238800,39.719005
"39",56.189997,56.400003,55.590003,56.259991,1338700,39.853588
"40",55.899996,56.110002,55.100001,55.240001,2422600,39.131045
"41",55.230002,55.720004,54.900005,55.590003,2193200,39.37898
"42",55.980001,55.999994,54.979999,55.049999,2276600,38.996451
"43",55.309996,55.320006,54.859997,55.240001,2468900,39.131045
"44",55.439998,55.650004,55.060004,55.200004,1751300,39.102712
"45",54.990009,55.070003,54.3,54.339992,3693700,38.493494
"46",54.480003,54.970005,54.190003,54.780003,2406400,38.80519
"47",54.780003,55.63,54.450005,55.620006,4862900,39.400233
"48",58.949999,59.060007,57.349998,57.579997,7799200,40.788657
"49",57.749995,58.620002,57.349998,58.519998,3860700,41.454537
"50",58.519998,58.749998,58.160003,58.559995,1667800,41.48287
"51",58.320002,58.410006,57.939998,58.329996,2581500,41.319943
"52",58.359999,58.480001,57.970001,57.990005,1717300,41.079099
"53",57.900001,58.039996,57.479999,57.640003,2012600,40.831164
"54",57.879997,58.150004,57.579997,57.740001,1352000,40.902001
"55",57.749995,57.900001,57.54,57.849994,1237600,40.979917
"56",57.999999,57.999999,57.289997,57.380001,1667800,40.646983
"57",57.139992,57.529995,56.980003,57.150002,1950800,40.484055
"58",57.33001,57.500008,57.080007,57.159996,2767900,40.491135
"59",57.229996,58.099997,57.229996,58.069999,2817800,41.135765
"60",58.209994,58.459997,57.879997,58.060005,2066200,41.128686
"61",58.120006,58.49,57.600006,57.689994,1105300,40.866577
"62",57.579997,58.049995,57.299996,57.919994,1268400,41.029504
"63",57.719998,57.960002,57.500008,57.649997,1881400,40.838244
"64",57.689994,57.800002,57.450001,57.450001,1798000,40.69657
"65",57.600006,57.830006,57.180005,57.689994,2066100,40.866577
"66",57.519996,57.719998,57.410004,57.589996,1392300,40.79574
"67",57.61,58.629996,57.61,58.599992,3621400,41.511203
"68",58.499994,58.499994,57.740001,57.919994,2266300,41.029504
"69",57.819996,58.109996,57.370007,57.909995,1929000,41.022421
"70",57.999999,58.990007,57.919994,58.889993,3788400,41.716634
"71",59.200002,59.399999,58.310008,58.399996,4008100,41.36953
"72",58.819998,58.979997,58.099997,58.250007,3039300,41.26328
"73",58.13,58.190001,57.270009,57.549999,2357900,40.767407
"74",57.25,57.479999,56.909992,56.980003,2282000,40.363631
"75",56.880005,58.039996,56.779996,57.960002,2307400,41.057845
"76",57.860003,57.990005,56.890004,56.890004,2278200,40.299878
"77",56.790001,56.939995,56.070005,56.500001,3101300,40.116687
"78",56.040002,57.180005,55.92,57.150002,2274000,40.578207
"79",57.210003,57.400005,56.820004,56.980003,2964600,40.457503
"80",56.849991,56.930002,56.180003,56.200006,3468900,39.903682
"81",56.130006,56.240004,55.290003,55.829996,2387900,39.640963
"82",56.230004,57.00999,56.159993,56.909992,2205100,40.407793
"83",57.059997,57.159996,56.430006,56.570001,1618000,40.166389
"84",56.249997,56.330008,55.000003,55.000003,2117300,39.051643
"85",55.060004,56.519994,54.799991,56.460004,2970300,40.088287
"86",56.280001,56.280001,55.030006,55.030006,3531800,39.072946
"87",54.909999,55.019996,53.42,53.64,7176800,38.086001
"88",53.730004,54.23,52.730002,52.790003,3533200,37.482477
"89",53.039995,53.389997,51.769997,51.790001,5554100,36.772446
"90",50.870003,51.880005,49.800001,51.790001,6604000,36.772446
"91",50.779999,52.119998,50.55,51.709991,7496200,36.715636
"92",52.170005,53.410001,52.02,52.270003,5327500,37.113262
"93",52.070007,52.380001,50.859994,52.349998,6909200,37.17006
"94",52.860003,54.030004,52.860003,54.000001,3120200,38.341612
"95",53.770001,53.860005,52.989999,53.050005,3021200,37.667087
"96",53.589993,54.209996,53.589993,53.71,2453100,38.135703
"97",53.700006,54.109998,53.510004,54.049992,2108500,38.377107
"98",53.94,54.109998,53.600003,53.990007,1545200,38.334516
"99",54.120003,54.669995,53.879999,54.659995,2394800,38.810228
"100",54.59,54.680005,54.130002,54.499996,2074200,38.696624
"101",53.909996,54.380005,53.749997,54.320004,2883800,38.568824
"102",55.209998,55.409994,54.849998,55.279993,2918700,39.250445
"103",39.900002,41.240002,39.490002,40.84,4559800,40.538671
"104",40.259998,40.830002,39.84,40.18,5765200,39.883541
"105",40.610001,40.669998,39.98,40.130001,2341400,39.833911
"106",40.389999,41.41,40.259998,41.369999,2968300,41.064759
"107",41.389999,41.48,40.860001,40.93,2458700,40.628007
"108",40.98,41.549999,40.880001,41.529999,2583900,41.223579
"109",41.52,42.110001,41.34,41.66,2163800,41.352621
"110",41.299999,41.540001,41.02,41.450001,2504300,41.144171
"111",41.549999,41.740002,41.259998,41.450001,1805500,41.144171
"112",41.360001,41.650002,41.290001,41.57,1331300,41.263285
"113",41.57,41.700001,41.209999,41.240002,2696100,40.935721
"114",40.25,41.16,40.049999,40.799999,5891400,40.498965
"115",40.82,41.330002,40.700001,40.799999,4011900,40.498965
"116",40.560001,41.43,40.560001,41.259998,2303800,40.95557
"117",41.75,42.380001,41.700001,42.25,5306200,41.938268
"118",42.439999,42.5,41.990002,42.25,2122400,41.938268
"119",42.330002,42.869999,42.310001,42.709999,2713900,42.394873
"120",42.68,42.869999,42.529999,42.740002,1752700,42.424654
"121",42.740002,42.990002,42.59,42.740002,1091800,42.424654
"122",42.689999,42.73,41.580002,41.59,4411200,41.283137
"123",41.599998,42.099998,41.549999,41.98,2014400,41.670259
"124",41.98,42.369999,41.82,42.23,2250300,41.918415
"125",42.150002,42.68,42.02,42.27,1345000,41.958121
"126",42.23,42.490002,42.080002,42.299999,1019500,41.987898
"127",42.23,42.509998,41.419998,41.509998,1425800,41.203726
"128",40.990002,41.43,40.98,41.400002,1798100,41.094541
"129",41.360001,41.360001,40.310001,40.34,2650000,40.04236
"130",40.5,41.18,40.490002,40.619999,1640900,40.320293
"131",40.200001,40.619999,39.709999,39.720001,2333400,39.426936
"132",40.07,40.169998,38.650002,38.68,4507400,38.394608
"133",38.299999,39.48,38.099998,38.470001,3842600,38.186159
"134",38.34,39.990002,38.09,39.759998,3502700,39.466638
"135",40.48,40.799999,40.110001,40.700001,3104100,40.399705
"136",40.900002,41.43,40.860001,41.380001,3736300,41.074688
"137",41.380001,41.880001,41.380001,41.880001,1585900,41.570999
"138",41.98,42.009998,41.360001,41.369999,1867200,41.064759
"139",41.419998,41.529999,40.959999,41.130001,1426900,40.826532
"140",41.34,41.57,41.290001,41.380001,588000,41.074688
"141",41.360001,41.57,41.310001,41.330002,975900,41.025057
"142",41.209999,41.59,41.139999,41.369999,1323500,41.064759
"143",41.389999,41.790001,40.900002,40.939999,1421100,40.637932
"144",41.18,41.310001,40.369999,40.560001,1529200,40.359322
"145",40.32,40.459999,39.700001,39.799999,2041800,39.60308
"146",39.810001,40.02,39.02,39.18,2080600,38.986149
"147",39.52,39.810001,39.290001,39.700001,3359700,39.503576
"148",40.240002,40.98,40.18,40.889999,2116300,40.687687
"149",41,41,40.290001,40.59,1643900,40.389172
"150",40.610001,40.720001,39.950001,40.110001,2770800,39.911547
"151",40.470001,40.700001,39.330002,39.549999,2013100,39.354317
"152",39.029999,39.099998,38.209999,39.060001,5134000,38.866743
"153",39.060001,39.41,37.990002,38.009998,2628900,37.821935
"154",37.830002,38.459999,37.759998,38.25,3004000,38.06075
"155",38.43,38.66,37.759998,37.93,5033600,37.742333
"156",37.75,38.41,37.68,38.16,2721600,37.971195
"157",38.509998,39.860001,38.119999,39.650002,4856600,39.453824
"158",39.599998,39.599998,38.759998,38.810001,1519300,38.61798
"159",38.790001,39.169998,38.470001,39.150002,1510900,38.956298
"160",38.700001,39.25,38.580002,38.75,1703500,38.558276
"161",39.009998,39.049999,37.959999,38,2033500,37.811987
"162",38,38.470001,37.689999,38.459999,2330000,38.26971
"163",38.009998,38.32,37.709999,37.77,3054300,37.583125
"164",37.900002,38.759998,37.709999,38.689999,2508500,38.498571
"165",39.040001,39.630001,38.919998,39.619999,2950400,39.42397
"166",39.330002,39.459999,38.82,39.110001,2567400,38.916495
"167",39.220001,39.82,39.220001,39.529999,1826300,39.334415
"168",39.540001,39.810001,39.23,39.34,2685900,39.145357
"169",39.23,39.43,38.950001,39.040001,3586100,38.846842
"170",39.310001,39.759998,38.779999,39.669998,1408600,39.473722
"171",39.639999,39.810001,39.23,39.330002,3336800,39.135408
"172",39.580002,40.060001,39.529999,40.02,1317700,39.821993
"173",39.970001,40.310001,39.91,40.150002,2211900,39.95135
"174",40.009998,40.529999,39.759998,40.52,2875800,40.319519
"175",41.119999,42.200001,40.91,41.540001,9007200,41.334473
"176",41.400002,41.57,41.040001,41.150002,3737300,40.946403
"177",41.09,42.110001,40.880001,41.950001,2971900,41.742444
"178",41.889999,41.959999,41.490002,41.73,1967900,41.523531
"179",41.619999,42.110001,41.599998,42.060001,1922100,41.8519
"180",42.34,42.490002,42.09,42.200001,2343500,41.991207
"181",42.23,42.380001,42,42.360001,1505300,42.150415
"182",42.299999,42.360001,42.049999,42.209999,1676400,42.001156
"183",42.34,42.740002,42.34,42.700001,1847100,42.488733
"184",42.450001,42.57,42.139999,42.259998,1635400,42.050908
"185",41.950001,42.16,41.73,42,1306000,41.792196
"186",41.990002,42.240002,41.84,42.220001,1376500,42.011108
"187",41.950001,42.049999,41.490002,41.529999,1528600,41.32452
"188",41.540001,41.889999,41.439999,41.740002,1492400,41.533484
"189",41.220001,41.27,40.630001,40.630001,1961300,40.428975
"190",40.790001,41.130001,40.669998,40.849998,2064400,40.647884
"191",40.990002,41.240002,40.970001,41.099998,2719900,40.896647
"192",40.959999,41.459999,40.52,40.869999,4704600,40.667786
"193",41.16,41.830002,41.110001,41.810001,2551400,41.603137
"194",41.52,41.689999,41.060001,41.580002,1504900,41.374276
"195",41.450001,42.380001,41.169998,42.119999,1295600,41.911601
"196",42.049999,42.25,41.82,42.209999,1085700,42.001156
"197",42.389999,42.529999,42.200001,42.209999,2315500,42.001156
"198",42.119999,42.439999,42,42.200001,1835400,41.991207
"199",42.130001,42.130001,41.009998,41.09,3626000,40.886698
"200",41.169998,41.700001,40.790001,40.810001,2776200,40.608085
"201",40.68,40.970001,40.369999,40.700001,1573400,40.498628
"202",40.599998,41.18,40.580002,41.110001,1932700,41.007353
"203",41.52,41.860001,41.32,41.720001,2064200,41.615831
"204",41.279999,41.779999,41.099998,41.549999,1659200,41.446253
"205",41.459999,41.52,40.720001,41.389999,2170300,41.286653
"206",41.470001,42.130001,41.330002,42.049999,2135900,41.945005
"207",41.68,42.200001,41.509998,41.93,2379800,41.825305
"208",41.939999,42.52,41.869999,42.439999,3072400,42.33403
"209",42.43,42.59,42.029999,42.259998,2442800,42.154479
"210",42.16,42.59,42.07,42.490002,1332300,42.383908
"211",42.799999,43.560001,42.57,43.549999,3370600,43.441259
"212",43.59,43.59,42.990002,43.040001,3708600,42.932534
"213",42.959999,43.200001,42.580002,43.07,1777700,42.962458
"214",43.279999,43.560001,43.18,43.380001,1445600,43.271686
"215",43.139999,43.360001,43.060001,43.130001,1070200,43.02231
"216",42.740002,43.049999,42.599998,42.98,2332500,42.872683
"217",43.330002,43.439999,43.150002,43.189999,1410600,43.082158
"218",43.419998,43.5,42.869999,42.889999,1719700,42.782907
"219",42.720001,42.84,42.369999,42.709999,2726100,42.603357
"220",42.419998,42.860001,42.240002,42.619999,3972800,42.513581
"221",42.709999,42.810001,42.419998,42.490002,2200200,42.383908
"222",42.740002,42.77,41.970001,41.98,2297800,41.87518
"223",41.869999,42.310001,41.57,42.18,1803500,42.074681
"224",42.040001,42.200001,41.439999,41.959999,2161000,41.855229
"225",41.830002,41.939999,41.110001,41.369999,1726300,41.266702
"226",41.41,41.93,41.240002,41.830002,1880200,41.725557
"227",41.880001,42.080002,41.700001,41.939999,1073800,41.835279
"228",41.720001,41.849998,41.459999,41.59,1254800,41.486154
"229",41.860001,41.860001,41.360001,41.59,934600,41.486154
"230",41.59,41.849998,41.310001,41.799999,999700,41.695629
"231",42.23,42.529999,42.209999,42.5,1033800,42.393882
"232",42.389999,42.830002,42.389999,42.619999,975500,42.513581
"233",42.360001,42.5,41.5,41.91,2617800,41.805355
"234",42.049999,42.389999,41.709999,41.810001,1992800,41.705606
"235",42.18,42.23,41.869999,42.049999,2883700,41.945005
"236",42.139999,42.259998,41.990002,42.040001,2147400,41.935031
"237",42.049999,42.700001,41.98,42.630001,1966100,42.523558
"238",41.57,42.830002,41.5,42.369999,5277300,42.264205
"239",42.5,42.84,42.43,42.610001,2652300,42.503608
"240",42.57,42.73,42.200001,42.32,2126300,42.214331
"241",42.27,42.669998,42.07,42.5,1484800,42.393882
"242",42.48,42.630001,41.990002,42.060001,1919600,41.954982
"243",42.27,42.93,42.099998,42.610001,2506300,42.503608
"244",42.450001,42.709999,41.349998,41.75,3347400,41.645755
"245",41.790001,41.830002,40.82,41.189999,5022600,41.087151
"246",41.43,41.43,40.849998,40.919998,2440000,40.817825
"247",40.939999,41.139999,40.669998,41.110001,2947500,41.007353
"248",41.310001,41.360001,40.939999,41.099998,2722100,40.997376
"249",40.889999,41.080002,40.009998,40.540001,4091900,40.438777
"250",40.540001,40.669998,40.200001,40.310001,1760300,40.209351
"251",40.259998,40.349998,39.91,39.950001,1353000,39.85025
"252",39.93,40.330002,39.830002,40.119999,1439000,40.019823
"253",40.400002,40.59,40.27,40.52,1789300,40.418826
