"","ETN.Open","ETN.High","ETN.Low","ETN.Close","ETN.Volume","ETN.Adjusted"
"1",75.400002,75.550003,74.830002,75.150002,1529900,72.922527
"2",74.720001,75.480003,74.720001,75.260002,1981500,73.029267
"3",75.389999,75.559998,74.739998,74.93,2860500,72.709047
"4",75.089996,75.5,74.93,75.160004,1577700,72.932233
"5",74.989998,76.230003,74.980003,75.82,2216800,73.572666
"6",75.639999,76.349998,75.300003,76.160004,2207900,73.902592
"7",76.139999,76.68,75.639999,76.589996,1958200,74.31984
"8",77.449997,77.620003,76.25,76.830002,2314900,74.552732
"9",77.059998,77.739998,76.690002,77.559998,4811200,75.26109
"10",79.209999,79.650002,78.559998,79.239998,4317100,76.891294
"11",78.860001,79.080002,77.32,77.459999,2998100,75.164056
"12",77.120003,77.610001,76.769997,76.989998,2617200,74.707985
"13",77.050003,77.07,76.209999,76.970001,2107100,74.688581
"14",76.720001,77.300003,76.43,77.260002,2189800,74.969987
"15",77.07,77.330002,76.669998,77.18,2187000,74.892356
"16",77.489998,77.870003,77,77.360001,2435700,75.067021
"17",77.370003,78.349998,77.330002,77.599998,2747300,75.299905
"18",77.860001,78.480003,77.800003,78.290001,1563600,75.969456
"19",78.080002,78.580002,77.349998,78.449997,2797100,76.124709
"20",77.889999,78.050003,77.199997,77.43,2622100,75.134946
"21",78.050003,78.330002,77.550003,77.900002,2039600,75.591016
"22",76.849998,77.739998,76.589996,77.660004,2644500,75.358132
"23",77.699997,78,77.099998,77.82,1869100,75.513386
"24",78.629997,79.980003,78.580002,79.050003,3857400,76.706931
"25",79.209999,79.43,78.040001,78.620003,2790900,76.289676
"26",79.089996,79.879997,78.910004,79.440002,3057700,77.085371
"27",79.150002,79.349998,78.110001,78.25,1985500,75.930641
"28",78.449997,78.860001,78.25,78.57,2435200,76.241155
"29",77.790001,78.050003,77.010002,77.919998,3528200,75.61042
"30",78.629997,78.760002,78.120003,78.32,1729100,75.998565
"31",78.5,78.620003,77.660004,78.029999,1715400,75.71716
"32",78.150002,78.18,77.300003,77.379997,2242000,75.086425
"33",77.099998,77.639999,77.019997,77.470001,2404900,75.173761
"34",77.459999,77.529999,76.199997,76.75,2612300,74.475101
"35",75.040001,75.110001,70.160004,70.510002,10518500,68.420059
"36",69.379997,70.129997,68.760002,69.900002,11758100,67.828139
"37",68.910004,69.239998,67.760002,67.919998,6087800,66.372092
"38",67.540001,67.870003,66.980003,67.18,4525600,65.648959
"39",67.580002,67.970001,66.860001,67.68,4326200,66.137564
"40",67.32,68.459999,67.169998,67.5,4262300,65.961666
"41",66.800003,67.150002,66.57,66.760002,4946600,65.238533
"42",67.349998,67.599998,66.540001,66.720001,3454600,65.199443
"43",67,67.760002,66.980003,67.709999,3209800,66.166879
"44",67.860001,68.459999,67.699997,67.93,2178200,66.381866
"45",67.800003,68.190002,67.720001,67.959999,2100700,66.411182
"46",68.379997,68.959999,68.139999,68.690002,3316900,67.124548
"47",68.779999,68.870003,68.32,68.57,2500300,67.00728
"48",68.889999,68.900002,67.690002,68.110001,3389700,66.557765
"49",68.519997,69.019997,68.510002,69,3310600,67.427481
"50",69.550003,69.68,69.040001,69.199997,2188900,67.62292
"51",68.919998,70.519997,68.919998,70.400002,3673800,68.795576
"52",70.599998,70.599998,69.879997,70.050003,1518700,68.453554
"53",69.910004,70.099998,69.639999,69.809998,2038200,68.219018
"54",70.230003,70.629997,70.059998,70.290001,1585400,68.688082
"55",70.559998,70.690002,70,70,1838700,68.404691
"56",70,70.260002,69.650002,69.769997,1826100,68.179929
"57",69.800003,69.800003,69.010002,69.57,1768000,67.98449
"58",69.980003,69.980003,69.309998,69.809998,1271900,68.219018
"59",70,70.489998,69.720001,70.269997,1936900,68.668534
"60",70.559998,70.599998,69.709999,69.809998,2682200,68.219018
"61",69.809998,70.339996,69.300003,69.370003,2198600,67.789051
"62",69.239998,69.370003,68.309998,69.169998,3128800,67.593605
"63",68.980003,69.470001,68.699997,68.849998,1559700,67.280898
"64",68.889999,68.940002,68.110001,68.230003,1924100,66.675032
"65",68.260002,68.400002,67.809998,68.099998,2166800,66.54799
"66",67.900002,68,67.599998,67.779999,3338800,66.235284
"67",67.800003,67.800003,67.010002,67.089996,2836100,65.561006
"68",67.010002,67.349998,66.440002,67,2666500,65.473061
"69",66.769997,66.919998,65.870003,66.709999,3621200,65.189669
"70",66.709999,66.860001,66.269997,66.360001,2808500,64.847647
"71",66.639999,66.919998,66.449997,66.559998,2701400,65.043086
"72",66.889999,67.050003,66.120003,66.370003,2639600,64.857421
"73",66.169998,66.239998,64.779999,65.07,3670300,63.587046
"74",64.699997,65.400002,64.110001,65.139999,4035800,63.65545
"75",65.019997,65.809998,64.900002,65.629997,3101900,64.134281
"76",65.209999,65.239998,64.440002,64.449997,3833400,62.981173
"77",64.650002,65.410004,64.440002,65.309998,2890600,63.821574
"78",64.529999,64.889999,64.400002,64.690002,2529600,63.215709
"79",64.760002,64.900002,62.84,63.369999,5353300,61.925788
"80",63.029999,63.369999,62.43,62.68,5457900,61.251515
"81",62,62.580002,60.380001,62.040001,6621300,60.626101
"82",62.619999,63.220001,62.509998,63.150002,3790700,61.710805
"83",63.27,63.799999,62.830002,63.41,2843300,61.964877
"84",62.98,62.98,61.689999,61.689999,3266300,60.284075
"85",61.82,62.860001,60.939999,62.810001,3739600,61.378553
"86",62.529999,62.639999,59.490002,59.52,6368900,58.163532
"87",59.380001,59.639999,58.459999,58.919998,5005800,57.577204
"88",58.84,59.740002,58.209999,58.27,3723300,56.942019
"89",59.049999,60.330002,58.779999,59.049999,4858900,57.704242
"90",58.380001,59.279999,57.110001,58.970001,4671100,57.626067
"91",57.830002,60.549999,57.709999,59.919998,3940600,58.554413
"92",60.919998,63.040001,60.82,61.439999,5617300,60.039773
"93",60.970001,61.189999,60.369999,61.099998,2708400,59.707521
"94",61.700001,62.990002,61.630001,62.900002,2389700,61.466502
"95",62.91,63,61.02,61.099998,3120000,59.707521
"96",62.080002,63.080002,61.919998,62.740002,3428900,61.310149
"97",62.73,63.09,62.470001,63.060001,1841500,61.622855
"98",62.740002,62.849998,62.23,62.549999,2248800,61.124476
"99",63.209999,64.779999,63.189999,64.779999,3388100,63.303654
"100",66.220001,67.220001,65.169998,65.919998,6765800,64.417673
"101",65.510002,67.230003,65.480003,66.769997,3687500,65.248299
"102",67.849998,68.419998,67.260002,68.389999,4427800,66.831382
"103",68.370003,68.68,67.800003,68.43,3955800,66.870471
"104",68.339996,68.559998,67.360001,67.910004,2911500,66.362326
"105",68.760002,68.879997,67.699997,68.32,2736600,66.762978
"106",68.5,69.099998,68.379997,69.059998,2741800,67.486111
"107",68.889999,69.309998,68.410004,69.169998,3087200,67.593605
"108",69.150002,69.410004,68.790001,69.379997,2575500,67.798818
"109",69.029999,69.349998,68.260002,68.440002,2345800,66.880246
"110",67.769997,67.949997,67.169998,67.639999,3016100,66.575122
"111",67.699997,67.790001,66.169998,66.5,3353600,65.45307
"112",66.580002,67.019997,66.269997,66.940002,1955700,65.886145
"113",66.879997,67.290001,66.510002,67.080002,1632500,66.02394
"114",66.949997,67.550003,66.589996,67.410004,1982800,66.348747
"115",67.370003,67.370003,66.589996,66.839996,1568300,65.787713
"116",66.5,67.550003,66.309998,67.360001,1382700,66.299531
"117",68.230003,69.07,68.150002,68.389999,2514700,67.313314
"118",68.540001,69.120003,68.400002,69.07,1886200,67.982609
"119",68.970001,69.599998,68.800003,69.470001,2777800,68.376313
"120",69.339996,69.449997,68.720001,69.209999,1552200,68.120404
"121",68.919998,69.269997,67.279999,67.830002,1915100,66.762133
"122",67.57,67.739998,66.989998,67.190002,3349000,66.132209
"123",67.389999,68.580002,67.25,68.5,3488800,67.421583
"124",68.849998,70.5,68.809998,70.209999,3182800,69.104661
"125",69.75,69.849998,68.919998,69.480003,1765500,68.386158
"126",69.269997,69.610001,69.019997,69.410004,1497800,68.31726
"127",69.25,69.5,67.889999,67.919998,2824800,66.850712
"128",67.050003,68.529999,66.849998,68.5,2042900,67.421583
"129",68.209999,68.309998,66.589996,66.809998,2448300,65.758187
"130",67.080002,67.790001,66.669998,66.830002,2399800,65.777876
"131",66.019997,66.269997,64.690002,64.720001,3348700,63.701094
"132",66,66,64.230003,64.400002,2877200,63.386132
"133",64.07,65.910004,64.029999,65.169998,3473200,64.144006
"134",65.110001,65.150002,64.099998,64.879997,4479500,63.858571
"135",65.82,67.459999,65.82,67.449997,3147900,66.38811
"136",67.620003,69.260002,67.599998,69.160004,4570800,68.071196
"137",69.610001,69.989998,68.510002,69.07,2897000,67.982609
"138",69.57,70.510002,69.25,69.389999,1965200,68.297571
"139",69.559998,69.769997,69.160004,69.300003,734600,68.208991
"140",69.410004,69.919998,69.360001,69.43,851400,68.336942
"141",69.150002,69.5,69,69.339996,1422400,68.248355
"142",69.089996,69.400002,68.699997,68.769997,1455400,67.687329
"143",69.120003,69.230003,67.93,67.959999,1217200,66.890083
"144",68.389999,68.57,66.989998,67.93,1638100,66.860557
"145",67.110001,67.139999,64.949997,65.120003,3206200,64.094798
"146",65.089996,65.25,63.57,64.389999,3241700,63.376287
"147",65.309998,65.57,64.349998,64.580002,3120800,63.563299
"148",65.199997,66.919998,65.199997,66.889999,3445900,65.836929
"149",67.089996,67.239998,65.849998,66.059998,2807200,65.019994
"150",65.949997,66.199997,64.940002,65.480003,2848300,64.449131
"151",65.75,66.589996,64.639999,65.459999,3575900,64.429442
"152",64.010002,64.580002,63.310001,64.239998,2394500,63.228647
"153",64.239998,64.660004,63.580002,64.07,3635900,63.061325
"154",63.650002,64.639999,63.619999,64.589996,3488800,63.573136
"155",64.889999,64.970001,64.25,64.800003,3265200,63.779836
"156",64.349998,65.919998,64.230003,65.82,3276800,64.783775
"157",66.599998,67.910004,66.139999,67.68,3463400,66.614493
"158",67.730003,67.730003,66.720001,67.010002,2356100,65.955043
"159",66.720001,67.120003,66.07,66.82,1950000,65.768031
"160",65.400002,65.809998,64.690002,65.019997,3771600,63.996366
"161",65.339996,65.510002,63.52,63.610001,3197400,62.608568
"162",63.439999,64.349998,62.799999,64.190002,3359600,63.179439
"163",63.529999,64.099998,63.07,63.09,3911500,62.096754
"164",63.619999,64.910004,62.84,64.400002,4116900,63.386132
"165",67.889999,70.330002,67.419998,69.790001,7275200,68.691275
"166",69.379997,69.489998,68.169998,68.480003,4301200,67.401901
"167",68.730003,69.580002,68.730003,69.220001,2552600,68.130249
"168",69.489998,70.870003,69.489998,70.050003,3255200,68.947184
"169",69.550003,70.720001,69.540001,70.139999,2079700,69.035763
"170",70.900002,70.940002,69.650002,70.739998,1971600,69.626316
"171",70.360001,70.739998,69.949997,70.330002,2024600,69.222774
"172",70.790001,71.849998,70.349998,71.650002,2697300,70.521993
"173",71.629997,72.709999,71.449997,72.550003,3118800,71.407825
