"","ADM.Open","ADM.High","ADM.Low","ADM.Close","ADM.Volume","ADM.Adjusted"
"1",44.950001,45.18,44.740002,45.139999,2077900,44.213951
"2",44.84,45,44.619999,44.66,2230100,43.743799
"3",44.540001,44.650002,43.41,43.470001,3651300,42.578213
"4",43.529999,43.880001,43.43,43.84,2274400,42.940621
"5",43.759998,44.32,43.68,44.220001,2667800,43.312827
"6",44.310001,44.52,44.099998,44.41,2311200,43.498928
"7",44.25,44.5,43.720001,44.43,3327000,43.518518
"8",44.540001,45.209999,44.34,45.119999,3026300,44.194361
"9",45.209999,45.380001,44.77,44.869999,3058700,43.94949
"10",44.98,45.16,44.82,44.98,2032600,44.057234
"11",44.860001,44.919998,44.23,44.279999,2156200,43.371594
"12",44.139999,44.32,43.799999,43.889999,2431500,42.989595
"13",43.889999,44.110001,43.740002,43.93,1833600,43.028775
"14",43.810001,43.950001,43.509998,43.82,2734200,42.921031
"15",43.77,44.330002,43.689999,44.110001,4049600,43.205083
"16",44.290001,44.939999,44.150002,44.849998,2765200,43.9299
"17",44.93,45.349998,44.810001,45.32,2638200,44.390259
"18",45.349998,45.950001,45.290001,45.77,3146700,44.831028
"19",45.259998,46.720001,45.259998,46.5,4669900,45.546051
"20",46.540001,46.650002,45.939999,45.939999,6029500,44.997538
"21",46,46.599998,45.959999,46.150002,3883800,45.203233
"22",45.740002,47.5,45.68,47.349998,5795200,46.378612
"23",47.150002,48.040001,46.84,47.849998,4814900,46.868355
"24",48.060001,48.330002,47.900002,48.07,3462900,47.083842
"25",47.959999,48.220001,47.490002,47.540001,4049300,46.564717
"26",47.869999,47.970001,47.68,47.759998,2747500,46.780201
"27",47.75,47.900002,47.310001,47.32,2564800,46.349229
"28",47.490002,48.200001,47.43,48.099998,2395000,47.113226
"29",47.880001,48.200001,47.75,48.080002,2357900,47.093639
"30",48.060001,48.380001,47.939999,48.200001,2598900,47.211177
"31",48.18,48.389999,48.09,48.290001,2250600,47.29933
"32",48.360001,48.84,48.349998,48.43,2213500,47.436458
"33",48.290001,48.490002,47.889999,48.119999,2040300,47.132816
"34",48.23,48.400002,47.959999,48.07,1882900,47.083842
"35",48.080002,48.299999,47.540001,47.57,2460300,46.5941
"36",47.68,47.849998,46.599998,46.740002,4206300,45.781129
"37",46.48,46.860001,46.189999,46.400002,3677400,45.448104
"38",46.330002,46.75,46.119999,46.57,3256300,45.614615
"39",46.68,47.049999,46.529999,46.950001,2858200,45.98682
"40",48.389999,49.169998,48.189999,48.560001,6292800,47.563792
"41",48.209999,49.150002,48.209999,48.639999,4574200,47.642149
"42",48.77,48.950001,48.43,48.52,2308100,47.524611
"43",48.700001,49.09,48.389999,49.040001,2627500,48.033944
"44",49.209999,50,49.18,49.810001,2980800,48.788148
"45",49.700001,49.900002,49.380001,49.639999,2787000,48.621634
"46",49.669998,50.240002,49.57,50.040001,3189900,49.013429
"47",50.099998,50.150002,49.830002,49.970001,2034200,48.944865
"48",50.09,50.299999,49.560001,49.740002,3038200,48.719584
"49",49.860001,50.009998,49.709999,49.790001,2269800,48.768558
"50",49.560001,49.939999,49.529999,49.689999,2184100,48.906348
"51",49.689999,49.889999,49.529999,49.799999,1678800,49.014614
"52",49.849998,49.939999,49.490002,49.57,1898200,48.788241
"53",49.68,49.790001,49.060001,49.139999,1895900,48.365023
"54",49.349998,49.599998,49.25,49.459999,1371900,48.679976
"55",49.5,49.66,49.029999,49.200001,2120300,48.424078
"56",49.369999,49.759998,49.310001,49.580002,2132600,48.798086
"57",49.490002,49.900002,49.41,49.75,1830000,48.965403
"58",49.759998,49.919998,49.639999,49.860001,2009700,49.073669
"59",49.98,50.560001,49.709999,50.060001,3554500,49.270515
"60",50.32,50.41,49.509998,49.93,3214300,49.142565
"61",49.919998,50.290001,49.810001,50.200001,3258300,49.408307
"62",50.060001,50.369999,49.970001,50.360001,2660900,49.565783
"63",50.290001,50.57,50.259998,50.529999,1930800,49.733101
"64",50.529999,50.59,50.310001,50.459999,2722200,49.664205
"65",50.5,50.709999,50.380001,50.669998,1878100,49.870892
"66",50.619999,50.939999,50.52,50.919998,2940100,50.116949
"67",50.84,50.84,50.189999,50.41,2087700,49.614994
"68",50.450001,50.580002,50.32,50.560001,1630700,49.76263
"69",50.439999,51.41,50.400002,51.259998,2388500,50.451588
"70",51.169998,51.389999,50.869999,51.200001,2165800,50.392536
"71",51.299999,52.360001,51.25,52.060001,3509400,51.238974
"72",52.32,52.32,51.689999,51.689999,3592900,50.874806
"73",51.560001,51.799999,51.220001,51.459999,2017300,50.648434
"74",51.200001,51.310001,50.75,50.77,1828100,49.969317
"75",50.790001,51.540001,50.790001,51.459999,1756300,50.648434
"76",51.34,51.34,50.400002,50.48,2087700,49.68389
"77",50.580002,51.040001,50.380001,50.869999,1681400,50.067739
"78",50.490002,51.459999,50.48,51.299999,2144100,50.490958
"79",51.25,51.389999,50.990002,51.099998,1956200,50.294111
"80",51.169998,51.32,50.380001,50.400002,4005600,49.605154
"81",50.5,51.09,50.43,50.529999,2719000,49.733101
"82",50.720001,51.299999,50.470001,51.110001,3701200,50.303955
"83",51.200001,51.25,50.43,50.59,3065300,49.792156
"84",50.400002,50.669998,49.529999,49.57,5138700,48.788241
"85",49.5,49.650002,47.080002,48.02,12130100,47.262687
"86",47.889999,48.16,47.060001,47.130001,6596600,46.386724
"87",47.080002,47.419998,46.139999,46.360001,5243000,45.628867
"88",46.360001,46.459999,44.689999,44.759998,5230300,44.054098
"89",44.869999,45.040001,43,43.080002,8969400,42.400596
"90",42.310001,43.119999,41.630001,42.98,8480600,42.302171
"91",42.529999,43.470001,42.369999,43.169998,4996100,42.489173
"92",43.669998,44.990002,43.41,44.5,6526100,43.7982
"93",44.450001,45.610001,44.419998,45.400002,4476400,44.684008
"94",45.610001,45.970001,45.48,45.700001,3397900,44.979276
"95",45.84,46.23,45.689999,45.759998,2982500,45.038327
"96",46.27,46.540001,45.41,45.540001,2949900,44.821799
"97",45.580002,45.779999,45.18,45.580002,2213700,44.861169
"98",45.509998,45.509998,44.419998,44.619999,3594200,43.916306
"99",44.98,45.73,44.810001,45.689999,3096000,44.969431
"100",45.77,46.200001,45.439999,45.82,2588600,45.097382
"101",45.73,46.619999,45.619999,46.580002,2983100,45.845398
"102",47,47.259998,46.669998,47,3010500,46.258773
"103",47.240002,47.599998,47.049999,47.25,3445200,46.50483
"104",49.049999,49.75,48.599998,49.540001,5273600,48.758716
"105",50.450001,50.52,49.849998,50.310001,4307000,49.516573
"106",50.349998,50.66,49.939999,49.970001,3388400,49.181935
"107",49.889999,50.669998,49.889999,50.549999,2311500,49.752786
"108",50.689999,50.779999,50.369999,50.77,2058900,49.969317
"109",50.91,51.380001,50.810001,51.119999,2019900,50.313796
"110",50.98,51,50.459999,50.709999,2241900,49.910262
"111",51,51.16,50.330002,50.810001,2555500,50.008687
"112",50.919998,51.360001,50.779999,51.349998,2735800,50.540168
"113",51.259998,52.150002,51.150002,51.990002,2893900,51.170078
"114",51.91,52.25,51.779999,52.009998,2484500,51.42716
"115",52,52.279999,51.790001,52.220001,2031600,51.63481
"116",51.939999,52.630001,51.82,52.57,2226300,51.980886
"117",53.060001,53.540001,52.41,52.709999,3666000,52.119317
"118",52.740002,53.330002,52.610001,52.950001,2709500,52.356629
"119",52.860001,53.330002,52.619999,52.93,2929900,52.336852
"120",53.029999,53.369999,52.93,53.18,1875600,52.584051
"121",53.380001,53.41,52.66,52.68,3007600,52.089654
"122",52.66,52.93,51.869999,52.459999,4437600,51.872118
"123",52.740002,53.610001,52.740002,53.310001,4818400,52.712595
"124",53.330002,53.790001,53.200001,53.709999,4796000,53.10811
"125",53.27,53.91,52.549999,52.779999,3945200,52.188532
"126",52.75,53.27,52.68,53.25,3746500,52.653266
"127",53.299999,53.52,52.32,52.459999,4513300,51.872118
"128",52.290001,53.380001,51.889999,53.040001,4444800,52.44562
"129",52.720001,52.939999,51.139999,51.27,4358800,50.695455
"130",51.5,52.060001,50.700001,50.900002,4036500,50.329602
"131",50.459999,51.09,49.810001,49.849998,3865200,49.291366
"132",50.110001,50.459999,49.419998,49.830002,3497900,49.271593
"133",50.049999,50.759998,49.279999,49.32,3738700,48.767306
"134",49.389999,50.080002,49.189999,49.639999,4852200,49.08372
"135",50.25,51.209999,50.220001,51.16,4828600,50.586687
"136",51.41,52.779999,51.299999,52.240002,7178700,51.654586
"137",52.400002,52.900002,52.130001,52.720001,3237000,52.129207
"138",52.889999,53.689999,52.529999,53.169998,4082700,52.574161
"139",53.16,53.549999,53.09,53.110001,1724600,52.514836
"140",53.09,53.639999,53.029999,53.419998,1322400,52.821359
"141",53.25,53.5,52.849998,53.130001,1749700,52.534612
"142",53.150002,53.389999,52.68,52.889999,2227500,52.2973
"143",52.900002,52.950001,51.869999,52,2595200,51.417274
"144",52.200001,52.599998,51.59,52.02,2039800,51.43705
"145",51.450001,51.68,49.98,50.220001,3828000,49.657222
"146",50.459999,50.490002,48.939999,49.23,4855700,48.678315
"147",49.700001,50.259998,49.619999,49.970001,2849500,49.410024
"148",49.290001,49.599998,48.540001,49.240002,7469600,48.688205
"149",49.470001,49.689999,48.799999,48.82,3692900,48.27291
"150",49,49,47.98,48.209999,3871600,47.669745
"151",48.330002,49.080002,47.869999,48.279999,4433200,47.73896
"152",47.669998,48.09,46.849998,47.450001,4244700,46.918263
"153",47.450001,47.77,46.849998,47.209999,4258600,46.680951
"154",47.099998,47.759998,46.900002,47.68,3151300,47.145685
"155",47.189999,47.470001,46.57,47.200001,5359900,46.671065
"156",47.099998,48.040001,46.91,47.700001,3987500,47.165462
"157",47.990002,48.470001,47.529999,48.080002,4548000,47.541204
"158",47.91,48.299999,47.560001,47.869999,2979100,47.333555
"159",47.68,48.52,47.5,48.290001,3147300,47.74885
"160",47.959999,48.650002,47.75,48.279999,3217400,47.73896
"161",48.299999,48.599998,47.419998,47.490002,3277900,46.957816
"162",47.57,48.040001,46.889999,47.919998,3678900,47.382994
"163",47.630001,47.860001,46.560001,46.630001,5406700,46.107453
"164",46.790001,48.200001,46.720001,48.169998,6479500,47.630192
"165",47.360001,48.900002,46.209999,48.759998,7107600,48.213581
"166",48.400002,48.400002,45.869999,46.150002,9231200,45.632832
"167",46.549999,48.720001,46.549999,48.68,7981700,48.134479
"168",48.700001,48.810001,47.459999,47.560001,3605300,47.027031
"169",47.419998,47.759998,47.23,47.380001,4626100,46.849048
"170",47.91,47.91,47.209999,47.580002,3481400,47.046808
"171",47.23,47.459999,46.369999,46.919998,3692100,46.3942
"172",46.799999,47.619999,46.75,47.439999,4750100,47.189987
"173",47.34,48.240002,47.34,48.099998,4074700,47.846508
"174",48.139999,48.169998,47.419998,47.77,3611700,47.51825
"175",47.669998,48.099998,47.540001,47.709999,2713600,47.458564
"176",47.5,48.099998,47.41,47.779999,2351100,47.528195
"177",47.720001,48.200001,47.02,48.150002,2704200,47.896248
"178",48.25,48.349998,47.950001,48.259998,1974000,48.005665
"179",48.209999,48.799999,48,48.650002,2418800,48.393613
"180",48.59,48.790001,47.919998,48.099998,2965500,47.846508
"181",48.279999,48.290001,47.400002,47.549999,2940900,47.299408
"182",47.490002,48.130001,47.490002,47.880001,2863400,47.62767
"183",47.880001,47.889999,47.02,47.849998,3705000,47.597826
"184",47.52,47.700001,47.02,47.52,3369300,47.269567
"185",47.369999,47.43,46.73,47.080002,3419000,46.831887
"186",47.299999,47.540001,46.630001,47.48,4734800,47.229777
"187",47,47.23,46.09,46.25,3878000,46.00626
