"","ZMH.Open","ZMH.High","ZMH.Low","ZMH.Close","ZMH.Volume","ZMH.Adjusted"
"1",106.400002,106.800003,105.629997,106.599998,728200,105.537869
"2",106.419998,106.419998,105.43,105.809998,622100,104.755739
"3",105.93,105.980003,104.800003,105.32,1448000,104.270624
"4",105.809998,106.010002,105.110001,105.580002,796000,104.528035
"5",105.949997,107,104.910004,104.980003,1286600,103.934015
"6",104.580002,105.440002,104.459999,104.730003,1075800,103.686506
"7",104.489998,106.089996,103.970001,106.029999,898000,104.973549
"8",105.93,106.379997,104.830002,105.629997,1108400,104.577533
"9",105.489998,105.870003,105.290001,105.580002,2160100,104.528035
"10",105.739998,106.440002,104.919998,104.93,796200,103.88451
"11",105.050003,105.43,104.099998,104.160004,1084400,103.122186
"12",104.199997,105.470001,103.900002,105.370003,1052300,104.540934
"13",105.279999,105.529999,104.790001,105.120003,916400,104.292901
"14",104.550003,105.269997,104,104.349998,1142800,103.528955
"15",104.5,104.860001,103.400002,103.860001,1076200,103.042812
"16",103.760002,105.419998,103.760002,104.889999,905200,104.064707
"17",104.349998,105.150002,104.349998,104.860001,512500,104.034944
"18",105.050003,105.470001,104.199997,105.129997,470800,104.302816
"19",104.470001,104.730003,103.519997,104.480003,977700,103.657937
"20",104.480003,104.489998,102.879997,103.360001,826100,102.546746
"21",103.5,104.220001,103.360001,103.790001,585300,102.973363
"22",103.07,103.830002,102,103.669998,1080200,102.854305
"23",103.559998,103.870003,102.949997,103.790001,694700,102.973363
"24",104.279999,104.93,103.150002,103.260002,733900,102.447535
"25",103.160004,103.620003,101.970001,102.739998,1088200,101.931622
"26",103.199997,103.360001,102.389999,102.790001,869100,101.981232
"27",102.459999,102.900002,100.629997,100.709999,804900,99.917596
"28",100.769997,102.769997,99.980003,102.440002,1131800,101.633987
"29",101.980003,102.410004,101.019997,101.419998,1008900,100.622008
"30",103.809998,104.459999,101.339996,102.169998,947900,101.366107
"31",102.269997,103.68,101.910004,103.160004,1733800,102.348323
"32",99.279999,100.419998,98.400002,99.82,2814600,99.034599
"33",99.519997,101.040001,99.290001,100.809998,1474900,100.016807
"34",101.970001,102.029999,100.010002,100.57,854300,99.778698
"35",100.650002,101.309998,100.010002,100.93,1186900,100.135866
"36",101.300003,102.730003,101.279999,102.220001,1821100,101.415717
"37",101.370003,102.370003,100,100.07,1809700,99.282632
"38",100.080002,100.349998,99.019997,99.610001,1020400,98.826252
"39",99.610001,100.220001,98.459999,100.139999,799100,99.352081
"40",99.68,99.919998,98.129997,98.360001,1125700,97.586087
"41",98.099998,98.410004,95.959999,96.349998,2995200,95.5919
"42",97.019997,97.18,95.019997,95.309998,1750700,94.560082
"43",95.669998,96.18,94.730003,96.080002,1368900,95.324028
"44",96.57,96.959999,95.879997,96.32,873900,95.562137
"45",96.150002,97.110001,95.800003,96.709999,1556300,95.949068
"46",96.93,97.82,96.559998,97.68,1034000,96.911437
"47",97.68,98.139999,97.400002,97.830002,1428400,97.060259
"48",97.959999,98.150002,96.620003,97.480003,1171400,96.713014
"49",97.879997,99.32,97.879997,99.309998,1591900,98.52861
"50",99.610001,100.199997,99.410004,99.940002,944000,99.153657
"51",99.82,100.300003,99.349998,99.809998,1156900,99.024675
"52",99.980003,100.68,99.879997,100.620003,630700,99.828307
"53",100.440002,100.790001,99.449997,99.489998,1014300,98.707194
"54",100.239998,101.040001,99.980003,100.459999,669800,99.669563
"55",100.540001,101.209999,100.400002,100.760002,752200,99.967205
"56",100.860001,101.080002,99.720001,99.779999,853300,98.994913
"57",99.309998,99.650002,99,99.449997,714900,98.667507
"58",99.599998,99.599998,98.739998,99.309998,1015700,98.52861
"59",99.720001,99.720001,98.809998,99.290001,1037600,98.50877
"60",99.75,100.580002,99.419998,100.32,1054000,99.530665
"61",100.730003,102.529999,100.230003,100.650002,1193100,99.85807
"62",100.370003,101.080002,99.919998,101.07,562900,100.274764
"63",101,101.330002,100.57,100.919998,825800,100.125942
"64",101.559998,103.540001,101.559998,102.440002,2060300,101.633987
"65",102.809998,104.980003,102.099998,104.75,2027300,103.925809
"66",104.080002,105.379997,103.860001,105.230003,1677400,104.402036
"67",104.989998,105.68,104.440002,104.940002,1470000,104.114317
"68",104.93,104.93,104.190002,104.489998,785300,103.667853
"69",104.309998,105.160004,103.760002,104.940002,985800,104.114317
"70",104.889999,105.169998,103.57,103.970001,1239500,103.151947
"71",104.230003,104.300003,103.580002,104.25,1450500,103.429743
"72",104.68,104.919998,103.5,103.989998,1243200,103.171787
"73",103.550003,103.959999,103.029999,103.699997,1015200,102.884068
"74",102.230003,103.449997,102.099998,102.419998,1388800,101.61414
"75",102.370003,103.980003,102.120003,103.629997,1268900,103.035941
"76",103.239998,103.300003,101.25,101.25,1915600,100.669587
"77",101.330002,102.139999,101.160004,101.660004,965100,101.07724
"78",100.760002,101.699997,100.699997,101.459999,605200,100.878382
"79",101.589996,101.830002,100.550003,100.550003,1025300,99.973603
"80",100.629997,101.169998,99.5,100.760002,1687100,100.182398
"81",100.940002,102.589996,98.870003,102.199997,2721600,101.614138
"82",102.449997,102.93,102.169998,102.589996,731300,102.001902
"83",103.370003,104.440002,102.389999,102.989998,966900,102.39961
"84",102.5,102.760002,101.349998,101.400002,684900,100.818728
"85",101.82,103.709999,101.209999,103.540001,805500,102.94646
"86",103.129997,103.419998,101.519997,101.730003,1156700,101.146838
"87",102,103.720001,101.059998,101.080002,882600,100.500563
"88",100.919998,101.050003,98.629997,98.730003,1014300,98.164036
"89",99.230003,99.470001,97.18,97.540001,1300900,96.980855
"90",95.809998,97.870003,95.330002,97.720001,2268300,97.159824
"91",96,97.059998,95.75,95.949997,1781700,95.399966
"92",96.860001,97.940002,96.620003,97.519997,912800,96.960966
"93",97.559998,99.260002,97.089996,99.190002,1101500,98.621398
"94",99.650002,101.43,99.629997,101.32,1027200,100.739185
"95",101.839996,101.900002,99.879997,100.199997,1335700,99.625603
"96",103.480003,106.300003,102.68,104.57,1697600,103.970555
"97",104.57,105.5,104.550003,105.290001,573900,104.686428
"98",105.169998,105.900002,104.720001,104.980003,574700,104.378208
"99",105.620003,108.370003,105.239998,108.099998,1701200,107.480318
"100",108.099998,108.949997,107.739998,108.150002,1360000,107.530034
"101",107.970001,109.550003,107.510002,109.279999,787400,108.653554
"102",110.349998,111.290001,110,111.239998,1486200,110.602317
"103",111.18,111.5,109.5,110.410004,789400,109.777081
"104",110.099998,110.629997,108.940002,109.209999,1020100,108.583955
"105",110.470001,111.099998,109.440002,110.989998,1196100,110.35375
"106",110.959999,111.360001,110.160004,110.190002,741800,109.558341
"107",109.809998,110,107.809998,108.190002,829800,107.569806
"108",108.610001,110.510002,108.199997,110.419998,802100,109.787018
"109",110.489998,111.510002,109.769997,111.07,568500,110.433294
"110",110.779999,111.029999,110.269997,110.870003,783000,110.234443
"111",111.230003,111.230003,110.150002,110.610001,811800,109.975931
"112",110.660004,110.830002,109.75,110.120003,702700,109.488742
"113",110.120003,110.900002,109.940002,110.68,964600,110.04553
"114",110.25,111.970001,110.139999,111.5,688700,110.860829
"115",111.190002,111.269997,110.419998,110.550003,518700,109.916278
"116",109.699997,110.440002,109.010002,110.120003,984100,109.488742
"117",111.230003,111.629997,109.699997,110.480003,821200,109.846679
"118",110.120003,110.440002,108.760002,110.080002,1355400,109.448971
"119",110.5,111.199997,110.269997,111.080002,923600,110.443238
"120",111.360001,111.769997,110.980003,111.629997,595000,110.990081
"121",111.629997,113,111.629997,112.290001,426900,111.646301
"122",112.190002,112.620003,111.309998,111.470001,613000,110.831002
"123",111.739998,114.980003,111.650002,114.43,1504900,113.774033
