"","EXPE.Open","EXPE.High","EXPE.Low","EXPE.Close","EXPE.Volume","EXPE.Adjusted"
"1",74.330002,75.5,74.269997,75.089996,1204700,74.513735
"2",75.220001,76.269997,74.730003,75.980003,1508600,75.396912
"3",75.739998,76,73.790001,73.980003,2094300,73.41226
"4",73.709999,74.550003,73.269997,74.260002,1134100,73.69011
"5",74,74.650002,73.489998,74.580002,1289500,74.007654
"6",76.559998,77.860001,76.309998,77.620003,2692000,77.024325
"7",77.779999,80.459999,77.370003,80.349998,3003900,79.73337
"8",80.349998,80.489998,77.690002,77.879997,3299100,77.282325
"9",78.300003,78.57,77.760002,78.32,2228200,77.71895
"10",78.540001,78.540001,77.669998,77.830002,1027000,77.232713
"11",77.510002,77.779999,76.019997,76.260002,1783900,75.674762
"12",76.239998,77.650002,75.419998,77.309998,1370200,76.716699
"13",77.779999,77.779999,76.690002,77.010002,875200,76.419006
"14",76.650002,79,76.650002,78.949997,1872900,78.344113
"15",78.650002,79.639999,78.540001,78.760002,1284800,78.155576
"16",80,81,79.760002,80.779999,1781800,80.160071
"17",80.839996,81.32,80.080002,80.260002,958800,79.644065
"18",80.75,82.360001,80.410004,82.209999,920800,81.579097
"19",81.809998,82.07,80.309998,80.849998,1213700,80.229533
"20",80.900002,80.900002,78.040001,78.809998,1629100,78.205188
"21",79.510002,80.18,79.07,80.169998,1177800,79.554751
"22",79.129997,79.839996,78.260002,79.330002,883300,78.721201
"23",79.620003,79.940002,79.169998,79.730003,782700,79.118133
"24",80.129997,80.650002,79.959999,80.129997,989200,79.515057
"25",80.330002,81.010002,79.550003,80.599998,1174500,79.981452
"26",81.129997,81.139999,79.269997,79.379997,1212800,78.770813
"27",79.019997,79.540001,77.139999,77.400002,1805900,76.806012
"28",78.07,78.790001,77.610001,78.790001,1140500,78.185345
"29",78.480003,79.019997,77.639999,78.639999,1025800,78.036494
"30",79.279999,80.360001,78.599998,80.25,1014300,79.634139
"31",80.410004,81.459999,80.089996,80.879997,1360400,80.259302
