"","HCP.Open","HCP.High","HCP.Low","HCP.Close","HCP.Volume","HCP.Adjusted"
"1",41.59,41.709999,41.240002,41.360001,2145300,39.235839
"2",41.240002,41.5,41,41.450001,2365200,39.321217
"3",41.349998,41.490002,40.970001,41.439999,1881600,39.311729
"4",41.389999,41.529999,41.009998,41.490002,1440900,39.359164
"5",41.400002,41.549999,41.029999,41.110001,1630700,38.998679
"6",41,41.060001,40.169998,40.450001,3332000,38.372575
"7",40.450001,40.740002,39.970001,40.650002,3133600,38.562304
"8",40.639999,40.98,40.549999,40.66,5126900,38.571789
"9",40.59,41.209999,40.369999,41.18,4416500,39.065083
"10",41,41.630001,40.990002,41.189999,2914600,39.074568
"11",41.23,41.400002,41.110001,41.23,1818600,39.112515
"12",41.220001,41.400002,40.880001,41.009998,2129600,38.903812
"13",40.950001,41.419998,40.77,41.400002,2483800,39.273786
"14",41.32,41.619999,41.189999,41.310001,2190500,39.188408
"15",41.32,41.43,40.970001,41.380001,2397200,39.254813
"16",41.52,41.599998,41.16,41.459999,1615200,39.330702
"17",41.380001,41.459999,40.970001,41.27,1434800,39.150461
"18",41.209999,41.209999,40.439999,40.790001,1754700,38.695114
"19",40.77,41.040001,40.73,40.950001,2103100,38.846896
"20",41.07,41.5,41,41.18,2314100,39.065083
"21",41.310001,41.380001,40.880001,41.330002,1249800,39.207381
"22",41.119999,41.869999,41.119999,41.540001,2083900,39.406595
"23",41.540001,41.540001,41.110001,41.200001,1693800,39.084057
"24",41.209999,41.439999,41,41.439999,1478100,39.311729
"25",41.400002,41.57,41.310001,41.549999,1421600,39.41608
"26",41.549999,41.889999,41.450001,41.869999,1663200,39.719645
"27",41.810001,41.970001,41.720001,41.849998,1832800,39.700672
"28",41.959999,42.200001,41.799999,42.18,1963500,40.013726
"29",42.080002,42.240002,41.919998,42.16,1626700,39.994752
"30",42.380001,42.470001,42.080002,42.169998,1941800,40.004237
"31",42.34,42.439999,42.18,42.27,1918700,40.099103
"32",42.419998,42.470001,42.240002,42.450001,1724800,40.269859
"33",42.41,42.619999,42.279999,42.32,1805300,40.146535
"34",42.369999,42.73,42.32,42.630001,1422100,40.440615
"35",42.619999,42.720001,42.400002,42.509998,1668500,40.326776
"36",42.459999,42.700001,41.779999,41.93,2596100,39.776565
"37",41.810001,42.150002,41.529999,41.529999,2258200,39.397107
"38",41.52,42.02,41.380001,41.77,2551300,39.624782
"39",41.799999,41.849998,41.349998,41.73,1748500,39.586836
"40",41.57,41.889999,41.07,41.139999,2002400,39.027137
"41",41.09,41.34,40.950001,41.110001,2042500,38.998679
"42",40.779999,40.889999,40.560001,40.709999,1965700,39.138078
"43",40.799999,41.099998,40.549999,40.900002,1517200,39.320744
"44",40.889999,41.110001,40.849998,40.959999,1393200,39.378424
"45",40.830002,41.09,40.779999,40.970001,1395000,39.38804
"46",41.060001,41.720001,41.029999,41.630001,1949300,40.022556
"47",41.810001,42.110001,41.740002,42,1972800,40.378268
"48",41.959999,42.290001,41.869999,41.889999,2002500,40.272515
"49",42.02,42.299999,41.990002,42.25,1688800,40.618615
"50",42.299999,42.669998,42.200001,42.470001,1195700,40.830121
"51",42.34,42.619999,42.119999,42.529999,1248100,40.887802
"52",42.59,42.919998,42.52,42.549999,1313000,40.90703
"53",42.560001,42.66,42.080002,42.25,1296800,40.618615
"54",42.43,42.450001,42.189999,42.310001,1847400,40.6763
"55",42.48,42.529999,42.25,42.52,2142200,40.87819
"56",42.509998,42.830002,42.5,42.82,1604400,41.166605
"57",42.689999,43.139999,42.689999,43.099998,2365700,41.435793
"58",43.18,43.380001,43.07,43.330002,2146200,41.656915
"59",43.459999,43.459999,43.009998,43.09,1653500,41.42618
"60",43.279999,43.349998,43.040001,43.310001,1694400,41.637687
"61",43.200001,43.59,43.049999,43.43,2167600,41.753052
"62",43.380001,43.860001,43.259998,43.73,2292900,42.041468
"63",43.73,43.75,43.380001,43.400002,1776700,41.724212
"64",43.400002,43.400002,43.060001,43.169998,1495800,41.50309
"65",43.080002,43.080002,42.32,42.400002,2378000,40.762825
"66",42.330002,42.720001,42.169998,42.450001,2336100,40.810893
"67",42.099998,42.240002,40.41,40.549999,4937800,38.984256
"68",40.66,40.900002,40.150002,40.5,4038500,38.936187
"69",40.48,40.98,40.48,40.75,2930300,39.176534
"70",40.950001,41.150002,40.419998,40.48,2877900,38.916959
